reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great ribs and local beer,"I visit this restaurant on a regular basis. The ribs are great and the local beer even better. All provided in a cosy atmosphere, with friendly staff.",Date of visit: August 2019,de Koning eten &drinken,4,"Alkmaar, The Netherlands"
Great food,"We visited this Taverna after meeting one of the family on the other side of the island.

We drove over the mountains from Kalithea. It was an amazing drive.

When we arrived at the restaurant we met the owner and were served fantastic food, lamb and chicken, local wine and salad.

Highly recommend this family run business right in the centre of the village.",Date of visit: August 2019,Taverna Savvas,4,"Rhodes, Greece"
Fishing in Rhodes,"We just spent a very enjoyable afternoon fishing. After a tour of the harbour we spent a couple of hours fishing, then had a swim, then ate a great bbq on board. We had a great time. Really recommend doing this with children, but it's great for everyone! Very friendly captain and crew.",Date of experience: August 2019,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
"Lovely restaurant, with friendly owners",We ate here twice during our holiday. Peter was an excellent host and we met his extended family who are very active in the business. We had great food and wine and really enjoyed our visits.,Date of visit: August 2019,The Old House Restaurant,4,"Rhodes, Greece"
Fantastic food and great value for money,"We ate there with a family of 4. The food was excellent, the wine too, and we really couldn't eat any more! All for 50 Euros...amazing value.",Date of visit: August 2019,Meze Meze Mezedopoleio,4,"Rhodes, Greece"
Great food. Nice environment,We had a great dinner in this local restaurant. Made to feel very welcome and tried a lot of things on the menu. Would definitely recommend for a traditional greek meal. The prawns in ouzo were very tasty.,Date of visit: August 2019,Ouzeri o Thioris,4,"Rhodes, Greece"
Sea Kayaking. Pirate tour,"We spent a brilliant day with Dimitris and Nikos kayaking across the bay, exploring caves, swimming on quiet beaches and meeting the local goats.

Highly recommended for a day out. Great people with a wealth of knowledge concerning the local area. Was a pleasure from start to finish.

Have booked the horse riding tour next!",,Rhodes Full-Day Sea-Kayaking Adventure Including Lunch,4,"Rhodes, Greece"
"Great food, even better service","We stopped off at this restaurant on our way to a skiing holiday in Austria. They were very accomodating, as we hadn't booked, and we were made to feel very welcome.

The food was great, we ate the pizza's and pasta. All were very tasty and of good quality.

The experience was so good that we booked dinner on the return journey as well. Again the experience was excellent, wonderful food and people!",Date of visit: January 2019,La Cittadella,4,"Niedernhausen, Germany"
Excellent hotel in Kaprun,"We have just spent a week at the Sonja Alpine resort. We thought that the hotel was excellent, the rooms cosy, the staff polite and friendly. The spa area and pool are special and the views on the mountains add to the experience. We found the hotel quiet and were not disturbed at all by the quiet mountain railway that runs nearby. Highly recommended!",Date of stay: January 2019,Sonja Alpine Resort,4,"Piesendorf, Austria"
Wonderful week in Mae Nam,"We have just returned from a great week at Lotus Samui. We cannot find fault with our stay. A great villa, with a fantastic pool on the beach, supported by a very attentive team. We even got to spend time with the local cat for the week, much to the delight of the children.",Date of stay: July 2018,Lotus Samui,4,"Mae Nam, Thailand"
Fantastic service and great suits,"We visited Boss Style for a business suit for myself and my son. We also purchased shoes, and a dress for my wife.
The end product was of a very high quality and the effort and attention to detail was excellent. We will definitely purchase again.",Date of experience: July 2018,Boss Style Tailor,4,"Bophut, Thailand"
Great hotel run by a great family,"This is the 3rd or 4th time I have visited La Chaumiere and the experience, as always was great! This time I went with a bunch of friends. The food was excellent as always, the wine was great, the staff polite and the hotel was clean and tidy. Franck and Michelle always go out of their way to help, and Franck was very accommodating taking us to the ski shop and the lifts. Looking forward to the next visit!",Date of stay: March 2018,Hotel La Chaumiere,4,"Morzine, France"
Wonderful stay at Hotel Walserhof,We spent a great week in a wonderful apartment. Silvia was a fantastic hostess and was extremely attentive. Nothing was too much trouble. Close to the lifts and a short walk into town. Highly recommended for a great family break.,Date of stay: February 2017,Hotel Walserhof,4,"Klosters, Switzerland"
Great food and excellent service,We ate dinner here with our family of 5. Service was quick and polite. The food was very good as was the wine recommendation.,Date of visit: August 2016,Les Grottes,4,"Azay-le-Rideau, France"
