reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
First visit and won’t be the last,First time of trying Delicious in our 3 visits to the island but it’s definitely one we will return to. Lovely food in a very family friendly environment,Date of visit: August 2020,Delicious,1,"Cephalonia, Greece"
Great evening - great food and stFf,"Another lovely evening at Katelios Taverna. Great setting, great food and atmosphere. The tables are well spaced out and so you feel totally safe in this environment",Date of visit: August 2020,Katelios Taverna,1,"Cephalonia, Greece"
Great that Persas’ has opened,Great that Persas’ has opened for the season. Great meal last night with us both opting for the Moussaka which was by far the best we’ve had whilst here and our son having the chicken Souvlaki. Such a pretty setting - was so pleased to see it was filling up by time we were leaving.,Date of visit: August 2020,Persas Taverna,1,"Cephalonia, Greece"
Friday night - tasting menu,I have been meaning to try here for ages and with the closure of La Barbe it was time to give it a go. The food was excellent as was the wine pairing. The restaurant was full and had a great vibe but the staff still have time to stop and engage which was always what we loved about La Barbe. Wish it was nearer but can see this becoming our new go to place. If you like good food you can’t go wrong here!,Date of visit: January 2020,Chez Vous,1,"Warlingham, United Kingdom"
Why didn’t I try here sooner..,OMG I wish we had tried here sooner. The food here is exceptional. We stoped for a coffee at midday and liked how clean and fresh the place felt so returned for dinner and weren’t disappointed. My only regret is we didn’t stop before as there is more I want to try on the menu. The fresh egg starter and grilled Pulpo main were exceptional as was the belly pork . Please try here if you want something different - you won’t be disappointed. The view is great too!,Date of visit: April 2019,Sergio,1,"Lanzarote, Spain"
Good Friday - Good Food,"This was our 4th year of going to Casa Rafa on Good Friday and yet again we weren’t disappointed (we have been on other days too!!). I had prebooked as I know they get busy. We had a lovely table in the front corner and were very well looked after. Baby squids cooked to perfection, mussels and a house salad to start followed by the local Cherne and grilled prawns for our son. The Homemade deserts are fabulous. There is a reason we keep returning because the food is always superb. This year we got a treat as we were leaving which we are going to enjoy this evening - than you. We look forward to returning soon.",Date of visit: April 2019,Casa Rafa Restaurante de Mar,1,"Lanzarote, Spain"
A little piece of Food Heaven,So we have been coming to Playa Blanca for past 10 years and we never tried the predecessor as it’s based in the harbour but the new look of Cocina Del Puerto and a recommendation from another couple made us try and let me just say we are already booked to go back. We ate from the Specials and struggled to choose as they all sounded good. The food was exceptional. Octopus carpaccio with seared scallops and beans with poached egg and foie gras were our starters of choice followed by local fish. The starters were the best thing we have had all holiday and the fish was cooked perfectly. I can’t wait to go back and try some of the other dishes I saw being served. If you love top quality ingredients prepared well and served with flair then this place will not disappoint.,Date of visit: April 2019,Cocina Del Puerto,1,"Lanzarote, Spain"
Tres Bon,I can’t praise this place enough. For no particular reason we hadn’t been for a while but after returning last month we elected to go again with friends and we weren’t disappointed. The fact the menu had changed since last month was an initial concern but not for long the only concern was what to choose as it all sounded good. We all chose well and all had different. The staff are lovely and made us feel so welcome. We should probably apologise as think we were last to leave but quite simply we didn’t want evening to end. Will be returning very soon.,Date of visit: April 2019,La Barbe,1,"Reigate, United Kingdom"
Ticked all the boxes for a family ski trip,This was our second trip to Levi. First time we came on a package and stayed at the Sokos Hotel and this time we booked everything ourselves. This was by far the better trip - it was so nice coming back and lighting the fire and having our own space. We had planned to eat out 50% of time but ended up eating in most of the time. We brought our streaming device so watched films in the evening as well as catching the Northern Lights. We will return to Levi and Levilehto.,Date of stay: February 2019,Levilehto Apartments,1,"Levi, Finland"
Too good to miss,"Tonight is our third visit to this lovely restaurant. Hussain is a great host - he steered us towards the Turkish wine which was not only lovely but extremely reasonable. If you like meat you won’t go wrong here - on our various visits we’ve had grilled kebabs, the Ocakbasi kebab which is more like a stew, the lamb shank and the chateaubriand - all have been amazing. When we return to Side, which we will, we will definitely return here.",Date of visit: October 2018,Side Ocakbasi Restaurant,1,"Side, Turkey"
New go to place,Three visits and fourth booked - this place doesn’t disappoint. Consistently hearty tasty food. Worth the drive for us as nowhere on our doorstop comes close. Friendly staff who make you feel welcome. Best recommendation I’ve had.,Date of visit: September 2018,Cucina Italiana,1,"Oxted, United Kingdom"
