reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Amazing,"This was my second stay and I absolutely love it there, the staff can't do enough for you, the rooms are great and the restaurant is fantastic and reasonably priced and there chicken wings are fantastic.
I look forward to staying there again",Date of stay: January 2020,York & Albany Hotel,4,"London, United Kingdom"
Absolutely amazing,"This is a amazing school for all aspects of bushcraft from camping to bow and arrow making its ability amazing.
teaching is not a easy thing but Wayne makes teaching fun and still able to teach anyone all his staff are amazing. Me and my son totally love his weekends",Date of experience: November 2019,Forest Knights,4,"Bognor Regis, United Kingdom"
The best most amazing resort,"The best most amazing resort I have ever stayed in,
We had a room with a private pool and it was fantastic the was even a waiter that brought you drinks to your own pool, there's plenty of bars around the resort and loads of restaurants in it aswell, 11 that I found including a pastry part that dose crepes and icecream untill 2 in the morning.
There are 4 a'la cart restaurants that you need to book and I suggest booking them as soon as you get there as thay book up very fast,
The staff there are excellent and so willing to help
We are 100% booking again for next year the beach bar is brilliant and there's always plenty of sunbeds available, also there's water sports including paragliding, jet skis and much much more, the kayaks and the pedalos are free to mitsis hotel customers,
If your a sports fan and want to watch your team then go to
""Bar Zone"" it's just outside the resort and it's got all the sports channels
Thay even opened the bar at 10 in the morning for us to watch the rugby world cup thay normally don't open until the night
I can not recommend the resort enough, truly amazing",Date of stay: October 2019,Mitsis Blue Domes Resort & Spa,4,"Kós, Greece"
Brilliant pub with great food,"Brilliant pub with great food and great staff.
Not bad prices and dose carling on tap ands great cocktails made fresh",Date of visit: April 2019,Plan b,4,"Tenerife, Spain"
Amazing,"The food was excellent and the staff were great very easy to drive past this place but so glad we stopped will definitely be going back before we head home from our holiday,",Date of visit: April 2019,La Bodeguita de Enfrente,4,"Tenerife, Spain"
Amazing,I was taken there as a surprise for my birthday it was amazing and it's easy to get to. I will definitely be going back there soon.,Date of experience: January 2019,Flight Club,4,"London, United Kingdom"
Great place and staff,"The hotel is clearly under refurbishment and with new management and staff, the food is amazing and the fresh home made burgers are to die for, the deputy manager David was more than helpful and as the car park was full he walked down the road and helped us with our bags and took them to our room without us even asking. Staff are so friendly and helpful and the breakfast was amazing",Date of stay: July 2017,Grand Victorian Hotel,4,"Worthing, United Kingdom"
It's ok,It'd good if your out for a drink with mates but not really suited for couples to eat its full of big groups and individuals that feel thay need to be louder then each other,Date of visit: January 2017,All Bar One Sutton,4,"Sutton, United Kingdom"
Great food and staff,"Had a great mealtime large portion size, the prices are good and the staff are friendly and helpful.",Date of visit: September 2016,TAS Turkish Restaurant,4,"Sutton, United Kingdom"
Great,"Typical prezzo great food good price
Good staff and clean hygienic looking place would definitely go back best with friends and drink is not to badly priced",Date of visit: November 2016,Prezzo - Cheam,4,"Sutton, United Kingdom"
Amazing,"Was a amazing day and had great food I don't normally eat fish but as we had court it I decided to and it was great, since getting home name and my gf now go fishing it's good fun",Date of experience: November 2016,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Great climbing wall,"Great place for climbing has a good bouldering wall a auto belay, lead climbing wall and standard wall climbing the staff are very helpful",Date of experience: April 2016,K2 Crawley,4,"Crawley, United Kingdom"
Peaceful,Was amazing it actually made me forget about work for once and relax.very hospitable and welcoming atmosphere. It was great we will definitely be going back and the local village and pubs are good for food and at a fare price,Date of stay: April 2016,Two Hoots Campsite,4,"Alresford, United Kingdom"
Amazing,"Was a great night that have atleast 3 bands on in a week, there is a obvious refurbishment happening and all starting to look good now the food was great especially the burgers that are huge",Date of visit: February 2016,The Jolly Farmers,4,"Purley, United Kingdom"
Absolutely amazing,"We came as a couple for a day trip our instructor was Ryan who was amazing he was so helpful and friendly. We are already booking our lessons to learn full competency thank you so much it was great except be prepared for the pain in every muscle after but well worth it
Thanks Ryan",Date of experience: January 2016,Edinburgh International Climbing Arena,4,"Edinburgh, United Kingdom"
Great,"Was fantastic thanks to Chris T and his enthusiasm.
very historical and great fun at the same time.
Will definitely recommend it to anyone",Date of experience: January 2016,The Real Mary King's Close,4,"Edinburgh, United Kingdom"
