reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fresh & tasty sushi,"Visited with my daughter after checking trip advisor. First thing to notice when walking in is how calming it feels. The lighting is low and the music is gentle. We were served by a friendly waitress who was happy to help with the menu and recommend various dishes. We opted for a sharer with a mixture of salmon & tuna. It was beautiful and tasted delicious. The sushi rolls were full of flavour but delicate enough to “feel” every different ingredient. It’s the best sushi I’ve had.

My daughter also loved it and enjoyed the Japanese lemonade immensely! We will definitely go back to this wonderful place in the heart of the city centre.",Date of visit: November 2018,Sushi Passion,1,"Birmingham, United Kingdom"
Spellbindingly good food,"Visited with my girlfriend for a spot of lunch after local recommendations. We had a mixture of tapas dishes and a couple of drinks.

Menu is diverse and well thought out. The food is loaded with flavours and all the tapas dishes we tried were mouthwatering. The ambience is peaceful and relaxed, staff are attentive and friendly. Decor was unique too. It’s the best tapas we’ve ever had and that includes Ibiza (the home of tapas). Keep up the massively good work and Thankyou for the amazing food!",Date of visit: September 2018,Paramo Lounge,1,"Solihull, United Kingdom"
Complete Garbage,"Visited here on a windy, cold Sunday night with my girlfriend after searching for some tasty food. Firstly, there was no one in the restaurant which isn’t a good sign. We were given menu (limited and expensive) and drinks menu.

After looking through it (and being hassled and made to feel uneasy by the waiter in black) we decided on a number of dishes such as the fillet steak, chicken, king prawns etc. All were swimming, and I mean SWIMMING in putrid oil. It was disgusting and totally unnecessary. We’ve never ate tapas so disappointing and been ripped off for the privilege. Will NOT be returning and I urge anyone who thinks about walking through these doors to....not.",Date of visit: October 2018,Salud Tapas Bar and Restaurant,1,"Blackpool, United Kingdom"
Food and service of the century,"Visited with my girlfriend recently after local recommendations. It’s a beautiful place with breathtaking views. The staff are very attentive (Sara in particular) and happy in their jobs.

The food is the best either of us have EVER had. It was a pleasure to dine here. The dishes are well thought out, spectacular in their presentation and taste like heaven. The menu is smaller than most places, and I preferred that as they are so good it’s all you need. We will be back for sure.",Date of stay: July 2018,The Horn Of Plenty,1,"Gulworthy, United Kingdom"
Deliciously eventful,"Visited with my girlfriend recently and loved it. The food is spectacular and the service was impeccable. I had sea bass which was loaded with flavour, garlic bread was beautiful with a dash of thyme on top. Sticky toffee pudding for desert was the best we’d had (and massive)!

We will be visiting again if in the area. Highly recommended.",Date of visit: June 2018,Bill's Covent Garden (St Martin's Courtyard),1,"London, United Kingdom"
Super!,"Visit here as often as possible as prices are good and choice is vast. I love the Levi, diesel, all Saints, NB shops. Have everything you need in one tidy and clean place. Staff are helpful, discounts are inevitable (take a student card as this can be used in several places although they don’t advertise it). Always leave happy!

Will of course be back (as soon as poss)!",Date of experience: June 2018,Cheshire Oaks Designer Outlet,1,"Ellesmere Port, United Kingdom"
Cracking Place!,"Stayed for 2 nights after Easter bank holiday with my daughter, niece and mum. Hotel is in an excellent position situated within 5 minute walk of the pleasure beach. Graham the friendly chap who greeted us on arrival keeps a spotless hotel, his breakfasts are out of this world, his bar is extraordinary excellent & full of character AND the staff are friendly. What more could you want???

Needless to say, “the Mead’s” will return!!",Date of stay: April 2018,Clifton Court Hotel,1,"Blackpool, United Kingdom"
Beautifully Nostalgic,"Visited with my daughter, niece and mum. We all loved it. I used to go as a child and not much has changed - but this is why it’s so good! There is something for everyone and all ages. The “big one” is still the best in my opinion. Grand national also exhilarating, as is “ice blast”. Food and drink outlets are available in abundance so all tastes are catered for. If you like burgers, try the burger bar next to the fountains as they are delish!

Despite the chill in the air, we all had the best time ever. Keep up the good work please and see you soon no doubt.",Date of experience: April 2018,Blackpool Pleasure Beach,1,"Blackpool, United Kingdom"
An intense 360 of Blackpool,"Booked this trip on pleasure beach website as this was the best value option. Check the website thoroughly though as you can pick and choose which experiences you want to add. We picked the tower and dungeon.

After a short queue we were led to a 4D cinema with a “before” and “after” film of Blackpool and it’s history which we all really liked.

Then......up the lift and to the top of the breezy and dramatic tower. As soon as I stepped out I had a blast of searing wind. I definitely felt alive up there. Views are stunning and the weather was sunny so we were able to see for miles. You must stand on the glass and look down, I did, and my belly did a somersault.

This is one of Blackpool’s main attractions and I implore everyone to visit.",Date of experience: April 2018,The Blackpool Tower,1,"Blackpool, United Kingdom"
Mediocre with dull staff,"Visited on Friday 30th March with my girlfriend, daughter and daughters friend. Greeted by nobody at all on entry to the restaurant, which wasn’t a good start. Seated at thoroughly vile and sticky table which was blamed on “varnish” by member of staff. Girlfriend visited the toilets to find that all 5 cubicles were empty of toilet roll. When she mentioned this to a member of staff, the waitress went to the men’s and got a half empty roll from there! Wow.

What is quite worrying is the 2-4-1 is a fiddle. The children’s meals with classed as free against the much more expensive adult mains. What a con, and very sneaky. Children’s meals are non existent apart from “fishfingers” anyhow.

Food is good which is a positive. I had the Persian lamb which was tasty and well presented. The pint of peroni was a clean, sharp taste too. Starters were ok but not spectacular.

Overall, there is much better places to eat and drink in the area and the 2 most basic problems this place has, is disinterested staff and zero ambience. A shame, given the unique setting.",Date of visit: April 2018,The Old GlassHouse,1,"Dudley, United Kingdom"
The Best Ever,"I found Anita after a quick google search and picked her based on many 5 star reviews. She is a revelation! Had initial consultation (whilst holding me in a stretch) and went through my various ailments and long term injuries. She pinpointed issues in my lower limbs I didn’t even know would cause problems. She worked hard on my body and gave me a multitude of stretches to do on my hamstrings especially - who’d of thought that tight hamstrings would cause lower back pain?? Anita is confident in her approach, the most knowledgable person in the trade I have EVER come across and has overflowing passion for her job. I wound highly recommend her to family and friends. Her aftercare is also sublime as she sent me advice and pictures of stretches to continue to do at home.

She wants every person who walks through the door to be independent and free of specialists and to “work” on their own body. I must admit that I’ve never heard a specialist say this before! Try Anita and you’ll be amazed. I promise!",Date of experience: November 2017,Massage Therapies,1,"West Bromwich, United Kingdom"
Something for everyone and fresh,"Visited with my daughter on a very busy Saturday. If your unsure of what you fancy then please go here. There is sushi, Mexican, Chinese, Indian, British and everything in between. The food is good quality and very fresh. At £16.99 for an adult and £8.50 for a child you can’t go wrong especially for the mixture of amazing food on offer. I would recommend booking as I did, due to the vast amount of people clogging (waiting for tables) up the entrance to the restaurant and also to the food area!

Bear in mind all who enter though - you have to stick to a 2 hour time slot for your visit! I’d say it’s enough time for most people though.

Staff were also attentive and friendly on our visit and its somewhere we will go back to. My daughter especially loved the sushi as did I.",Date of visit: November 2017,COSMO Wolverhampton,1,"Wolverhampton, United Kingdom"
"An informative, hands on delight","Visited with my daughter who is 11 years old. We had booked the half day animal keeper via groupon (make sure you book a few weeks prior to your visit as gets very busy). We had a brief introduction as to which enclosure we’d go to first. Saw owls, snakes, hedgehog (called Brian), meerkats (my daughters favourite), big cats, a 43 year old tortoise weighing 12 stone (more than me)! It was a brilliant day with clearly passionate keepers who knew their craft exceptionally well. The chap with the owl was particularly knowledgable and a friendly guy. Would recommend to others and would go back myself. First class experience and fairly local from Wednesbury (about 35 mins).",Date of experience: October 2017,Hoo Farm Animal Kingdom,1,"Telford, United Kingdom"
Astonishgly good,"Visited on a Sunday in late august having never been before, despite living 4 miles down the road (terrible I know).
My overall feeling is that it's a fabulous place to visit. Loads to see and do. Fully interactive for adults and kids whilst you learn along the way. The mine experience was my personal favourite as you get guided along the way by a very knowledgable local chap, with clever bits of recorded voices playing the various roles of life size models throughout the mine. It's unreal to think that as a small 9 year old boy all those years ago, that your working life down the mines began. And what a horrendous existence it would of been. Pitch black, 12 hour shift, breathing in toxic coal dust.

There are old houses modelled both outside and in to reflect the decor of the times. Even down to the chopping boards, cutlery, carbolic soap, stoves, plates.....the list goes on. You really don't know where to look!

You HAVE to try the fish and chips - £20.17 for family size (2 x adult fish and chips, 2 x child fish and chips plus pickled eggs and onions) good value I thought and very tasty.

The fair ground is pretty good too with old rides and food/sweet/drink outlets. Take your money with you for that one though, as each ride costs £1.50 per go via a token system.

If you buy tickets online, you can go back for free (once) within 12 months. I'd say for me anyway, this is a definite as you can't possible squeeze everything in, in 1 day. We missed the cinema, school (where you have a lesson), tram ride and other bits. We will definitely return as the experience was the best I've had locally and I can't believe I've never been before. It is unique and hugely enjoyable. Please book your tickets and go. And then go again!

Love the meads. X",Date of experience: August 2017,Black Country Living Museum,1,"Dudley, United Kingdom"
Historical indulgence on a boat,"Visited same day as Black Country museum trip as made sense with the glorious weather. We paid for family ticket and waited for next excursion to arrive.

You don your hard hats, board the canal boat and off you go. All this whilst a well versed and knowledgable local guide talks you through each landmark and piece of interest. The light show is particularly stunning and people even get married deep within the cave!!

My daughter and her cousin had a go at ""legging"" which is the art of using your legs to push the boat through the long and dark tunnels. Can't believe a local chap did this from the age of 13 to 70-odd. Must have had thighs like oak tree's!

This is another experience where you retain your ticket and then go back for free within 12 months. I would highly recommend this trip as it's something completely different and really enjoyable. Kids especially would love it. My daughter and niece are ages 11 and 10 and didn't stop talking about it.",Date of experience: September 2017,Dudley Canal & Tunnel Trust,1,"Dudley, United Kingdom"
