reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Superb Day!,"What an amazing day! My Wife and I chose to be falconers for the day in Doddington Place Gardens. It was truly brilliant and we had great exposure to the birds. During the day we flew a barn owl, a Bengal Eagle Owl, a Vulture, a Chilean Blue Eagle, a Harris Hawk and a Mottle Owl. There was also a chance to see all the other birds. Our falconer was Laura who was superb and taught us so much through the day. I can’t speak highly enough of the people and the venue and the whole experience. Highly recommended!",Date of experience: April 2018,The Hawking Centre,1,"Doddington, United Kingdom"
Outstanding Pizza,"Wow, proved for 24 h sourdough Woodford pizza. If you like amazing pizza head down to Acquolina. It might just be the best pizza I've ever had....",Date of visit: March 2018,Acquolina In Bocca,1,"Egham, United Kingdom"
First 5* Dining experience,"We went to The Tudor Room as a one of experiece and were very pleased.. 7 stunning courses delivered in a fun and engaging manner.... A couple of tips from me... Think carefully how much you value the ""flight of wines"" paired for each course... This is something which will add to the overall experience and allow the Somelier to teach you a little about the wines. On the other hand you can order whole bottles which can save save a bit of money... and probably get you a bit more quantity of wine!!!! Another tip was when it came to desserts, both the chocolate thingy and the cheese board were great, if possible order one each and share so you don't miss out...!!

By the way - i once went to a Michelin star restaurant and left hungary... it won't happen here... absolutely full and content --- top marks!",Date of visit: April 2017,Tony Parkin at The Tudor Room,1,"Egham, United Kingdom"
Great,Before I went hear I read quite a few reviews commenting on the decor so let me just say that it's really nice and they've done a great job on the refurbishment. The food was very good and the service was friendly if a little haphazard at times. I'd definitely recommend overall.,Date of visit: December 2016,The Rose & Crown,1,"Egham, United Kingdom"
Impressed...,"Like many people i've been to a lot of indian restaurants over the years.... But i really felt the quality here was a bit higher. I'd highly recommend the lamb tikka and onion bhagis, while the quality was high the price is fair.. Great job",Date of visit: November 2016,Megna Tandoori Indian Restaurant,1,"Englefield Green, United Kingdom"
Amazing trip....,"We booked the sunset fishing trip with Anthi. We met up about 3.30pm in Vilhada. We set out and the crew pulled up 17 'lobster pots' where we found about 2-3KG of shrimps and a fearless octopus, the crew then pulled up 600m of nets and found about 5 kg of fish. We cruised on to a pleasant cove where we went snorkelling. After that we cast out a few lines for some token fishing. Meanwhile, Anthi and the other crew members barbaqued the fish and prepared a delicious meal. Finally we cruised out of the cove a saw a stunning sunset before heading back. This whole experience was absolutely brilliant and I would highly recommend this trip and wish Anthi and the crew success in the future.",Date of experience: September 2016,Giorgaros fishing tours Santorini,1,"Santorini, Greece"
Sweet Honeymoon...!,"We just got back from a 2 week stay at Santorini Heights. It's a great place - clean, modern with friendly staff. We were in the Garden Suite which, like the others was lovely. It's superbly located further up the road from Pyrgos which means you are away from the main tourist hubs. I'd highly recommend.",Date of stay: September 2016,Santorini Heights,1,"Santorini, Greece"
it's a fancy joint...,"Selene is a fancy joint knocking out fancy food and wine at fancy prices. The food tasted great but I got irked by not getting full up for EUR180, it is possible to get full up if you spend EUR250 on a meal for 2 and it will taste good.",Date of visit: September 2016,Selene,1,"Santorini, Greece"
Don't miss it...,"By sharing your experiences, you're helping travellers make better choices and Mexaxy Mas is an awesome restaurant perched on the side of a hill. You'll be sure to get free Raki and dessert which is a huge plus in my book. The food is excellent, especially the meats and the potato chips are the best I've ever had! The service can be a bit hap hazard but who cares - the food, price, view and free stuff make it a serious win. Advance booking essential.",Date of visit: September 2016,Metaxy Mas,1,"Santorini, Greece"
perfect....,"Feggera is a restaurant which is taking things up a notch or two. It's Greek cuisine taken to a new level which demonstrates the technical skills of the chef. I genuinely felt it's one of the best restaurants I've been to. When you consider the food quality, the presentation, the setting and service I believe it's an absolute bargain. There's no carafe wine sold here which forces you to buy a glass / bottle of one of the excellent Gavalas wines available which is probably a good thing! Hot tip, try the fava beans... Top marks",Date of visit: September 2016,Feggera,1,"Santorini, Greece"
Very Very Very Good,"This is a very good restaurant up in Pyrgos, the setting is quite stunning and the food was pretty decent also. I'd certainly go back.",Date of visit: September 2016,Cava Alta,1,"Santorini, Greece"
so so visit with great views,I went here around 6.30 and joined a tour which was followed by a wine tasting. The tour which we were told was going to cost EUR3 was rubbish. The tasting was ok if a bit impersonal. At the end they didn't charge us for the tour which was a relief... Overall it was Ok experience.,Date of experience: September 2016,Venetsanos Winery,1,"Santorini, Greece"
