reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Very Mediocre Service but a pretty restaurant,"This is a very pretty restaurant and we were excited to be there as soon as we sat down. The food is good. We had stuffed zucchini flowers which were delicious. However, the service was really poor. We sat without menus for about ten minutes. We didn't have any napkins on the table. We were pretty much non-existent to the staff. We asked for water. We watched as another table got water. We didn't get any water. As the evening went on the service became slower and worse. The staff simply didn't seem to care that we were there. I would say, try this restaurant but be prepared for the service possibly not being on point. It was a pretty disappointing experience overall.",Date of visit: June 2019,Peskesi,4,"Crete, Greece"
Wonderful view and great service,"Amphora Restaurant has a great location, just along the water. We were advised to avoid restaurants along the water as they could be more touristy and lack in quality but Amphora was great and definitely the right choice for our last evening in Chania. There was only one table available and we wanted to sit by the water so we asked if there anything by the water might open up soon. We ended up taking the one remaining table that was a bit further in. A few minutes after we sat down a wonderful table opened up. Several waiters came over to tell us and we were moved to a bigger table with a view. They could easily have let us sit where we were and saved the table with a view for another passerby but they gave it to us instead without us even asking to be moved. The food was very good and we were given some absolutely delicious chocolate cake for dessert. Another wonderful, welcoming and memorable experience in Chania.",Date of visit: June 2019,Amphora Restaurant,4,"Crete, Greece"
A fun and tasty dinner,"We went to Tamam based on reviews and recommendations from locals. We made a reservation, I would recommend doing the same, especially if you want to sit outside. The food was very good, as was the service. Our waiter made some suggestions to tweak our choices when we were ordering and he was definitely right. We tried a variety of dishes that were all very good and fresh. We sat outside which made it a fun and lively dinner. Outdoor seating is on the narrow street in front of the restaurant so the people and visitors of Chania pass you by as you eat. If you prefer something more private and roomier, outside may not be for you. We enjoyed it though. What I really appreciated was that although there were people waiting for tables we were never rushed and in fact we had to ask for the bill, so there was no pressure for us to leave. Once we were seated the table was ours for as long as we wanted. The menu is interesting and a little bit different than some of the other restaurants. There are certainly traditional dishes but there are also some variations made on them that allows Tamam to set itself apart.",Date of visit: June 2019,Tamam Restaurant,4,"Crete, Greece"
Wonderful Location!,"Amphora Hotel is perfectly located if you want to be in Chania Harbor. We stayed in Room 20 with a terrace and beautiful views. (It's worth the walk up). The room was spacious, clean and comfortable. All we had to do was step outside to experience Chania. All the staff members were very helpful and friendly. Breakfast was traditional and tasty. We received coffee and fresh squeezed juice before being able to choose from items such as fresh yogurt, olives, cheese and Greek specialties. We also ate dinner at the restaurant downstairs on our last night and it was a lovely meal with a wonderful atmosphere. I would definitely return to Amphora for the views and the warm welcome alone. We hope to come back to Room 20's balcony again soon.",Date of stay: June 2019,Amphora Hotel,4,"Crete, Greece"
A unique adventure with Nasos!,"Nasos is the best guide you could ask for. For a whole day we were in Nasos' very capable hands and didn't have to think about a thing as he took us from experience to experience. If you want to disconnect and get off the beaten path, this is the tour for you. After treating us to mountain tea and traditional Cretan cheese, Nasos took us into the mountains to see the metato. He is so knowledgeable and passionate so it is a pleasure to listen to him. He told us about the shepherds, Cretan cheese, olives, bees and Greek history. We came away from the tour feeling like we had experienced something unique and had learned more about the landscape that makes Greek food so delicious. This is a true learning experience and a bit of an adventure at the same time. It's a wonderful opportunity to get to know Crete a bit better. Nasos is very well organized, knowledgeable, safety conscious and determined to have his guests have a wonderful experience. He really goes abobe and beyond. Spend the day with Nasos!",Date of experience: June 2019,Semi Private Jeep Safari Tour - Visit a Shepherd's Hut,4,"Crete, Greece"
Beyond Amazing!,"I can't say enough wonderful things about this experience. Everything was beyond our expectations. Anthi is amazing! She is so knowledgeable and kind. She made sure to check in with everyone and give each person attention to create a really lovely atmosphere. Her crew is wonderful as well. We were able to do it all. We watched as the crew brought up shrimp, fish and octopus, all of which they cooked to provide us with a delicious dinner. We were then able to swim, fish, eat, drink and watch the sunset in a beautiful setting. Everything you could need is on board including towels and snorkeling equipment. We were so glad that we got away from the crowds on Santorini and had a really unique experience. It is worth every penny, don't miss this experience.This was one of the best experiences we have had and we can’t wait to come back and do it again. Thank you so much for a beautiful and unforgettable day!",Date of experience: June 2019,Santorini Traditional Fishing Experience with transportation,4,"Santorini, Greece"
More than Amazing,I can't imagine there being a better place to get married. The experience we had was perfect in every way. Rylan and Milli helped us create a wedding that was beyond our expectations. We received so much help and guidance along the way. We really couldn't have done it without them. Latrobe's is a beautiful and truly special place.,Date of visit: September 2016,Latrobe's On Royal,4,"New Orleans, Louisiana"
Great Italian Restaurant!,"We went to Cotto for my mother's birthday in August and they did everything possible to make it a special night. They started by giving us each a glass of sparkling wine, which was a very nice touch. The food was delicious and well priced, the ambiance was cozy but chic. The service was very good as well. The waitstaff was very attentive and friendly. We really had a nice time and are looking forward to going back soon.",Date of visit: August 2015,Cotto Winebar & Pizzeria,4,"Stamford, Connecticut"
Great Hotel,"This is a great hotel, very clean, modern and comfortable. It has a lovely atmosphere. The staff is excellent. They were all very helpful, going above and beyond what we have experienced at any other hotel we have stayed at before. Before our arrival I emailed them several times for advice and suggestions about restaurants and transportation. They were all so helpful. They made reservations and arranged transportation for us during our stay. The staff helped make our stay in Malta relaxing and easy. The hotel is quiet and very conveniently located. Breakfast is great as well. We will definitely stay here again when we return to beautiful Malta.",Date of stay: May 2015,Hotel Valentina,4,"Island of Malta, Malta"
Amazing Restaurant - A wonderful experience,This was one of our greatest dining experiences. The service was impeccable and the food was delicious. We had a delicious octopus dish that was one of the best we had while in Malta. Our server Andrea was so nice. He told us a lot about Malta and gave us great suggestions about additional things to see and do. The restaurant is cozy and intimate. Go here for a special meal and experience.,Date of visit: May 2015,Wigi's Kitchen,4,"Island of Malta, Malta"
