reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Dump,"Bearing in mind we are in the middle of a Pandemic you’d think they’d be keen to keep their jobs. No. Miserable , slow service. The tables were filthy. I had to ask for one to be cleaned. Even then she didn’t bother cleaning any others , only the one I was to sit at. All were filthy. The Burger was lukewarm. Avoid this flea pit.",Date of visit: November 2020,Burger King,1,"Darlington, United Kingdom"
Best cafe in Darlington,"Our first visit. I had a super Goats cheese, Beetroot and Quinoa salad. I followed this with Gluten Free Lemon Drizzle cake. It was all excellent. The service was too. So refreshing to get good gluten free cakes.",Date of visit: March 2020,Influence cafe,1,"Darlington, United Kingdom"
Superb,The whole experience was excellent. I booked online and my wife is GF. This was no problem at all. The service was very friendly and courteous and very knowledgeable. We had Poppadoms; probably the best I’ve had followed by the best Onion Bhaji I’ve had. Our mains were Balti Lamb and Dahi Lamb accompanied by Pilau and Peshwari rice. Beautiful just so tasty. I finished with Gulab Jammam with Pistachio Kulfi. Both made by the owner and his wife had cooked our dishes. We will definitely return. Highly recommended,Date of visit: March 2020,Shaheens Indian,1,"Durham, United Kingdom"
"Friendly, great coffee",A small welcoming cafe in the heart of Richmond. Very welcoming and obliging. Great coffee and breakfast.,Date of visit: January 2020,Sip Coffee,1,"Richmond, United Kingdom"
Excellent,A very testing time for all of the staff as we arrived in a power cut. The lady in charge was very friendly and helpful with Gluten Free options. It was a tough time for all of the staff and the kitchen and I think they dealt with it excellently. Our food was excellent. The Monday Pensioner’s special was very popular. All of the serving staff were helpful and attentive. It’s a very welcome stop for us en route to our holiday on the coast. We’ll definitely return.,Date of visit: January 2020,The Station Grill Restaurant,1,"Llansantffraid-ym-Mechain, United Kingdom"
Good basic tasty food.,"A good no frills cafe serving very reasonably priced food. I had Ham, Egg and Chips and it was very good. Plenty of tea too. Can’t stand places that are mean with tea. It’s a real locals cafe. Parking outside but you have to pay and the warden is often round. If you want free parking then park on the main road.",Date of visit: January 2020,The Teesdale Restaurant,1,"Barnard Castle, United Kingdom"
Understaffed,"My second visit so I’m basing this on both.
The staff are helpful and friendly but always very rushed. Seems they are perpetually understaffed which isn’t great for customer service. My starter of Whitebait was very nice and my Carne Mistra Pizza on a GF base was good. We waited quite a while to get our bill then pay. I suggest the management look at staffing levels. I would’ve ordered a pudding but didn’t want to wait that long.",Date of visit: January 2020,Bella Italia,1,"Darlington, United Kingdom"
Beautiful mountain,A beautiful mountain which I didn’t see in the best of weather or indeed health. I had rather an upset tummy and I fear I must apologise for the rather messy call of nature. I can testify that moss is wonderful as a replacement for loo roll,Date of experience: March 2019,Cader Idris,1,"Dolgellau, United Kingdom"
"Authentic , Friendly, Cosy","A cosy restaurant decorated in a Greek style. Friendly welcome. We shared Dolmades and Roasted Hummus dip: both very tasty. My main of Pork Souvlaki was excellent, served with rice, chips , salad and tzatziki. My wife’s Lamb Kleftiko was served with veg and excellent. We had desserts of Greek Yoghurt and Honey and Torte . All very good.
We often holiday on Kefalonia and the food we had was comparable to the food there, authentic and great tasting. We’ll definitely return.",Date of visit: December 2019,Kaminaki Greek Taverna,1,"Stockton-on-Tees, United Kingdom"
Disappointing,"We explained about dietary requirements but the waiter struggled to understand. It’s very important that serving staff can give accurate advice about allergens in food.
My wife’s Masala Cauliflower was actually sausages, no mention of sausages was made on the menu. It was all very very average.",Date of visit: November 2019,Salvos Cucina Italiana,1,"Darlington, United Kingdom"
