reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Covid safe and excellent food and service,"Coronavirus safety measures

As soon as you enter the Abbey Arms it is very clear that the pub/restaurant owners have considered the impact of coronavirus and we were very impressed with the measures that have been taken. Customers are asked to use the automatic sanitiser on arrival and there are signs all around the pub advising staff and customers how to stay safe, such as reminders to wash hands and to keep your distance. On arrival, you will be taken to a table and introduced to your server. Every other table has a ‘reserved’ sign on to ensure plenty of space between tables. Staff wear full visors and both food and drinks are served at the table rather than the bar.

Food

The Abbey Arms has signed up to the governments Eat Out to Help Out scheme so you get delicious food for half the price. We were a party of four, three had fillet steak and I had the lamb. It was honestly one of the nicest meals we have ever had, the food was of excellent quality and locally sourced.

Drinks

Drinks are served at your table and as it was a Wednesday we took advantage of their wine offer - If you buy 2 glasses of wine you get the rest of the bottle free. I can highly recommend their New Zealand Sauvignon Blanc.

Summary

The Vale Royal Abbey Arms is a traditional country pub/ restaurant in a beautiful 200-year-old listed building, close to Delamere Forest. You will be given a warm welcome, it offers excellent value for money, food is fresh, seasonal and locally sourced. Their home-made food is made from quality ingredients and is honestly the best. They offer daily specials and have various special offers on both food and drink. Do not hesitate to try it out, you will not be disappointed.",Date of visit: August 2020,Vale Royal Abbey Arms,1,"Oakmere, United Kingdom"
Excellent Sunday lunch,"Great atmosphere, delicious food, welcoming, warm and friendly staff. Don’t hesitate to book. You won’t be disappointed",Date of visit: March 2020,"The White Bull, Ribchester",1,"Ribchester, United Kingdom"
Great place but gets packed out,I loved it here. Bought food from angor sol (can’t spell it!) which is Cambodian cuisine and it was excellent. It was £9 for a delicious curry with rice. My friend had the Tiffin platter from Chaat which she said was delicious. We bought a bottle of Sauvignon Blanc for £17.50 which I thought was reasonable. Finished the night next door in the Bakers Vaults which was great. Both places have a brilliant atmosphere. A great Saturday night out,Date of visit: February 2020,The Produce Hall,1,"Stockport, United Kingdom"
Beautiful....but some unexpected additional charges,"This hotel will not disappoint. Recently fully refurbished and positioned right on the beach, you really do feel like you have died and gone to heaven.

Staff were friendly and courteous and keen to meet the guests expectations of a 5 star hotel. Our room was beautiful, spotlessly clean and the view was amazing. The breakfast buffet was excellent.

Our only gripe was the unexpected ‘extra’ charges; $20 per day to park your car and the best part of $30 per day if you wanted an umbrella on the beach, even though the sun beds on the beach are free. We stayed here a couple of years ago and as Hilton Diamond status members we didn’t pay for either of these things, so for a 10 night stay it added up to a lot of money.

That said, as long as you are aware of these extra charges and factor them into your budget, you will not be disappointed and we will definitely return again in the future.",Date of stay: November 2019,Hilton Marco Island Beach Resort,1,"Marco Island, Florida"
Great afternoon out,"There were only the 2 of us and Captain Marco. What an interesting fun afternoon, Captain Marco kindly tethered my kayak to his paddle board as I was nervous. Highly recommend this trip and tour guide",Date of experience: November 2019,Marco Island Kayak Adventures,1,"Marco Island, Florida"
Delicious,"Went twice in a row. As good as Haagen Dazs and very generous portion sizes. Too generous in fact. I had a small, topped with hot caramel sauce. It was so delicious I ate the lot then felt sick for the rest of the day. Lol serves me right for being greedy.",Date of visit: October 2019,Sweet Annie's,1,"Marco Island, Florida"
Great for a cheap meal,I had the steak wrap which was nice enough but they were out of guacamole which was supposed to be the base..... had mayo instead,Date of visit: October 2019,Subway,1,"Marco Island, Florida"
Best pizza in town,We shared a large 5 meat thin crust pizza and a salad and they were both excellent. They were a bit mean with the wine though. A glass means about an inch and a half,Date of visit: October 2019,Joey's Pizza & Pasta House,1,"Marco Island, Florida"
"Excellent food, large portions!",I highly recommend the crispy taco shell salad that comes with rice and black beans. I had the ground beef option and it was delicious. Large enough to serve 2 people,Date of visit: October 2019,Nacho Mama's,1,"Marco Island, Florida"
Well maintained and soooo beautiful,"Soft white sand edged with thousands of shells at the shoreline. Dolphins, pelicans and many other birds will keep you entertained",Date of experience: October 2019,South Marco Beach,1,"Marco Island, Florida"
Duquesa’s best kept secret,"When luxury exceeds expectations, you really don’t know where to start......

The brand new Three Palms in Duquesa on the Costa Del Sol has all the luxury, comforts and elegance of the world’s finest 5 star small hotels of the world. We were the only guests this week and Julie and Steve let us view all 5 suites. I can confirm that each suite has been individually designed and beautifully furnished, the ultimate in luxury and comfort. Rooms are air-conditioned and double-glazed, each with a furnished balcony or terrace, bath and shower, slimline TV with every channel known to man, docking ports, complimentary WiFi, complimentary tea and coffee making facilities and your own mini fridge. The communal areas are equally as elegant and luxurious, as is the pool and bar area, the sea views add that extra special touch.

Julie and Steve are the perfect hosts, making you feel important to them as soon as you walk through the door. Breakfast is made to order, at your preferred time, and there is plenty to choose from.

The property is just a few minutes walk to the beautiful marina in Duquesa which has many different restaurants and other amenities. If you like to walk along the sea front there is a long promenade where you can walk for miles. It is also well located to explore what the Costa Del Sol area has to offer and is only a short drive (approx 20-30 mins) to the busier towns of Estepona, Marbella, Sotogrande, Puerto Banus and Gibraltar.

This place is ideal for couples, friends, and family gatherings and I have no doubts that when word gets out it will be booked up for the year.

Thanks Julie and Steve for a wonderful stay. We are very much looking forward to staying with you again soon.

Readers, any questions? Don’t hesitate to ask",Date of stay: September 2019,Three Palms Boutique B&B (PALM TREE ROOM),1,"Puerto de la Duquesa, Spain"
Reality of fishing,"A very educational trip. Ate fish I’d never even heard of (pork fish) and felt sorry for the stingrays and octopus that we caught as they also got sliced up and thrown into the pan. Lovely hosts, excellent food, more than enough for everyone. You will catch loads of fish that will be cooked for your lunch and your hosts will make you very welcome.",Date of experience: August 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,1,"Cephalonia, Greece"
Best food in katelios,"Don’t book half board as the menu is limited. The full menu is excellent, service is excellent, everything is fresh and home made including the fries (which are the best ever) and it’s not expensive at all. Highly recommend you visit.",Date of visit: August 2019,Rosebud Bistro,1,"Cephalonia, Greece"
"Good food, good prices","Excellent service, plenty of choice, lovely food, perfect setting right on the beach and 10% discount if you say you are with Thomas Cook holidays.",Date of visit: August 2019,Blue Sea,1,"Cephalonia, Greece"
