reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
very nice,"It was rainy day, there was a lot of people, but the staff was very friendly and try to organize all the hungry people all the tables and still follow the COVID situation rules. The staff was very nice, not too intrusive ,but with the normal level of kindness and hospitality. The food was great …we took “Bedančeva plošča” for three person and it was too much meat for four hungry adult persons. “Bedančeva plošča” is the plate full of very good mixes grilled meat which the chef Jaro is preparing. I really recommend this place to enjoy in lunch time and for sure I will be back",Date of visit: August 2020,Lačni Kekec,1,"Kranjska Gora, Slovenia"
Pizza - late lunch,The place is not very easy to find but it is worth it . The pizza is very good and especially the dough is fluffy and very tasty. The service is average but all together with good pizza and good company is nice place to visit..,Date of visit: July 2020,Tia's Pizza,1,"Ljubljana, Slovenia"
Tbilisi city tour with nice local guide,"We decided to use the Tbilisi city evening walking tour with local guide Gvantsa. Gvantsa speaks perfect English and she knows a lot about the history in historical stories and funny stories about the city. The tour was great, not too long …the perfect evening walk with the local guide. Gvantsa gave us a lot of useful information about where to eat and how to spend the day in Tbilisi. She was very open if I can compare much more friendly as Sophie …but we were in contact with Sophie only by phone that is true. I think depandce also who you get as a guide and we were lucky.",Date of experience: December 2019,Tbilisi city walking Tour with local guide,1,"Tbilisi, Georgia"
Super tour with very friendly guide Jamal,"That tour was our last in Kutaisi. The name of our tour guide and driver is Jemal. He was very safe driver if you compare to other drivers in Georgia. He was very nice, he speaks good English and he told us a lot of great also funny stories about the monasteries and about the Georgia history, present and people. He was very open and friendly person and we really have a lot of fun.",Date of experience: January 2020,"Kutaisi monasteries: Gelati, Motsameta, Bagrati. 3 hour tour",1,"Kutaisi, Georgia"
The worst dinner of my life,It was the worst dinner I have ever tried in my life. I ordered the chicken steak with mushrooms. I got tottaly diffrent food as it was photo in menu. It was cold. The steak was dry and the mushrooms... They said it is a cream of mushrooms - the coloure of this cream was grey and it was cold and disgusting. If you realy want to try the worst food of your life please visit this restaurant.,Date of visit: January 2020,Veltins Restaurant,1,"Tbilisi, Georgia"
Time consuming food,The restaurant look nice. The food is good but the staff and actually the service and time to vait for food it is more than nomal... We were 4 frinds. They served food for two person first and then one houre late two pizzas... If you have too much time this is restaurant for you...,Date of visit: December 2019,Tavern Sabatono,1,"Tbilisi, Georgia"
New year’s business dinner,"It was one of the best slow food dinners in my life. The food was fresh, nice decorated, with perfect wine selection. The combinations of the food were creative, and taste was fantastic. All compliments to the Chef.",Date of visit: December 2019,Restavracija 1906,1,"Bled, Slovenia"
Very good dinner,Very nice quiet hotel. The dinner was great. It was 6 different foods and six different tastes with a perfect wine selection. In hotel is missing room for have a easy conversion like a real not only bar but the room for fun because it is quite away from the city centre. It is perfect place for couples but not for the bigger groups.,Date of stay: December 2019,Hotel Triglav Bled,1,"Bled, Slovenia"
Open kitchen restauratn,It was an early dinner with friends. I choose grilled sardines and they were not something especial. My friend choose the American hamburger and they said it was really good. It is nice atmosphere but it is really expensive.,Date of visit: October 2019,Time Out Market Lisboa,1,"Lisbon, Portugal"
Dinner with friends,"Very special restaurant, the decor of restaurant it is different very modern and I cannot decide if I really like it or not. When the toilet is in the same colure it is really strange but it is something new...the food was very good, were nice décor. the normal staff were very nice, but we noticed the not very nice relations between the boss and weathers what we did not like it.",Date of visit: October 2019,Restaurante Banho,1,"Lisbon, Portugal"
