reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Lovely place,"Out of eight nights at Avithos hotel (around the corner) we came to Esperides for dinner five times (while there were plenty other options around) - enough said. An absolute must is the orange cake with ice cream. I had it five times and loved it every time!

My wife had grilled prawns a few times - excellent.",Date of visit: August 2020,Esperides,1,"Cephalonia, Greece"
Best aubergine dip... ever!,"Loved this place! It's set in its own garden with vegetables and fruit growing all around you. I was so craving one of those tomatoes ripening a few meters away from me I consider offering our waiter I pay to pick one! :)

The aubergine dip was amazing. And great cocktails! Would go back for sure next time I'm at Lourdas beach.",Date of visit: August 2020,Klimatis Tavern,1,"Cephalonia, Greece"
Our best meal in Kefalonia,"What I'm disappointed about is that our hotel told us about this restaurant on our last evening in Kefalonia. Such a shame! Had they told us about it on our first evening, there's no doubt we'd only be having dinner here. Stunning view and brilliantly delicious food!

Here's my tip: every restaurant in Kefalonia (Greece?) serves calamari fritters. If you start with calamari at the Olive Lounge, you just won't be able to eat it anywhere else. No other tavern has come even close to how light and tender these calamari were. Octopus in vinegar was brilliant, as was the seafood pasta (I'd call it a lot of prawns with some pasta - never before had I had it where prawns seem to outnumber linguine).

Oh and I couldn't stand taramasalata until I tried it here. Now I love it (as long as it's from the Olive Lounge :)

We'll be back as soon as we're back to Kefalonia. Thank you for a memorable dinner!",Date of visit: August 2020,The Olive Lounge,1,"Cephalonia, Greece"
This trip is a must if you like (love?) great food,"Let me just say this: before this trip, I had never NOT finished a lobster. With Michalis, we had so much of it (wonderfully cooked, just absolutely stunningly delicious!) that we just couldn't eat it any more! Antonia is a wonderful cook and a brilliant host.

We didn't catch much fish, but what we did catch was: a stingray (threw it back overboard), crabs (ditto), a shark (ditto), octopus (cooked and ate), a scary looking fish (overboard), and a few plain looking fish (also overboard as there were just too few of them to cook). Kids had a great time, we all ate loads, jumped and dived off the boat into crystal clear water of the lagoon Antonia's husband took us to while we were waiting for our lunch to be cooked. This trip is a must, really, and we'll definitely be doing it again when we're back in Kefalonia.",Date of experience: August 2020,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
Excellent hotel,"It's not possible for a hotel to not have any problems. What makes a difference, though, is how a hotel goes about rectifying these problems. Avithos is brilliant at that! (I'm talking small things - AC making a humming sound, need an extra beach towel...) It's a relatively family hotel, with a great character, excellent staff and nothing-is-impossible attitude. We enjoyed our stay and will most definitely be coming back. It's a testament to how good the hotel is when you meet families for whom it's their 3rd (or 8th!) visit. A few days into our stay it felt like we were all part of one big family. The hotel is great for kids - lots of them, all playing together while parents having a big ol' glass of local white wine by the pool - it was a bliss!

To close off, HUGE thank you to both Christinas at reception! You were amazingly helpful and really made our stay special. Thank you!",Date of stay: August 2020,Avithos Resort Hotel,1,"Cephalonia, Greece"
Glad we found it!,What a great place! We by pure chance stumbled upon this cafe when looking for ice cream in Hornchurch. They have ice cream and more - great selection of patisserie baked (as told by the owner) on site. Loved and will definitely be back.,Date of visit: October 2019,Le Moulin Patisserie and Boulangerie,1,"Hornchurch, United Kingdom"
Great recommendation,"I'm glad our captain recommended this place after the boat tour (Renato, in case the owner wants to know who's good at referring customers). The grilled calamari was amazing as was the fried calamari. As were the veal chops! Our waitress was great - we just loved the experience and would come back if we are ever in the area.",Date of visit: August 2019,Konoba Suzi,1,"Banjole, Croatia"
Delicious but let down by service,"The food is probably good, but by the time our mains arrived (at least 30mins after we finished starters), it was already past 10pm and our 3-year old was starting to come apart, so we had to wolf down seafood platter and didn't really get to enjoy it. Our waiter explained this delay by the fact that he ordered our mains only after we finished starters. Why? No idea. Disappointing.",Date of visit: August 2019,Restaurant Korta,1,"Fazana, Croatia"
Truffle pizza,"Best truffle pizza ever! Great service too. If you are in the Old Town, definitely stop by for pizza. Might have to wait for a table though as they only have c.6-7 tables outside.",Date of visit: August 2019,Pizzeria - konoba Harlekin,1,"Rovinj, Croatia"
Worth the trip,"It took us an hour to drive to Dolina from Rovinj but it was worth it. Great little restaurant with excellent truffle pasta. The waiter - a young chap with braces - was excellent! Portions are huge! Apple strudel was amazing. Three mains, three deserts, coffees, water and half a litre of wine came up to c.£70 - it's a steal!

Some other reviewers said the restaurant is difficult to find. Waze found it without any problems.

Definitely book (we booked on the morning of the same day we visited) as it was full when we got there (apart from our reserved table).",Date of visit: August 2019,Konoba Dolina,1,"Livade, Croatia"
