reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great place to meet and eat,"We went to the Venue when they had the Oktoberfest on.
As usual we had a great time. Fabulous friendly staff, lovely fresh tasty food served in lovely surroundings, with a great relaxed atmosphere.
The food and drink is always excellent at this lovely establishment and highly recommend a visit if in the area.",Date of visit: October 2019,The Venue,4,"Thornton Cleveleys, United Kingdom"
Lovely Meal,"We have now visited this restaurant a few times, the latest being last night.
Once again we thoroughly enjoyed our evening.
From entering the restaurant and the friendly greeting, throughout the night with lovely food and great service, everything was perfect.
The food was delicious and tasty, so good we both had 3 courses, which is unusual. The waiters were very attentive and friendly which just made the evening better.
Had a really enjoyable night and we will be returning soon.",Date of visit: October 2019,Amore Italian Restaurant,4,"Thornton Cleveleys, United Kingdom"
Love this bat,"Visited this hidden bar to celebrate our friends birthday.
We have been a couple of times previously and always enjoyed the experience.
This time did not let us down either.
Excellent cocktails served in a lovely setting. The staff are super friendly, very attentive and informative.
Just to confirm, you must book to get in and can't just turn up.
Great fun in a friendly bar, will definitely be back again",Date of experience: August 2019,The Washhouse,4,"Manchester, United Kingdom"
Lovely place to visit,"We visited this restaurant recently and we are really glad we did.
A nice setting with very friendly staff.
The menu was only a small choice, but all the food we had was lovely, fresh and very tasty, with a slight twist on a normal menu.
Lovely relaxed place to enjoy a very nice meal and chill away a couple of hours.
Will definitely be back in the future.",Date of visit: September 2019,The Mad Hunter,4,"Preston, United Kingdom"
Lovely place to visit,"Decided to try this out this year and really glad we did.
It is ran by a lovely couple, who are passionate and very knowledgeable about the job they do.
We were greeted with a drink and explanation of what to expect during the visit.
Once that was over we were supplied with the suits and off to the hives.
The information given was fascinating and put across in an interesting and friendly way.
After the hives you are take to their small laboratory, where you are shown how the honey is processed and sample the various products.
Finally back for a few tasting samples & a drink, which were delicious, followed by a little ""homework"" and a chance to buy the products if you wish to.
A great and interesting way to spend a couple of hours, with lovely people if in the area.",Date of experience: September 2019,Dias Beekeeping,4,"Cephalonia, Greece"
"Beautiful setting, lovely meal","We went for a meal here last night.
When we arrived we were greeted and shown to our table, which is in a beautiful setting.
The food was lovely and the service was friendly and excellent.
It was so relaxing eating in such a lovely setting in the garden and will definitely be returning",Date of visit: September 2019,En Kefallinia Organic Farm Restaurant,4,"Cephalonia, Greece"
Another excellent trip,"We have just been on our third trip with Antonia & Mixalis and it was as excellent as ever.
Once on board the boat you are offered coffee and cake to start off your day.
You then sail to where the nets have been set the previous night and the catch is pulled in onto the ship.
You are able to help getting the fish out of the nets if you wish, or just sit back and relax.
Once the nets are in, you sail to a little secluded bay where you have swim time while the catch is prepared for your lunch.
The food is obviously as fresh as it can be and delicious, washed down by a lovely white wine produced from the family vineyard.
Our third time with this lovely family and we will to return on our next trip to Kefalonia.
Beautiful, relaxed day with lovely people, highly recommended.",Date of experience: September 2019,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Favourite Chip Shop,"Got to say this is my favourite local chip shop.
Always fresh and tasty fish and good portion of crispy chips.
Always my preferred choice in Cleveleys.",Date of visit: September 2019,Steve's Fish and Chips,4,"Thornton Cleveleys, United Kingdom"
Afternoon Tea,"We visited The Gotham for the afternoon tea to celebrate my birthday.
When we arrived we were greeted by the concierge, who was friendly and witty with all the quips, which was a nice touch and immediately made you relax.
Once inside we were guided to the bar as we were a little early and the restaurant wasn't quite open.
Again absolutely brilliant service in a very relaxed atmosphere and most helpful staff.
We had a look around the bar area and the terraces with the views over Manchester before having drinks.
We were then advised our table was ready whenever we were, but no rush, we were left to chill and enjoy the surroundings.
Once we went in for the afternoon tea, again all the staff were so friendly and excellent.
The sandwiches and selection of cakes were lovely, fresh and very tasty.
Unlimited tea & coffee was also available.
We just loved everything about the afternoon, but without doubt all the fabulous staff made this a most enjoyable experience.
Would definitely do this again!",Date of stay: June 2019,Hotel Gotham,4,"Manchester, United Kingdom"
Favourite Bar,Always make for Legends as our first stop when we are in Svoronata. Love this bar and Nikki is a fantastic host. Friendly relaxed service and great drinks and music. Call in for a chilled relaxed night with great people.,Date of experience: May 2019,Legends Music and Cocktail Bar,4,"Cephalonia, Greece"
