reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Best breakfast in Folegandros island!!!,Best breakfast by far! The combinations they have in their menu and the quality are wonderful. Right in front of the sea and with great service. It is a MUST visit if you are in Karavostasis!!!,Date of visit: August 2020,Syrma Cafe,4,"Folegandros, Greece"
The highlight of 2 amazing weeks!,"We chose this fishing experience cruise in Polyaigos for the last day of our vacation and we couldn’t have chosen anything better! Captain Nikos and his wife, Froso, are 2 wonderful people who will make you feel the traditional greek hospitality from the first moment on the fishing boat. We did 3 cruises in total during our trip, but THIS one exceeded every other cruise. From the people on board, to the amazing locations of Polyaigos we visited and the best food we ate on board, all these made a wonderful experience that we will treasure! We did 5 stops for swimming in crystal green and blue waters and Froso kept on feeding us wonderful recipes of her own. Our lunch was FRESH fish that Captain Nikos caught in the morning and they made a traditional “Kakavia” (the fishermen’s fish soup). Thank you so much for this gift on an experience and we wish you to continue being as you are!",Date of experience: August 2020,Milos Fishing Experience,4,"Milos, Greece"
MUST visit spot on the island!!!,"The most wonderful place to visit in Folegandros island. The beach of Agios Nikolaos has trees for shadow, a wonderful sea and the most amazing greek tavern on the island. The spirit of the people working at the tavern is what makes the place even more unique. We visited them 3 times during our stay at the island and we will definitely come back for more experiences at this paradise!",Date of visit: August 2020,Agios Nikolaos Taverna Folegandros,4,"Folegandros, Greece"
Magical and unique experience!,"“Damma Mia” must be one of the most unique accommodations. Right in the sand, a breath away from the sea! It is ideal for couples, families and group of friends! We visited for a couple of days, with my boyfriend in order to celebrate our anniversary and we chose the best place we could to have an unforgettable stay! The decoration is beautiful, the location is ideal, the host is caring and so friendly and finally, in Damma Mia you will find everything you will need during your stay! We will be back.♥️",Date of stay: July 2020,Damma Mia - Beach house in Pelion,4,"Ntamouchari, Greece"
Must visit place!,We have visited Brizola plenty of times and it is one of our favorite meat restaurants. The service and their products are of high quality and we are always pleased to have visited this restaurant!,Date of visit: January 2020,Brizola,4,"Thessaloniki, Greece"
All time classic!,One of my favorite restaurants in Thessaloniki. There has never been a time I did not like a plate in the restaurant. Highly recommended to visit it!,Date of visit: January 2020,Chalaro,4,"Kalamaria, Greece"
Perfect Food and Great Live Greek Music!,"Amazing food. From the salads and appetizers, to the main meat dishes and their homemade&very interesting desserts, everything is extremely tasty! The live greek music is great. Perfect place for a group of people who want to have a good time in a cozy and warm environment!",Date of visit: January 2020,Pire kai Vradiazi,4,"Thessaloniki, Greece"
Original stay in Megeve!,"My boyfriend and I visited Megeve the last week of December for New Year’s Eve and we choose this hotel because some friends suggested it. What a nice surprise! The hotel is value for money and very central. The food is amazing, as well as Christine (the owner), who we were so glad to have met and spoken with!",Date of stay: December 2019,La Grange d'Arly,4,"Megève, France"
A hidden gem!,"I found out this place from a friend of mine, even though I have moved in the neighborhood a few months ago. What an amazing bar restaurant! Everything is incredible, the decoration, the drinks, the food, the live band (Thursdays and Saturdays)! I am very glad to have found this place, it will be my new hotspot!",Date of visit: January 2020,Kefte Bar,4,"Thessaloniki, Greece"
New Year’s Eve dinner!,"We visited the restaurant on New Year’s eve and we enjoyed our dinner very much! The atmosphere and food were exceptional, the only thing we would change is the fact that no-one spoke English. All in all, it was an amazing New Year’s Eve dinner for us!",Date of visit: December 2019,Le Refuge,4,"Megève, France"
