reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
"Klein, gemütlich & unkompliziert","Sehr leckere frisch zubereitete Fischbrötchen.
Man sitzt sowohl drinnen als auch draußen in einem schönen Ambiente
Netter Service",Date of visit: July 2020,Haus Hamburg UG,4,"Leer, Germany"
Hier stimmt einfach alles,"Hier stimmt einfach alles:
Service: sehr nett, unaufdringlich und aufmerksam - uns hat es die ganze Zeit an Nichts gefehlt
Ambiente: Gemütlichkeit trotz Corona
Wein: sehr gute Auswahl - sehr zu empfehlen der Blanc de Noir
Bier: gut gezapft und eiskalt
Essen: hervorragende Qualität, sehr ansprechend serviert, gutes Preis-Leistungs-Verhältnis
Thunfisch-Sashimi & Hummer Pastete waren ein grandioser Start, begleitet von leckerem Brot
Gefolgt von Kabeljaufilet, Rumpsteak und Braten vom Salzwiesen-Jungbullen
Die süße Dessert-Variation als perfekte Abrundung begleitet von einem leckeren Espresso und Birnenbrand/Grappa (große Auswahl an Digestifs)

Wenn man auf ganz ganz hohem Niveau klagen möchte, dann hätte der Braten noch ne halbe Stunde schmoren und das Mandeltörtchen fluffiger sein können. Aber auch das ist Geschmacksache.

Wir waren rundum zufrieden, satt und glücklich und hatten hier einen schönen Urlaubsabschluss.
Großes Kompliment an das ganze Team, so etwas tolles haben wir in einem verschlafenen Feriendorf gar nicht erwartet.
Bei unsere nächsten Nordsee-Tour kommen wir auf jeden Fall wieder.",Date of visit: July 2020,Restaurant Fahrhaus,4,"Nessmersiel, Germany"
Hemdsärmelig & urig - OK,"Hemdsärmelig & urig - gut bürgerliche Küche, vorrangig Fischgerichte, salzarm serviert
Kleine Speisekarte
Küche hat nur bis 19:00 geöffnet, d.h. spätestens 18:00 kommen, allerdings empfiehlt sich auch hier, einen Tisch zu reservieren,
da aufgrund der Corona-Hygiene-Beschränkungen die Kapazitäten minimiert sind
Die Kellnerin steckte (zumindest an unserem Abend) noch in Kinderschuhen was Service am Kunden & Freundlichkeit angeht und kennt das Angebot der Speisekarte nicht (separater Salat bestellt, obwohl bei dem Gericht einer dabei war, der nicht explizit in der Karte aufgeführt wurde)

Rheinische Frohnatur trifft auf spröden Norden - wir haben es gelassen genommen und uns dennoch amüsiert",Date of visit: June 2020,Aggi Huus,4,"Nessmersiel, Germany"
Wer Wert auf Qualität legt is(s)t hier genau richtig!,"Wer Wert auf Qualität legt und ein Restaurant von einem Pizza-Schnellimbiss unterscheiden kann, is(s)t hier genau richtig!
Wir waren das erste Mal hier und wurden sehr freundlich empfangen. Alle Corona – Hygiene – Maßnahmen werden zu 100 % umgesetzt (so lästig sie für alle Beteiligten sind).

Sehr freundlich, aufmerksamer und zuvorkommender Service, leckerer Wein, frisch gezapftes Bier.
Die Qualität der Speisen ist herausragend, man schmeckt das frische und gute Produkte verwendet werden, dann darf die Pizza auch mal einen Euro auf zwei teurer sein. Es wird einfach Wert auf regionale und Bio-Produkte gelegt.
Zum Abschluss einen fantastischen Espresso und einen sehr guten Grappa. Für den Nachtisch hatten wir leider kein Platz mehr…

Wichtig: Tisch reservieren! Vor allem in Corona – Zeiten, da die Sitzplätze minimiert sind.
Und bringen Sie ein bisschen Zeit mit, da alle Speisen frisch zubereitet werden – das bisschen Warten lohnt sich.
Wir haben uns hier sehr wohl gefühlt und danken auch der Chefin für das nette Gespräch zum Abschluss.
Bei unserem nächsten Nordsee – Trip kommen wir auf jeden Fall wieder!
Wir wünschen euch eine gute Saison!",Date of visit: July 2020,Pizzeria Bei Angelo,4,"Dornum, Germany"
"Schöne Atmosphäre, leckeres Essen","Man sitzt hier nett an einem schön restaurierten Gebäude entweder auf einer großen Terrasse oder an einigen Tischen an der Straße. Etwas abseits von der Hauptmeile, wirkt das Ganze etwas kuscheliger.
Die Taverne war um 20:30 komplett besetzt, wir haben so gerade noch den letzten freien Tisch ergattert.
Die Kellner sind sehr schnell und aufmerksam, das Essen dauerte etwas länger, was wir persönlich aber sehr begrüßt haben, so landete das Hauptgericht nicht wie so oft sonst direkt zu der Vorspeise auf den Tisch.
Aufgrund der Größe und der Kellner, die wie fleißige Ameisen über die Terrasse wuseln, hat das Lokal leider nicht den Flair einer typisch griechischen Taverne.
Das Essen war aber gut & die Portionen großzügig.
Wer kein Zimt mag sollte allerdings auch bei Spaghetti Napoli lieber nochmal nachfragen...",Date of visit: October 2018,T' aggelakia,4,"Crete, Greece"
Lecker & authentisch,"Wir fielen hier an einem Donnerstagabend gegen 21:00 erst ein und wurden sehr freundlich und zuvorkommend bedient.
Das Essen war sehr lecker und die Portionen üppig.
Das Ambiente innen ist schön, aus der Terrasse wurde das Beste gemacht.
Preis-Leistungs-Verhältnis auch völlig in Ordnung!
Sicherlich waren wir hier nicht zum letzten Mal",Date of visit: August 2018,Baan Chang - Thai Garten Restaurant,4,"Mönchengladbach, Germany"
Sehr zu empfehlen - authentische frische Küche,"Endlich wieder ein Restaurant mit leckerer
authentischer asiatischer Küche in MG!
Alles hat super lecker geschmeckt, sowohl die Vorspeisenplatte als auch die Currys als Hauptgang. Es gibt noch so viel auf der Karte was wir probieren möchten!
Der Service war sehr nett und freundlich. Das Preis-Leistungs-Verhältnis ist top!!
Am Wochenende empfiehlt es sich einen Tisch zu reservieren.",Date of visit: September 2018,Xiclo - Vietnamese Street Food,4,"Mönchengladbach, Germany"
Authentische Küche ohne Schnickschnack,"Wir wurden sehr freundlich empfangen, schneller und sehr netter Service.
Obligatorischer Blick in die Küche zur Auswahl der Tagesgerichte, die lecker und authentisch waren. Allerdings ohne viel Schnickschnack serviert - wie bei Mutter: vom Topf auf den Teller.
Kaninchen-Stifado, pastisio, Tintenfisch, bifteki, diverse Vorspeisen - alles hat gut und frisch geschmeckt.
Man sitzt schön, direkt am Meer.
Sehr gutes Preis-Leistungs-Verhältnis!!
Etwas nervig: Alle 20 Minuten wechselt der Strassenmusiker und bespaßt die Gäste. jeder möchte natürlich auch eine Kleinigkeit in seinen Hut geworfen bekommen, bei Nummer 3 hat man dann weder Kleingeld noch Lust. Kann man aber gut drüber hinweg sehen, da keiner der Musiker aufdringlich war.",Date of visit: October 2018,Christos Restaurant,4,"Crete, Greece"
Zum Ausklang des Abends perfekt,"Sehr netter und aufmerksamer Service. Sehr gute Getränke, gute Musik. Hier lässt sich ein Abend hervorragend ausklingen.
Man sitzt mitten im Troubel der Stadt, die schon lange kein Geheimtipp mehr für Individualtouristen ist.
Wenn man Glück hat, erwischt man einen der wenigen gemütlichen Plätze an der Seite der Bar, wo es deutlich ruhiger zugeht.",Date of visit: October 2018,Agios Bar,4,"Crete, Greece"
"Schönes Ambiente, leckeres Essen","Wir wurden sehr freundlich empfangen, inkl. Blick in die Küche zur Auswahl der Tagesgerichte.
Service war sehr gut aufgestellt, aufmerksam und freundlich.
Das Essen hat uns sehr gut geschmeckt, die Speisen waren frisch und klassisch zubereitet. Der Hauswein ist
Geschmacksache, wie viele Weine auf Kreta sehr schwefelhaltige oder harzig.
Das Restaurant hat eine sehr große Terrasse, die nahezu vollständig belegt war, dennoch hatte man nicht das Gefühl der Massenabfertigung.",Date of visit: October 2018,Aristea,4,"Crete, Greece"
Schönes Ambiente,"Das Ambiente der Taverne ist toll, man sitzt in einem teilweise restaurierten alten Gebäude.
Das Essen war völlig in Ordnung, Vorspeisen waren lecker, leider kam aber das Hauptgericht noch, bevor wir diese zur Hälfte gegessen hatten
chicken souvlaki sehr gut gegrillt, Lammkoteletts leider sehr fettig und knochig, kaum Fleisch dran
Der Hauswein ist Geschmackssache, unserer war es nicht, es gibt aber eine große Auswahl an Flaschenweine zu moderaten Preisen
Der Service war nett, schien aber an diesem Abend wenig motiviert zu sein, hat uns persönlich aber nicht beeinträchtigt.
Leider war aber so gar keine gemütliche Stimmung in der Taverne, geschuldet daran dass keine Musik lief, würde sich nur im Flüsterton an den Tischen unterhalten. Das fanden wir befremdlich",Date of visit: October 2018,Taverna Samaria,4,"Crete, Greece"
Fader Beigeschmack,"Grundsätzlich hat uns das Essen wirklich gut geschmeckt. Prawn-Saganaki, frische Doraden, Red Snapper - lecker zubereitet.
Faden Beigeschmack hinterließen leider andere Dinge:
Unaufmerksamer Service (Getränkenachschub, Tisch abräumen)
großes Bier laut Karte 500ml, serviert wurden 400ml zum Preis von 500ml. Auf Reklamationen diesbezüglich wurde mit fadenscheinigen Ausreden geantwortet, ohne Preiskorrektur.
Als Beilage hatten wir einen griechischen Salat, dieser wird ohne Dressing serviert, also nutzt man gewohnheitsmäßig Öl und Essig welches auf dem Tisch steht. Allerdings taucht das Öl auf der Rechnung auf - ohne vorherige Information. 100ml Fläschchen für 2€ - das bedeutet 1l Olivenöl für 20€!!!
den Rest darf man gerne mitnehmen - vielen Dank auch!
Man fühlt sich ein bisschen über den Tisch gezogen und nicht ernst genommen. Für uns ein Grund hier nicht noch einmal hin zu gehen, auch wenn das Essen, zwar etwas überteuert, aber lecker war",Date of visit: October 2018,Caravella Restaurant,4,"Crete, Greece"
Leider unaufmerksamer Service,"Service leider sehr unaufmerksam: lange Wartezeiten auf Getränke, die zweite Runde bekamen wir nur als wir selbst an die Theke gegangen sind. Tisch nach Vorspeise nicht abgeräumt, als die Haupspeise schon kam

Essen war OK, aber extrem überwürzt

Reklamation bzgl. Service wurde ignoriert, keine Entschuldigung, totale Ignoranz. Trinkgeld bewusst nicht angenommen.

Schade dass man beim Service nachlässig ist, weil im Sommer aufgrund des Tourismusstroms der Laden sowieso immer voll sein wird.",Date of visit: August 2018,Rhodos,4,"Carolinensiel, Germany"
Unforgettable experience,Great trip with an amazing crew thank you so much for this fantastic day and a wonderful meal. It was a very interesting and unforgettable day and we had a lot of fun. We will be back,Date of experience: June 2018,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
