reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Good but nothing special,"Visited on a quiet Thursday morning for breakfast. Service was very good as both waitresses were very friendly and helpful.
The food was good. Nothing out of this world, but good.
The breakfast bagel was nicely served with tasty crispy bacon, poached egg and avocado. The Chocolate bowl was quite nice also with a good balance of Chocolate, peanut butter, granola and banana. Chocolate brownie was also good
Some key points: We had to bring it to the staff's attention that the breakfast bagel was missing the crispy onion. Also, the Chocolate bowl was supposed to have coconut shavings in it which it didn't. So I'd expect the food served to include all ingredients mentioned on the menu. Second, rhe food took quite a long time to be served which I'd read also on previous comments by other clients.
Price was fair. Quantify is satisfactory.",Date of visit: November 2020,Java,1,"Island of Malta, Malta"
Ticks all the right boxes,"Visited with my boyfriend for dinner. We entered into a beautiful restaurant with a romantic atmosphere. The service was very good, even though it is worth mentioning the restaurant was almost empty.
Food was excellent. My boyfriend took curry risotto which was abundant and tasty and I took pizza Chef's special with a cheesy crust. It was delicious: smoked duck breast, walnuts, honey and raisins. Divine combination. We were given complimentary homemade cherry wine at the end which was also exquisite.
Price was very fair at 35 euro total for two dishes and four drinks.
Will visit again for sure!",Date of visit: November 2020,Ta' Stringi,1,"Island of Malta, Malta"
Very good products!,"Stumbled upon this cafeteria by chance. The multiple blocks of chocolate on display were gorgeous and appetizing. Opted for a 50g slab of milk chocolate honeycomb and a minni chocolate dessert with passionfruit. The chocolate was divine. The latte was also interesting and unique. Needless to say, presentation was top notch and ambiance was quaint. Only reason why I don't give it full marks is the price. 100g chocolate for 7 euro is a bit hefty. However, it is worth a try for chocolate enthusiasts!",Date of visit: November 2020,Sunday in Scotland,1,"Island of Malta, Malta"
Did not enjoy the meal,"The ribs were cold and lacked much BBq flavour. Fries were very good. Pricey for quality. Service was fine and ambiance was nice. That being said, my friend enjoyed her Local Burger.",Date of visit: November 2020,StrEat Whisky Bistro,1,"Island of Malta, Malta"
Good food,"Food and ambiance are both pleasant, even though nothing special. Pulled pork ftira was nice and different, with a strong mustard taste. My boyfriend enjoyed the Asian noodles, but he claimed they had too much ginger. The apple pancakes were good, but toffee was not enjoyable. The batter and apples were delicious.
I do recommend the cannoli milkshake which was divine! Honestly one of the best milkshakes I've ever had!
Quite pricey. Not sure if I'd revisit",Date of visit: November 2020,Villager By Munchies,1,"Island of Malta, Malta"
Spectacular throughout!,"This restaurant is located as a part of a hotel in the main road of Mellieha. The interior is very nicely decorated and waitresses were extremely friendly and diligent.
Ordered Pappardelle e Manzo for starter,which was delicious: cooked in a mushroom wine sauce and boasting with beef fillet and sundried tomatoes.
For main course, I opted for the Truffle burger which was accompanied with sweet potato fries and a delicious bourbon-like sauce. The patty was very flavorful and truffle sauce exquisite
Finally, one of the highlights, the divine mini doughnuts, smothered in warm Nutella and pistachios. The doughnuts were soft and coated with cinnamon and were sublime!
Value is also great, for a three course meal with a large coke the price was 30 euro.
Highly recommended!",Date of visit: October 2020,Tosca Restaurant,1,"Island of Malta, Malta"
Exceeded expectations!,"Ordered delivery from Bianca's which arrived hot and looking great
Ordered chicken burger, mac and cheese and Chocolate Chip shake
The burger was simply amazing, chicken was juicy and breading was super tasty. Chips were also exquisite
Mac and cheese was mouthwatering! Oozing with strong cheese taste so if you are a cheese lover, this is a must!
Milkshake was also very good
Price is very fair and portions large. Highly recommended! Will order more soon!",Date of visit: October 2020,Bianca's,1,"Island of Malta, Malta"
Great coffee and sweets!,This Italian Cafe surely excels when it comes to coffee and sweets. I highly recommend their Pistachio Crostata and Fresh Doughnut filled with nutella on order. Simply divine! Very friendly staff and great espresso too!,Date of visit: October 2020,UC Cafè,1,"Island of Malta, Malta"
Delicious food and great atmosphere!,"We visited Planet Hollywood Malta for the first time last Saturday for dinner. Having been to the one at Disneyland Paris several times, we had high expectations.
The decor is just as fabulous, with memorabilia of famous movies and actors. The restaurant in Malta is not quite as big, and the merchandise store is a bit dull. But otherwise, well decorated.
We chose a table outside overlooking the shopping mall.
We tried The Pink Panther mocktail which was very nice. We then ordered a Pulled Pork Burger and BBQ Pork Ribs. Both were delicious. The ribs were very tender and the sauce was amazing. Fries were thick and pleasant also. Portions were huge. For dessert, we ordered ice cream and the double chocolate Brownie. These were also wonderful, as was the chocolate milkshake.
We were also very well served by Tatiana who made sure our night was wonderful. Price is on the expensive side, but the quantity and quality make up for it for sure!
Highly recommended1!",Date of visit: October 2020,Planet Hollywood Malta,1,"Island of Malta, Malta"
Great food ar great prices!,"We visited for Saturday lunch. Ambiance is very welcoming and staff was friendly.
We opted for the mixed doner in plate which came with a generous serving of chicken and lamb, 6 salads of our choice, pita bread, fries and sauces. The serving was huge! Meat was delicious and I particularly enjoyed the rice, couscous, mushrooms and potato salad. Fries were thin and crispy also. all this food for just 9.50!
Highly recommended!",Date of visit: October 2020,Posh Turkish,1,"Island of Malta, Malta"
Would give it more stars if I could!!!,"Visited for the first time on my boyfriend's birthday. We were seated inside due to weather conditions. The interior is quaint and nicely decorated. Simple, but great attention is paid to detail; the couches are very comfortable and decorated with embroidered cushions, walls are characteristic of old Maltese stone.
Service was impeccable. We were attended to very well. The chef also came out to speak to us and described how all the food is made in-house. In fact, the warm bread rolls served in the beginning were amazing and tasted homemade for sure.
The starters were delicious: Pork Cheek Croquette for my boyfriend and Parmesan Agnolotti for myself. Both were exquisite, the Agnolotti were filled with delicious Parmesan cheese and topped with fresh truffles, a sweet onion sauce and Parmesan chips.
Main courses were definitely the highlight of the night. My boyfriend opted for the grilled Rib Eye while I took the Braised Belly of Local Pork. The Pork Belly dish was unbelievable! One of the best dishes I've ever had in my life! The pork was soft, juicy and tender to the touch. It's flavour was unbeatable. It was served with a canneloni filled with Maltese sausage. This was also phenomenonal. We both took a side portion of Truffled Polenta Chips which were incredibly tasty too!
Dessert was also a hit. I opted for the oozing hot Hot Chocolate Fondant served with vanilla ice cream and topped with hazelnut brittle. Simply wow!
Price with drinks was 107 euro. I can tell you it was worth every single penny! A shout out to chef Ryan Vella and waitress Ariana. Excellent experience and easily one of the best restaurants in Malta!",Date of visit: October 2020,Commando Restaurant,1,"Island of Malta, Malta"
Perfect Pizza and wonderful service!,"We visited on a Tuesday evening after being curious as to how good the pizzas are at this famous restaurant chain.
The location of the Qawra restaurant is beautiful. We sat on the terrace overlooking the beautiful coastline. We were served by a very diligent and helpful young man who made sure our experience was a great one.
We ordered several pizzas. I ordered the famous Calzone Capo di Monte and I also tried the Pizza Funghi Bianca. The Calzone was huge and had a delicious filling of truffle, cheese and mushroom and topped with a generous amount of parmesan, rucola and parma ham. The olive oil was also a nice touch. The pizza Funghi Bianca was also divine. It tasted like a Carbonara dish with a strong garlic flavour. Pizza dough was also very good.
For dessert we ordered the Pizzotto dei Peccatori which is a small calzone filled with nutella and topped with crushed nuts and chocolate sauce. This was to die for! The portion was perfect and it was generously filled with oozing warm Nutella. The dough complemented the sweetness of the dessert.
Lastly, I'd like to mention their amazing and unique drinks. I was particularly impressed by their Ice flavoured hot chocolate which was basically hot chocolate with ice. This was incredible. Their cappuccino with cinnamon flavour was also a hit.
Price is fair for quality and quantity. Highly recommended and will definitely be back!",Date of visit: September 2020,Vecchia Napoli,1,"Island of Malta, Malta"
Unique and Super Delicious!,"Ordered an Octopus Burger for take away. I was surprised by how good this was. The octopus was so soft and delicious. The chorizo complemented the octopus very well, as did the excellent tomato relish. The bread was fresh and crispy. The burger came with a large portion of amazing salty fries. Highly recommended! Very unique and worth every penny!",Date of visit: September 2020,Sea Salt Gourmet Takeaway,1,"Island of Malta, Malta"
Great pastries!,Ordered a Pistachio and Nutella Croissant to go. They were huge at only 1.80 a piece. The Pistachio one was ok but the Nutella one was TO DIE FOR! Heavily filled and very soft dough. Will try other pastries for sure!,Date of visit: September 2020,Le 2 Sicilie,1,"Island of Malta, Malta"
Definitely a new favourite!,"Visited this restaurants after seeing the menu online. I was intrigued by their unique burgers. The restaurant is tucked away behind Naxxar Parish Church and the interior, although small, is very welcoming. We were served by a lovely man (presumably the owner). I ordered a cookies flavoured ice coffee, the Indian Bhaji Burger and Waffle Fries with Cheese and Bacon. The ice coffee was one of the best I've ever had and the food...WOW! The burger was bursting with flavour, aromatic Indian spices, a fried Bhaji and excellent mango chutney. The bread was also toasted nicely. The waffle fries were also perfect. The melted nacho cheese definitely hit the spot!
Fair prices, nice ambiance and DIVINE food. Definitely a new favourite!",Date of visit: September 2020,The Daily Grub,1,"Island of Malta, Malta"
Delightful and genuine!,"We haveave been visiting Peking for several years and it has been the best Chinese restaurant we've ever tried. The food doesn't have excessive oil and is always fresh. Amazing dishes: from their yummy mixed starter plate and aromatic crispy duck, to their amazing chicken with cashew nuts, noodles and rice, to their divine desserts. Great service and cosy atmosphere. Not cheap, but very good if you're feeling up for Chinese!",Date of visit: September 2020,Peking,1,"Island of Malta, Malta"
