reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
An Amazing section of Athens!,"The Plaka is fun anytime of day but at night against the lights of the Acropolis it is truly amazing. Lots of fun shops, great and affordable food and is great for people watching. They even have an open air cinema on the roof of one of the buildings in the Plaka that show Hollywood movies in English with Greek subtitles. Spent 3 nights in Athens and strolled the Plaka every one of them. Great gelato places here too.",Date of experience: September 2018,Plaka,4,"Athens, Greece"
Worth the Visit,An amazing stadium. The museum inside is worth a visit. Visit time about an hour. A short walk from the Temple of Zeus.,Date of experience: September 2018,Panathenaic Stadium,4,"Athens, Greece"
Fun Day of Fishing the Greek Way!,"My daughter and I joined Captain Anthi and her crew for an amazing day on the water!
Not only did we see the beautiful coastine of southwest Santorini on an authentic wooden greek fishing boat but we were treated to a wonderful day of swimming , snorkeling, learning how to fish, catching fish and best of all eating fish! Captain Anthi made us feel so welcome and treated us like family. Anthi comes from a prominent fishing family in Santorini and shares her family's passion for it. We learned about the kind of fish we caught, some we could not touch (scorpion fish) but could eat and Captain Anthi made us aware of this. The feast on the boat was amazing and fish does not get any fresher than freshly caught. This excursion was a top highlight on our trip to Santorini. The nice thing about this excursion is that it is family run, not touristy but a wonderful cultural greek experience. This excursion is for people who like to fish and for people who just like to watch. Captain Anthi does have fishing excursions for more experience fisherman. Thank you Anthi for a great experience and wonderful memories!",Date of experience: September 2018,Santorini Traditional Fishing Experience with transportation,4,"Santorini, Greece"
Private Tour Of Santorini with the Experts!,"My daughter and I booked a custom private tour with Santorini Experts and had a wonderful time. We visited the the famous blue dome church in Firostefani, toured the capital Fira and Imerovigli and went on to Pyrgos the old capital of Santorini. we visited the Monastery there and saw amazing views. We also visited the Argyros Winery and Donkey Brewery. Santorini Experts were very helpful in planning our day. They were very prompt at returning emails, they were very reasonable in their fees and their guide was very personable, fun and informative! Would definitely use again, very professional company.",Date of experience: September 2018,Santorini First Impressions Private Tour,4,"Santorini, Greece"
A Moving Experience.,"One of the most important structures in world history, the architecture, building of, Metopes and Friezes tell a story of ancient civilization. Not to be missed.",Date of experience: September 2018,Parthenon,4,"Athens, Greece"
Amazing!!,See the acropolis first then go to the museum. Start on the third floor then work your way down. The museum design is brillant and is constructed to be a small Parthenon. The museum is designed to reinforce all you have learned while visiting the actual archaeological site.,Date of experience: September 2018,Acropolis Museum,4,"Athens, Greece"
"If You Are Touring Athens, You Need Angelos!","My daughter and I booked 2 private tours with Athens Walking Guide. One was a 4 hour walking tour of the city and the second was a 4.5 hour tour of the Acropolis and Ancient Angora. Angelos was simply amazing!! Very,very knowledgeable. We learned so much about Athens History. Our tours enriched our experience in Athens. Angelos was also very personable and really fun. He was always on time for our tours, always tailored our tours to what we wanted to see and took good care of us. He always made sure we had restroom breaks and even had bottled water for us.If you want an in depth history lesson along with great side facts and a tour guide who is passionate about his Greek history, Angelos is your guide!!",Date of experience: September 2018,Athens Walking Guide,4,"Athens, Greece"
A Wonderful Combination of a Spectacular Food and an Amazing Caldera View.,"My daughter and I dined at Lauda on September 11, 2018. It was Outstanding. The view was breathtaking and the food and service was 5 Star. The menu was so imaginative and different I could have eaten everything off the menu. Fresh fish, fresh ingredients, delicious innovative cocktails and exemplary service. We still talk about our meal, it was one of the best highlights culinary wise on our trip. All I can say is WOW!! The meals are pricey but worth every penny for the experience. I also have to mention we were given 3 chef welcome appetizers and chef welcome dessert-all amazing!!!",Date of visit: September 2018,Lauda Restaurant,4,"Santorini, Greece"
Beautiful Resort with Amazing Staff and Sunsets!,"My daughter and I stayed at the Santo Maris September 11-13, 2018. What a beautiful Hotel. Modern Hotel with 2 pools, one infinity pool with pool bar at which you can see the famous Santorini sunset. We had a sea view suite which was very spacious, beautifully decorated and we had our own veranda complete with chaise lounge and outside jacuzzi. The On-site restaurant was excellent and the morning breakfast was to say the least a variety of any food you can imagine. The hotel staff was knowledgeable, approachable and willing to do anything to make your stay perfection. Three staff members come to mind: Katerina and Dora who worked at the pool/pool bar were amazing. Sylvis (I may have misspelled his name) was the greeter when we arrived-so very kind and helpful to us--thank you!! The Hotel has a Spa which was lovely and our stay included a free massage, do not miss the opportunity to do this. The property is gated with a door code. the property is in Oia but not on the caldera side. You follow a stone path from the hotel for a 10 min walk to the Main pedestrian street in Oia. This was wonderful because we had peace and quiet at the hotel and we had a short walk to the main town. Oia gets very crowded from the hours of 3pm-8pm for all cruise ship and santorini tourists want to see the sunset in Oia. Truth is, you do not have to go to Oia to see a great sunset. the main street in Oia was so crowded at times that you could not get through. After sunset, everyone leaves and the street is easier to navigate. The Santo Maris main restaurant overlooks the infinity pool where you can see a great sunset and miss the crowds. Overall and outstanding experience!! I would definitely stay at the Santo Maris again.",Date of stay: September 2018,Santo Maris Oia Luxury Suites & Spa,4,"Santorini, Greece"
Amazing Hotel in a Great Location.,"My daughter and I stayed at the Electra Palace September 8-11, 2018. The Hotel was incredible. Beautiful property with outstanding views of the Acropolis. Amenities included Concierge services, room service, 2 on sight great restaurants, one of which was on the roof with an incredible view of the Acropolis and an outdoor pool which is a plus if you are traveling to Athens during the summer. There was also a Spa on site with an indoor pool and work out room. Our room was air conditioned ( a plus) and beautifully designed. The Location was prime. We were in the Plaka district of Athens which was close to all major archaeological sites. We walked everywhere. The Staff at the Electra Palace was top notch in all respects. We had a wonderful stay and would definitely return.",Date of stay: September 2018,Electra Palace Athens,4,"Athens, Greece"
