reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Never again,"We were looking forward to some Lebanese food, fresh, tasty and mouth watering.
Unfortunately this place does not have much to do with Lebanese food.
Firstly, the salads are not fresh (a big no no in Lebanese kitchens) are done and put together in the morning, the Fattoush was soggy with the tomatoes and cucumbers soft, after 1 bite I left it on the plate. The Tabbouleh again we were told was done in the morning, I didn't dare order it! Tabbouleh should be prepared fresh to order, not 10 hours previously! The Halloumi with Zatar had no Zatar, instead of it was a chilli paste. All this might be ok for people who don't know the Lebanese kitchen and Beirut Street Food, but for connoisseurs is a disaster.
The rest of the food was ok, but I wouldn't rave about it, they might attempt a Lebanese Fusion Cuisine, but is failing miserably, no wonder the restaurant was empty.
Never again for us.",Date of visit: March 2020,Kababji,1,"London, United Kingdom"
Delicious,"Absolutely delicious home style cooked food!
If you want to eat where the locals eat, than this is the place!
It's a small restaurant, but is clean, lovely service and a good selection of home cooked food.
We had the calamari cooked in tomato sauce, aubergine loaded with mince and topped with bechamel sauce and baked, and the green beans in tomato sauce.
Simple food, bursting with flavours, we could easily eat there every single day!",Date of visit: September 2019,Tzivras Restaurant 1933,1,"Cephalonia, Greece"
Absolutely avoid!,"We used BA transfer for the past 5-6 years. Tonight we booked the trip to Gatwick for our holiday, 5min later they called to tell us there is an additional charge for using the M25! How on earth do they expect to get to Gatwick if not via M25? The charge is not displayed nor mentioned at the point of booking, they call after to fleece more money, this practice is illegal, ALL charges must be displayed at the point of booking! They tried to argue that is in their T&C, guess what, is not. They are deliberately trying to rip off customers AFTER they make the booking! Needless to say we cancelled! I am now taking this matter to TFL to review their operator licence, and to Trading Standards as they are breaching the legislation.",Date of experience: August 2019,BA Transfer,1,"London, United Kingdom"
Avoid,"We used to come here regular, the last 2 times was a disappointment.
The restaurant is dirty, the staff is swiping the food rests on the floor. The toilets are dirty, for me those 2 reasons are enough not to set foot in it again.
Had a waiter walking pass with his trousers half way down his butt, as if he was going to a street corner yob reunion. That is absolutely disgusting, he is walking pass people eating their food! I've told the manager, he pulled them up, 5 min later he was with the trousers down again.
It will be a very long time before I set foot in this Nando's again!",Date of visit: March 2019,Nando's Putney,1,"London, United Kingdom"
Amazing experience,"Absolutely amazing experience and fantastic atmosphere!
So many different stalls with food and drinks, that we had to go back several time.
Very clean and delicious food, no matter what you choose. Very good drinks and good value for money.",Date of visit: November 2018,Time Out Market Lisboa,1,"Lisbon, Portugal"
Overrated,"We booked this as our wedding anniversary dinner. Cosy place, attentive waiters. The restaurant was clean and well maintained.
Considering that is a sea-food restaurant, you would expect every customer to get bibs to protect the clothing, everyone did get them, except for us. Was not a bit deal, we were a bit more careful and kept it clean.
We had the Supernova platter, which was rather avarage. For how much it costed, I would have expected it to be cooked fresh, but was not, except for the prawns in garlic sauce which were delicious, everything else was pre-cooked and cold.
Would we go again? No.",Date of visit: November 2018,Cais ao Mar - Cervejaria Marisqueira,1,"Lisbon, Portugal"
"Lovely food, poor service","We always stop at Comptoir Libanaise when we fly from Gatwick. The food is always fantastic, but the service has always been slow even when is not busy. This time was really slow... Not even 8 tables busy, and took them more than 10min to come and take the order. When we tried to pay, we called one of the waiters, he waltzed pass and went to chat up and flirt with another waitress, 5 min later managed to grab someone's attention.
They should be a bit more attentive when people want to place an order or pay, we had plenty of time, but others travel from longer distances and don't have the time to waste because the staff can't be bothered.",Date of visit: November 2018,Comptoir libanais,1,"Crawley, United Kingdom"
Delicious food,Met with some friends for an evening meal at Ladokolla. The service was fantastic and the food delicious and fresh! Loved how they served the food on paper. Definitely recommended and we will go back when we return next year!,Date of visit: July 2018,Ladokolla,1,"Cephalonia, Greece"
Amazing day trip,"What a fantastic day we had! Started in Agia Pelagia around 8am, coffee and fresh home baked cake soon after leaving the port, then set the new net and went to pick up the already set one which had quite a few lobsters! Set off to Pessada where we stopped for a swim while Antonia and her husband were preparing the fresh catch. We had an amazing meal and left around 15:30.
Antonia and her husband are lovely and very knowledgeable about fishing and the area. Their fishing is environmentally friendly, all the small catch is thrown back and they don't fish more than they need.

A lovely day with a lovely family, certainly the highlight of our holiday!",Date of experience: July 2018,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
Amazing Black Cherry Cheesecake!,"We done our yearly trip to St George's castle, and as usual we visited Kastro. We settled for cakes and drinks, and they were absolutely amazing! The Black Cherry Cheesecake is to die for and I can't wait to have it again next year!",Date of visit: July 2018,Kastro Cafe,1,"Cephalonia, Greece"
Fantastic pizza!,"The sourdough pizza is out of this world, so are the starters.
The service is excellent and friendly, a big thank you to Umberto for always making us feel welcome, he is a big part of why we keep going back.
The atmosphere is lovely and relaxed.
Well worth the wait if is too busy.",Date of visit: March 2018,Franco Manca Putney,1,"London, United Kingdom"
How on earth is this a top restaurant?,"I've been there twice, it was the same each time. What do I start with? The appalling service or the terrible food?
The waiters could not be bothered to work there, you could barely catch them to ask for something and when you did, they looked like you disturbed them and would take ages for them to bring what you asked for.
The food was pretty bad too. My cousin had beans with smoked pork, it was so old is was fizzy, he could not eat it! The Mici had nothing to do with mici, they were just minced pork meat shaped as mici and not even fresh, it looked like they were reheated leftovers from others, although we didn't eat them, we made sure they didn't end up on someone else's plate. The fries were reheated. The couple sitting next to us, barely touched their food and sent back the dessert.
A pretty much bad experience, been there twice, two years apart, and was absolutely the same.
Although is cheap, the poor quality of food and service is not worth it. Avoid!",Date of visit: February 2018,Casa Magica,1,"Busteni, Romania"
"Delicious, fresh seafood","We chose this bistro for our wedding anniversary. We went the day before to reserve a table and order the seafood platter, £75 of deliciousness worth every penny!
The seafood platter was absolutely delicious, fresh and cooked to perfection, they recommended a bottle of Portuguese white wine which was spot on. Luckily we didn't order any starters as the platter was more than enough for 2 people.
The atmosphere is relaxing and friendly, perfect place for a lovely dinner.",Date of visit: November 2017,Bistro Rosa,1,"Jersey, United Kingdom"
Not up to expectations,"After reading the reviews we decided to go there for dinner.
We chose the Tennerfest menu as we wanted to try different things.
My Surf and turf was supposed to be ribeye, what I got served was a bland sirloin, yes, I do know my beef.
The starter was 1 scallop cut in half, with a bit of pork belly and an apple/vanilla sauce that shouldn't have been on the plate, the flavours did not match.
The restaurant is too expensive for what it actually is, they want to be high end but the food coming out is more mid-range.",Date of visit: November 2017,Quayside Bistro & Grill,1,"Jersey, United Kingdom"
Stuck in time,"The hotel is quite dated, seems to be stuck in 1980's, everything from furniture to linen and cutlery is old.
The bed was quite uncomfortable.
The breakfast was average, but not a smile on the waiters' faces, they looked grim and unhappy.
The only positives were the cleanliness, it was spotless and the location, close to the town centre.
Would I stay here again? No.",Date of stay: November 2017,The Mayfair Hotel,1,"Jersey, United Kingdom"
Not too bad,"We booked a double room, however, the room was so small it should have been a single. The room needed some TLC. The table had a bad angle, things were falling of it, told the receptionist about it and they sorted it by sticking some wood underneath to level it.
The bathroom sink was very small, perhaps was suited best in a spare toilet, not functional for a main bathroom. The grout from the tiles around the door was missing, the shower was big but had low pressure and the handle kept falling off. The bed was not very comfortable and again, at an angle, I think the whole room was at an angle...
The breakfast was good and the staff was fantastic.",Date of stay: August 2017,View Hotel Folkestone,1,"Folkestone, United Kingdom"
Lovely family run taverna,"The setting is fantastic, above the beach with a lovely view. The atmosphere is lovely and relaxing. Stelios and his family are working hard and that can be seen. The food is delicious and the grill is to die for, no matter if is meat or fish! The garlic bread is just amazing.
Thank you Stelios and family for a fantastic experience and delicious food!",Date of visit: July 2017,Apanemo,1,"Crete, Greece"
Lovely place,"This is a lovely taverna right next to the beach. We ate there several days at lunchtime. The Gyros is fantastic, so is the souvlaki and everything else they have on the menu.
The service is good and the atmosphere relaxing.",Date of visit: July 2017,Kyma Taverna,1,"Crete, Greece"
