reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Excellent a must do trip,"Went on this trip in May and we had a fantastic time , you are made to feel like family , the food is amazing , we are booking again for our trip in 2020 ...we loved it xx",Date of experience: May 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
Our Favourite,"Gorgeous food and service , we had dinner here 3 times and one morning we had breakfast , can't fault the food or the service ..would highly recommend also the restaurant is nicely decorated",Date of visit: May 2019,The Old Village,4,"Cephalonia, Greece"
One of the best in Skala,Very nice lovely food very good service for a special night we ate twice at this restaurant and would highly recommend this one,Date of visit: May 2019,Mikelatos,4,"Cephalonia, Greece"
Yummy Food,Lovely restaurant food very tasty and the service was good we only ate there once but would definitely recommend,Date of visit: May 2019,Siroco Cafe,4,"Cephalonia, Greece"
Fab food and Service,"Loved the food in this restaurant wide choice and staff very welcoming, would recommend for a nice meal and evening",Date of visit: May 2019,Mi Abeli,4,"Cephalonia, Greece"
"5th Visit to Skala 2nd to The Anassa ""LOVE LOVE LOVE""","We loved it the first time and loved it even more the 2nd time arrived back to Gatwick on the 21st May and have already booked a return next year, the hotel is opposite the beach nice stroll to all the restaurants , we ate at the hotel in the evenings quite a bit and the food is fab ... must do the BBQ on a Monday followed by the Hollies Rock Show ...great night.
we used to go to Kefalonia for 1 week now its 2 weeks such a wonderful island and we love the Anassa the family and staff are amazing ....Shout out to Hercules, Nick , Avis , Elena , Efie , George see you in 2020",Date of stay: May 2019,Anassa Hotel,4,"Cephalonia, Greece"
The best by far,This is the best fish n chip restaurant in the area ..nice clean cooking great service and lovely food and they have an app you can order and pay with,Date of visit: September 2017,The Brothers Fish Bar,4,"Gravesend, United Kingdom"
All time favourite,"At 3 times a month we eat here and love it ..well worth a visit , great menu great staff it's gets very busy so book if you can",Date of visit: October 2017,The Three Daws,4,"Gravesend, United Kingdom"
Almost Perfect,"Stayed from 17th September to the 1st of October

Almost perfect in many aspects the only let down was the quality of the breakfast now I know some would disagree but every morning I had to check the milk as on 8 occasions it had gone off it was changed straight away the breakfast cereals were not good quality nice bread but a basic selection of items no fresh fruit apart from the occasional melon chunks ..I would definitely stay here again but I would go self catering and get my breakfast items from Nickos Bakery in Skala
Breakfast is very important meal for me and it's such a shame the quality was not as good as the bar/restaurant food

Monday BBQ is an absolute must amazing food
The bar food is awesome we ate there quite a lot pics added
Perfect location
Wonderful pool
Staff are fabulous and very hard working rooms spotless
We were bed now breakfast ..kettle and fridge and sink in room nice balcony with sea views on the 2nd floor

We are booking again for next year but as I said self catering",Date of stay: September 2017,Anassa Hotel,4,"Cephalonia, Greece"
Fun times at Paultons Park,""" Took my nephew and niece for a stay in the New Forest and visited Paultons Park. Was extremely surprised how spotlessly clean the park is and how amazing the gardens are, attention to detail is second to none. Vast array of rides and things to keep the two entertained, aged 7 & 9. My nephew was in awe of the Lost Kingdom, especially Max the 'real dinosaur' ! It was here that we decided to have lunch. My niece had a kids meal, nephew a 'grown ups' nugget meal and my partner and I chicken burger meals, all for under £25. The staff are very friendly and attentive and seem happy in their work. Whilst we were waiting for our food order, Sharon in Base (I think that's what it is called) asked the children if they were having a nice day and listened to their replies and upon handing our food to us wished us a good rest of the day. Merlin rivals should take a leaf out of Paultons book when it comes to staff training! After lunch we ventured to the other side of the park and whilst Peppa Land is aimed at younger children, they were still inquisitive to have a look round.

All in all a great value day out and we shall return again during the Summer.",Date of experience: June 2017,Paultons Park,4,"Romsey, United Kingdom"
The best holiday so far,"We got back from the 9 muses on the 29th July and I booked this morning for next year , we fell in love with the 9muses and we fell in love we Skala , we had a fab holiday and can't wait to return , we were not disappointed in anyway , we stayed in room 101 on B & B basis and were totally impressed , the location is perfect in our opinion , the hotel is kept to a very high standard , nothing is too much trouble , you have to try the blueberry smoothy it's delic, book the 9muses and you love it we did !!",Date of stay: July 2008,9 Muses Hotel Skala Beach,4,"Cephalonia, Greece"
