reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
A hidden gem,We are so happy that we found this place. Nice location surrounded by the hills. Mainly local people. The lady recommended strongly the moussaka. Luckily we tasted it. Sooo yummy. Stayed after on free sunbeds and enjoyed the peaceful atmosphere and beautiful beach.,Date of visit: August 2020,Porto Kaminia Beach Bar Restaurant,4,"Zakynthos, Greece"
Stunning views in a nice restaurant,"So peaceful that we almost did not want to leave at all. We had a Lighthouse salad, local bread and eggplant spread. A bit high priced but worth it. Must visit.",Date of visit: August 2020,Keri Lighthouse,4,"Zakynthos, Greece"
A little bit different - in a good way,There are not so many fine dining options at Tsilivi. This is a bit like it with reasonable prices. Quite a new restaurant. Beautifully decorated and great service. Of course tasty food.,Date of visit: August 2020,Jasmine Bar Restaurant,4,"Zakynthos, Greece"
Refreshing oasis,Had tasty pizza for snack. Nice place to spend a day by the pool. Sunbeds are free if you use the restaurants services.,Date of visit: August 2020,Piscina Pool Bar,4,"Zakynthos, Greece"
Nice and cosy taverna,"We came her few times and we were satisfied always. Food, service and prices great. Quite typical selection of tasty greek food.",Date of visit: August 2020,Obelix Restaurant,4,"Zakynthos, Greece"
Our home base at Tsilivi,Located near our hotel we stopped by at the day time on our first day we arrived. And we came again many times. Great food (Mexican also) and reasonable prices. And of course the staff so friendly that we felt home. We also came on our anniversary day and had a nice dinner. They decorated the table so beautifully.,Date of visit: August 2020,Wine & Roses,4,"Zakynthos, Greece"
Nice experience,"We came here on midsummer night while sun was shining and we thought that we would be the only customers, but luckily we weren´t. The restaurant is stylish and waiters very attentive and friendly. Like it should in a place like this. We had a tasting menu (the only choice like we knew) with a bottle of wine. Fresh local ingredients. Pike caught by the main chef him self. Amazing techniques being used. Not all was our cup of tea, but over all we were satisfied. Over 3 hours well spent.",Date of visit: June 2020,Restaurant O,4,"Tallinn, Estonia"
Do not miss this unique experience,This was the place to be under MCO - and why not always. With one word: AMAZING. Breathtaking view. You can spot kind and polite dusky leaf monkeys playing in the trees and eagles flying in front of your nose. At the night time green lights of squid fishers in the silence. Staff is unbelievable. Room service bringing treats and tasty food. Our best experience ever! Humble thanks to the whole crew. We love you all. Hope that we meet again!,Date of stay: April 2020,Ambong Pool Villas Langkawi,4,"Langkawi, Malaysia"
"First time at a private pool villa, but not last. Amazing!","Maneh Villa was just opened few weeks before, so there was only couple of reviews. Because we were staying near Maneh Villa, we checked it out in before hand. Beautiful settings and very warm welcoming encouraged us to book a Deluxe Villa. This was worth it. We enjoyed a great service in luxury surroundings. Best experience ever. Splendid isolation and peaceful, but nice restaurants, shops and the beach very near within 5-10 minutes walk. Breakfast was served to the villa so politely and it was just perfect. Wish that we could have stayed longer. Some small things only: there was no place to dry clothes or towels on the patio. Strongly recommend!",Date of stay: March 2020,Maneh Villa Langkawi - Private Pool,4,"Langkawi, Malaysia"
Hyvä pizza,"Hyvät pizzat. Moussaka ei kehuttavaa. Erittäin hyvä palvelu ja todella hyvällä paikalla, ihan satamakadulla.",Date of visit: August 2019,La Strada,4,"Samos, Greece"
Great beach restaurant,"We came here many times for the sunbeds (free for customers having lunch). Dimitri, Sterios and co took good care of us. Everything we ate was good with smiling and fast service. Reasonable prices.",Date of visit: August 2019,Remataki,4,"Samos, Greece"
Nice sea food restaurant,"Good food. Nice spot. Reasonable prices and good service. We had garlic bread, sea bass and mussels in saffron.",Date of visit: August 2019,Mermizeli,4,"Samos, Greece"
Great food in the heart of the harbor,"Good food and big portions. Nice spot. Reasonable prices and good service. We had giant beans, moussaka, pizza and mixed grilled plate for two (would have enough for four). Visited her twice.",Date of visit: August 2019,Four Seasons Restaurant,4,"Samos, Greece"
Good hamburgers,Good food and big portions. Nice spot. Reasonable prices and good service. We had a chicken and a meat burger.,Date of visit: August 2019,Knife & Fork,4,"Samos, Greece"
Good local food,"Good food and big portions. Nice spot. Reasonable prices and good service. We had meat balls, aubergine in the oven, chicken roquefort and of course tzatsiki,",Date of visit: August 2019,To Tigani Tis Plateias,4,"Samos, Greece"
Charming little hotel,"Our room had everything we needed and a lovely sea view. Location was perfect - just few minutes to the harbor with plenty of restaurants and a lovey small beach with sunbeds and restaurants. The owner Petros and his family were awesome. We had a surprise waiting on the breakfast table on our anniversary day: flowers, a bottle of bubbling and chocolate. Breakfast was delicious made of fresh and local products.",Date of stay: August 2019,Samaina Hotel,4,"Samos, Greece"
A day like a dream,Genuine greek hospitality by Nancy and Giannis. Come as a guest leave as a friend is once again true:) It was exciting to try fishing guided by professionals. The stop for swimming in the turquoise water and eating the catch of the day together with our new friends was amazing. Time was flying with no hurry from 9 to 5 so fast. Thank you once again and good luck with your business - the perfect and needed skills you have. Hope to meet you again!,Date of experience: August 2019,Samos Fishing Trips,4,"Samos, Greece"
Perfect tiramisu and service,"We stopped here for cortado and 43, but luckily we noticed desert cups in the fridge. Italian waiter told us that it was home made tiramisu. Boy it was good. Had to order another. We´ll be back!",Date of visit: January 2019,Restaurante Romoletto's,4,"Tenerife, Spain"
No our kind of food,We were so hungry that we just picked a restaurant to get some food. We ordered chicken that was told to be file. Was not. And the breaded fish pieces also was a disappointment. Service was ok.,Date of visit: January 2019,Punto Azul,4,"Tenerife, Spain"
Belgian style of tapas,Nice belgian style restaurant. We had tapas. Style a bit different compared to spanish tapas: like cupcakes. We enjoyed.,Date of visit: January 2019,Bar Il Divo,4,"Tenerife, Spain"
Nice and cosy,"We have been here two times. Lasagna, crepes and pizza. All very tasty in reasonable prices. Service very nice also.",Date of visit: January 2019,El Botijo Restaurant - Pizzeria,4,"Tenerife, Spain"
Great service and a splendid mixed paella,It was a random pick and we got lucky. The polish waiter served us very well and the paella was such a big portion and tasted great. And of course the ambience in the afternoon sun with the sea viewwas unique. So relaxing. We recommend Maria!,Date of visit: January 2019,Maria Restaurante Tapas,4,"Tenerife, Spain"
Good chinese,This chinese is a good value for the money: big portions. Nothing special but still will come again. Loved the fried rice with eggs.,Date of visit: January 2019,Peking Garden.,4,"Tenerife, Spain"
Surreal beauty and peace,"Santorini is so busy today, but at our house it was so peaceful. The view to Caldera is really amazing. Beautiful sunset on our own terrace. We stayed for two weeks and didn´t get tired watching the view. The room is cosy and you have everything you need. Small pool was a plus. Nice restaurants and super markets near. Everything worked perfectly. Anna replied always very quickly and Nana did her part with happy face. Bidet would have been very nice and a better volume in hair dryer. These are no big problems and we can really recommend this unique house.",Date of stay: August 2018,Santorini-Hara's houses no4,4,"Santorini, Greece"
Our third time out with Barca Sailing. And once again perfect experience!,"And once again amazing crew Thakis and his lady captain. Good music, tasting food, stunning view and lovely people from Argentina, Thailand, Australia, US, Canada/Egypt, UK and Fidži. And us from Finland. Pretty international. Special thanks to ""Simo"" from Egypt/Canada. He knew well Simo Häyhä´s story. Strongly recommend - this is a must to do. And of course special thank´s to Lena and Yiannis.",Date of experience: August 2018,Sunset Caldera Sailing Cruise,4,"Santorini, Greece"
Lovely day with Phenix and wines,After this charming wine and food tour we understand to appreciate these rare Santorini wines. It is amazing how innovative man can be when it is necessary. Claire taught us also a lot of Santorini´s history. This was a day well spent. Thank you so much Phenix! We recommend.,Date of experience: August 2018,Safowi,4,"Santorini, Greece"
Loistava kokonaisuus,"Ihan arki-illan ratoksi lähdettiin nautiskelemaan Butter Chickeniä uudempaan Nepaliaiseen. Ulospäin ei niin houkutteleva, mutta palvelu ja ruoka viimeisen päälle. Naan-leipä ja tomaattichutney täydensi maukkaat kanat. Sisätila näytti viihtyisältä Hintatasokin kohtuullinen. Suosittelemme ja tulemme uudestaan. Kiitos taas tripin arvostelijoille, että osattiin tulla kokeilemaan.",Date of visit: August 2018,Koseli,4,"Vantaa, Finland"
Great experience!,"We don´t like crowds so we decided to have a private Sunset Dinner Cruise to celebrate our 6th anniversary. We invited our friends from Cactus Inn to tag along with sponsored price. When Chrystal Yachts booker heard that we are from Finland they organized their Finnish crew member Anniina to host us. Kiitos Anniina! We were her first Finnish customers! The whole crew: Captain Sparrow and Chef Aui were so perfect. Dinner was great, Pina Colada tasty (maybe too tasty) and beer really cold. We also had sparkling wine as a special surprise from the Company. The ""net swimming"" was maybe the funniest!",Date of experience: March 2018,Sunset Dinner Cruise Langkawi,4,"Langkawi, Malaysia"
Not our cup of tea,Wanted to see this top rank restaurant. Beautiful and nice ambience. Friendly service. Our meal was not special and a little bit overpriced.,Date of visit: March 2018,Pia's The Padi,4,"Langkawi, Malaysia"
"Beautiful place, beautiful food, beautiful service","Always when you come to a top rated restaurant, you have so high expectation that it´s a challenge to meet them. Even better than we expected. Kebaya did not have any problem with this. The four course dinner was perfect. Maybe the best food ever. We strongly recommend: don´t miss this unique place. Chris Ong designs his heritage hotels and restaurants with taste and the staff in all three places we visited is highly motivated and professional.",Date of visit: March 2018,Kebaya,4,"Penang Island, Malaysia"
Kaunis perinnehotelli nykyaikaisin mukavuuksin ja loistava palvelu,"Saimme normihuoneen sijaan 2-kerroksisen huoneiston, jossa pieni piha ulkosuihkulla. Yllättävän upea kokemus käydä alasti suihkussa taivaan alla. Kaunis rakennus ja sisustus sekä vertaansa vailla oleva palvelu. Sijainti sopivasti George Townin kupeessa. Aamupala mannermainen paikallisella twistillä. Sanonta: ""Tule vieraana ja lähde ystävänä"" toteutui kyllä täysin. Kertakaikkiaan tyylikäs paikka. Omistaja Chris Ong on toteuttanut useita tällaisia projekteja kotikonnuilleen todella onnistuneesti. Tutustuimme Seven Terraceen, Kebayaan ja Muntri Mewhin myös. Vinkki:tämän hotellin asukkaana voit tilata ravintola Kebayasta myös a la carte -listalta jos et halua koko illallissettiä. Suosittelemme kyllä koko ateriaa. Tämän hotellin ravintola oli lupia vaille valmis, joten hotellin palvelut vaan paranevat.",Date of stay: March 2018,Jawi Peranakan Mansion,4,"Penang Island, Malaysia"
What a pleasant surprice! Very stylish and welcoming.,We just stopped for a happy hour cocktails. We were stunned by the interior and all the details and decorations! Drinks and service were perfect by Farhani and co. And we shared one starter. One of the best meals ever. Decided to come back for a proper dinner.,Date of visit: February 2018,Mélange Restaurant & Bar Langkawi,4,"Langkawi, Malaysia"
Dinner with friends on a Valentine's day,Fine dining in nice surroundings. Reasonable prices and friendly service. Our second time and still perfect. Recommend!,Date of visit: February 2018,fatCUPID,4,"Langkawi, Malaysia"
Afternoon meal,This place has the most impressive and beautiful toalet ever seen! We came here a year ago and and some of them still remembered usFood and service still great. We had burger and pasta for a change.,Date of visit: February 2018,Sun Cafe,4,"Langkawi, Malaysia"
Still going strong,"We came back after 9 months. Nice to notice that Cactus is still very popular. And why not: great service, tasty food and reasonable prices. And the charming ambience.",Date of visit: January 2018,Cactus Restaurant,4,"Langkawi, Malaysia"
Myöhäinen lounas maistui,"Kiva menu, kohtuuhinnat, kodikas palvelu. Merilohta ja lasagnea pääruuaksi ja porkkanainkiväärikeittoa alkupalaksi. Oikein hyvää oli. Voimme suositella!",Date of visit: October 2017,La Pasteria Italiana,4,"Vantaa, Finland"
Cosy family restaurant,"We didn´t get the wow feeling, but still we would come again. Good food, reasonable prices and friendly service.",Date of visit: August 2017,To Perasma Family Restaurant,4,"Kárpathos, Greece"
"Good food, blunt service","Nice surroundings. Good food and reasonable prices, but we did not feel welcome. To us, good service is quit simple: say welcome, here you are, thank you and bye bye. Just wonder why it can be so difficult sometimes?",Date of visit: August 2017,Sea Side,4,"Kárpathos, Greece"
Nice little taverna,Quick and considerate service. One of the best dishes we had: simple plate of cold starters. We recommend.,Date of visit: August 2017,Sofia's Place,4,"Kárpathos, Greece"
Nice taverna in the port,Friendly service and tasty greek food. Relaxed feeling. Good location. Upstairs and downstairs - even the downstairs was nice. Recommend.,Date of visit: August 2017,La Mirage,4,"Kárpathos, Greece"
Just what we expected in a good location,We were satisfied with the apartment and the view. And of course we must say thank´s to the Krisa and her family for great service. The kitchenette was a little bit unpractical to use. Missed a place to slice the bread. The wifi was working so so some times. The bar should have more snacks than just peanuts.Would come again.,Date of stay: August 2017,Socrates Luxurious Studios & Apartments,4,"Kárpathos, Greece"
Great beach restaurant,"Lots of choices on the menu. We loved the bacon, ham, chicken, mayo and chocolade crepes. Big portions and reasonable prices. Service is good and toalets are clean.",Date of visit: August 2017,Sardeles Bbq,4,"Kárpathos, Greece"
Fell in love to sushi and Stacey's,"Booked a table two earlier on the balcony. It was worth it. Nice view and ambience. We came in time but we had to wait a while. Had GTs on the house. We have tasted sushi years ago and now decided to try again. Beautiful and delicious. Desert on a stone with dusted Karpathos image was amazing. The whole family took good care of us with special warmth. If we ever come back to this lovely town, we will visit this restaurant again.",Date of visit: August 2017,Stacey's Yum-me Kitchen,4,"Kárpathos, Greece"
Wedding anniversary dinner in the right restaurant,We booked the table in advance and got a nice table on the balcony. Lovely view to the port. We felt welcome. Service was awesome and food very delicious. Recommend.,Date of visit: August 2017,Grande,4,"Kárpathos, Greece"
We didn' feel welcome,"We didn't get good service and the food was average. Nice oven with fresh bread in front of it. Asked for it because the bread we received was dry. ""Can't cut it, too hot.""",Date of visit: August 2017,Milos Taverna,4,"Cephalonia, Greece"
Not a great price quality ratio,Passed this nice looking little restaurant many times and finally decided to have breakfast here. Surroundings and service was nice but to our opinion poor selection of breakfast and prices too high.,Date of visit: April 2017,Yam Yam Cafe & Restaurant,4,"Langkawi, Malaysia"
Great indian,We stayed in hotel nearby. We noticed that they have a table on the street walk that you can have a dinner and smoke. What a rare luxury in Singapore:) The young indian manager was very kind and service was perfect. We had the butter chicken twice and it was very tasty. Reasonable prices. There was a buffet inside. Seemed popular too.,Date of visit: March 2017,Riverwalk Tandoor,4,"Singapore, Singapore"
"Charming unique ambience, great food and service, low prices. All you need.","After 7 weeks stay and maybe 60 visits to this lovely restaurant, we really love this place. Breakfast every day from 8 AM to 1 PM (lots of choices) and dinner from 4 PM to 11 PM (Wednesdays closed). Lip, Fika, Liu and the whole crew serves you dinner in a relaxed friendly way. Seafood, chicken, beef, spaghetti, Asian, European - your name it, they got it. But don´t expect to find pizza or burgers here. Wines, cointreau, brandy and GT are not on the menu, but they have it. All prices are more than reasonable. Everybody loves this place: you find same faces night after night.",Date of visit: February 2017,Cactus Restaurant,4,"Langkawi, Malaysia"
"Rustic charm, excellent stuff, convenient rooms","This small hotel has a great location near the Tengah (which we prefer to Cenang) beach and many restaurants. The room is basic, but it covers all the needs. AC is working allright and the king size bed in room nr 3 is great. Not to mention great staff: Lip, Liu and Fika and all the rest. It feels like home. Wifi is not perfect but good enough - it´s not easy to find better at this area. Even the construction site (we were kindly informed about it in before hand) doesn`t bother us, but we can imagine what a paradise this must have been before that. The restaurant Cactus crowns the whole thing. We´ve been here fot 3 weeks and we have 2 months to go!",Date of stay: February 2017,Cactus Inn,4,"Langkawi, Malaysia"
Special intimate dinner,We came here to celebrate our birthday by having a tasting menu because we both want to experience many kind of tastes. And we did. Everything was good and the portions were just about the right size. The service was attentive and in the end we got small surprise gifts. We recommend all thought it was a bit far from our hotel in the old town.,Date of visit: November 2016,International Rīga,4,"Riga, Latvia"
OK italian,Nice looking place and quite OK pasta and lasagne. Moderate prices. Berry tiramisu and cheese cake good. Maybe too big. Should have shared. Price quality ratio and service good. The limoncello was not to my taste and I have had those quite many.,Date of visit: November 2016,Il Patio,4,"Riga, Latvia"
Good Indian food,We had chicken tikka Masala. I am used to eat spicy so I ordered one. That was my mistake. My wife's medium would have been spicy enough for me and for her the milder version. Service was good. The lightning could have been more dimmed.,Date of visit: November 2016,Singh's,4,"Riga, Latvia"
Good location,Nice old style interior and clean rooms. Location near the old town restaurants. Easy to access from the airport by bus nr 22. You can here people from the other rooms but we didn'the mind. The breakfast till 11 and that was great and you got the basic elemends of the breakfast allright. With bubbling:) The mattress was a bit too hard and the pillows were too thin. Other wise the room was big and nice.,Date of stay: November 2016,Rixwell Old Riga Palace Hotel,4,"Riga, Latvia"
Nice ambience and great service,"Latvian cider for a drink. Tasty. Dark garlic bread for a starter. Very tasty. Chicken breast and risotto for main. Beautiful portions, but needed more spices. Irish coffee as a dessert. Tasty as usual. Service was very great. Nice and cosy interior.",Date of visit: November 2016,Bar & Restaurant Petergailis,4,"Riga, Latvia"
As great as one could expect,"We spent two weeks in this small village. Luckily and finaly we decided to try this number 1 ranked. We thought that it would be too fine dining for us. Not at all. Food was great, service perfect and atmosphere relaxed. We shared gratinated mussels for a starter. For main course we had two different chicken portions - simple but amazing taste. They have two seatings and the place is not very big so we recommend that you book the table in advance.",Date of visit: August 2016,La Terrasse Restaurant,4,"Thásos, Greece"
Our favorite place at Golden beach,We came to Nisi at the day time and in the evenings. Always great service and lovely food. Our favorite dishes were small mese snacks at the day time. Also the salmon spaghetti was great. Thank´s Christina and the crew.,Date of visit: August 2016,Restaurant NISI Island,4,"Thásos, Greece"
Great pizza,"When you have a pizza day, this is the place. What can you say. Good pizza is always good. Nice service too!",Date of visit: August 2016,Playa De Oro,4,"Thásos, Greece"
Left as friends...,"After a long journey from Hua Hin by taxi and ferry we felt welcome right away. Had some welcoming drinks and chatted with the manager Nick. And Nay was amazing. To us Nay was the key person. He made us feel welcome every day. ""Come as a guest and leave as a friend"". Indeed we did. The villa was as good as we expected. This is a place for families with children. We adult couples maybe need more privacy. That was our mistake. But anyway we enjoyed our stay for 39 nights and had many great lunches and dinners in the resorts restaurant. Chef was great. The last pizza had a text ""Good luck"" written on it and was served with a smile like always. The cleaning was not perfect, but it was done daily, so it was OK. The Fisherman´s village was close enough, 10 minutes walking, but the road was a bit bumpy and in the night time too dark. We would recommend the pool side villa for families or people who don´t mind about children running and screaming round the pool. Best regards to Nick, Nay and the rest of the crew from Kiira and Mikko from Finland.",Date of stay: February 2016,Dreams Villa Resort,4,"Bophut, Thailand"
Private heaven on the beach,The road to Zenzibar was through a jungle (maybe 200 meters from the main road) but it was worth it. Small and cosy restaurant right on the beach. We had prawns and snapper whit pepper and garlic sauce as the main food and bacon/ prawns crepes as starter. Desert also great. Delicious. Sun set gave us a blue moment of a life time. Perfect. After the storm they had fixed the place all right. Check this place and you won´t regret. Than you Yuyth. Regards Kiira and Mikko.,Date of visit: February 2016,ZENZIBAR Beach Bar & Restaurant,4,"Mae Nam, Thailand"
Great food and staff,This place became our living room. Very cosy because of the great staff. Thank you for the great parties! Good thai and european food for reasonable price. Recommend. Kiira and Mikko.,Date of visit: January 2016,Curve Residence Bar & Restaurant,4,"Hua Hin, Thailand"
"Nice little place, good thai and european food","Not so many restaurants in Khao Tao are in Tripadvisor. So it was a natural choice to check this out. And we were not disappointed. Fare prices, good service, good selection and tasty food. And through the english speaking lady we found a nice massage service nearby. Not cheap but great massage and service. The swiss manager picked us up, but that´s another story.",Date of visit: December 2015,Baan Tao Resturant,4,"Khao Tao, Thailand"
Relaxing day,"Perfect surrounding and great service in a cosy house. My wife and I took pedicure, manicure and thai massage with oil. Almost three ours relaxing. A bit pricy but we´ll be back. If you are nearby, you can call them and they pick you up. Well spoken english by the swiss owner/manager Gabi.",Date of experience: December 2015,White Orchid Wellness Center Hua Hin,4,"Hua Hin, Thailand"
Great service and good Indian food,We just meant to have a beer before going to an Italian restaurant nearby. But very sympathetic Shanti made us stay. And we are happy we did. We had a great dinner and good time in this lovely restaurant. We´ll be back for sure.,Date of visit: December 2015,Royal Indian Food,4,"Hua Hin, Thailand"
Unique atmosphere,"We had a nice family Dinner here: great service, tasty food and incredible band plus reasonable prices. And next morning se game for a nice brunch. You must see and feel this place!",Date of visit: October 2015,Anniskelukahvila Tiirikkala,4,"Turku, Finland"
Good welcoming but overall bad experience,We got some dishes we did not order. The curry chicken was tasteless and the bill included the dishes we did not order. Not our cup of tee this time. Don´t recommend.,Date of visit: August 2015,Taverna Vassilis,4,"Naxos, Greece"
Great experience,Luckily there was a girl marketing this 9D movie when we took a tour with the mini train. Special price 5 €/person when you have the train ticket. We took the offer and don´t regret it. 20 minutes of amazing visions and a glimpse to the the Rhodes history. Strongly recommend. Kiira and Mikko.,Date of experience: June 2015,Throne of Helios,4,"Rhodes, Greece"
