reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Best foot massage,"Amazing foot massage by Ozlem! Clean,
professional and proper foot massage! Worth a visit if you transit through IST airport!",Date of experience: November 2019,Ambassador Spa & Beauty Salon,4,"Istanbul, Turkey"
Fantastic trip,"We had an amazing trip with Tina and her father to the south part of the island of Milos. We visited 3-4 different beaches, including Kleftiko. We had an amazing lunch cooked on board with fresh fish that was caught the same day! Tasty fish soup and grilled swordfish together with Greek salad and many drinks that were included in the price we had paid. The best part was that we were a small group of 10 people avoiding a big crowd that makes things a bit difficult on a boat. I would definitely recommend it!",Date of experience: August 2018,Milos Fishing Trip,4,"Milos, Greece"
Fantastic rooms!,"Beautiful modern rooms, very clean, amazing location and great service. The rooms have all the amenities and excellent sea views. The breakfast and room service were also very good. I would definitely go back!",Date of stay: March 2018,Iberostar Selection Playa de Palma,4,"Majorca, Spain"
Great food,"The ambience was great as well as the selection of food. Also great options in the menu and excellent service. We had an amazing dinner, excellent food quality and presentation! The breakfast was also amazing!",Date of visit: January 2018,Radisson Blu,4,"Brazzaville, Republic of the Congo"
Excellent food,Amazing food and great views of the river. The breakfast is also very good with a great selection. Good service!,Date of visit: January 2018,Le Feu des Saveurs,4,"Brazzaville, Republic of the Congo"
Excellent!,"The service, rooms, views, facilities, location, fitness centre, cleanliness, restaurants, employees, spa were all outstanding! Being a flight attendant, I have stayed in hundreds of different hotels around the world. This one was one of the best hotels I have ever stayed in! I would definitely go back!",Date of stay: January 2018,Address Dubai Marina,4,"Dubai, United Arab Emirates"
What an amazing hotel!,"Being a flight attendant I have been to many great hotels all around the world. This hotel has really impressed me with its amazing service, cleanliness, great staff and breathtaking views! I would definitely recommend it!",Date of stay: November 2017,Intercontinental Hotel Osaka,4,"Osaka, Japan"
"Excellent service, food and atmosphere",Beautiful garden to sit and enjoy lunch/dinner. Excellent service! Also great selection of Greek dishes! Complimentary Greek starters and digestive drinks after your meal! Would definitely go back!,Date of visit: June 2017,Apollon Garden Restaurant,4,"Paros, Greece"
"Excellent service, great food and good prices","Friendly staff, excellent service and the food is amazing! Great presentation and quality of the food. We had to make a big order for take away and everything was prepared perfect, very nicely packed. Keep up the good job!",Date of visit: June 2017,Cafesserie Mombasa,4,"Mombasa, Kenya"
"Good location, right at the beach with 2 swimming pools, nice and friendly staff",I loved the location of the hotel. Also the staff was very friendly and willing to assist with everything we needed. It is right at the beach but there are also 2 swimming pools. Visit the Swing bar for nice cocktails with a beautiful sea view while swinging! The only drawback was that the internet was extremely slow.,Date of stay: May 2017,Severin Sea Lodge,4,"Bamburi, Kenya"
Excellent!,"One of the best hotels I have ever stayed! As a flight attendant I have visited hundreds of different hotels and resorts around the world. Dreams Sands Resort & Spa has left me speechless. The friendly staff, the variety of restaurants, the beach, the swimming pools, the rooms' decoration and cleanliness were amazing! All rooms have a private jacussi bathtub in the balcony! The music selection played in all the hotel's surroundings was also great. I would definitely go back!",Date of stay: May 2017,Dreams Sands Cancun Resort & Spa,4,"Cancun, Mexico"
Amazing food and service,"Fresh seafood, pasta, pizza etc in the heart of St Julian's with great sea view!. Excellent service and very good prices! Try the fresh desserts too!",Date of visit: April 2017,Caffe Bocconcino,4,"Island of Malta, Malta"
Excellent!,"Great location, not far from the airport. Friendly staff and great service. The rooms were very clean and comfortable. Excellent breakfast and a great Chinese restaurant on the ground floor. There is also a rooftop bar with amazing views and great sushi. Gym facilities were great too. Sauna, steam room, indoor and outdoor swimming pools available. I would definitely go back.",Date of stay: February 2017,"Radisson Blu Hotel, Kuwait",4,"Salwa, Kuwait"
Great place!,"Beautiful little restaurant in the heart of the city, excellent food and great service. You can create your own salad/sandwich or make a nice platter of cheese and meat! All staff were very friendly especially Mr. Guy who served us! I would definitely go back!",Date of visit: October 2016,1777 Kaffee Restaurant Bar,4,"Basel, Switzerland"
Great spa,"What a relaxing day, switching from baths to steam rooms, saunas and relaxing rooms! Great facilities! It gets busy on weekends so try to go on during the week.",Date of experience: October 2016,Wellness-Welt sole uno,4,"Rheinfelden, Switzerland"
Excellent park!,"Amazing green views, many different spots to sit and enjoy a hot day, go for a pic-nic, run, go cycling, walk your pet, take a ride in the lake, attend a concert, relax, play, have fun, get some tan, read a book, exercise and much more!",Date of experience: September 2016,Central Park,4,"New York City, New York"
Amazing selection of plays,Such a big selection of different plays and musicals to watch! Must visit more than one of the theaters!,Date of experience: September 2016,Broadway,4,"New York City, New York"
Excellent food,"Great food, good service, very reasonable prices and amazing spot at meat packing district! Many options around for a drink afterwards!",Date of visit: September 2016,The Standard Grill,4,"New York City, New York"
Amazing food!,"Excellent quality of food, very good service and good location, at times square. Reasonable prices too!",Date of visit: September 2016,IL CORSO,4,"New York City, New York"
Nice location,Nice views of NYC and very close to Times Square. Go for a drink or a bite if you re around. Good service too!,Date of visit: September 2016,Haven Rooftop,4,"New York City, New York"
Amazing views,Amazing views of NYC. Do not miss the sunset!!! Prices were not so reasonable. Staff was not very friendly...,Date of visit: September 2016,plunge Rooftop Bar & Lounge at Hotel Gansevoort,4,"New York City, New York"
Great hotel,"Nice location, close to the airport and not too far from the city. Bus number 10 stops right in front of the hotel and can take you downtown in 15-20 minutes. The rooms are not very spacious but are clean and modern.",Date of stay: September 2016,Crowne Plaza Geneva,4,"Cointrin, Switzerland"
"Great service, amazing views",Amazing views of the city. Great staff and very good service. Sitting outside is recommended when the weather allows it.,Date of visit: September 2016,Rooftop 42,4,"Geneva, Switzerland"
Great location and service,"Excellent location, right at Times Square. Great service and staff. Some rooms are spacious (the ones with 2 beds). Excellent gym with many daily classes that are free of charge for the guests. Rooms facing the times square can be a bit noisy.",Date of stay: September 2016,Crowne Plaza Times Square Manhattan,4,"New York City, New York"
Excellent room and service,"Very comfortable, big rooms with a nice view. Great location, opposite Pavillion shopping centre. Excellent service, nice staff, great food at the restaurants. Nice breakfast with many different cuisines.",Date of stay: August 2016,The Westin Kuala Lumpur,4,"Kuala Lumpur, Malaysia"
Excellent food,Excellent food by Chef Suhalmi and his team. Different cuisines to try from. Extended breakfast hours during the weekends.,Date of visit: August 2016,The Living Room,4,"Kuala Lumpur, Malaysia"
Amazing views,Amazing panoramic views of Kuala Lumpur and its landmarks Petronas Towers and Menara Tower. They could have selected better furniture to accommodate customers.,Date of experience: August 2016,Heli Lounge Bar,4,"Kuala Lumpur, Malaysia"
Great selections of whiskeys,"There is a huge selection of whiskeys to choose from. Also, the food is great. I would definitely go back!",Date of visit: August 2016,The Whisky Bar,4,"Kuala Lumpur, Malaysia"
Excellent!,"Great hotel, spacious rooms, excellent staff and top quality food! Also, the location was great, downtown Vancouver near all the shops as well as the waterfront. The rooms were very clean with a nice view of the city.",Date of stay: July 2016,Vancouver Marriott Pinnacle Downtown Hotel,4,"Vancouver, Canada"
"Amazing food, music, service and atmosphere","Excellent service, very nice atmosphere and the food was fantastic! Great decoration with attention to detail, friendly and smiley staff and a beautiful outdoor sitting area! Would definitely go back!",Date of visit: April 2016,Wine Cafe & Shop,4,"Almaty, Kazakhstan"
Amazing Korean BBQ,"The food was very tasty, the staff cooks it and cuts it for you ready to be served, nice ambience and friendly staff!",Date of visit: April 2016,Gogi,4,"London, United Kingdom"
Excellent wine selection,Great selection of local wines! Good food and excellent service! Nice views of the Danube river. Would definitely go back...,Date of visit: February 2016,Andante WineBar,4,"Budapest, Hungary"
Excellent!,The room was very comfortable and clean with a fantastic view! Friendly staff and beautiful pool area. The hotel is very close to the town where all restaurants and shops are located. Will definitely go back!,Date of stay: July 2015,Elafonisos Mare,4,"Elafonisos, Greece"
Personal items stolen,I had 2 bottles of very expensive champagne stolen from my fridge and they were never returned. Unacceptable and unprofessional behaviour from the manager. I filed a police report and I never received any answer neither from the police nor from the hotel's representatives.,Date of stay: November 2014,Radisson Blu Resort Fiji Denarau Island,4,"Viti Levu, Fiji"
