reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great night,"Great service from Dan C and Karen - thanks for the great service! Friendly service, great tapas, warm log fire on a cold Barrow night - what's not to like? Ok Trip advisor, getting a bit bored of the 200 character requirement, I've said all I need to.",Date of stay: January 2020,The Duke of Edinburgh Hotel,1,"Barrow-in-Furness, United Kingdom"
Another great day!,"Our second trip with Efi and Dimitrios and this time was every bit as good as the first; starting with coffee and savouries then help pull in the nets and remove the fish. Off for a swim at one of the beautiful local beaches whilst Efi and Dimitrios clean the fish and prepare lunch.
Lunch is a selection of the catch, grilled and served with local grown salad and potatoes. After lunch a change of bay and more swimming, a light dessert of fruit then on to another bay for another swim before heading for home.
Efi and Dimitrios are the perfect hosts making you feel welcome and ensuring that you want for nothing.
Can't recommend highly enough, can't wait to see you next year!",Date of experience: August 2018,Fishing Tourism Kefalonia Dimitrios-Efthimia,1,"Cephalonia, Greece"
"Great beer, great location","We were just in Middelkerke for one night and were looking for somewhere to have a beer before bed. Stumbled across this bar and what a great find it was! G it gets selection of beer, great atmosphere and a great evening. We stayed for more than just one beer!",Date of visit: March 2018,Den Toogoloog,1,"Middelkerke, Belgium"
"Great location, good hotel","Good hotel, quiet, comfortable beds, hot powerful shower, good continental breakfast. We arrived late but the hotel and room key were left in the key safe outside the hotel.
Hotel is located 2 minutes walk from the promenade and 5 minutes from the town centre where we found a great bar (Den Toogoloog) for a few well earned beers after the long drive.
Friendly hosts and great value for money, recommended.",Date of stay: March 2018,Hotel Honfleur,1,"Middelkerke, Belgium"
"Lovely food, great service","We tried the Katelios grill as a change from the waterfront tavernas and what a great decision it was. Great service, and the spit roast pork was delicious. We'll be back next year.",Date of visit: September 2016,Katelios Grill House,1,"Cephalonia, Greece"
"Friendly, good food","This restaurant was close to our apartment so we decided to give it a go. It has a pleasant atmosphere with the eating area being on a covered terrace outside the building, surrounded by plants and greenery shielding it from the road.
Service was prompt and very friendly, food was very good.
Just loses one star for portion control! Not enough pitta bread served with the dips and when we asked for more bread we were asked 'how many portions'! Never been asked that question in Greece before.",Date of visit: September 2016,Jerry's Elliniko,1,"Cephalonia, Greece"
"Didn't bother, wont be back","Walking past this restaurant we stopped to look at the fish cooler and menu. The manageress, as is traditional, explained what the fish were and what the specials were. We decided to walk on and thanked her for her time - the dirty, disdainful look she gave us was comical! The previous restaurant where we did the same, the waiter smiled and thanked is for looking. Thanks Captain Jerry's, we won't be back.",Date of visit: September 2016,Captain Jerry's,1,"Cephalonia, Greece"
Our favourite,"Visited the Lighthouse Restaurant many times on both of our stays in Katelios and it never fails to please. Friendly service from the family, good value and good choice. A free liqueur for us and a fruit cocktail for for the kids with the bill and even a complimentary bottle of fizz on our last night. Watching the geckos in the rafters chasing moths with the moon rising over the sea with great food and service makes for very special holiday memories; we'll be back!",Date of visit: September 2016,Lighthouse Taverna,1,"Cephalonia, Greece"
Great food,"Excellent resting point after a long walk. Great menu but go for the large milk shakes, small ones are tiny..
The toasted brie and cranberry panini was the best ever!",Date of experience: May 2015,The Old Station Tintern,1,"Tintern, United Kingdom"
A firm favourite,"I have eaten at the Jay Raj on 4 occasions with friends and on business; each time was a pleasure.
Service is discreet but attentive and swift. The staff are polite and courteous and on each visit the other customers have been good humoured and not too noisy making the Jay Raj a 'safe' place to take business colleagues in the evening.
Each time that we have visited when there have been a number of us, rather than ordering from the menu, we have requested a mix of starters and mains which always delivers surprises with dishes that one may not have otherwise chosen.
Dishes are good value for money - no unpleasant shock when the bill arrives!
Recommended; I am sure I will be back on my next visit to Luton.",Date of visit: May 2015,Jay Raj Indian Cuisine,1,"Luton, United Kingdom"
