reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
It's a MUST HAVE in Skiathos!,"If you're searching for a dedicated fishing trip in a complete relaxed atmosphere, this is the solution!
Snorkeling in amazing beaches and perfectly cooked and prepared food complete the overall experience.
As I said, it's a MUST HAVE!",Date of experience: September 2019,SFT Skiathos Fishing Trips,1,"Skiathos, Greece"
"Potenzialità altissime, gestione pessima","LOCATION
Una meraviglia, immersa nel verde!
Il camping di per sè era relativamente ben tenuto ma poco curato nella pulizia dei bagni pubblici.

VILLAGGIO
Abbiamo soggiornato in un bungalow che definire ""scadente"" è riduttivo:
- non c'era la cappa della cucina
- i mobili cadevano a pezzi (letteralmente)
- doccia rovinata che allagava tutto il bagno
- frigo con porta rotta
In aggiunta, il camping era decisamente vuoto e nessuno ci ha proposto un cambio di sistemazione.
L'intervento del manutentore, quando richiesto, è stato veloce ma sarebbero servite azioni radicali invece di fix puntuali (non a carico suo, ovviamente).
La scelta strategica green di utilizzare gli impianti solari per riscaldare l'acqua può rivelarsi vincente solo se supportata da un secondo impianto in grado di fornire acqua calda nelle giornate di pioggia. Con un bambino piccolo, fare la doccia fredda dopo 2 giorni di maltempo, non è stata una gran cosa.
Bungalow natura distanti parecchi metri dai parcheggi, con nessuna disponibilità di aiuti (carrelli o altro) per il trasporto della valigia, etc., anche dopo richieste esplicite.

RISTORANTE
Qualità buona ma prezzi decisamente alti. La particolarità notata è stato l'aumento della tariffa della pizza da asporto di 50 cent per il cartone (dichiarata come voce a parte sullo scontrino). Non propriamente un'idea di marketing vincente, ecco.",Date of stay: September 2018,Torre Del Porticciolo,1,"Sardinia, Italy"
Cucina casereccia di ottima qualità!,"La ricerca di una cucina di tipo casereccio, senza pretese e legata al territorio non può che portarvi qui da Bruno! Piatti di terra e mare preparati senza fronzoli ma con la solidità di chi vuole raccontarvi la storia del territorio attraverso un piatto!
Molto consigliate la grigliata e la salsa di accompagnamento!",Date of visit: September 2018,Ristorante da Bruno,1,"Sardinia, Italy"
Meraviglioso!,"La piazza accoglie questo Bar-Tavola Calda, restituendo al visitatore una esperienza unica per gli occhi ed il palato. Ovunque ci si trovi in Liguria..questo è un posto in cui fermarsi a mangiare! Molto consigliato!",Date of visit: June 2018,Sciuscia e Sciurbi,1,"Toirano, Italy"
"Come a casa, con qualche benefit in più!","Abbiamo soggiornato nella struttura del signor Melchiorre e di sua moglie con la famiglia ed i nonni e siamo stati divinamente.
La struttura, tipica casa di campagna, ti accoglie e ti fa sentire come a casa. Era tutto a nostra disposizione, comprese una cordialità ed una convivialità fuori dal comune e davvero molto apprezzate.
E' il luogo ideale dove svagarsi e rilassarsi pur essendo coccolati in ogni modo.
Ci ritorneremo!",Date of stay: August 2017,B&B Roberta,1,"Cellarengo, Italy"
Cucina piemontese di solida tradizione,"Ciò che colpisce maggiormente è l'alta qualità della cucina, pur restando fedele alla forte tradizione piemontese del territorio.
Piatti non esageratamente articolati (per fortuna!) ma di indubbio perfetto abbinamento. Nota piacevole: il servizio, veloce ed impeccabile, merito, senza dubbio, di una ottima organizzazione in cucina. Consigliato il Barbera.
Suggerimento: lasciatevi consigliare dal signor Melchiorre! Ama il suo lavoro, saprà guidarvi al meglio!",Date of visit: August 2017,Osteria Al Numero 1,1,"Cellarengo, Italy"
Meravigliosa pausa pranzo,"Ci siamo fermati, quasi per caso, come tappa pranzo durante il nostro viaggio vacanze in Toscana.
Fantastica accoglienza da parte di tutto lo staff, cortesia e professionalità nei confronti nostri e del piccolo Giulio di 11 mesi.
Cibo succulento e specialità da provare, dai primi ai dolci.
Ci torneremo!",Date of visit: June 2017,Insieme,1,"Ovada, Italy"
Semplicemente UNICO,"Non solo la qualità del vino proposto in degustazione ma la cordialità e la preparazione del personale fanno della visita alla cantina una tappa quasi obbligatoria del passaggio a Barolo.
Perdere tale opportunità sarebbe come evitare di andare a vedere il Colosseo una volta giunti a Roma..",Date of experience: March 2016,Cantina Giacomo Borgogno e Figli,1,"Barolo, Italy"
Pessimo!,"Abbiamo aspettato l'ordine della pizza a domicilio per più di un'ora!! Quando abbiamo chiamato per chiedere spiegazioni ci hanno quasi insultato trovando giustificazioni banali e chiosando con un laconico ""Purtroppo non dovevamo prendere l'ordine"".
Sarebbe bastato uno ""scusateci"" ed una farinata omaggio..",Date of visit: December 2015,La Rustica,1,"Castiglione Torinese, Italy"
Fantastico! TI fa venire voglia di...,"...TORNARCI per cercare di uscire! :)
Consigliatissimo..! Ora la sfida è aperta...DEVO uscire da quella stanza!! :)",Date of experience: August 2015,Escape Room Intrappola.TO - Milano,1,"Milan, Italy"
