reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Delightful meal and great atmosphere,We ate here last night. Delightful meal. We had suckling pig and Greek salad. Very pleasant atmosphere. Would definitely recommend this place:),Date of visit: July 2019,Taka Taka,4,"Paxos, Greece"
Hidden Gem of a restaurant at Moggonisi Beach,We dined here whilst making an unscheduled overnight stay at Mongonissi Beach. What an absolute gem of a place. Fairly unassuming from the outside but the food and service was out of this world. I asked what the recommended dish was and went for tuna. My sons had octopus but different dishes. Husband had pizza. All dishes were exemplary and I have continued to rave about them all week! Luckily for us there may be the opportunity to return next week with friends and if so we will definitely repeat the experience! Can not recommend this place highly enough!,Date of visit: July 2019,Carnayo Gold Lounge Cafè,4,"Paxos, Greece"
Kinney Lake Walk a must!,"We did the walk to Kinney Lake which is in an easy trail next to the river. Along the trail are glimpses of spectacular Mount Robson. We had the Lake virtually to ourselves, and it was absolutely stunning. A definite recommendation if you are visiting the Provincial Park. There are other walks on the area, details can be obtained at the Visitor Centre.",Date of experience: October 2018,Mount Robson Provincial Park and Protected Area,4,"British Columbia, Canada"
Beach Day/ Cocktails,Pleasant ( uncrowded) beach with easy and plentiful parking. An array of cocktail bars and restaurants along the promenade and Lorraine’s set above and back a bit from the beach. We didn’t eat here but know people who have. Sunloungers available or plenty of room to pitch your own parasol. Predominantly sand with some shingle. Worth a visit if you are in the area or just wanting to explore.,Date of experience: June 2018,Lourdas (Lourdata) Beach,4,"Cephalonia, Greece"
Low key meal for two,Popped in here for a mellow meal out. Lovely sea view and easy access. Very reasonably priced meal and friendly staff. I had the mousaka and a Greek salad. Husband had the Kefalonia meat pie.,Date of visit: July 2018,Casa de Blue Restaurant,4,"Cephalonia, Greece"
5*Only way to describe this trip,"Stunning day out with the lovely Efi and Dimitri. Meet the boat at beautiful Kateleios harbour at 8am. Welcome aboard by charming hosts Efi and Dimitri. Motor out to bring in the nets and help as much or as little as you wish to untangle the catch of the day. Swim and Zumba the at your leisure whilst Efi and Dimitri prepare sumptuous lunch on board. Beer and wine and soft drinks are all included also try the Grappa! Another swim or a snooze before heading home, back to the harbour by 3pm. Tips for the trip: wear non slip boat shoes whilst on board. Take sunscreen although there is shade on the boat. If you are prone to seasickness take a Stugeron tablet an hour or so before the trip. The boat can be a bit rocky whilst the nets are being hauled in. Can not recommend this trip highly enough. Without a doubt it was the best day of our holiday. Efi and Dimitri make you feel more like family than tourists!!! A must do whilst in kefalonia !!!",Date of experience: July 2018,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
Impromptu lunch,"Called in here whilst exploring by car. Admittedly we were attracted by the stunning beach. We relaxed on cushions whilst waiting for our lunch. Service was friendly and prompt although we had hit a quiet period and were virtually the only people there. The beach was stunning, and the views surreal. It was the perfect chill out opportunity and I would definitely recommend this place.",Date of experience: January 2018,Rum Bus Beach,4,Antigua
Beach ride and swim with lovely horses,"I opted for the two and a half hour ride as I was keen to ride to Rendezvous Bay. Kent was my charming and entertaining escort and I rode the lovely Joy. We rode along a track through lush vegetation and with stunning views to Rendezvous Bay where we cantered the horses along the beach before untacking and taking them into the sea for a swim. I haven’t ridden bareback for years so this was a fantastic experience and Joy was wonderfully obliging and comfortable too!
I would definitely recommend this ride if you are an experienced rider. Wear swim wear under your riding clothes, long trousers a must to prevent pinching from the tack, and I wore trainers. A towel is also recommended. Hats are supplied and also a very welcome drink at the beach. Kent and Susie were excellent hosts and the horses are well cared for. Thanks too Kent for enabling my husband to accompany us on your bike!",Date of experience: January 2018,Springhill Riding Club,4,Antigua
Live Music and Excellent service,"Visited here for live music and dinner with friends on Thursday night. Superb location overlooking Half Moon Bay. Excellent service and we were even collected from our residence and taxied back at the end of the evening. Superb atmosphere and food: we had lobster and Mahi Mahi. Delicious. Friendly staff, especially the lovely Peaches...can not recommend this place highly enough.",Date of visit: February 2018,Beach Bum Bar and Grill,4,Antigua
Little piece of paradise,"Visit this island either by private charter, or various tours stop here for snorkelling/lunch. You can visit by Boat from Nonsuch Bay which is free for hotel guests or 15USD for non residents. Good and safe snorkelling, take sunscreen, water and an underwater camera. Various pristine white sandy beaches and colours are out of this world. Water is clear and calm and protected by the reef.",Date of experience: February 2018,Green Island,4,Antigua
Excellent Kite Surfing school,Husband had completed basic kite surfing course in UK and was wanting to progress further in warmer waters. He booked two sessions 2 1/2 hours each with an instructor and progressed massively in these sessions. Excellent one on one instruction from boat in safe waters with good breeze. Friendly accommodating staff. Perfect environment in which to develop your skills. Highly recommended.,Date of experience: February 2018,"40knots - kiteboarding, wing surfing school",4,Antigua
Enjoyable Experience,"Friendly welcoming staff and locals, great service, and delicious dinner on Saturday night, do not be put off by the decor. This place is under new ownership ( June 2015) and is a gem in the making. We were so impressed we came back to enjoy a delicious Sunday roast, choice of lamb, chicken, beef or pork, all generous well presented portions, and really tasty! Lovely sea views, as this place is practically on the beach! We were glad to be inside due to inclement weather, but will be back to visit in the summer. Cannot comment on the accommodation, but if the food and service is anything to go by I would say this is a safe bet. One room has a balcony overlooking the sea. Looking forward to revisiting and to see how this place develops! Oh and dog friendly too:)",Date of stay: February 2016,Coombe Barton Inn,4,"Crackington Haven, United Kingdom"
Beachside coffee stop,Beachside cafe serving snacks and lunches. Delicious latte and friendly service. A welcome escape from the elements!,Date of visit: February 2016,Haven Cafe,4,"Crackington Haven, United Kingdom"
