reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fantastic lunch here today.,"Fantastic lunch here today. The food was delicious, the service was perfect and ambience just right. It was quiet when we arrived at about 12.45pm but soon picked up. The one waitress, Sharon, was brilliant and never missed a beat.
We’ve always loved the food here and this time was no different. We’ll be back.",Date of visit: October 2020,Red Dog Saloon,4,"London, United Kingdom"
Lovely meal and great staff,"My husband and I had a very nice spontaneous meal here last night. The service was fantastic, the food was very good and the atmosphere was nice. Very impressed and would happily go back.",Date of visit: October 2020,Curry Lounge,4,"New Romney, United Kingdom"
Disappointing,"It didn’t start well the waitress told us that most of the ales had run out. But we ordered our drinks, which duly arrived, and then we were forgotten. After eventually making eye contact with a waitress a couple of times, she came to take our order. (The next table also had to find a waitress to take their order) My prawn cocktail (which was nearly £8!) was mediocre to say the least. The sauce tasted like it was out of a bottle and more like a thousand island dressing than a Rose Marie sauce. But I let it go. I had ordered a Southern Fried Chicken burger for main but what turned up was three bland chicken gougons which would have more suited to a child’s menu in a bun with some tomato and lettuce. By no stretch of the imagination was this Southern Fried Chicken. It wouldn’t have been a good burger if it had been described as a three chicken gougon burger. It’s was tasteless. The slaw was a pot the size a sauce is poured into. The chips were lovely. But overall a very disappointing meal. When the waitress asked how it was, I told her about the chicken. She was absolutely lovely and let the chef know. The chef on duty’s response was, “this is what we’re serving”. It may be so but it’s still not SOUTHERN FRIED CHICKEN. She gave us £3 off the bill which was all she was able to do which was kind of her. We paid and left. Will definitely not be returning.",Date of visit: October 2020,The Ship Hotel Restaurant,4,"New Romney, United Kingdom"
Doesn’t get any better than this!,"We’ve always been fans of the Olive Lounge as we stay in Lourdas where the original restaurant was located. We were a bit devastated when it moved up to the castle but we’ve managed to make two visits to the restaurant this holiday and it’s even better than before.
Liana runs a tight ship, running around ensuring everything is just right and everyone is taken care of. And her hard work ethic is clearly reflected in her staff. We were pleased to see some familiar faces amongst the waiting staff. They are all excellent - a cut above the rest - Service is impeccable.
The food is the best we’ve experienced anywhere in the island and the portion sizes are just right. My husband had the sea bream last week and the moussaka last night, and I had the surf and turf and the burger on respective evenings, and we shared a calamari starter. All was delicious. The restaurant was full both evenings we went and there was a lovely buzz of happy eaters.
Even though we can’t get to eat there quite as often now it has moved, the new location is just wonderful with the most stunning views. Watching the sunset from there is simply awesome. And we’ve come to realise that Liana deserves to be in a castle. Long may she reign! We’ll be back for sure.",Date of visit: August 2020,The Olive Lounge,4,"Cephalonia, Greece"
Fantastic day out with the best food!,"Absolutely fabulous day out with Michalis Fishing. Antonia greeted us with Greek coffee and the most fabulous cake which her daughter had made. Once the other two families had joined us we set sail for where Captain Michalis had set the nets the previous day. We watched as the nets were reeled in and the catch was removed from the nets, and then we stopped in a lovely bay for a swim. Whilst we relaxed in the water Antonia made the most delicious bruschetta with all fresh ingredients - so tasty. Then we set sail for an alternative spot for another swim stop whilst lunch was prepared. I can’t describe how fantastic the food was. A good fish restaurant in London would have charged a small fortune for half of what we ate. Absolutely beautiful. The wine and water flowed all day too. After lunch and another few swims and relaxing on the boat in the sun we set off back to the marina.
It was the perfect day. The hosts were so friendly and it was really interesting watching the nets being brought up and emptied. And then the catch being turned into our lunch! But even if you don’t have the remotest interest in fishing you will still have a great day out on the water with lovely people. We would thoroughly recommend it. If you’re concerned about Covid-19 this year I can assure you they very much look after you - The boat is bigger than I expected but they don’t take out too many people so social distancing is not a problem. With temperature checks etc on arrival they clearly take every precaution to make sure everything is safe for their guests.
We absolutely loved it and will definitely book when we’re next in Kefalonia. Thank you to everyone on board for making our day so special.
Kat and Jonathan. X",Date of experience: August 2020,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Always a warm welcome and,"Always a warm welcome and an ice cold beer, perfectly served. Best views in town and a relaxed vibe. So happy to be back in our favourite Kefalonia bar.",Date of visit: August 2020,Bar 360,4,"Cephalonia, Greece"
Fabulous- don’t miss this place,"We are staying almost next door to this restaurant. It had been recommended to us a few times this week so we finally went last night. Wow, even better than we expected. Fantastic food, lovely staff and stunning views. The prices are also very reasonable.
Lourdas lost Olive Lounge to the Castle area a couple of years ago and we really felt the village was in need of a restaurant to offer the similar experience, and I think this is it. Thank goodness we tried it early enough in our holiday that we’ll be able to return at least once more. A wonderful addition to Lourdas!",Date of visit: August 2020,Chefalonia,4,"Cephalonia, Greece"
Fabulous food and lovely staff,"We had a spontaneous meal here last Saturday evening. We hadn’t booked and it was extremely busy so we didn’t think we’d get a table but they managed to seat us. It was first time I’d been there, my husband had been previously with friends, and I was very impressed. The menu is quite extensive and has some different options from other Indian restaurants I’ve been to. The food was absolutely delicious (I had a chilli chicken korai, pilau rice and saag paneer). I couldn’t fault it. The saag paneer was the tastiest I can remember having anywhere. The service was a little slow but not enough to bother us and for which the manager (?) apologised, unprompted, when we paid our bill.
Having previously been loyal customers of Ruchi until we had a couple of just average meals on the trot and were then charged twice for a meal (and they would not knowledge) we were looking for a new Indian to frequent and I think we’ve found it! Highly recommended.",Date of visit: November 2019,The Raj,4,"Billericay, United Kingdom"
Fab food and top staff,"We've been to Gallachers a few times over the last couple of years, nost recently last Saturday, and we always have a great time. We are always warmly welcomed by owner, Adrian, and so well looked after by his wonderful FOH team. The food is delicious and huge, and being a smallish restaurant it has very homely feel. They have a very good selection of beer and some more interesting non-alcoholic drinks. Highly recommended. So much so, infact, that we've booked in again for next Friday!",Date of visit: September 2019,Gallacher's Smokehouse Bar and Grill,4,"Leigh-on Sea, United Kingdom"
Fabulous day out,"I’ll admit I’m a bit of a waterbaby anyway but this is a great way to spend a day! Sailing around the beautiful south of Thassos we had 3 swim stops, no spoilers, but all in beautiful locations. We were treated to a breakfast of fresh bread and jams, a delicious lunch of shrimp with pasta and a dessert (I don’t know what it was but it was lovely!) Nikos even picked us up and dropped us back at our hotel in Potos. What a glorious way to spend a day, very tranquil and relaxing. We were also very lucky in that the other two couples were so lovely. Great day out. Highly recommended. Thanks Nikos!",Date of experience: July 2019,Aeolus Yachting,4,"Thásos, Greece"
