reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Farewell Dinner,"We had our last night dinner in Fiji at this stunning location and were certainly not disappointed. Our welcome on arrival was warm and sincere and we were shown to our superbly located table with a smile and a song! The food that followed was excellently prepared and well presented and attention to our table was tremendous.Before we left we were serenaded by a choir of all the staff who sang in harmony and cemented a perfect evening in a stunning setting. Highly recommended for that special,special occasion.",Date of visit: February 2020,Wicked Walu Seafood Restaurant,4,"Viti Levu, Fiji"
Sojourn in Paradise,"We recently stayed in this fabulous resort on the beautiful island of Fiji. I can not over state the qualities of this resort and location, everything from our first arrival to departure was handled professionally,with care and consideration.
The position of the resort on the Coral coast is idyllic and this immediately provided for a sense of relaxation and well being. The staff were welcoming,kind and courteous and carried out their duties to the highest standard.
The buffet breakfast provided was a particular highlight and it is difficult to imagine what they might offer that is not included in the range of choices available.
As much as I could continue to praise this extraordinary business in all it's facets I must pay particular attention to the staff who really went the extra mile to ensure our stay was enjoyed to the full. Their smiling faces and happy manner were a tonic and greatly appreciated by my wife and I and,I imagine, all other guests.
I wish all at the Warwick continued success and good luck with all you do and would definitely see you sooner than later if we were closer, however I sincerely hope I get the opportunity of visiting your wonderful facility again and indeed the amazing island of Fiji.",Date of stay: February 2020,Warwick Fiji,4,"Viti Levu, Fiji"
Padd's Day 2019,"Arrived as a group of 23 on our return journey to Rosslare ferry. We had been unable to provide advance notice for Sarah and her staff but we were accommodated with no problem at all and our food was delivered promptly & courteously.
Cannot recommend highly enough for welcome,service and quality of food.
Well done The Bailey - see you on our next visit !!",Date of visit: March 2019,The Bailey Cafe Bar,4,"Enniscorthy, Ireland"
"Six Nations 2019 - Written by Martin Holland, Wales.","Fabulous venue in central Rome for watching rugby - we had a very warm welcome from our hosts on our several visits during our weekend stay for the Italy v Wales match on 09/02/19.
Food was good,space and seating was plentiful and attention to our table was great with nothing being too much trouble for the tirelessly hardworking Flavia who really is an asset to the business.
Thank you for enhancing our stay in Rome and good luck for the future of your business at this super rugby themed venue.",Date of visit: February 2019,Pub Uno Due,4,"Rome, Italy"
Pirates at Sea,"Fab day’s fishing with the pirate crew & Captain Dimitri. Good music,great food plenty of beer and a basketful of fish to bring home. Cracking time thoroughly recommend!!
Thank you Dimitri.",Date of experience: September 2018,SFT Skiathos Fishing Trips,4,"Skiathos, Greece"
Pasta Perfecto!,"Superb authentic Italian in great location. I chose the ""Ragu di salsiccia con Pappardelle al Chianti Classico del Borgo Scopeto"" which was listed as Chef's speciality and it lived up to it's name, possibly one of the finest pasta dishes I have had the pleasure to sample.
Wine list good also, tiny restaurant but well worth the visit with personable and attentive staff. Highly recommended.",Date of visit: April 2018,IL VICOLETTO,4,"Dublin, Ireland"
"Comfortable,clean,convenient - Trinity !","Trinity City is superbly located for discovering central Dublin and especially for wandering through the Temple Bar area.The hotel is well appointed and maintained with all amenities of a good standard hotel provided.Staff were professional,friendly and helpful in particular Philip D the concierge for whom nothing seemed too much of a problem.
The hotel has a very attractive bar and inviting outside terrace with chairs and tables together with plenty of comfortable seating in the reception and ground floor spaces surrounding an unusual,enclosed, yet open topped quadrangle which enhanced the overall relaxed feel.
Breakfast was one of the few detractions and probably overpriced for that which it delivered however a minor criticism in the context of an overall very pleasant experience and stay at Trinity City Hotel. Definitely recommended.",Date of stay: April 2018,Trinity City Hotel,4,"Dublin, Ireland"
Great Service,"Bought the 48 hour pass on line which proved to be great value for money.Buses were plentiful, in good condition and punctual.Interesting also to experience the differing approach of each individual driver, overall good but Andy on the first bus Sun 22/04 was especially entertaining.Thoroughly recommended to help get a good feel for the city.",Date of experience: April 2018,Dublin Freedom Pass: Unlimited Transport and Hop-On Hop-Off Sightseeing,4,"Dublin, Ireland"
Short stay May 2017,"Premier Inn Leek is very conveniently situated and is finished to a high level providing for most comfortable accommodation.
We were particularly impressed by the staff, their welcome and attention to detail was noteworthy.",Date of stay: May 2017,Premier Inn Leek Town Centre hotel,4,"Leek, United Kingdom"
Elounda's finest,"This restaurant has it all - fabulous location,superbly comprehensive menu,great wine list and knowledgeable friendly staff. If you're not satisfied here you need to ask yourself some questions.Absolutely fabulous, a must visit.
Well done & good luck Olondi",Date of visit: September 2016,Olondi Restaurant,4,"Crete, Greece"
