reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Amazing breath taking,"This is a must see...breath taking show. Put together fabulously. The show starts with s light show with water and then goes onto a laser show. The music is great also.

We only had drinks but the food served to other tables looked really good.

Sat in the middle we were able to see with no restrictions.

Photos don’t do this display justice.",Date of experience: August 2019,Magic Dancing Water Ticket Only - (from Protaras & Ayia Napa),4,"Protaras, Cyprus"
Fabulous boat trip,"Great crew, friendly welcome. Very informative information regarding the coast line.

Fab experience for all ages, a number of swim stops in the most beautiful clear waters.

Lunch can be bought on board which was a nice freshly made Sandwich and cold drinks.

Great value for money would highly recommend.",Date of experience: August 2019,Yellow Boat Cruises,4,"Protaras, Cyprus"
Very clean hotel and friendly staff,"We had a great all inclusive holiday. We were welcomed early hours of the morning with a packed lunch and were checked in very fast.

Rooms are very clean as is the rest of the hotel, rooms cleaned daily.

Food was always nice something for everyone, and well signed to what the dishes are. Very quick drinks service from the friendly staff.

Entertainment is ok probably catered more towards the younger guests.

Pool is big and for how busy it was didn’t feel over crowded.

Alcohol is local but was fine.

Hotel could do with some updating but then prices would increase.

Good value for money. Very close to 2 minute walk to bars and restaurants and 5 minutes to beach. Great location.",Date of stay: August 2019,Antigoni Hotel,4,"Protaras, Cyprus"
Tasty beautiful food,"I love this restaurant where do I start.., greeted by a friendly waiter who took us to our table.

The view across the beach is breathtaking and really worth the walk from Skala.

Our meals were beautiful with the produce either locally sourced or from there own land, which is an amazing unique touch and food is very fresh. We had the house wine which was lovely and reasonably priced.

A lovely gesture of the owner coming to shake our hands and a gift of hone grown grapes to take away with us was such a lovely gesture.

I will be returning when I next visit the island.",Date of visit: September 2019,Old Times,4,"Cephalonia, Greece"
Amazing experience A*,"If you are looking for a boat trip with a difference look no further. This is an amazing experience for all ages. It’s a great experience to learn how to haul fishing nets in and about the array of fish caught. The day started with the most amazing cookies and coffee and a very friendly welcome. Then it’s time to haul the nets, once all of the nets are in you stop of for a swim stop. while the fish are being cooked for lunch, which was amazing so tasty and the home brewed wine went down a treat. Information about the different spots/places on the way which is a really nice touch.

I really can’t rate this trip highly enough and if your wanting something different to the normal boat trips this is definitely for you.

We received a lovely welcome and they couldn’t do enough for you.

Will definitely be booking the trip again when we are back to this beautiful
Island.",Date of experience: September 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
Lovely hotel a short walk from York city centre,"Staff friendly and very helpful , rooms are comfortable with tea and coffee facilities. A good variety for Breakfast continental as well as full English cooked breakfast selection. Situated ideally for walking in and out of the city with great views a long the banks of the river.",Date of stay: November 2018,Novotel York Centre Hotel,4,"York, United Kingdom"
Amazing experience,"Booked in advance, which I would recommend as the restaurant was busy. We were greeted and showed to our table. The atmosphere was lovely and all the staff very helpful and informative. The food was exceptional. Highly recommend.",Date of visit: November 2018,The Ivy St. Helens Square,4,"York, United Kingdom"
Great takeout and to eat in,Can’t rate highly enough staff are very friendly food is amazing. Great for a late afternoon snack or after s few beers before heading home. Really worth a try if you want a quick and yummy meal.,Date of visit: September 2018,Main Streat Local Eatery,4,"Cephalonia, Greece"
Amazing unique trip a must when in kefalonia,Greeted by a very friendly couple first thing in the morning boarded and had breakfast all cooked by the lovely Efi. We then went to get get the nets in which was an amazing experience and we all had a helping hand. Stopped off for swims had an amazing lunch from what we had caught. Home brewed wine was fabulous. I really can’t rate this trip highly enough. I’ve never fished but this is definitely worth doing as it’s great fun for all the family. Thank you so much.,Date of experience: September 2018,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
Miss Nancy’s afternoon tea is a must have,"Staff are very friendly and accommodating, fantastic service. Afternoon tea was delicious unfortunately we couldn’t eat it all. Staff asked us if they could box it up for us to take away. I would highly recommend great value.",Date of visit: August 2018,Miss Nancy's,4,"Houghton-le-Spring, United Kingdom"
