reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Thoroughly enjoyable trip.,"Wanted a boat trip, to see some sights, do some swimming around the caves. Booked last minute and went out. The fishing was fun, we didn’t really want to do the fishing - but when we started we couldn’t stop. So much fun and we all caught a few fish!
The caves swim was nice - they provided snorkelling gear, life jackets etc - but we didn’t bring our swimming shoes so couldn’t climb up on the rocks.
The BEST part was lunch. It was excellent! fresh fish, Greek salad, bread and watermelon. The pictures speak for themselves.
This trip is definitely worth a go.",Date of experience: July 2020,Makarounas Fishing Trip Rhodes,1,"Rhodes, Greece"
A Garden of Eden in Rhodes Old Town.,"In a tranquil square in the middle of the old town sits a beautiful restaurant. We ordered a seafood platter, mixed grill platter and a Greek salad. The kind waiter told us not to order any more and he was right! A feast of a meal arrived and tasted delicious . Strongly recommend.",Date of visit: July 2020,Golden Olympiade Peridis Restaurant,1,"Rhodes, Greece"
Popped in for lunch....,"Popped in for lunch with the mrs. Had fish and chips and she had sirloin steak. Circa £20 each.
Both looked great when they arrived - and tasted great.
Nice atmosphere very Pub feel to it and good selection of drinks.
Worth a visit will be coming back.",Date of visit: February 2020,Munthes Krog,1,"Helsingborg, Sweden"
Worst Takeaway this year 🏆,"Fancied a Chinese and tried this one out.
Ordered amongst other things fried squid and fried duck. Both circa SEK110 each.

To our surprise we received squid rings in batter and duck balls in batter.

Nasty deep fried frozen plastic food.

Total misrepresentation of what was on the menu.

BEWARE",Date of visit: September 2019,Chopstick House,1,"Helsingborg, Sweden"
"Great food, great service, nice location - cannot be faulted","From the promenade we tried this place by chance.
I had tiger prawns, was excellent for PLN 40 (less than £10)
We came back during our stay and tried the fish platter for 2- excellent food welcoming service. (PLN 60)
Strongly recommend.- great value.",Date of visit: July 2019,San Francisco Cafe & Restaurant,1,"Swinoujscie, Poland"
Get a feel to be under siege....,"Decided to go for a walk around the north east corner. Popped in for a look (PLN 10) and you get to see around the fort with small selection of memorabilia and costumes for the kids to try.
Nice garden at the top with views over the marina. Worth a look for the cost.",Date of experience: July 2019,The Angel’s Fort,1,"Swinoujscie, Poland"
New side of town is like a French Riviera.,"Decided to visit for a few days.
The Promenade and surrounding shops bars, cafes and restaurants if definitely the place to be.
Well worth the 500m stroll to see where most of the restaurants are now in town.
Seems to be the new heart of the city with lots of hotels being constructed overlooking the sandy beach.",Date of experience: July 2019,Promenade,1,"Swinoujscie, Poland"
"Good Service, nice atmosphere, food OK.","The Promenade is the place to go to check out the various restaurants on offer.
We decided to try Amsterdam as it looked busy and welcoming.
Nice staff, food was average but atmosphere was buzzing.
I had the Tbone and my partner had pork fillet in mushroom sauce.
Neither dish impressed to make us want to come back.",Date of visit: July 2019,Amsterdam Cafe,1,"Swinoujscie, Poland"
Great Onion Bahji and Sizzling dishes,"Nice small Indian restaurant.
The food was good - specially the onion Bahji, the nan breads and the sizzling chicken dishes.
The jalfrezi was not as hot as expected.
Good service, very clean and tidy and nice Bollywood feel about it.",Date of visit: April 2019,Papadam,1,"Helsingborg, Sweden"
Authentic Chinese at its best,"A Chinese restaurant in the heart of Copenhagen which the Chinese use themselves.
Great food, good atmosphere and great service.
Will be coming again.",Date of visit: April 2019,Restaurant Diamond Rice,1,"Copenhagen, Denmark"
