reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Simple the Best.,You will never have chinese food this good anywhere else. The menu is small and perfectly formed. I cann express how good it is. Family run this is not a cheep take away but real home cooking.,Date of visit: December 2020,Hei Hing Cafe & Noodle Bar,1,"Isleworth, United Kingdom"
Disappearing recommendation,"My mum has eaten here several times and always said how good it was so when she wanted a takeaway pizza we ordered from Sizlers. Well we were both disappointed and mum mum embarrassed. The garlic bread was burned and bland, the pizza came with very little topping or sauce base and the olives were cheep and tasteless. My lamb shank was ok but nothing special and not worth the price. Sad as I will not order again and I doubt my mum will go again",Date of visit: December 2020,Sizlers,1,"Isleworth, United Kingdom"
Special birthday meal,Friends took me to The white Horse for a special birthday meal and this place didn't disappoint. It's a really lovely country pub with a bar on one side and a dining room on the other. Very nice ambience and friendly staff. We were all blown away by the great food. Top quality and at a very reasonable price. Staff were friendly and attentive. Very happy to meet the friendly pub dog. I always appreciate a dog friendly environment. I couldn't recommend this little gem in the forest more.,Date of visit: September 2020,The White Horse Inn,1,"Staunton, United Kingdom"
Beautiful bar full of music and joy,"It takes a lot for me to want to come back to one particular bar when there are so many places on offer in old Rhodes Town. The facts that we have come back 4 times in 3 days says so much about this beautiful place. This wonderful bar restaurant takes over the entire of a cobbled alleyway and has been very cleverly decked out to make the most of the natural features. White chairs, tables and canopies with fairy lights work beautifully with the cobblestones and the wonderfully natural pink petals that fall from the vines above create a peaceful atmosphere my most it that a lot of Greeks come here, weather local or from other islands. There is always live music with a tall guy who sings amazingly who is accompanied by a guitar and a pianist. Of course there is the usual traditional music but then pop songs from the area and everybody sings along and soon the street is filled the dancing and joy. On several occasions we have joined in with the party, it almost feels like you have joined in with a wedding or fiesta. It's just a very fun place to be. The family work so hard to provide a good service and although some of the reviews may think that they don't work hard we have watched them. my partner and I are both in hospitality, we know how hard it be on a busy night. This family work hard and care about there customers. Come and drink and dance and be merry.",Date of visit: October 2019,Meze-Bar Stou Apostoli,1,"Rhodes, Greece"
We found it worth the stop,Despite some mixed reviews that we saw after we had a pleasant enough time at this no doubt slightly touristy restaurant. we needed a bit of a rest between museum but we decided to just not worry and stop here.It's an attractive space under the canopy of a tree with well presented tables.the staff were pleasant enough and when the food arrived I was very happy with what we got. We ordered the platter of dips and bread (we had to order more bread as not enough for 2) What we got was delicious enough. We also tried the traditional homemade sausage which is absolutely delicious. This is definitely one of the better touristy spots that we went to. There was no pictures of the food out just a well-designed menu.Despite some of the other reviews who said the service was bad we found it absolutely fine. I would suspect that if anybody has problems with service here it was during the peak of season or at the end of a very long hardly 6-months of tourist season. What we got was fresh food well prepared and at reasonable price considering the location.,Date of visit: October 2019,Golden Olympiade Peridis Restaurant,1,"Rhodes, Greece"
Budget romance with a very hospital owner,"If you're a couple travelling on a budget and you want a little bit of romance in your life then this is the place to go.just out of sight of the main tourist trap you will find a wonderful little courtyard decked out with nice tables and beautiful fairy lighting.this restaurant is a specialist in local season and has an unusual dishes like the Viagra she'll fish dish which is apparently better than the pill or sea urchin.but don't worry if you want to just simple good seafood this is the place to come.the owner is a very chatty man he knows how to look after his customers. Everything is prepared freshly by the family and the quality is superb.I can't believe we had a three course meal and drinks for under €50 for the 2 of us.I had the grilled aubergine and calamari which was the best I've ever had while my partner had muscles in an incredibly garlicky sauce. We will looked after well, never rushed the service was wonderful and the entire atmosphere was relaxing and romantic. The food was sublime and definitely worth trying during your visit to Rhodes.",Date of visit: October 2019,Nireas,1,"Rhodes, Greece"
Superfresh and simply prepared,"If your looking for fresh fish in Rhodes and you want to stay away from the tourist market then this is the place to come. Family run and known for the quality of their fish this small outdoor Cafe restaurant has a charm of its own. The menu is essentially exclusively seafood and veg, the dishes are simply and lovingly prepared so the flavour comes through rather than being covered with too much sauce or spice. The food is grilled on an outside grill where you can watch the mama prepare it and the prices are incredibly reasonable. We had two courses each and drinks and it only came to under €40.we were also lucky enough to get the taste of free dessert that was too absolutely die for, a simple yoghurt topped with cinnamon and honey and a ""secret,"" ingredient. If you want to not have anything that involves chips pizza or pasta and you want to spend a lot this is the place to come to get the taste of a real simple quick meals. Absolutely recommend",Date of visit: October 2019,Pizanias Kyriakos The Sea Star,1,"Rhodes, Greece"
Wondering day on the sea.,"I cannot recommend this trip enough. Half day out on the sea was only €35. You got so much for your money. A peaceful journey around the coast on a small fishing vessel with complimentary beer and wine or soft drinks to get you in a relaxed mood then a good hour or so of fishing which was very easy so don't be put off if you've never had any experience. And to top it off the fish you catch is cooked for you and presented beautifully with bread and salad. You can't get better than catching and eating your own fish. while this is being prepared for you you can jump over board and have the swim in the beautiful clear sea and there are snorkels and masks provided so you can get a real view of what is down under the waves. The crew were lovely locals, funny and charming in their own down to earth way. This is a wonderful trip for anyone who wants to stay away from the larger commercial trips. Real food, real people in a beautiful surrounding.we went today and now we are even discussing going again before we go home. This is a kind of trip that wonderful memories make. We would like to thank the crew for giving us such a great day out.",Date of experience: October 2019,Makarounas Fishing Trip Rhodes,1,"Rhodes, Greece"
NOT vegetarian friendly,"So unbelievably disappointed with this so called vegetarian friendly restaurant. Although there are vegetarian and vegan options on the main menu the Christmas Menu offered NO veg starter and NO veg main!! But apparently I can eat all thee deserts. How could the upper management have let this happen? ? I mean what the ""fork""??

Basically there is no Christmas menu for non meat eaters. Someone has really screwed up here when there is really no excuse. I am very disappointed and will not be recommending the company as a whole. ( check out the photos )",Date of visit: November 2018,Busaba Kingston Riverside,1,"Kingston upon Thames, United Kingdom"
Heligan beats Eden 100 x over🌟🌟🌟🌟🌟,"Just to get this straight I did not enjoy The Eden Project ( you can't tell that in my review ) but even if I had enjoyed it The Lost Gardens of Heligan would still win hands down.

This realy is a playground for the imagination, a wonderland of natural and a darn good family attraction.

To start it's a very resalable price, considerably cheeper than Eden and we got good discount from our holiday let so don't forget to ask or look out for vouchers.

If you go in the morning try one of there amazing cooked breakfasts for only £6. It was truly the best fry up I've ever had!

Unlike Eden, Heligan has everything. Leafy woodland walks, formal gardens, mysterious jungles and babbling brooks.

During the summer this year they ran Lost Summer, we're they provided teepee making equipment were parents and kids could build their own dens. This encouraged outdoor play and imagination and there was a lot of happy families playing together in the field as we passed.

There is also a theatre show going on as well as talks and walks.

I absolutely loves seeing there farm animals and kitchen gardens. A fun and very cute way to see were your food comes from for kids.

It's so chilled her. Kids can be kids and run around and explore. I didn't here anyone of any age complain that they were board. There is a restaurant and a coffee shop and of course a gift shop but it's not rammed down your throat! There are no added extras you need to pay for unless you count the guide book.

I could have spent a whole day here, if only we had the time. We will be coming back as I don't think I could ever get bord of it and seeing the seasons change the plants will bring a new eliminate to every visit.

Things to remember.

Make a day of it, there is plenty to do.
Make sure you do the rope bridge.
Dogs are welcome on the lead in all areas.
The ice cream is amazing. ( try the rhubarb and caramel )
If the weather is a bit rainy take a mac but don't let the weather put you off. It's worth getting a little damp for.",Date of experience: September 2017,The Lost Gardens of Heligan,1,"Pentewan, United Kingdom"
