reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Pampering end to Girls Trip,"My girlfriends and I chose to stay here the last 4 nights of our island hopping adventure. We wanted a lush, quiet, escape to relax at before heading back to reality. We found that and so much more here at Sea Dance Resort. A special thanks to Faith & Helen who were not only amazing hosts they became friends. The service and welcoming from the very first moment had shown us we had picked the best place. We had arrived hot and sticky from the boat ride and taxi from Koh Phangan. When we were greeted with fresh iced tea and chilled face towels, I knew we had found paradise. I have never liked the big resort feel so this place suited our needs. The 4 of us took a two bedroom villa with a private pool. The rooms cleanliness and design are the freshest and most beautiful that I have seen in Thailand. The bed, pillows and linens were super plush; they were the nicest I had the pleasure of sleeping on during our trip. The location is great tucked away on a quiet beach, so you feel disconnected from the hustle and bustle of Chaweng but you're less then 10 minutes away by taxi. Best chill out spot is definitely the big nets that hang over the sea, the 4 of us spent a good portion of a day just hanging out there. I would recommend the Sea Dance Resort to anyone looking for a nice peaceful getaway. Don't miss the Sea Dance Resort.",Date of stay: February 2019,Sea Dance Resort,4,"Bophut, Thailand"
Don't Miss This!,"I had 5 days in Innsbruck and the first day was cloudy so I didn't go up. I checked the webcam online to see what the view was like and it was only clouds.
The moment the skies cleared, I bought a ticket straight to the top!! Worth every penny! Enjoy!!",Date of experience: December 2018,Innsbrucker Nordkettenbahnen,4,"Innsbruck, Austria"
Great Location,"This was my second time in Innsbruck for business for 5 nights. I enjoyed my stay here!
Why I liked it:
•location close to the best attractions of Innsbruck- catch the train and cable car to go up the mountain Nordekette at Congress station, just a 5 minute walk away
•yummy breakfast, huge selection
•big bathroom with a huge bath tub, heated floors and towel warmer
•level 2 terrace and roof top terrace
•friendly staff
•basement spa with dry sauna & wet sauna ‍️
•housecoat and slippers ‍️
•traditional decor very cozy and rich
•comfortable bed, I would say above average for Europe. The pillows were little too fluffy/soft & the duvet was devine
•restaurant was delicious I went twice

️I did not like that the hotel does not have parking.‍️️
I had rented a car for the duration of my trip, if you have a car do not stay here, the only parking nearby is expensive, over my 5 days I paid over 65€. ‍️‍️‍️

Over all it's a pretty romantic place I would consider coming back with my husband.‍️‍️",Date of stay: November 2018,Hotel Schwarzer Adler Innsbruck,4,"Innsbruck, Austria"
Business Central,"My colleagues and I were here for 2 nights. The rooms are well kept and large. My king size bed was extremely comfortable and the pillows were enormous and fluffy I slept very well here. I loved that the breakfast was free, and full of endless options. They has coffee cups to go so you could take coffee with you. I loved having vitamin water and ice tea for breakfast options!!! The outdoor was too cold to go in at night so I went in the hot tub instead. They also have an indoor pool which was probably warmer but I wanted to be outside. We had meetings at Disney so it was about a 15 minute drive away. We found Gator golf down the road because us foreigners couldn't leave Florida without touching and feeding some alligators The staff at the hotel were great, they were all extremely friendly. Thanks for a pleasant stay.",Date of stay: October 2018,Embassy Suites By Hilton Orlando Lake Buena Vista Resort,4,"Orlando, Florida"
Every wall is Instagram worthy,"Come here with your camera ready. Every wall here will make you gasp, stunning works of street art on display. Come here for the afternoon and be sure to stop by panther coffee for some real coffee.",Date of experience: October 2018,Wynwood Walls,4,"Miami, Florida"
Business in the Bay,"I had a bay facing room which has no balcony, but has an incredible sunrise view. Quite lovely spacious rooms with and extremely comfortable king size bed and pillows. By far the biggest television I've ever seen in a hotel room!!! The location is perfect, if you wanna see downtown Miami. $10 uber gets you anywhere you need to go. We walked to American Airlines arena for a Miami heat game one night. The pool area is nice and I spent some time in the hot tub. The staff are incredible Junior, made us feel warm and welcomed. He was extremely courteous and made us feel at home. Thanks Junior The pricey breakfast buffet is larger then you can handle, or at least for me it was. All the American classics, piles of cheddar and bacon, made to order eggs and waffles, fresh fruits and so many kinds of breads. We made sure to start our work day with multiple servings of breakfast.",Date of stay: October 2018,Miami Marriott Biscayne Bay,4,"Miami, Florida"
Romantic Anniversary Getaway of a Lifetime,"We spent 3 nights here for our ten year wedding anniversary. The photos on T.A. and it's website do not do this hotel justice. The pyramids are quite literally a 5 minute walk from the hotel. Pay for the room with a view, if you are staying here you do not want to miss out on waking up with the pyramids outside your window. Nothing in the world can compare. The staff at the hotel went above and beyond everyday. I forgot some feminine hygiene products and I asked the staff for directions to a drug store, so I could go buy myself. But the lovely lady at the front desk assured me that they would be happy to help, and they ran out to the store to pick up the pads I needed... One night during Ramadan we were stuck late at night, about 3kms away from the hotel, We had tried, with no luck, to hail a cab/ uber for over an hour. So we called Marriott Mena House and they sent us a taxi cab to bring us home. Tip: Ramadan is an amazing time to travel to Egypt... don't listen to all the warnings. The breakfast buffet every morning was the best I have had in Egypt, the backdrop is also nothing short of dramatic. The restaurant serves up some amazing Indian food, one of the yummiest meals I've eaten in Egypt. You truly feel like royalty staying here. The rooms are rich and textiles plush. The bed and pillows and linens were devine. The room has a romantic sensual feel. The whole grounds are perfectly kept and the pool area is stunning. If you are considering a massage book it in advance as far as you can, they didn't have a female masseuse the day we decided we wanted a massage. :( Overall I would come here again and again to feel like a visiting queen from abroad.",Date of stay: July 2018,"Marriott Mena House, Cairo",4,"Giza, Egypt"
Scuba pros,"We scuba dived with this club during our 5 days in Dahab. Great team of people, we had a great time. They brought us to different dive sites around Dahab, arranging everything. Choose these guys!",Date of experience: September 2018,Octopus World Dahab,4,"Dahab, Egypt"
Scuba Retreat,"I wanted a place in Sinai that didn't feel like a scuba dorm. So we ""splurged"" and stayed here for 5 nights. The bed and pillows were very comfy, the air conditioning and refrigerator worked very well. You can hear the waves if you open up your door. One night we slept with the door open and just the mesh curtain drawn, it was an incredibly refreshing sleep. I liked that the hotel wasn't in downtown Dahab, the taxi only cost about 30 pounds and the hotel will happily arrange that for you. The service here was great. All the staff made you feel extremely welcome and relaxed. Breakfast buffet was simple but a has everything you need to start your day. Yes the shower is salty-ish, but most places to stay in Dahab also have salty tap water.",Date of stay: October 2018,Dahab Paradise,4,"Dahab, Egypt"
Mixing Business with Pleasure,"I spent 3 lovely nights here during a conference and I enjoyed my stay very much. I had a view to the city/mountains, it was glorious to wake up to the amazing view from the 17th floor. The room's furnishings and design sparkle, everything felt clean, fresh and new. The entire vibe of the hotel is elegantly cool and mesmerizingly relaxing. The staff were incredible they were some of the best most trustworthy individuals I've had the pleasure of meeting on any of my trips. They made us feel like royalty! A special thank you to Miguel and Thali..(sorry for spelling that wrong) you really made my stay special. This hotel is in a great location for my first time visiting Barcelona, beside a huge mall, 2 minute walk from the beach, 1 hour walk to the Sagrada Familia... I took a 10euro cab ride to it and then I walked back :) The hotel's breakfast was delicious with many local delicacies and all the familiar ones too ;) My only observation is that the breakfast buffet in the later hours 9-11 felt a little understaffed so the service was slow. We weren't in a rush so we didn't mind too much.
Overall one of my favourite hotels visited to date. Thank you Hilton Diagonal.",Date of stay: April 2018,Hilton Diagonal Mar Barcelona,4,"Barcelona, Spain"
