reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Outstanding!!!,"This was absolutely the highlight of our trip to kefalonia. Demetrios and Efi were very personable, friendly, and accommodating hosts and you felt as if they were long time friends. They put nets out the night before and as we sat on the boat we watched as they reeled in the fish that would soon be our meal on board! They were super knowledgeable about every fish they reeled in and took the time to explain every detail. They took us to remote places to swim (only reachable by boat) and we took full advantage of jumping off the boat while inhaling the delicious scents of freshly food cooking for us. This was a one of a kind experience that cannot be missed!! The home made wine, freshly cut salad were an added delight! I can personally say that my family and I will never forget this amazing experience and we will definitely be back next year!!!!!!",Date of experience: August 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
Disappointing,"With so many choices in skala this one does not deliver. Ordered the calamari and there were few on the plate. The tzatziki had no flavor and was awful. The pita bread was an odd consistency and not good at all. There were 6 of us, and we were all disappointed.",Date of visit: August 2019,Sunrise Fish Restaurant,4,"Cephalonia, Greece"
Amazing!,Everything super fresh and delicious. Definitely make a reservation because it gets very busy. Every dish that the six of us are was amazing. Probably our favorite restaurant so far In Bellagio.,Date of visit: August 2019,La Fontana Bellagio,4,"Bellagio, Italy"
Wow!,"The food was incredible! Large portions, amazing selections and unique menu. A must for seafood lovers. Definitely one of my favorite places..",Date of visit: April 2018,Waterzooi Belgian Bistro,4,"Garden City, New York"
Not impressed,"We had a beautiful view overlooking Central Park and the ambiance was a bit loud but very nice. Dinner was ok.., the steak looked good , i had the swordfish which was dried out and tough. The crab cake appetizer was seared almost too well, but the other appetizers were small in proportion but good. The waiter was almost non existent through out the night so we were waving a different server down through out the night for a drink. With so many pricey steak houses in nyc, you can definitely find better than this one.",Date of visit: December 2017,Porter House,4,"New York City, New York"
Perfect dinner,"Being that there are thousands of restaurants to choose from in NYC this was not my first choice for an anniversary dinner but I’m so glad we decided to pick this one. Glamorous and white glove it is not. But if you are looking for great food, fun atmosphere and warm inviting ambiance this place is for you. Tom will greet you, and get your story, and the waiters, the hostess, and the bartender are just as personable. The place has many famous people who have dined there- we even sat at the table that they filmed an episode of sex in the city in. But, besides all of the above, more importantly it’s the food that will draw you in. I️ had the lobster ravioli (sooo good) and my husband had the pasta in rigatoni sauce. Both excellent. Tom even sent over a dessert, a chocolate mouse cake that was amazing .. a nice touch for our anniversary. You won’t be disappointed -we can’t wait to come back!",Date of visit: November 2017,Da Marino Restaurant,4,"New York City, New York"
Just ok,We decided to stop in this place before a show. The food was decent at best. My husband had a pizza and said he had better frozen pizza from a box. The place is cute and cozy with warm ambiance and the staff is super nice. Would recommend just going for a drink.,Date of visit: November 2017,Cielo at the Mayfair,4,"New York City, New York"
Perfect stay,"Clean and comfortable we were very happy with our stay. Perfectly located, this hotel is modern and has an excellent staff. Everyone very attentive . Check out the rooftop bar! A nice added touch .. they knew it was our anniversary and sent up a bottle of wine with two glasses with a hand written note. Definitely would return.",Date of stay: November 2017,The Knickerbocker Hotel,4,"New York City, New York"
UNBELIEVABLE! BEST SERVICE EVER!!!!!,"I just had to write a review for this outstanding hotel. I have been around the world to many hotels, and there has not been one hotel that has equalled the outstanding service of this hotel. Everyone from the bell boy, to the maid and everyone in between, are top notch. They all have gone out of their way, above and beyond to make your trip a memorable one. We stayed in the suites which were beautifully maintained, and the location of the hotel was incredible, but that aside... I cannot say enough about the service. I wish I took down names but there were too many to write down since all were top notch but a special shout out to Danielle & Andy at the concierge and Ashley Sun who helped me book this fine hotel. Again, do NOT go anywhere else. It will not compare o this amazing hotel. By the way, did I mention super clean rooms and most comfortable bed ever????????",Date of stay: July 2017,Fairmont Miramar Hotel & Bungalows,4,"Santa Monica, California"
Dated and musty,stayed here for an overnight to go to the airport. Was not happy. Service was great by rooms were poor. Did not feel clean and rooms were dated. I would not stay again when there are local hotels that are better quality.,Date of stay: July 2017,Homewood Suites by Hilton San Diego Airport - Liberty Station,4,"San Diego, California"
Eclectic and tasty!,"The dinner was delicious! We had such a variety of different food I can't even begin to tell you what we had! There were six of us and the waiter (impressively knowledgeable) guided us to how much to order, and what to get. This is certainly not to be missed if you are looking for a creative and delicious dining experience.",Date of visit: July 2017,Tar & Roses,4,"Santa Monica, California"
