reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great stay!,"My husband and I stayed here on the last leg of our Europe vacation. It was right around the corner from the train station which made it so convenient to get to when we arrived to Firenze. Check in was later than we arrived but they happened to have an open room and let us check in.

The room was very nice and comfortable which was important since we were relaxing more towards the end of trip.

It was also located closely to the Firenze Cathedral and the wonderful shops and restaurants in the area. This made for easy sightseeing. It was also very close to our new favorite pub The Joshua Tree Pub.

We didn’t get to attend breakfast formally due to having early tours, but were able to grab plates to bring to the room. It was tasty and filling. They also had available snacks and drinks throughout the day which was nice.

Overall a great stay and we would definitely stay again if and when we return.",Date of stay: October 2019,Hotel Alba Palace,4,"Florence, Italy"
Cretan massage!,"I had to get a massage while on the island and after talking to Stella while she gave me shoulder massage with sunscreen, I was convinced to follow through. They made it very easy to choose from and they were all friendly.

The spa was across from our Hotel, Volcano View. The manager greeted me and walked me across to the spa. While I waited for my massage with Stella, they had me wait where there were warmed stone beds that were so amazing.

For the massage, the room was lit beautifully and was super comfortable. Although it was windy outside and very noisy at times, it didn’t bother me. Stella was wonderful. She was friendly and talkative in a comfortable manner. I felt so relaxed throughout the entire massage. She was so kind asking about my heritage and sharing more about hers!

In our package I got an extra 15 minutes so I had a facial massage, which was a wonderful ending to the entire experience! Will definitely return! Thanks Stella!",Date of stay: October 2019,De Sol Spa Hotel,4,"Santorini, Greece"
Great for our short stay!,"My husband and I stayed here on the 3rd leg of our Europe vacation. The staff was friendly as soon as we arrived. The rooms are small but perfect for a short stay. We spent most of our days walking the city anyway so the size didn’t matter because we weren’t there much.

We are breakfast at the quaint dining room which was very simple but good. You have to purchase more than what’s on the breakfast bar, but there was enough there to satisfy us. We didn’t get an opportunity to use the bar but it seemed nice.

The hotel is in such a great location. We were very close to the Colosseum which made getting to our tour super simple. It was a bit farther from other attractions but we enjoyed the walking and sight seeing. Overall this was a great place for the price and the location! Would definitely stay again!",Date of stay: October 2019,Hotel Grifo,4,"Rome, Italy"
Great tour!,"My husband and I originally booked the morning tour with fishing and lunch but had to reschedule our booking due the weather. The captain was able to get us on an evening tour.

Although we didn’t get to fish as we originally planned the experience was just as amazing! They took us to the opposite side of the island than they normally do due to the wind so we missed the white sand beach which I was also looking forward to.

We got to experience them pulling in the shrimp pots and nets that would be providing us with our evening meal. Then we got the opportunity to swim in the Aegean which is a must while there. While they prepared our meal, we did get to “fish” with hand lines which was a fun little addition.

The fresh cooked fish and shrimp was by far the best part. My husband is a fisherman and a charter boat captain so we are picky about our seafood and this was just phenomenal. They provided wine and other beverages, and a yummy salad to accompany the fish and shrimp. Definitely a memorable experience. We finished the tour with getting to watch a beautiful sunset.

The crew and the captain were amazing all along the way and I recommend this tour for everyone. Next time we hope to get the morning tour!",Date of experience: October 2019,Giorgaros fishing tours Santorini,4,"Santorini, Greece"
Greece 2019,"An amazing experience! My husband and i are history nerds and loved learning all that we did on this tour. Jeannie (sorry if it’s spelled incorrectly) was our wonderful tour guide. She was friendly, knowledgeable, open to questions and took amazing pictures of us so we weren’t stuck with selfies only on this incredible tour! I definitely recommend asking for her!

The day started with a pick up at our hotel in Fira and we drove to Oia. Along the way she provided so much history and geological information about the island it was great! The cruise ships hadn’t come in yet so we got to experience Oia and the island without the crowdedness there usually was in the villages. It was so beautiful and we got the most amazing pictures!

From Oia we traveled to Akrotori and saw the ancient ruins of the first civilization. It was a bit rushed but that also was due to a bus coming in and we got stuck behind a group of 30 plus people. Then onto red beach in the same area. We were told that it’s not always safe to walk through the rocks to the beach so didn’t get to stand in the sand but maybe next time.

We then visited the black sand (rock) beach in Kamari, and learned about the area near there. I thought it was beautiful and would have loved to stay longer.

We opted for the winery instead of the observatory which was the better option in our opinion. Argyros winery is must on the island. Learning about their entire process from the vines being shaped into baskets and why, to the final bottling was great, and even better was the wine tasting. I’m not a white wine fan, but Santorini changed my mind. We do regret not shipping back wine, but we know there are distributors in the states. Along the way Jeannie told wonderful stories, answered all of our questions and was just amazing company. When the tour ended, and we were dropped off, she was so kind and inviting, stating “when I see you again it will be with bambinos!” We were so impressed by the tour and learned so much. Thank you!",,6-Hour Private Best of Santorini Experience,4,"Santorini, Greece"
Great food!,We stopped here based on the reviews and it definitely was worth the visit. We had the calamari and the pork and it was cooked to perfection! Definitely make this a must when you visit the island!,Date of visit: October 2019,MeRaki,4,"Santorini, Greece"
2nd Honeymoon Greece 2019,"Santorini was our second stop on our Greece and Italy vacation. When booking our trip, Volcano View Hotel was given to us as an option by our travel agent, and I chose it based on the reviews. I am so glad that I did because it was above and beyond our expectations in so many ways. Of course the views, implied in the name, were absolutely gorgeous and the sunsets were unforgettable. The room, 103, was right by the office which was nice, allowing us access to the road to get on our shuttles very quickly. The room was very nice, clean and had a great view along with the rest of the the hotel. We arrived on a Thursday, and they were having their final Greek Night and we jumped on the opportunity right away to be a part of the celebration. It was so much fun! My husband and I danced with the dancers and group of people during almost every song, ate so much yummy food, and got to break fun plaster plates! So memorable! The pool was cold but still enjoyable. We met so many great people at the pool that we will always remember including Sophia who worked at the bar! She was so friendly and helpful! All the staff was really great, and friendly helping us all steps of the way. They set the pool up so you don’t feel the wind as much as you do throughout the rest of the hotel. The restaurant had tasty food, and again the view, especially during break fast was great. We were highly satisfied and would definitely stay here again when we return to the island!",Date of stay: October 2019,Volcano View Hotel Santorini,4,"Santorini, Greece"
Greece 2019,We were in Athens for a couple of days on the first leg of a Europe vacation. We had the opportunity to see the Acropolis Museum as a part of an Athens half day tour. It was amazing and so much to see. We didn’t see as much as we would’ve of like being that we ran out of time but of what did see and learn about was so amazing. The ability to see the ruins underneath the museum was really great as it spoke to the pride the people are taking in finding and sharing their history. A must stop in Athens. We definitely want to come back!,Date of experience: October 2019,Acropolis Museum,4,"Athens, Greece"
Greece 2019,"Athens was the first leg of our Europe vacation and we only had a couple days to sightsee so I figured trying a half day tour would be nice and it would still give us time to explore ourselves. I would recommend to everyone having a private or small group tour as it is so much more intimate and we didn’t have to wait on the big lines. Martina was our guide and she was wonderful! So knowledgeable about every stop along the way and open to stopping if we wanted pictures or to see more. She took very good care of us and showed care and passion for the sites. We were open to what the tour had to offer and so that made it more fun and interesting. They picked us up at our hotel at the scheduled time in a nice air conditioned vehicle, and the tour was driving and seeing sights as well as stopping to learn along the way ending with the Acropolis Museum.

We both love history and this tour hit a lot of the markers! Half day that is what is expected. Although we didn’t go into the Panathenaic Stadium, it was a great stop along the way. Of course the the Parthenon and Acropolis Museum were the highlight. We had the opportunity to see the changing of the guard the day before on our own so we did not feel bad about not getting out at that stop. Although we struggled with large crowds and some other rude tourists, she made sure we saw and learned as much as possible while there. I wish we would have had more time at the museum but it gives us a reason to go back! To me there were no illusions and the tour was what they said it was! I unfortunately forgot our drivers name and feel bad but he was also very knowledgeable and made the experience very nice. Would do the tour again!",,Private Tour: Half day Athens Sightseeing and Acropolis Museum,4,"Athens, Greece"
Greece 2019,"Athens was the first stop on our European vacation. The Attalos was perfect for our 2 day stay. The staff was helpful and welcoming, and they offered a fun beverage when coming in. The small elevators made the experience more fun. The rooms were clean, the bed was comfy and the view from our balcony of the Parthenon was spectacular. My husband and I love history so this started our trip off right. It’s is in the middle of the city so it made it great for walking to restaurants and seeing the different sites! The rooftop bar had a great selection of local drinks and espresso, and of course provided a wonderful view of the city and the Parthenon. The breakfasts were so good, and they had a wonderful spread. We would definitely stay here again, and plan to in the future. Thanks for the wonderful stay!",Date of stay: October 2019,Attalos Hotel,4,"Athens, Greece"
Boat to dinner plate!,"This was our second year in Cabo, and of course we have made Captain Tony’s a must. We stopped at had food and drinks after a sailing adventure on our second day on vacation. The wings and tacos were so good and of course the drinks were great. Then after our fishing trip on Diablo Loco, the captain Juan Carlos Frias Orozco recommended Captain Tony’s, as he did last year, to cook the bonitas we caught. They did a spectacular job! It was so tasty, and so fresh. They’re service is prompt, professional, friendly and seem to be having fun serving patrons. We will definitely be back!",Date of visit: February 2019,Captain Tony's,4,"Cabo San Lucas, Mexico"
Great time!,"My husband and I decided to add another fun adventure to our vacation in addition to our annual fishing trips. We booked the morning snorkeling and sailing trip! Our boat was the Mistral and we shared with 4 other couples. As soon as we arrived where it was moored, they asked for our shoes and what we wanted to drink. The captain, deck hands and photographer were very polite, professional, knowledgeable and on top of service. Before our drinks were done, they were getting us another. We got the opportunity to watch whales, on top of snorkeling and sailing which made for a full four hours and it was great. After snorkeling, we had a great little lunch of sandwiches, fruit and chips with guacamole. We got to meet a wonderful couple and one the of the deck hands that were from the same area we are from so it made for even more fun and comfortable trip. We definitely will book with them again when we return to Cabo!",Date of experience: February 2019,Cabo Sailing Ocean Adventures,4,"Cabo San Lucas, Mexico"
