reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Brilliant night,"Spent few nights here whilst in Benidorm & it’s the best! Cheap drinks, great acts & friendly staff all add up to making this place as brilliant as it is. Bingo each night too. Had great laughs & many sing alongs. I’d highly recommend it",Date of experience: October 2018,Tommy's Bar,1,"Benidorm, Spain"
Breathtakingly beautiful,"Absolutely loved this site! Not 1 single fault with it. Location-perfect, amenities-perfect, staff-perfect, cleanliness-perfect! Il 100% be returning. Beach walk is really nice way to get to harbour & not a difficult walk either. Crail is a beautiful little village, the cottages are great!",Date of stay: August 2018,Sauchope Links Caravan Park,1,"Crail, United Kingdom"
Scrummy,"Traditional fish supper & it was lovely, nicely battered haddock & chips. We opted for mushy peas option & these too were v nice. The cafe was v busy on the Thursday night but well worth the wait for a table!",Date of visit: August 2018,Crail Fish Bar & Cafe,1,"Crail, United Kingdom"
Very poor!,"I made arrangements & was told 20euro reduction for my 10yr old however once on board was told full price as there was a rod for him, 1st time anywhere in the world Iv been told that! Set off well when we went fishing for bate & for 30mins we all had a go at fishing, we then set off on the trip where we all sat & watched the rods get set up & put into holders, we were driven around for a while with no fish what so ever. These rods where then taken down & other rods set up & put into holders all while we sat & watched! 1 rod was then set up & we were told we could share that 1 round if we wanted a turn! No fish again so we all sat & watched as the rods where packed away & we were brought back. 1 person asked if they could use the toilet to be told it wasn’t working & could they just pee over the side! Very poor show & goes top of my list for fishing trips I won’t be using again-sorry!",Date of experience: July 2018,Gavin Glen Fishing,1,"Tenerife, Spain"
Beautiful,"After a mornings fishing the bosuns breakfast certainly hit the spot! Lovely food, well cooked & extremely friendly owners & staff. Even bought big fat homemade cake to take out. Can highly recommend this place!",Date of visit: May 2018,Bosun's Locker,1,"New Quay, United Kingdom"
Awesome!!!!,"Had a fantastic fishing trip with these guys, never been on such a clean, tidy fishing boat. Staff where extremely helpful & informative. Couldn’t have picked a better day as even the weather was fab! Highly recommend & my only complaint was they’re booked up so I can’t go again this holiday!",Date of experience: May 2018,Epic Fishing Trips,1,"New Quay, United Kingdom"
Very poor!,"After reading the revues we decided to try here for a holiday treat meal out & oh how I wish I hadn’t bothered! I can’t believe Iv been to the same place. We were shown to our table, not hard as every other 1 was empty, & given menus, no mention of garlic bread so I asked to b told il bring u the specials board, along it came with 2 starters & 2 mains 1 of each was sold out & still no garlic bread! The waitress eventually sorted this & out came 3 slices of crusty bread with oil poured ova! Yuk! My meal was tasteless as was my sons & the portions were tiny! Complete waste of money & don’t really understand where these reviews are coming from coz I certainly would never return!",Date of visit: May 2018,Rossini,1,"New Quay, United Kingdom"
Great experience,"I visited this attraction with friends 1 of whom was a pensioner but because of the layout extra it didn’t make any diff with the ease of getting around. Must admit I was there on a coach trip & didn’t know a lot about it, after checking on trip advisor I didn’t know if to go on the boat as it had v mixed reviews however we decided as we were there we would & it most certainly didn’t disappoint! It’s a marvellous structure & v diff from anything else Ul go on. Wen u reach the top it’s just like entering a surprise world. Defo recommend it, don’t know what the people who said it was boring expected, a fairground ride it definitely isn’t but u r not on it long enough to get “bored” either. Lots of views all the way along.",Date of experience: April 2018,Falkirk Wheel,1,"Falkirk, United Kingdom"
A must,"Lovely experience seeing these, it was very busy while we were there but plenty of room for everyone. A close up is a must to appreciate the work which has gone into the structure. Easily accessible & open space. Cafe had a wide variety at reasonable prices. I would like to go back to experience them at night too.",Date of experience: April 2018,The Kelpies & The Helix,1,"Falkirk, United Kingdom"
1st class service,We booked our trip last minute but this certainly wasn’t a problem & the lady on the desk was very helpful. Bus arrived on time & was a comfortable ride. We visited both museums & the driver was very accommodating on both parts. We had already booked our airport transfers but will request a quote for future reference. Would definitely recommend 10/10,,From Kraków: Auschwitz-Birkenau Museum Tour,1,"Krakow, Poland"
Perfection,"Well betullas of ulverston u excelled last night!!! We went for hubbys birthday, breaded Camembert for starter to share which was lovely, served with sliced crusty bread, cranberry relish & side salad beautifully presented. I had pre ordered the seafood platter & it didn’t disappoint! It was amazing,
Iv only ever had as good abroad. A bottle of house wine was included & we settled for rose which was once again v nice! No room for puds I’m afraid but wil defo b returning & would highly recommend to any other shellfish foody. Staff were also a credit, very friendly, polite & attentive! Well done all round 10/10",Date of visit: November 2017,Betulla's,1,"Ulverston, United Kingdom"
Lovely stay,"We had planned a day trip to skipton so decided last minute to stay over night, travelodge was ideally situated & a reasonable price. Didn’t arrive til late & left early next morn so only really made use of the bed which was clean & comfortable. Farm shop next door Defo worth a visit & was unfortunately too busy for breakfast but never mind il just need to go again!",Date of stay: October 2017,Travelodge Skipton,1,"Skipton, United Kingdom"
Excellent,"Comfy clean room, excellent breakfast inc the poached eggs when ordered. Very hard to find the car park but token given for parking which was an added bonus! Only downfall was temp of the room which affected my nights slp.",Date of stay: August 2017,Premier Inn Sheffield City Centre (Angel Street) hotel,1,"Sheffield, United Kingdom"
Fab location,"Recently stayed here for a few days with 2 children 7 & 9, great location would highly recommend. Apartments although not massive are big enough for a few days. Very clean with balconies. My only dislike was the sofa bed in the lounge (which we used & gave the children the twin bedroom) wasn't v comfortable. I agree with other reviewers who say staff can b quite noisy in the morning. The rooftop pool is situated across the road at the avenida hotel. The water was freezing but the view amazing!",Date of stay: April 2017,Apartamentos Avenida,1,"Benidorm, Spain"
Good Location & nice clean room,Good room added bonus was USB port next to yr bed! Bfast was hot & plentiful & after asking for poached eggs they were presented cooked to perfection. Staff v helpful when we were asking about taxis & places to eat. Good hot shower.,Date of stay: February 2017,Premier Inn Sheffield City Centre (Angel Street) hotel,1,"Sheffield, United Kingdom"
Perfect evening,"We stayed here as a valentines treat & it was perfect! It's only a 30min drive from home but it could have been anywhere. We had a meal in the restaurant 1st which was delicious. 12oz steak cooked to perfection with a side order of peppercorn sauce which was rich & tasted lovely. We then had a double room booked which again was perfect! Lovely decorated, nice & warm & considering it's on a busy road was very quiet. Peaceful night all round & defo 10/10",Date of stay: February 2017,Rusland Pool Hotel,1,"Haverthwaite, United Kingdom"
Birthday party,"10 of us went here for a birthday party, we had pre ordered our meals so it was v straightforward when we arrived. The meals were served quickly & every1 agreed we all enjoyed what we had chosen. The same applied with our main meals all been served efficiently & hot food all round. I opted for the prawn cocktail started which was just right followed by the mixed grill which was once again cooked to perfection, very large portion which I had no chance of finishing but thoroughly enjoyed what I did manage & would defo choose again! Great night as agreed by the whole party",Date of visit: January 2017,The Custom House,1,"Barrow-in-Furness, United Kingdom"
