reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
"Avoid it, bad quality and people working there not friendly!","We went to eat at 19h 2 couples with a little girl. The restaurant is cozy, with good view, but the big problem was the quality of food and the people working there, and for me it s very important. We order to a waiter that did not speak to us in the all dinner :a chicken salad for more than 10€ and they give us iceberg salad with 4 little piece of chicken, without any taste. We continue with burrata cadaifi and the same, no taste, but the worst was coming: 3 of us order the pasta carbonara, and the pasta was overdone! very dry with no flavor ( I don t ask cream because carbonara is done with eggs), but it was too dry, and very little portion very expensive. For my part I take a pizza that arrive quite cold, with no taste and I pay 15€! After the salad we speak with the owner to complain and he was looking at us in a strange way, and after we complain about the pasta, but he does not accept the critics. I think he does not care about customer because he did not invite us to desert ( in Paros at least you have watermelon or biscuit or something), neither shots or something toncopensate, and the bill was very expensive. not recommend, you can find better places and cheaper. Good luck",Date of visit: August 2020,Mango Pizza & Pasta,1,"Paros, Greece"
Don t forget to do the tour to Polyaigos! FANTASTIC,"Wonderful boat trip to Polyaigos!We went with my wife to Kimolos, and went to the trip. the boat has 10, 12 persons, enough space for all.
You can see all the process of taking the fish from the net they put in water the day before, see fishes one by one, and after see them in your plate, fantastic food!! The captain and captenissa are 2 wonderful person that will explain you all the things you have to know, and take you to the best beaches!! It s 80€ per person, but 8 hours, very good food, company, and good beaches, it s cheap!
Highly recommended !",Date of experience: August 2020,Milos Fishing Experience,1,"Milos, Greece"
bien pero muuuuy lento,"Fuimos a comer al medio dia y reservamos a las 15h30, el dueño ya habia avisado que igual tendriamos que esperar algo mas, restaurante lleno.
Subimos a la mesa a las 15h40, muy bien, pero esperamos 1 hora para que nos llegaran los entrantes...ademas intentamos pedir antes agua pero no hubo manera, iban a tope y solo 1 chico podia tomar nota. Las alubias y setas muy buenas, y las chuletillas tambien. Creo tuvimos mala suerte por la espera, pero 1 hora sin nada es mucho, ni bebidas...los 2o tardaron menos, pero unos 30 mn si. Lo dicho, dejar esperar tanto al cliente sin nada ( por lo menos bebida o algo pa picar...) no nos sento bien, pero restaurante lleno! si volvemos intentaremos llegar de los 1os!",Date of visit: November 2019,Restaurante Moranchel,1,"El Olivar, Spain"
muy bueno todo!!!,"Estuvimos mi mujer y yo comiendo al medio dia, reservamos mesa a 16h30, antes lleno. Se aconseja reservar y aconsejo mirador ya que hay 3, 4 mesas com vistas al rio!
La comida muy buena, tanto las alubias como las alcachofas, y de segundo la lasaña y rabo de toro espectacular. Camareros muy amables, precio un pelin caro, pero merece la pena!",Date of visit: November 2019,Restaurante Abuela Maravillas,1,"Zorita de los Canes, Spain"
camareros simpaticos pero no calidad comida...,"fuimos a cenar con mi mujer, el sitio es bonito con musica de ambiente, camareras simpaticas pero el problema fue la comida: pedimos una ensalada de primero, con poco sabor ( ni las fresas) y la rucula tenia varios dias seguro...el pad thai con olor raro ( ni los gustaron los fideos...) y muy seco.
un sitio a lo mejor mas bien para tomar un cocktail...",Date of visit: August 2019,Boho Bar,1,"Madrid, Spain"
Perfecto para un chiringuito de playa,"Fuimos a comer al medio día con mi mujer. Mesas con vista al mar, ambiente chill Out, el sitio en si está muy bien. La carta tiene un poco de todo, nosotros pedimos póke japonés y arroz al curry con pollo, los 2 deliciosos..
Hay que saber que hay que pedir a la barra y recoger allí los platos, el único camarero recoge y limpia las mesas.
También hay una zona de césped artificial para niños, sitio muy recomendable!",Date of visit: June 2019,Chiringuito Tangana,1,"Tarifa, Spain"
muy caro para lo que dan,"Fuimos mi mujer y yo a cenar. Reservamos con antelacion, es un sitio de moda.
Nos dieron mesa arriba. El camarero era simpatico, pero sin mas, iba con muchas prisas para todo, como si quisiera acabar lo mas rapido posible. El sitio es bonito, pero me esperaba bastante mas...
La comida nada del otro mundo, el aguacate acevichado no tenia nada especial y la ensalada tampoco. Carnes: la pluma era buena, pero la presa de vaca no, muy dura, con nervios, poca cantidad y me llego tibia, las patatas demasiadas pequeñas y finas ( como si fuera fin de la bolsa)...eso si, la tarta de queso muy buena.
Pongo 2 porque ibamos pa la carne y nos decepciono, a parte 15 mn para pagar...130€ entre 2, dolio...",Date of visit: March 2019,Carbon Negro,1,"Madrid, Spain"
"muy recomendable, terminas nuevo!","Fuimos mi mujer y yo, ya que nos regalaron un bono.
Lo de los bonos da pereza, pero a este sitio hay que ir!!
Sitio muy bien decorado, empleados muy amables y la calidad del masaje espectacular. Tenia muchas tensiones y termine muy relajado.
Sitio muy limpio, musica tranquila, desconectas totalmente,como si estuvieras en Tailandia. Eligimos el massage de Bali, perfecto, repetiremos.
Al final te ofrecen un te, que te bebes muy relajado!!",Date of experience: March 2019,Kenika Thai Massage,1,"Madrid, Spain"
"sitio muy bonita, comida correcta","Estuve cenando con mi mujer.
Nos pedimos de primero unas samosas de cordero, estaban bien, normal. Luego pedimos el chicken tiki masala y el butter chicken. estaban buenos, pero eche de menos algo mas de sabor, e igual picante, estaba muy plano. No me acuerdo si había la opción de pedir mas picante, sino lo hubiera hecho. Acompañamos con nam de ajo, que estaba muy bueno, sin embargo el helado no nos gusto y lo dejamos ( no nos lo cobraron, un gesto que se aprecia).
El servicio es correcto, y el sitio muy chulo. De precio esta ok, porque no pedimos vinos.
Recomendaria el sitio ya que es muy bonito y los platos están coninados de manera mas actual y buenos.",Date of visit: March 2019,Bangalore Modern Indian Cuisine,1,"Madrid, Spain"
fama no tan justificada,"Fuimos a cenar 3 parejas. El sitio me hizo recordar a algunos de Japon, con las maderas. La camarera muy amable, de lo mejor del local.
En cuanto a la comida, los baos y las yiozas estaban buenas, pero habiamos venido por el ramen.
El ramen a nivel de sabor lo encontre muy pobre ( el de pancetta), y el de pollo tenia un sabor raro...y el pollo muy duro. Solo hay 3 ramens diferentes. No me esperaba lo que comi en Japon, pero esperaba mucho mas.
Para la experiencia lo recomiendo, pero si eres amante de los ramens, igual te llevas una decepcion.",Date of visit: March 2019,Chuka Ramen Bar,1,"Madrid, Spain"
atencion y comida muy buena,"Fuimos a cenar con mi mujer. Los empleados son muy profesionales, el local es bonito.
La comida es muy buena, y las cantidades en los platos que hemos pedido correcto. Cierto es que no paran de ponerte pan ( bueno), y la sensacion de llenado es superior.
No pongo 5 por unos detalles tipo pintalabios en las 2 copas de vino que no habiamos utilizado aun, pero en general, por la calidad de la comida muy recomendable! milhojas de vieras y noodles con txanguru impresionante!!!",Date of visit: February 2019,Restaurante Polvora,1,"Madrid, Spain"
"muy caro,pagas la decoracion","Fuimos 2 parejas a cenar. Los empleados son muy atentos y simpaticos. el sitio bonito, de esos de moda que estan abriendo ultimamente,con musica fiestera a la vez que comes,local de diseño...
La comida en si es buena, pero muy muy cara,porciones super pequeñas por el precio que piden...igual para una copa esta bien,pero para cenar no lo veo. Ademas las mesas esta pegadas, como si ceneras con el vecino...",Date of visit: March 2019,La Carlota Restaurante,1,"Madrid, Spain"
must go in Kyoto to eat!!!bravo!!!,"we went with my wife to have dinner.
Normally there is queue, take a number at the entrance, we wait 40 mn( lot of shops and restaurants near, no problem).
the food is fantastic, the best ramen i tested!!!! and gyoza were very good too. all with good taste, cooked perfect.
nice atmosphere with good music, good staff, it was perfect!!!
and the price is very good too!!!
thanks for all",Date of visit: December 2018,Ramen Sen no Kaze Kyoto,1,"Kyoto, Japan"
"too expensive for the quality, not recomended","we had dinner with my wife, following the good rate this restaurant had.
the place is not easy to find, you have to take the stairs up.
the restaurant is small and not so clean.
the staff is very nice and polite, but the problem is the food.
we had the menu of 5800 yens, and didn t like the food, the plates hadn t got tastes, very small quantity.
our worst food in Japan and most expensive one.
i m sorry because the chef is a good personne, but if you go there you will pay too much for what they offer.
and no music during all the dinner...
not recommended",Date of visit: December 2018,Kyoto styled Okonomiyaki & Sake Oagari,1,"Kyoto, Japan"
bueno pero un pelin caro,"fuimos a cenar con mi mujer. el sitio es bonito, pequeño, igual tienen que aislar mas la puerta de entrada, porque en las mesas cercanas se sentia frio.
La comida estuvo bien, buena, pero muy cara, sobre todo por ser pasta...
La atencion es muy buena, tanto del chico como la chica. Bien pero por los precios y la cantidad servida, lo vimos un poco excesivo.",Date of visit: October 2018,Davanti Food & Market,1,"Madrid, Spain"
EL sitio para comer en Finisterre,"fuimos a comer al medio dia con mi mujer. El sitio tiene pocas mesas, barra abierta viendose la cocina, tiene encanto. El propietario asi como el camarero muy simpaticos y profesionales. La comida muy buena, pedimos un variado de mariscos, y todo muy fresco, ademas muy bien de precio.
Un sitio muy recomendable, volveremos!!! Nos encanto, como en casa por el trato recibido!",Date of visit: October 2018,O Pirata,1,"Fisterra, Spain"
decepcion calidad precio,"Fuimos a cenar 3 parejas.
el sitio es bonito, de los de moda, con DJ que actua cuando ya estas con las copas.
Los camareros son simpaticos, pero el problema:
restaurante medio vacio y una espera larguisima entre cada plato,hasta nos trajeron las copas antes del postre ( que anulamos).
La cantidad pobre en general,yde sabor nada espectacular.
platos bien presentados, igual por eso es tan caro, pero calidad u cantidad no estan.
para tomarse una copa a la barra igual esta bien, puede haber ambiente, pero para comer, por precios, calidad y lentitud no lo recomendaria.",Date of visit: August 2018,Maddock Madrid,1,"Madrid, Spain"
ha cambiado,"Fuimos mi pareja y yo a cenar. Solo ir a Paros desde hace muchos años.
La taverna tiene vistas al pueblo, los dueños simpaticos, pero la cantidad de las raciones ha cambiado, en muchas de ellas, hasta las patatas nos llegaron fria...las costillas de cordero casi solo grasa...si vais al centro del pueblo ir a probar klarinos, precio parecido para mejor calidad...",Date of visit: August 2018,Flora Taverna,1,"Paros, Greece"
