reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great service,"Staff are excellent, friendly and attentive, especially Viktor in Lounge Bar and Mustafa in Beach Bar. Eyhan also went out of his way to make sure we were happy. Hotel spotlessly clean thanks to hard working cleaning staff, great food and lovely rooms. Beach a bit of a letdown but pools lovely and refreshing.",Date of stay: September 2020,Numa Bay Exclusive,1,"Turkler, Turkey"
Fantastic ice cream & friendly customer service = Fabulous!,"Took my nephews for an after school treat, Georgia made us so welcome and took time to talk to the boys when they asked about the trophies on display and how the ice cream was made. We had pancakes, waffles and divine ice cream and we were then joined by other family members who delighted in their choice of dessert too. We will definitely be back soon. Thank you for a fun and tasty afternoon.",Date of visit: January 2020,Pinks Parlour,1,"Bognor Regis, United Kingdom"
What a great day out,Celebrated a friends 50th birthday on board and had the most fun. The fish freshly caught and cooked as part of an amazing lunch. So friendly and welcoming on boat. Highly recommend a trip with Zante Fishing Tours. Thanks for the memories.,Date of experience: June 2019,Zante Fishing Tours,1,"Zakynthos, Greece"
Great tours & Service,"We are 2 families of 8 in total, 4 teenagers - we booked with Jose - the guy in the pink - on the beach in front of Hotel Riu Guanacaste. Fabulous friendly professional can highly recommend this tour guide. Grey our guide for day was excellent attentive fun and knowledgeable. Brilliant day white water rafting and seeing sloths. Lunch provided was substantial and delicious too.",Date of experience: July 2018,Costa Rica Best Tours,1,"Sardinal, Costa Rica"
City Break,"Lovely hotel perfectly located for all public transport, airport and sight seeing. Breakfast was well stocked plenty of choice and fantastic service. Room well equipped and comfy beds. Bathroom clean and great shower. Used free steam room 1 day and gym good size too.",Date of stay: November 2017,Radisson Blu Sobieski Hotel Warsaw,1,"Warsaw, Poland"
Look no further for relaxation & warm welcome,"Spent a fabulous week here, The English owners do everything to ensure you have a relaxing, chilled out holiday. Plenty of loungers, good size pool, spotlessly clean throughout the small complex. Someone is always on hand, good local knowledge, arranged taxis and breakfast, snacks and of course drinks all available from a well stocked bar. Best of both worlds if you stay here, we had ducks visit us 1 day from fields behind yet you are only a very short walk into town and the beach. Went for a week but felt as if I'd had a relaxing fortnight. Wonderful!!! Will definitely be back next year.",Date of stay: September 2017,Zantegarden Apartments,1,"Zakynthos, Greece"
Fresh fish fish fish,"Had great meal here, made very welcome, great service, many fresh fish options on menu. Delicious. Also sent their own horse carriage to collect us and take us home. Fab service.",Date of visit: September 2017,Lemon Tree Garden Taverna,1,"Zakynthos, Greece"
Best Cocktails,"We spent a few nights here, after dinner, relaxing with amazing cocktails, Charlotte & Nikos are friendly, funny and service is always good. Music choices great, met lovely people here, was always a struggle to call it a night as we felt so comfortable here. Bar is clean and you will struggle to find better daiquiris anywhere, try the strawberry daiquiri it is amazing!",Date of experience: September 2017,Cuba Bar,1,"Zakynthos, Greece"
Friendly & Welcoming Hotel,"Stayed for 3 nights in triple room. Was clean, beds very comfy and we had balcony too. All staff were friendly, extremely helpful and very pleasant. Breakfast was continental style and freshly cooked eggs including omelettes were also on menu. Easy to get to Old City from Lapad on local bus or taxi.",Date of stay: April 2017,Hotel Perla,1,"Dubrovnik, Croatia"
Exhilarating walk of walls,"Took about hour and half to walk walls, take photos and admire incredible views all around and over Old City. We did complete circuit in 1 go, but you can do a section at a time to break it up as lots of steps and spectacular views to take in.",Date of experience: April 2017,Walls of Dubrovnik,1,"Dubrovnik, Croatia"
Walking History,"History at your feet. Can tour in a day or less. Fabulous buildings, intriguing history from centuries ago to more recent events. Game of Thrones fans will recognise some locations. Plenty restaurants and bars to relax and enjoy the atmosphere.",Date of experience: April 2017,Old Town,1,"Dubrovnik, Croatia"
Relaxing getaway,Resort set in beautiful gardens approx 20 minutes walk to Burriana beach and slightly longer to the Balcony de Europe. We had booked a studio apartment but when we arrived were given a 2 bed apartment with terrace. A bit dated with the kitchen area and bathroom needing most attention but it was spotlessly clean throughout and beds were comfortable and bed linen clean and good quality.,Date of stay: April 2017,El Capistrano Nerja Guy P. Way,1,"Nerja, Spain"
View!,Fabulous views and a popular destination for holiday makers. Was a little windy the day we visited but we watched waves crashing below and admired the all round views of coastline.,Date of experience: April 2017,Balcony of Europe,1,"Nerja, Spain"
Nerja caves,We visited on a day when weather wasn't too good. Well priced attraction and the rock formations are incredible to see. The caves are huge and you have a guided tour with special points of interest pointed out to help you fully appreciate what you are looking at. Well worth the visit.,Date of experience: April 2017,Cueva de Nerja,1,"Nerja, Spain"
