reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Amazing service and food,We happen to stumble across this place and what a find. There were 24 of us plus two dogs and luckily we had entire upstairs floor to ourselves. A wide range of options on the menu with fish and chips being the favourite amongst our group. Overall food was tasty and decent portions. But we really loved the service - nothing was too much trouble and they all served with a smile despite having to carry the drinks and food upstairs to us. Our dogs were well looked after with water and treats. Would highly recommend.,Date of visit: August 2020,The Bank Bar & Kitchen,4,"Brecon, United Kingdom"
Awesome pub with great food and dog friendly,We were a family of seven + puppy visiting on a Friday afternoon. The staff were amazing. Food was fantastic - we had the lamb and fish options - great portions and tasty. Service was quick and they came around plenty of times to check we were ok. We were worried about the puppy but they all welcomed him with open arms providing water bowl and treats! Overall we would thoroughly recommend this quaint little pub. Keep up the great work!,Date of visit: January 2020,The Sun,4,"Carshalton, United Kingdom"
Friendly pub with good food,We really a lovely lunch at the Sailors pub following a nice coastal walk. Friendly service and nice outdoor seating with views.,Date of visit: October 2019,The Old Sailors,4,"Dinas Cross, United Kingdom"
Definitely worth doing,As per the reviews this is a really enjoyable walk and great views. Some steep steps that could be muddy if has been raining but overall OK to walk.,Date of experience: October 2019,Dinas Head (Dinas Island),4,"Dinas Cross, United Kingdom"
Simply beautiful,"We are so pleased that we had an opportunity to stay at this amazing property. We had to ground floor cottage which had three bedrooms, spacious lounge and modern well equipped kitchen. Simply beautiful. A unique location and that has been artfully upgraded to a high spec. Kevin, the owner, was super helpful and provided all the information we needed to make our stay as as smooth as possible. We were blessed with gorgeous weather all week allowing us to explore the area by foot with plenty of gorgeous trekking opportunities around the area.",Date of stay: July 2019,THE BOATHOUSES - TIDES REACH BOATHOUSE - SPECTACULARLY RENOVATED BOOK 2020 -2022,4,"Llanbedrog, United Kingdom"
Amazing,Amazing from start to end. We were a family of four on a Thursday evening. The staff were very polite and did not rush us at all throughout our meal. The starters were a good size and mains were delicious. Good selection of wines and we all enjoyed our deserts. We would highly recommend this restaurant.,Date of stay: July 2019,Tremfan Hall,4,"Llanbedrog, United Kingdom"
Amazing,"Highly recommended. Our hosts Jim and Sally were amazing, fun, knowledgeable, entertaining and superb hospitality. We were a small group so it felt more cosy. Market tour was an eye opener and certainly somewhere we wouldn’t have explored on our own so recommend to those who want to be adventurous. We are going to keep in touch and send pics of our attempt to cook those lovely dishes on our own. All the best Jim and Sally from Ritesh, Darshana, Rahil and Savan!",Date of experience: April 2019,"Kata Thai Cooking Class @ Phuket, Thailand",4,"Phuket, Thailand"
Must do when in the area,Our two boys aged 11 and 13 absolutely loved this. It’s not just straightforward shooting and archery. The owners have built in games and challenges that makes the experience different and you build your skills as each games on. Lots of interesting facts shared with the boys that makes you appreciate the skills required. We would definitely recommend. Thanks again guys and perhaps see you next year.,Date of experience: February 2019,The Cotswold Range,4,"Somerford Keynes, United Kingdom"
Great location and comfortable stay,The apartment is located in a lovely part of Naples called Vomero. We had a double room for grandparents and family room for 2 adults and 2 children which consisted of a double and twin room each with en-suite bathrooms. Apartments are well decorated and the double room had a lovely balcony facing the road. Parking is a challenge if you have a big car (7 or 9 seater). Alessandro was in touch with us at all times and to greet us. Also provided recommendations and advice as needed. The breakfast bar area was neatly decorated with plenty of food options. We would recommend this apartment in particular for its great location.,Date of stay: November 2018,Chez Anna,4,"Naples, Italy"
Must do when in Milos!,"If you want to experience fishing whilst in Milos then we would highly recommend this family run, laid back fishing experience. We were met by Tina and her dad at the beginning of the day. They took us to picturesque coves as we made our way to Kleftiko bay. We stopped to swim in the gorgeous clear Aegean sea, around fascinating caves. A continental breakfast of toast, croissants and delicious cakes were served with a choice of tea/coffee. Our two boys explored the sea with masks provided before spending the afternoon fishing catching eldarado's. The boys were able to help clean the fish and Tina prepared an amazing lunch of fresh fish soup, grilled barracuda and greek salads with bread. We were provided beers, wine, ouzo, soft drinks and water throughout the day. In summary we would highly recommend.",Date of experience: August 2018,Milos Fishing Trip,4,"Milos, Greece"
"Clean, convenient and spacious","The accommodation was clean and spacious. There were many quirky and unique features of the property which gave it a lot of character such as door handles, lamps, stone designs etc. It is well laid out and within walking distance into town. The kitchen was basic. Just the one downside was lack of hot water and limited wifi in one of the rooms otherwise we'd rate this 5 stars. The view was amazing. We would like to mention Fay who was particularly helpful through the booking process and on arrival. She helped to organise fishing trip and recommended beaches and restaurants which were all excellent. We would definitely recommend staying here if you are planning on visiting Milos.",Date of stay: August 2018,Thalassitra Village Hotel,4,"Milos, Greece"
Quality hotel,"For a holiday inn express this was a very good hotel. We stayed one night but the room was comfortable, plenty of parking and the pub next door was great for food. Best part for us was the staff who were extra friendly and responsive. Would definitely recommend.",Date of stay: July 2018,Holiday Inn Express Gloucester - South,4,"Quedgeley, United Kingdom"
Bespoke B and B,"We only stayed one night but the service was impeccable. Getting to know Alasdair and Deirdre wad part of the experience and they make it their job to know about you and ensure that you get the best out of local area. We loved their home, gardens and hospitality. As per previous reviews car needed but Google maps took us straight there. North Kessock Hotel for dinner was very nice. Would definitely recommend.

Alasdair - thank you for your recommendation to visit Aviemore - you were spot on and we had a great day out.",Date of stay: July 2018,Old Drynie House,4,"North Kessock, United Kingdom"
