reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
הפתעה גדולה לטובה,"אני עובר הרבה פעמים ליד וכמעט אף פעם לא נכנס
אתמול בערב נכנסנו 2 זוגות והיה מצוין
מרק תירס מעולה גיוסה מעולה ומנת בשר מצוינת
היה קוקטייל גם מעולה",Date of visit: February 2020,Nooch,1,"Ramat Hasharon, Israel"
היינו תשעה איש משפחה ליום,"היינו תשעה איש משפחה ליום הולדת
הבשר מצוין וגם יין הבית
אכלתי את המרק עם שעועית ממליץ גם
החולשה היחדה הם המנות האחרונות שהם לא עשירות ומיוחדות מספיק לטעמי
השירות מעולה והמלצרית מאד התאמצה",Date of visit: February 2020,Hudson Restaurant,1,"Tel Aviv, Israel"
Great place in the Flea Market,"Great place for food and drinks
The atmosphere in the Flea Market on a Thursday night is great
Everything is love and vibrant
Raids is one of the best places
Food and drinks are great there was music and people started dancing",Date of visit: February 2020,Raisa - Food & Drinks,1,"Jaffa, Israel"
No luxury here,"The hotel web site states the following

The prestigious and award-winning Herods Tel Aviv Hotel is one of Tel Aviv’s finest luxury hotels,

There is nothing but nothing luxurious about this hotel.

The rooms are run down
Should have been renovated a long time ago.
Bathroom is tiny for 2 people.
When I asked why the fridge isn’t working I got the answer this is not a fridge but a box that keeps the temperature
Never heard this before
Staff could be friendlier.
Dinner Thursday was very medium . Although variety was big the trout was dry and unbeatable as was the steak.
Friday night dinner was better.
Breakfast Saturday was a disaster.
Would not recommend the massage in the Spa I had a masseur that didn’t stock talking",Date of stay: February 2020,Herods Tel Aviv,1,"Tel Aviv, Israel"
Always a place to go in Toronto,"A good place to dine drink and hang out in downtown Toronto
Food is good and inexpensive
Drinks depending what you order are good
Atmosphere is young",Date of visit: February 2020,Cactus Club Cafe First Canadian Place,1,"Toronto, Canada"
Rather disappointing,"This is a landmark hotel in Calgary
Rooms are small bathroom is tiny
I received a room facing the inside looking at other rooms
Would not recommend the room
Buffet breakfast for $21 plus tax is a joke
No luxury very little choice",Date of stay: January 2020,Fairmont Palliser,1,"Calgary, Canada"
So so,"Stayed four nights on a business trip
Lobby was renovated recently
The hotel is big
Rooms are small bathroom is tiny
Breakfast is expensive but there are options like a Starbucks in the underground passage
Two bars are really great with live music
In the second week when I checked in I was advised that my room is near the elevators and the elevator is noisy so I can have ear plugs unbelievable!!!",Date of stay: January 2020,Fairmont Royal York,1,"Toronto, Canada"
Not recommended,"Stayed a night on a business trip to Saskatoon
Hotel is going through renovation
Elevators do not work fast
Small and old rooms
Small bathroom
Breakfast is minimal and expensive
Hotel wan not clean
Would choose a different hotel if o could",Date of stay: January 2020,Delta Hotels by Marriott Saskatoon Downtown,1,"Saskatoon, Canada"
Probably the best in downtown,"Stayed a night
Always friendly reception
Got upgraded to a high floor
Breakfast is included
Breakfast is rich
Omelettes are made in the spot rich varieties
Rooms are very spacious and comfortable
At the price I paid the best deal ever",Date of stay: January 2020,InterContinental Toronto Centre,1,"Toronto, Canada"
Perfect,"Very good lunch
Sat on the bar service was great
I had pasta with beaf excellent
My friend had fish which was also great
House wine was very good",Date of visit: January 2020,Nono,1,"Herzliya, Israel"
