reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
An Amazing Experience,"We had a wonderful time with Anthi and her Mates. We could not have asked for a better experience. The knowledge of this crew is off the charts. We had a great day at sea catching an octopus, eel, barracuda, shrimp and my very own sardine. We ate everything we caught thanks to the culinary expertise of the crew. I would do this all over again in a heartbeat! Excellent experience.",Date of experience: October 2019,Santorini Traditional Fishing Experience with transportation,1,"Santorini, Greece"
Roast Beef Sandwich!,"I'm from Jersey and I haven't found a great roast beef sandwich in FL. I really like this place and their roast beef sandwich. I was very reluctant but tried it. The roast beef is shaved very thin and the au jus is great. I ordered ""extra"" which cost me $0.50 more which I didn't care but I didn't need it. Called my dad the next day and said ""you need to try their roast beef sandwiches!""",Date of visit: January 2019,Beef & Ale,1,"Lake Worth, Florida"
I keep trying but STUPID ME!,"Not sure why I keep thinking I'm going to get a different experience every time I go but I guess today says ""I'm done"". Watched the waitstaff do shots while I waited for my food. Margherita pizza is supposed to have ""FRESH"" mozzarella according to their 15+ page menu but instead you pay for shredded mozzarella that you'd get on top of chicken parmesan. A local who frequents this place and sat next to me said, ""Well, you NEVER order food on a Sunday. And I wouldn't have ordered that...their pizza's aren't that good."" Here's something to think about..just because their menu is extensive doesn't mean they have good food. They can't ""master"" any of it if they are all over the place!",Date of visit: January 2019,BJ's Restauraunt & Brewhouse,1,"West Palm Beach, Florida"
Pleasantly Surprised!,I saw all the excellent reviews online that I just HAD to try it. I was beyond pleasantly surprised. We ordered the crab meal and the fried snapper meal. The crab easily came out of the shell and the snapper wasn't greasy at all. The only thing I would change is the fact that I didn't know about this place sooner. The walnut pound cake is wonderful. Saved some for my coffee the next day and it was still fresh and moist...can't wait for next week to come so we can get another fantastic meal from Rodney's.,Date of visit: April 2018,Rodney's Crabs & More,1,"Riviera Beach, Florida"
Fantastic food...Lake Trout,"Pleasant surprise. Went to see the Eagle Harbor lighthouse and was hungry for lunch. Didn't know where to go...saw Eagle Harbor Inn and decided to pull in. What a great meal. We had a grilled trout sandwich and potato skins...don't order the fries, etc. Get the trout, potato skins and split it with your other half. You won't be sorry...considering you're in the middle of nowhere.",Date of stay: July 2017,Eagle Harbor Inn,1,"Eagle River, Michigan"
Mouth-watering clam chowder,"I just didn't know where to go and get clam chowder in San Francisco...there are so many places and I've been there a number of times. I passed by the Chowder Hut and thought to myself, ""Self...you are alone so you can sit at the bar, have some chowder, drink some beer and people watch."" And that's exactly what I did. The bartenders were very attentive and friendly. Great spot to kickback and enjoy the surroundings.",Date of visit: April 2018,Chowder Hut Grill,1,"San Francisco, California"
"Fish, Swim, Snorkel, Picnic or just walk around","This is a fantastic park. It's well kept, restrooms are always clean, and grounds are maintained. This park just missed the 5-star review because it has a lot of homeless people - many of who are nice and some who have a few ""not-so-friendly"" words to say. Families picnic here all the time and you will always spot something exciting in the water.",Date of experience: March 2018,Phil Foster Park,1,"Riviera Beach, Florida"
Spectacular Fresh Homemade Italian,"Whenever we travel to NYC we always try to make it a point to go to Cara Mia. The staff is attentive and friendly, the atmosphere is calming, the vino is terrific and the food is homemade Italian.",Date of visit: October 2017,Cara Mia,1,"New York City, New York"
So much fun....,"We had so much fun on this course...it's beautiful and kept up so nicely. Owner is fantastic! What a pleasant surprise! I would highly recommend doing this mini golf. We don't have children and we still had a great time challenging each other with the ""twists"".",Date of experience: July 2017,Into the Woods Mini Golf and Gardens,1,"Copper Harbor, Michigan"
Excellent!!!,"From the ""Welcome"" to the ""Check""...ALL EXCELLENT.
The food is so great we went back again in the same week for dinner.
Our first waitstaff was ""Steph""...beyond knowledgeable. She was happy, kind, and very appreciative of us being there. Our second time we had ""Kim""...again; fantastic, great, knowledgeable and pleasant. Food was just as great. I am very picky but was pleasantly pleased!",Date of visit: July 2017,Harbor Haus Restaurant,1,"Copper Harbor, Michigan"
