reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Sad return visit...,"We came here last year and had a wonderful meal so we thought we would return again. The ambience and atmosphere is very nice indeed. But unfortunately this time the food was not a patch on what it was last time. My daughter had the French onion soup as she so enjoyed it last time we visited. Then this was a luscious bowl of onion soup with a large crouton with bubbling cheese on top. This time it was a bowl of brown gravy like soup with a small pot of croutons on the side and some grated cheese in a pot on the side! How sad was this, she said it tasted nothing like the soup last year. I had the pork and it was dry and tasteless. I complained and they replaced my meal with some muscles and fries but this was not really what I wanted. I was so looking forward to having pork. My grandson did the best he had the sirloin steak which was cooked to perfection. It did not leave a lasting memory for us as it did last time.",Date of visit: August 2020,Le Petit Bistro,4,"Guernsey, United Kingdom"
Lunch today!,"Lunch out today. All of our meals were very good indeed and we really enjoyed
the set menu 15.95 and it was great value too..grandson had spaghetti bolognaise which he said was very tasty indeed. My lasagne was one of the best ever and the chicken my daughter had she really enjoyed.
The service and attention from the staff was utmost, kind friendly and very professional staff. This will definitely be a regular place for us when we relocate to the island!",Date of visit: February 2020,Da Nello,4,"Guernsey, United Kingdom"
Lovely lunch!,Popped in here on the off chance for lunch yesterday. Greeted superbly by the staff who arranged a very nice table overlooking the sea. Grandson had fish and chips daughter had the lobster soup and I had fillet of plaice with mash and veg and a pesto sauce. We all agreed the food was absolutely gorgeous but what made the whole experience worthwhile was the wonderful waiter we had in the restaurant. Afterwards we had a look around and this is definitely a very nice hotel...thank you.,Date of stay: December 2019,The Old Government House Hotel & Spa,4,"Guernsey, United Kingdom"
Great Sunday Lunch!,"My daughter and my grandson and I dined here last Sunday. We didn’t book but we were greeted by a young smiling face who said it was no trouble to find us a table! We ordered the Sunday platter which was enough to feed all three of us, both my daughter and I eat small portions though.The platter of chicken and roast pork was very reasonably priced for £20.00!, however my grandson wanted the lamb shank which was a special and he devoured the whole lot. We really enjoyed the food and vegetables were good quality and tasty. We had a bottle of very nice wine too..we were to full to eat desert but it did look good. After the meal we spoke with Richard the manager about hotel availability and we booked to come and stay in August!!",Date of stay: May 2019,Driftwood Inn,4,"Guernsey, United Kingdom"
Wonderful 18 days!,"Well we had a superb time here, two ladies together.We felt safe and very well cared for. Yes there are a couple of issues that need attending to and I will point them ou later in the review. but first I must concentrate on the positives.
The food overall is good. La Maree being our favourite place Ishwaree and Ramesh run this like a dream, the trainees Sweta and Neeson add compliments to this also, but you can tell when they are missing from service as it can be somewhat chaotic! But I understand this is being addressed. There are a lot of ‘trainees’ but they are learning and people need to give them the time to do this (after all we all started somewhere!!) overall the staff are courteous polite and very helpful.
The buffet restaurant food was a bit of a mixed bag but again the staff were their strength there. We did not really like the barbecue as it was not to our taste. The Banyan Asian food was very good indeed in our minds as we dine a lot out at Asian restaurants, however the service is slow as there are very little staff on duty to serve who run theirselves ragged trying to please. This restaurant lacks atmosphere and is very hot if you do not sit under a fan!!...All if the AI menu choices are very easy to understand but we ate breakfast at La maree most days at a cost of 600 rupees for the two of us which we personally felt was very good value indeed. The room was fine for what we required clean and well appointed albeit a little dated and we had the beds made up as singles at our request. We were on the BA early Morning arrival flight and we were in our room by 10.30 excellent and thank you to the welcoming no receptionists.
The hotel was somewhat quiet when we arrived but filling up as we departed. There are several babies at the hotel which did not bother us at all but we did see some guests looking a little irritated!
The pools are nice but as we were departing so me guests had large inflatables in the pool, which is not big enough for these and there is a sign saying so, sadly this does not seem to be enforced!....The swim up bar was a bit hit and miss service wise and there were several wasps around. Beware as my friend got stung twice when we were by the pool on our first day! No fault of the hotel just wanted to point this out. The waiter service on the beach and pool was good. As in all tropical climates we had the peverbial downpours and the hotel did its utmost via the cleaners to clean up and signpost where possible.
One point I need to mention as into our second week my fried slipped down the little step from the toilets in reception, the staff were very helpful but if the sign warning of the step was a little more prominent perhaps this would not have happened?
We understand that the hotel is soon to undergo refurbishment which I am sure would be a good thing....however please do not let this very nic lirpttoe hotel loose its colonial charm!",Date of stay: February 2019,Maritim Resort & Spa Mauritius,4,Mauritius
Pickering for WWII weekend Railway trip!,"Well what can I say except very good pub food at amazing prices served by very accomodating staff. We travelled from Pickering by train in the pouring rain to Grosmont. Wet and weary we went into the ‘air raid shelter’ namely the Station Tavern!! It was warm and dry in the dining room but getting a table for five not easy when the largest table was taken by two men who were obvious walkers...needless to say they didn’t offer to move! However they left before our food came so we moved tables. Upon sitting both my daughter and myself noticed the seats were very wet!! It was then we realised the ‘walkers’ had put their wet rucksacks on the seats....in my book there is something about consideration for others!! Anyway that said chairs moved we enjoyed our lunches. Beautiful fish, soup, black pudding steak and scampi! All washed down with wine and bear made the journey back in first class very successful! Thank you Station Tavern",Date of visit: October 2018,Station Tavern,4,"Grosmont, United Kingdom"
Not far off A1!,"Stopped here as near A1 and travelling to Pickering for the weekend...6 of us in all and not booked, it was a Thursday lunch time and very busy but the managed to fit us in by moving around the tables. The staff were very friendly and accommodating...the food delicious. Gammon one of the tastiest I’ve ever had, fish huge and fresh. Soup obviously home made served in large bun, nice touch. Grandson had bone which is his favourite cooked medium rare to perfection. The whole meal so good we booked for Sunday lunch to have on our way back...see you soon",Date of visit: October 2018,The Chequers Inn,4,"Retford, United Kingdom"
"Well this was different.,,","We travelled on this trip at 5pm....yesterday.....I think if you are looking for a fishing trip then you need to do the morning trip!! Saying that ...it was great the kids could see the putting out of 6km of nets!! Ready for the mornings trip catch....It seemed a long labourious task that Captain Mihalis and Hassan did with ease. It made us laugh as there were lots of seaweed relics in the nets. The whole trip was made a lot more bearable by three very lovely ladies that joined us on this trip, and they thankfully supervised the children when they went for a swim from the boat...unfortunately my husband and I due to arthritis could not manage to get out of the boat to swim, neither can my daughter who has injuries to her foot. The children both age 9 swam beautifully from the boat and back to the boat. Finally Antonia cooked the most beautiful meal ever.... the lobster was massive and plentiful salads were gorgeous and I don’t know the name of the bread with tomatoes cucumbers and everything else traditional Greek dish was fabulous. Antonia even provided the children with spaghetti some plain as we have a very fussy eater! All washed down by what Antonia called Grape juice ! It was lovely we all enjoyed ourselves..... thank you all very very much ...we got back to the port around 10 o’clock and the kids were exhausted and fell asleep,n the way back in the car",Date of experience: August 2018,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
"Great Greek food, on a great beach",We visited here last week with our son in law daughter and two grandchildren. It was a lovely restaurant the food was excellent the kids were tired after they had spent three hours in the sea! and then we ate! They then went down to the beach after dark..to see the hatched turtles go back into the seab and they loved every single minute of it. The food was good wholesome and totally Greek ...thank you we will be back!,Date of visit: August 2018,Avithos Preview Taverna,4,"Cephalonia, Greece"
Second visit not so good!,"The first time we visited here we enjoyed it emmensley, caring staff good quality food. This time we did not enjoy the food as much, although the staff were very attentive. The views are beautiful and watching the sunset very gracefully in the background whilst eating very nice indeed,
.",Date of visit: August 2018,La Mer Restaurant,4,"Cephalonia, Greece"
