reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
What a day,"My wife and I met up with Efi and Dimitrious at the harbour lovely couple. My wife use a stick but it was not a problem she walked on fine. We were offered coffee tea or water with dry snacks which were very tasty. We set of to bring in the nets and hauled in lots of fish a big catch see photos. We then went to a place were the seals hung out but none there ((nature is not on demand) maybe next time we go? We then dropped of at our first cove for a swim beautiful beach, then on to the final beach which had clay which is claimed to knock 10 years of your age two of us did it twice but our wife’s looked disappointed when we swam back. Back board Ffi and Dimitrious had been busy cooking our fresh fish we caught with great salad, Greek potatoes lots of lovely fish wine and beer flowed there were four couple who never met before but we became friends. Efi and Dimitrious are great hosts and we will be back also we highly recommend this boat and crew Jackie and Paul xx",Date of experience: September 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,1,"Cephalonia, Greece"
Fantastic,This restaurant is one of the best Indian restaurants in the UK (I have been to a lot) my wife has madras/tandoori chicken I normally have the Roshuni Chilli Mussalaits very hot. We have lots of other items on the menu can never fault it.,Date of visit: October 2018,Zeera Tandoori,1,"Irby, United Kingdom"
Average,"I travel a lot to Penrith and have visited a number of restaurant's this one I found average the staff were very friendly and I ordered the sea bass with a bottle of sauvignon blanc, the fish was very small and over cooked I thought it wasn't worth complaining cant se me going back there?",Date of visit: February 2017,Four & Twenty,1,"Penrith, United Kingdom"
Not Sure,"I stayed here twice the rooms are nice and comfortable and feel like your in some bodies bedroom, I haven't eaten here but its busy enough, the first time I checked after 8.30 p.m. and tried to order food to be gleefully told that they some serving after 8.30? Great the next time I was offered a table in very busy hall way and was basically ignored by the staff so I left, and I do not think anyone was bothered?",Date of visit: January 2017,The Lounge Hotel and Bar,1,"Penrith, United Kingdom"
Still Modern,"This hotel is still new and fresh. The management have now got hold of the kitchen staff as the last visit here the kitchen staff controlled the management?

Foods not bad but basic for a Premier Inn wine is cheap.",Date of stay: March 2017,Premier Inn Chelmsford City Centre hotel,1,"Chelmsford, United Kingdom"
Resturant Hotel and pub,"I have stayed here on a number of occasions and find that this is a restaurant that became a pub then a hotel, or was it a pub turned restaurant then hotel.
The hotel is quaint the food is fantastic and I would recommend this for hotel food and pub its great.",Date of stay: November 2016,Brantwood Country Hotel,1,"Penrith, United Kingdom"
Nice Hotel,"The running horse is a nice place to stay with comfortable rooms clean and tidy all rooms have showers so no baths here, its in the country but not far from towns and cities. The food can be quite fancy and is great if you like it that way. I have stayed here several times and would recommend this hotel and restaurant.",Date of stay: February 2017,The Running Horse,1,"Winchester, United Kingdom"
Food Very Fancy but very good,The food here can be very fancy but good quality and value for money and the wines is not expensive I would definitely recommend this restaurant.,Date of visit: February 2017,The Running Horse,1,"Winchester, United Kingdom"
Great Indian,"If you like hot Indians order the safrani fries which is very hot spicy prawns with small salad, then I have ordered chicken madras so I now order a Vindaloo after the fries very very tasty,",Date of visit: March 2017,Raj,1,"Penrith, United Kingdom"
Poor,"First of this is the first negative review off any Premier Inn as I use them quite a lot and generally find them very comfortable with good staff however, I checked into this hotel Monday 20th March, check in was fine not the usual pleasant and friendly greeting I am used to at a Premier inn. The hotel and rooms are very tired and in need of attention no problems. I went down to eat in the restaurant to be greeted by good evening sir there's a forty five minute wait in the restaurant and thirty minute wait in the bar, so faced with that I went to the bar very pleasant young man at the bar took my order and was very helpful I ordered a starter and fish & chips. I didn't have to wait very long starter was fine, however the fish and chips were absolutely disgusting soggy batter the fish was horrible the waiter came and cleared the table and asked if every was ok and I informed him of the issues with the fish and he said he would tell the chef. Will not be going any were near this establishment and I am think of avoiding Premier chain which I stay at least once a week?",Date of stay: March 2017,Premier Inn Carlisle M6 Jct44 hotel,1,"Carlisle, United Kingdom"
