reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Our go to,This is our local coffee house and being picky coffee drinkers it couldn’t have been a more perfect discovery in our new village. Julia and the girls are fantastic and always light up your day. The simply food items and baked goods are super tasty and baked fresh daily. The Oat Milk Flat White has been a lifesaver.,Date of visit: November 2017,Scandimania Coffee House,4,"Uppingham, United Kingdom"
The closest thing to Aus!,Brunch and good coffee is the ultimate Aussie combo and finally we have found somewhere in the UK that gives us that. What a discovery!,Date of visit: February 2018,Bowden Stores,4,"Great Bowden, United Kingdom"
What a hostel!,"If every hostel could be as efficient, clean and awesome as this one, we wouldn’t have any problems. The variety in room choices and the cooking and social spaces is perfect. Prague has so much to see and do and this hostel has the perfect location that takes you away from the centre of it all and gives you a chance to explore another area. The vegan around the corner and the Mexican down the road is awesome too.
We will be coming back again!",Date of stay: June 2018,Czech Inn,4,"Prague, Czech Republic"
Highly recommend!,"Transfer to our accommodation was quick, easy and at a great price. He was waiting at the airport for us even though we were almost 30 minutes late arriving.
Highly recommend! Plus we loved the tips and explanation of where we were while we were driving to our hotel.",Date of experience: July 2018,Kefalonia Best Price Taxi,4,"Cephalonia, Greece"
Perfect spot to rest your head,"We can't explain how good the hospitality and warmness we felt from Christine. Of all the places we have visited, she went above and beyond for our visit. From recommendations, to advising us of companies to use and to greeting us every morning and afternoon with a smile, Blue Paradise Studios was the perfect home away from home for us. Although you have only a small kitchenettte, Argostoli and Kefalonia are incredibly affordable and you have all the necessary items in your studio to keep the budget down if you need to.
We could not recommend Blue Paradise Studios more as the place to stay in Argostoli and Kefalonia.",Date of stay: July 2018,Blue Paradise Studios,4,"Cephalonia, Greece"
What a Day!,"Mixalis, Antonia and their lovely daughter Nikki were the best hosts. Not only did we have so much fun eating and swimming in the best places that Kefalonia offers, but we learnt so much - from the Greek language all the way to species of fish and how to cook them perfectly.
You feel like one big happy family by the end of the trip and it is the perfect way to see a different side of Kefalonia and of Greece.
Fishing is such an important part of life in this part of the world and why not experience it with the best.
Thank you Fishing Tourism Kefalonia 'Michalis' for letting us share a fantastic day with us.",Date of experience: August 2018,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Best host and great tour,"Julia picked us up promptly from our accommodation in Argostoli and the kindness was present even before we got in the car. We enjoyed a lovely 4-5 hour tour through the wine region of Kefalonia learning about Robola and experiencing it first hand with Julia, who is in fact a winemaker and farmer herself. She is an expert and incredibly passionate about what she is talking to you about. We loved spending the day with her and could not recommend this tour more.
Our favourite part was being in her home and eating and drinking her own products - a true locals experience. Thanks Julia!",Date of experience: August 2018,Kefalonia Wine Tour,4,"Kourtesi, Greece"
Great guide and a great way to see Athens,"Tanya was so incredibly lovely and really was passionate about Athens and showing us the local and authentic side of Athens.
This is a great tour for those wanting to move beyond the touristy things of Athens and would be ideal if you were spending more than 3-4 days in Athens and have the time to look further afield. We were so lucky to even have the tour private of the day which was a great luxury.
Can't thank Alternative Athens enough for a real great experience! Highly recommend!",Date of experience: August 2018,Unexpected Athens Orientation Tour,4,"Athens, Greece"
Authentic Athens!,"Food is excellent.
Service is excellent.
The man who runs it is the cherry on top. He does it all. Cooks, clears, serves and chats. He is Greek hospitality and authenticity at its finest and we went back multiple times just for him.",Date of visit: August 2018,Aspro Alogo,4,"Athens, Greece"
What a day!,"We started with Aristotle and thoroughly enjoyed his city tour. He was very knowledgable and friendly. Then we had Thanasis for the rest of the day and he was hands down the BEST guide we have ever had in all our travels. He is funny, witty, incredibly creative and so knowledgable. We can't describe how perfect he was to have for our Acropolis and Agora tour.
This is a fantastic tour and yes, it does go for around 6-7 hours in total, but it is so worth it and we experienced the proper way to see the Acropolis. Do a tour! You won't regret it.",Date of experience: August 2018,"Athens City Tour with The Acropolis, Ancient Agora and The Agora Museum",4,"Athens, Greece"
