reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great place to shop for jewelry for gifts,They have a beautiful selection of jewelry and price is super reasonable. I bought a bunch of bracelets as gifts.,Date of experience: August 2019,To Komboloi Tou Psiri,4,"Athens, Greece"
Fava hummus!,"It was our last night in Athens and yes, we are upset we discovered this too late. The service was amazing. Location is close to our hotel. Food was great. While we have had the Greek salad, octopus, etc that's in typical Greek restaurants. All were very good at Bandiera by the way. What blew our mind was the Fava hummus!!! So good! The hospitality was great as well. To end our meal, we had free dessert along with an after dinner drink.",Date of visit: August 2019,Bandiera,4,"Athens, Greece"
Free drinks and fresh lunch prepared for you,"One of the highlights of our trip. Where else can you go fishing and the captain prepares your catch for your while you swim? The lunch setup is super cute where they have your cooked fish, salad, and a side of bread for you all prepared for you at the ""table"" so when you hop back on the boat after your swim, all you do is eat. With the food scraps you throw them into the water and a bunch of fish will fight over it. It was fun watching that. The fishing we caught that day were all very tiny though, so don't expect any big catch?

I'd def. recommend this fun half day trip with Makarounas if you are sick of lounging at the beach.",Date of experience: August 2019,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Good budget stay,"We were here for one night for a wedding and it was a good budget stay. Showers are big, rooms are clean. The only problem is we were woken up by some pool aerobic exercise class with the loud music around 10AM. Else checkin and checkout was super easy.",Date of stay: August 2019,Sunday Hotel,4,"Rhodes, Greece"
Amazing staff and nice room,Every staff member are super friendly and accommodating. The resort itself is quiet and relaxing. The rooms are spacious and clean. Especially the showers are bigger than the typical Greece apartment showers. Shower water pressure is good. I enjoyed their breakfast every morning. It was central to a lot of the beaches/restaurants we were visiting with our group of friends.,Date of stay: August 2019,Eco Beach and Magic Garden Hotel,4,"Rhodes, Greece"
Better than any Indian food in NYC,"We were fortunate that we stayed at Marigot Bay Resort so Masala Bay was a walk away from us. We ate there 3 nights out of the 4 nights we were there. It is excellent Indian food! We had the goat, lamb, chicken Korma, different naans, we tried new things every night and everything was just delicious! The one night we didn't eat there, I felt like we cheated on them. We have a pretty good selection living in NYC but Masala Bay is absolutely up there!

Being the #1 restaurant on St. Lucia, it wasn't stuffy or expensive. Just a good casual dining experience with great service and great food.",Date of visit: February 2019,Masala Bay,4,St. Lucia
A bit far from airport and other attractions but great service,"It's our first time in St. Lucia and we had the pleasure to get a penthouse suite. I am glad I booked this resort because other places we looked at in Soufriere had the 3 wall open environment concept, which I believe doesn't have AC and doesn't have 4 enclosed walls. At Marigot Bay, it was all enclosed, we had AC and had quiet night sleep.

Location - The location is a bit far from airport and we made a mistake of renting a car. The roads are very windy and there are a lot of pin hair turns. It is also a bit far from Soufriere where there are some great snorkeling spots and of course the Pitons. However, you do get a great view of the bay and you can admire all the MEGA yachts docked there.

Service - Top notch 5 star service all around as other reviews have stated.

Food - The resort itself doesn't have best food and what I'm most disappointed with the resort and surrounding restaurants on the bay area (Doolittle's, Hassy's, Chateau Mygo) didn't serve Salt Fish which is their national dish. On my last day, I discovered the mini grocery store by Hurricane Hole did serve a salt fish sandwich which I was able to finally try. The best restaurant around the area without taking a land taxi was Masala Bay. It's the # 1 restaurant on the island and we are lucky enough to be located near it and we had dinner there 3 times out of our 4 night stay.

Activities - When we are there, if you want to book water tours/activities use Saltwater tour (I think that's the name), by the dock. We had great sunset cruise with Carnival Sailing. Great staff, very informative and very organized. We also did a snorkel trip booked with Satlwater the next day. It's a different boat, but very friendly staff and visited 2 snorkel sites. If you want land activities like Piton or sulfur springs, etc, book with your assistant.",Date of stay: February 2019,Marigot Bay Resort and Marina,4,St. Lucia
Highlight of our Chiang Mai Trip. This is a must do!,"10 years ago we got married in Thailand and visited ENP for a day trip. 10 years later we went back and this time we did the overnight stay. I can not stress what an amazing experience it is!! Do no look anywhere else for an up close elephant experience. This is the place to go, observe, get educated and you will be glad you made a visit.",Date of experience: November 2018,Elephant Nature Park,4,"Chiang Mai, Thailand"
Excellent wifi connection,"We stayed in the best room which has direct pool access. Room 333. The room and hotel is clean with beautiful detailed decor. Service and staff are no less than great as expected in Thailand.

What really surprised us the awesome wifi connection. We face-timed with family back in the states and we had no problem with the connection at all.

Breakfast was delicious. It was one of our better meals in Chiang Mai. The only thing we didn't know about the hotel is it's also an alcohol free place.

The location is very convenient to the night bazaar and the old city. The street is on a quieter street but safe so you don't feel like you are in the middle of the city. No city noise.",Date of stay: November 2018,Away Chiang Mai Thapae Resort – A Vegan Retreat,4,"Chiang Mai, Thailand"
3rd time in Bermuda and this is one of the best restaurants we've been to,"Been to Bermuda 3 times. Been to Marcus, 1609 Bar, Bouchee, Port O Call, Gulfstream etc…This is definitely one of the top if not the top restaurants we have been to for food and service. We were surprised to see spaghetti carbonara on the menu on the appetizer section so we got it and split it amongst the 4 of us. It was surprisingly good. I also ordered the rockfish entre and it was fantastic!",Date of visit: August 2018,"Henry VIII Restaurant, Sushi Bar and Pub",4,Bermuda
