reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great Food polite service,"I go with my wife and baby at least twice a week for lunch. Very fair price, authentic vietnamese food and also the sushi is really good. Price wise i have a say in czech everything is not expensive and for lunch we pay an average of 400 kc with foos and drinks. They are also kind and give us free of charge rice and vegetables for our baby. What i like once we seat thry bring straight away a soup before even the drinks so u have something for your hungry stomach. They serve quick only beware that sometimes it is packed.",Date of visit: November 2019,Táo Viet Nam Home Cooking & Sushi Bar,1,"Brno, Czech Republic"
Bestes Restaurant in Mykonos,Wir gingen Abend in Reeza Anfang September. Der Emfang von Margarita war sehr freundlich und sie begleitet uns zum Tisch dort hatten sie schon das Babystuhl bereitgestellt. Wir haben beide das Menü genommen. Vom Gruss aus der Küche bis zum Dessert war alles hervorragend. Der Wein war auch super unser Kellner total hilfsbereit und freundlich. Danke auch an Roy viele Grüße aus Super Paradise,Date of visit: September 2019,Reeza Restaurant,1,"Mykonos, Greece"
Good sushi great lunch,Wir hatten Sushi Rollen als Vorspeise mit Salaten und als Hauptgang Pasta. Die Qualität des Essen war hervorragend das Service Personal sehr nett und Pavloswar super freundlich. Mittagessen lag bei 60Euro ich verstehe nicht warum sich über die Preise beschweren sollen sie nach Mykonos gehen dann werden die Augen machen und umfallen. Kannnich nue empfehlen.,Date of visit: September 2019,Ono Concept,1,"Syros, Greece"
What a polite family run taverna,Maria and her husband Josef are really warm heart people. I enjoy fresh fish and one of the best meal this year. With wine we pay 44 Euro which was more then fair price in some restaurants in Mykonos town a main dish cost 50euro. We coming back one more time for sure.,Date of visit: September 2019,Talaras Taverna,1,"Syros, Greece"
Naja vieles falsch gelaufen.,"Wir hatten einen schönen Tisch bekommen. Der Empfang war warm und herzlich, wir haben uns gefreut und das Menü genommen. Die Gänge waren gut aber nicht ein Gaumengenuss, man hatte sich sogar mit den geänderten Hauptgängen. Ich musste warten bis das richtige Essen für meine Frau kam. Das Dessert war der Highlight. Der Kellner war sehr aufdringlich hat schon am Anfang uns zu verstehen gegeben wir sind im besten Restaurant Brno für meinen Geschmack zu arrogant. Leider schenkte er uns später weniger Aufmerksamkeit naja und der Abend mit Weinen kostet 5800 Kronen was nicht billig ist dafür will ich aber guten Service und leckeres Essen.",Date of visit: February 2019,Borgo Agnese,1,"Brno, Czech Republic"
Great lunch,"I went there for lunch with my baby. I was the only one costumers that afternoon but to have thr whole place for me alone was funny. I order tuna, oyster, hamachi and salmon nigiri and they were very good and i eat alot sashimi and nigiri. The greet from thr kitchen was great as well the eel taste divine. For main i had cod which was ok but not awesome. The dessert was delicious at the end. Thr waiter took good care. He bring me a baby chair always i glas of water was never empty on general service was excellent. For lunch i paid almost 60 euro which in in Brno alot of money but for good food",Date of visit: March 2019,KOISHI restaurant,1,"Brno, Czech Republic"
Better then last year,Ich kam mit Frau und Baby und das Team ums Reeza hatte super um uns gekümmert. Wir kamen um 1930 auf dein Drink und haben das Sonnenuntergang genossen. Man hat eine tolle Aussicht auf Delos Rinia und Mykonos Stadt Mensch schade dass nur wenige Tische am dem Abend da waren denn dieses Lokal verdient mehr Gäste. Optisch sahen die Gerichte noch besser aus und geschmacklich haben sie sich gesteigert. Nur ein kleiner Schönheitsfehler preislich ist es doppelt so teuer geworden. Daa Menü ist sensationell sie kochen auf einen ganz hohen Level griechisch modern. Der Wein der uns von dem kompetenten Kellner empfohlen wurde war sensationell. Haben am Ende 250 Euro bezahlt aber das war ein schöner Abend. Dankeee Reeza freue mich auf Nächstes Jahr schon,Date of visit: June 2019,Reeza Restaurant,1,"Mykonos, Greece"
Great Birthday,Every year when we are going to Mykonos we visit this great taverna a couple of timea. This year i celebrate my birthday here with family and friends. The food is very good and service is super friendly. Comparing to the other place in Ornos Beach the price is really fair...a must go if you are in Ornos,Date of visit: May 2019,Kostantis,1,"Mykonos, Greece"
Enttäuschung,Aufgrund der vielen guten Bewertung sind wir ins Nissaki Hotel gegangen um das Pho Restaurant auszuprobieren. Wir bestellten Oktopus mit Fava welch Genuss aber die restlichen Speisen waren eine Enttäuschungen der Quinoa Salad war so säuerlich nach unserem Geschmack und die Pasta mit Lobster war leider nix. Schalentier war einfach zu durch uns zu trocken sollte nicht passieren hatte bessere gehabt in Principote. Service war sehr bemüht aber für so ein Mittagessen was mmnicht billig ist erwarte ich viel viel mehr...,Date of visit: May 2019,Phos Restaurant,1,"Mykonos, Greece"
Diesmal mussten wir sehr lange warten,"Jedes Jahr gehen wir ins Kikis und jedes Mal werden wir nie enttäuscht doch diesea Jahr wurden die Preise erhöht sogar sehr deutlich und nachdem wir 90min gewartet hatten, mussten wir weitere 40min warten bia die bestellten Vorspeisen kamen. Weitere 50min vergingen wir wieder bis der Schweinesteak und Tintenfiach kam. Vasilis erkannte uns wieder und lud uns auf 2Kaffee und Nachtisch ein. Der Service schien überfordert gewesen zu sein. Naja hoffentlich wird dwr nächste Besuch besser...",Date of visit: May 2019,Kikis Tavern,1,"Mykonos, Greece"
