reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
"Great staff, great food","I was working in the area for the week and spent most of my evenings here. All the staff were friendly and helpful. There’s a fun quiz on Sundays and a more serious one on Thursdays. Discounts on ale on Mondays and wine on Sunday evenings. They also mentioned a new menu coming next week.
This is a great pub, make sure you visit if you’re in the area.",Date of visit: October 2019,The Green Man,4,"Kenilworth, United Kingdom"
"Must visit, get a tour if poss","I love a ancient ruin site, this is one of my favourites. I have visited before, but wanted to go back.

You can buy a combined ticket for here and the museum for €16pp, valid for 48 hours (so you don’t have to do both on the same day if you don’t want to).

It is obviously very hot, very open and very busy. I would recommend a 3pm or later visit to avoid all 3. Take a tour if you can, all seem very knowledgeable and passionate about the site. Our guide, Maria was lovey and friendly, and clearly enjoyed telling us about the history.

Yes, much of this has had “some work done” by the archeologists who discovered it but that doesn’t take away from the interest or wonder of the history. The original mosaics are in the museum.

We haven’t used the cafe, but the toilets do have attendants. You don’t have to tip if you don’t want to, but if you do 50 cents is the “suggested donation”.

There are many souvenir shops / cafes outside. Don’t be fooled by the earlier signs for parking, these are taverns looking for you to stop with them. Parking is free and lots of space at the site.",Date of experience: September 2019,The Palace of Knossos,4,"Crete, Greece"
"Great site, could do with more info","Beautiful site, mostly original and great place for walking and looking at some real history. Unfortunately the only information about the site (that we could find) was in the few buildings by the entrance and a map. The tickets had a map on the back for you to find your way and know what you are looking at.

The gift shop and cafe were closed so take water with you. Toilets were satisfactory. I’m sure the staff would answer questions if you asked but there was nothing to read. If there was an opportunity for a guided tour, I would recommend this.

The site is lovely and not too busy when we went. Only the pots have been rebuilt. Good value for money overall. Good parking facilities. Closed on Mondays.",Date of experience: September 2019,Malia Palace Archaeological Site,4,"Crete, Greece"
Best restaurant in Agios!,"Having been to Agios in 2016 (when we discovered this little delight!) we returned again for the day on our holiday this year.

Previously we had eaten here 4-5 times, we headed straight back when it came to lunch time. As we chose our table and sat down, the manager came over and welcomed us - greeting with “long time, no see!” How amazing that this man remembered us, not just our faces but offered me the Mythos and olives, as if we had only visited last week!

The fish here is fresh and delicious but on this occasion we chose the Greek plate. This was great too!

The view from the seating is beautiful, over looking the beach and cove. Any unwanted bread goes over the fence and you can watch the fish in the sea come and eat it.

Welcoming and friendly staff, clean facilities, delicious food. You must spend some times here!
If / when we return, we will be again!",Date of visit: September 2019,Ofou To Lo,4,"Crete, Greece"
“Home away from home”,"Visited here for lunch, mainly based on the trip advisor reviews.

The staff are friendly, food and drink all good, sports tv, strongbow on tap. Toilets satisfactory.

Great place if you’re looking for something that resembles your local at home (with better cocktails) but not a traditional Greek restaurant - that’s not to say they don’t serve tasty Greek meals though.",Date of visit: September 2019,White Lion,4,"Crete, Greece"
Fab place! A must visit!,"After visiting here previously on a different holiday, we made a point of returning again because we enjoyed it so much before.

It’s €8 entrance (adults) and isn’t a massive place, please remember this is a charity and the people here do good work. There isn’t a cafe, toilets are basic and I didn’t notice a vending machine or anything so I would recommend you visit after breakfast or lunch.

First is the aquarium, with a number of different sea life creatures - not just lots and lots of all the same fish! I love this because the octopus and eels are actually moving, not just sitting in a corner. There are some big fish, small fish and even a turtle.

Moving on is the reptile section. There is always 2 or more members of staff around to talk to you about the animals. They encourage you to hold the snakes and lizards which is great fun! Mind your feet, so you don’t step on an iguana!

Great for kids and adults alike, well worth the entrance fee and a great cause as well!",Date of experience: September 2019,Aquaworld Aquarium & Reptile Rescue Centre,4,"Crete, Greece"
Lovely insight in old Cretan life,"Welcoming staff, offering help and information when asked. Short video presentation is available at specific times in a number of languages. Audio description offered extra for 2 Euro’s.

Easy to follow walk, lasting 1-2 hours. Refreshments and gifts available as well.

This was a really nice little place and I enjoyed it very much. Good value for money with many aspects of Cretan life explained.

Well worth a visit!",Date of experience: September 2019,Lychnostatis Open Air Museum,4,"Crete, Greece"
Crete Aquarium,"Nice aquarium which has parking just a 1 minute walk away. Great for anyone who likes fish, has children to entertain and / or looking for some time out of the sun.

There is a small coffee shop outside as well as the cafe inside, however we did not eat in either on our visit.

Next to most of the tanks is a “roller” where you select the language you require and it gives you the name of the fish.

There are a number of small interactive screens, such as guessing the shark jaws, fish skeletons in 3D and baby turtles on a projector. All good fun and giving you information. Obviously most of the fish information is in Greek.

The sharks and turtles are the highlight for most, but I liked the octopus, cuttlefish and jellyfish the best.

Free WiFi and satisfactory toilet facilities.",Date of experience: September 2019,Cretaquarium - Thalassocosmos,4,"Crete, Greece"
"Great staff, lovely food, nice location","We stayed at this hotel for 10 days. The hotel is spotlessly clean, nicely laid out with some beautiful views. The beach is literally a 10 second walk and you can hire towels to use at the pool or beach for a deposit.
There is a games room and entertainment every evening with additional things to do during the day - both for kids and adults.

The staff are really friendly and helpful. Everyone says hello, and want you have have a nice time. They can’t do enough for you, much more than I would expect for an all inclusive.

The food is lovely! Breakfast , lunch and dinner in the main restaurant is buffet style but if you need anything, just ask the staff and they are happy to help if they can. At breakfast you can have omelettes made to order (the chef here is really lovely, always says morning - he’s a big fella, don’t be put off, nothing a smile and manners doesn’t cure - he’s a big softy really!) Kostas, the restaurant manager welcomes you every time you visit, he’s welcoming and friendly, and works very hard. You can also book for the 3 restaurants (the day before) if you would prefer to have a menu to look at - I would recommend this as the restaurants are great (Asian, Italian and a Greek). The staff here are equally as great - especially Georgia and the chefs in the Italian.
Snacks, ice cream and drinks are available at the pool and hotel bars in between meal times.

You can hire a car from here (very reasonably), join a tour group/outing or catch a bus or mini train from outside.

There aren’t many bars, restaurants or clubs too close but a short walk along the sea front will find a few, plus shops and other hotels which let you join them in their restaurants and bars.
Please visit the souvenir shop just outside the hotel too. If you’re looking for gifts, wine or olives etc to take home, it is better priced than the ones on the sea front. The lady in the shop is also willing to give you advice, not just on her products but the local area as well.",Date of stay: September 2019,Serita Beach Hotel,4,"Crete, Greece"
"Great cocktails, great Andreas!","Found this place on a local mini train tour (see other reviews). The train stops a couple of units down and we were initially hooked by the 241 cocktails!
Andreas was welcoming and friendly and we subsequently visited a number of times during our time in Crete.
The cocktails were obviously delicious and great value for money.
Thank you for your hospitality!",Date of experience: September 2019,Havana Club,4,"Crete, Greece"
Nice lunch,Visited here with some friends that have moved to the area. Staff were all friendly and the food was tasty & good value. Would be happy to visit again next time we’re in the area,Date of visit: June 2018,"Peacock Lodge, Gatwick",4,"Lingfield, United Kingdom"
"Great new look, great food",Haven’t been here for ages but what a change since I last was! The new carvery was delicious and the staff were friendly. The pub looks great! The wacky warehouse has gone which is a bit sad but there is still an outside climbing frame so that kept the kids happy because it was a nice day. We’ll be going back again very soon,Date of visit: June 2018,"Myllet Arms, Greene King Pub & Carvery",4,"Greenford, United Kingdom"
Lunch meeting,Came here for a work meeting today. We had an area at the back of the pub and had a carvery as we talked work. I don’t usually go for a roast but this was really good! Definitely won’t mind next time the boss says to meet him here again & I might even take the Mrs at the weekend!,Date of visit: March 2018,Air Balloon,4,"Horley, United Kingdom"
Birthday bash,"I would like to thank all the staff at the fairway for a great night, me and me mates decided on going to the fairway as we often use the driving range there and the food is good. They had advertised a Brit pop band called dizzy fish on the Friday so the date was set. And what a great night the band was really good and the place was jumping, thanks again",Date of visit: February 2018,Fairway,4,"Ruislip, United Kingdom"
Expensive but worth the money,"This is a great zoo in beautiful surroundings. It is very big so make sure you wear your walking shoes. It cost £28 (adult) to get in which is a bit steep but is worth the money when you see the animals which are obviously very well cared for in their large enclosures. There is a train you can go on which is another £4.50, with commentary as you drive round and also a free bus service which you can jump on and off as you like.

When we went, it was out of season so a number of the food outlets were closed and the reptile house was having some work done so that was out too but this is to be expected really. The main cafe was open, food was good but again a bit expensive. Everywhere was very clean and cared for.

A great day, don't miss it!",Date of experience: September 2017,ZSL Whipsnade Zoo,4,"Dunstable, United Kingdom"
"Amazing museum, not to be missed","I love a good museum and this is one of the greats! The building itself is so beautiful and you could probably spend a day just looking at the intricacies of the architecture and decoration of the stone work.

You do need to have your bag searched on the way in but this is just a sign of the times and once you're in, it's not something you need to worry about again. (Personally I think it's a small price to pay to protect the safety of visitors and the priceless and historical exhibits)

We spent 5 hours here and still didn't get to see everything but I would be so happy to go again. There are some ""copied"" exhibits but this didn't bother me so much as everything is so carefully cared for and laid out. There is a fountain of knowledge on so many subjects, I would have got lost for days reading every snippet of information. The stuffed animals can make you feel a little uncomfortable but I'm guessing that's why some of them are models.

I have visited this museum previously as a child and remember it as a boring place with rooms full of bugs and stones on display but the improvements since then are amazing. Many of the displays are now interactive and some of the models move. They have clearly tried to make the museum more relevant and I believe they have achieved this while still remaining true to its roots.

We didn't eat here but that was only because we had planned to eat elsewhere in London, not because it was to expensive or the food was unappealing. The toilets were clean and had attendants. The staff were helpful and knowledgeable.

A great day, not to be missed!",Date of experience: September 2017,Natural History Museum,4,"London, United Kingdom"
Get a 241 voucher ...,"My partner and I were on a day out in London and had picked up a 241 voucher book when getting our train tickets. We had seen the Ghost Bus advertised before and the 241 voucher made us give it a go.

We found the meeting point but hadn't pre booked, we were able to just join up there and then. The guy sorting out the visitors out wasn't particularly welcoming but in fairness, wasn't rude either. The cost is £21 per person so the 241 voucher was a bonus.

We joined the bus and settled in a seat. On departure there was some historical information given but this soon became less of a focal point. Theatrics took over and in between the random bursts of interruption a short ghost story might turn up. It was humorous but sadly it was not exactly what we had in mind. The idea of a bus tour with horror stories is a great one but could have been operated better. The girls running the bus are following a script and played their part well enough but I personally would have preferred more historical stories.

The 241 voucher made this experience more acceptable, had I paid £42, I would have been less forgiving.",Date of experience: September 2017,The Ghost Bus Tours - London,4,"London, United Kingdom"
Walk Forrest Walk,"I've been wanting to eat at this restaurant for a while. I found a 241 voucher on main meals Ina train travel booklet so thought it was a good deal.

We were welcomed into the shop and restaurant warmly by the staff and shown to a table. At the time the place wasn't too full so could pretty much picked where we sat. There was a sign on the table, one side saying run Forrest run, the other with stop Forrest stop. It was pointed out to us that if we wanted service to have the stop side showing. Although a novel idea, a bit unnecessary really (it mostly made me feel like the staff didn't need to come over to us if the run sign was on show, but that's a personal view and I'm sure not all customers feel this way and like the gimmick)

We ordered some cocktails and on their arrival, ordered our meals. The drinks were tasty but not overly alcoholic and quite expensive for what they were but then I am aware we were in the heart of London. The food however was very good. I love prawns so was spoilt for choice. The starters were delivered quickly and the mains shortly after we had had finished, we didn't have to wait much at all.

The best thing about this restaurant is the food. It was very clean (tables and toilets) and the staff were friendly enough. It was an expensive meal but the 241 voucher was a bonus. Look out for the 12.5% service charge that's already been added to your bill for you. We paid it, but didn't leave any additional tip because of it.",Date of visit: September 2017,Bubba Gump Shrimp Co,4,"London, United Kingdom"
"So welcoming, delicious food, beautiful hotel, worth every penny","This hotel is situated just outside the pretty town of Brantome. It is close enough to walk to but not in uncomfortable shoes because it is a good 20-25 min walk away.

On arrival we were greeted so warmly by a gentleman that we later discovered was the father in this excellent family run hotel. He apologised that he didn't speak much English but between him and my other half we worked out (with much laughing at everyone's hand gestures) that we had arrived too early to check in but his son would be back at 4 and if we would like to visit the town for a few hours we could leave the car and come back later. This suited us as we were hungry after traveling early from home and we were given a map by the matriarchal mother who was also very warm and friendly. As we set off up the white chalk road towards the village, the lady of the house pulled up and offered us a lift as she was heading that way to. During the car journey she told us to eat by the river but avoid the market area because the food wasn't as good.

We had our lunch and made the trek back. On returning we met the son who also welcomed us very warmly and asked if we would be eating dinner with them, which we accepted. Our room was beautifully decorated, very clean and had a small balcony looking out over the mill and river.

We were visiting this area for a wedding the next day and the lady of the house generously offered to iron my shirts, which was such a great help, I had been worried about how they would look after being in a suit case for 12 hours.
We handed the shirts in just before dinner and they were back in the wardrobe, professionally pressed (much better than either of us could have achieved) before we had dessert!

The meal we had was nothing short of amazing! On the menu was the choice of 2 set menus that you selected from or individual dishes, each individually priced. We chose 1 set menu for €48 and another from €65. We were spoiled for choice with a number of delicious meals we could have selected, we decided upon starters of crayfish and lobster, mains of sea bass and a fillet of beef and for dessert apple tart and a chocolate melt in the middle. All of these were so fantastic! We had canapés first, the lobster starter was so beautiful, I could have eaten it twice or more! The sea bass was so good, fillet of beef probably the best we have every had (& we have had some amazing beef in the past) the desserts looked like a work of art and both so delicious. I can not recommend the food enough, if you stay there, you have to have dinner even if it's just once. I swear you won't regret it! The whole time, we were looked after by a gentleman maitre d. Upon returning to our room, which over looked the restaurant entrance we saw the father in the kitchen, dressed in his chef blacks! We were blown away! This little firecracker of a man, so much amazing skill! He also cooked the eggs for breakfast and we took the chance to congratulate him on his amazing food!
Breakfast consisted of a fresh fruit salad, natural yogurt, pancake, breads and a number of French pastries with jam and a choice of eggs with orange juice (freshly squeezed) with tea and coffee. Again, all delicious.

The shower in the room was great (not wishy washy) the bed was comfortable and soft. A great nights sleep was had by both of us and the gentle swishing of the water outside was not intrusive. There is a great collection of chickens all over the hotel, these quirky little ornaments gave the place character and we loved looking around to see them in little corners.

On check out we were given a gift from the hotel owners, and they genuinely wished us well. If we were to return to this part of France, we would definitely make a point of staying there again. Beautiful hotel, lovely people, amazing experience!

(I apologise that we didn't actually catch anyone's name during the entire time we were here. I wish we had because everyone we met were such warm and genuine people who clearly love their jobs and deserve to be recognised by name)",Date of stay: September 2017,Le Moulin De Vigonac,4,"Brantome en Perigord City, France"
Best Chiquito in the area,"Chiquito is a chain outlet and I have been to a number of them in my surrounding areas however this is by far the best one. The food is always good, it's clean, 9 times out of 10 the servers are friendly and helpful and they do the best cocktails. We went here for my girlfriends birthday and we all had a great time. We visit here regularly and always have a great meal.",Date of visit: September 2017,Chiquito,4,"Hemel Hempstead, United Kingdom"
"Steep steps, great views, lovely little bar",This was a lovely place to visit. The clock tower looks beautiful from the outside. The €5 entry cost includes a drink at the cute little court yard bar too (beer & spirits included). The steps up the tower are enough to puff you out a bit but the views are worth it once you catch your breath. Definitely worth a little stop.,Date of experience: June 2017,Roloi Clock Tower,4,"Rhodes, Greece"
