reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
An amazing experience!,"Do not leave the area without this experience! You can hop the boat from either Milos or Kimolos. Captain Nikos and his wife are the most wonderful couple to take you to a day-long journey to Polyegos and the surrounding area. The day starts with collecting the fish from the bottom of the sea - the very fish you are going to have for lunch later on!

This is a difficult thing to organize; you need an excellent captain, an excellent cook and excellent and welcoming service. The couple offers all of the above with abundance, making the trip a memorable and must-have experience including fishing, swimming in the most gorgeous beaches in Polyegos, dining and sightseeing (with pirate story/telling!)

Great to have this in your list!",Date of experience: August 2019,Milos Fishing Experience,1,"Milos, Greece"
Outstanding quality,"Thea Thalassa is a great launchpad to enjoy the beautiful island of Tinos. Excellent price-to-quality ratio, as the aesthetics, quality, hospitality and services are exceptional.

The view is one of the best across the island, and the very hospitable owners will make you feel like you're at home.

Highly recommended!",Date of stay: July 2017,Thea Thalassa Studios,1,"Tinos, Greece"
Terrible managers,"Let's get some things straight right off the bat: this is, hands down, the best beach in Kithira - from a landscape perspective. Crystal-clear waters, great sand.

What's super-bad though, is the fact that an ignorant couple somehow landed the management of the beach, and this is bad. Their knowledge on how to secure a good customer experience is abysmal, and so they try with cheap tricks (e.g. an offering of a minuscule piece of bread, or cleaning the sunbeds with Dettol before you sit) to compensate, always with the opposite effect.

Service is incredibly slow (as they try to maximize profit by having only a poor teenager walking up and down, trying to serve 50+ umbrellas).

This is a clear example in why people should stick with what they know (being a museum curator for instance) and leave customer experience to people who actually want and can do it.

Avoid, unfortunately.",Date of experience: August 2017,Melidoni Beach,1,"Kythira, Greece"
Απατεώνες,"Έχω την εντύπωση οτι το POS ειναι υποχρεωτικό πλέον. Εκτός απο κάποιους οι οποίοι, σε πείσμα των αναγκών του κόσμου αλλά και του νόμου, αποφασίζουν να κάνουν το δικό τους.

Τα καλυτερα ποτά στη Χώρα ειναι 10 μέτρα πιο κάτω, και αυτό φαίνεται και απο τον κόσμο.

Ντροπή.",Date of experience: August 2017,Choraki,1,"Kythira, Greece"
Unprofessional and inhospitable,"The price is crazy high. The rooms are very small and not advertised as such. The bathroom is old, rusty and squeeky, breakfast and service is simply non-existent. Beds are hard, parking can be a challenge. Besides trying to cheat and conveniently 'forget to mention' aspects, this hotel should radically lower it's price to a more reasonable ~80 euros rather than double that.",Date of stay: July 2016,Adamantia Hotel,1,"Paxos, Greece"
Zero empathy,"While Ramada Plaza is one of the best known, the service is way below par.

While the staff try to respond, the hotel's processes are set up poorly - and certainly not rendering a service for the price the hotel asks for.

Every time something was needed (room
service? Taxi call? Extra stay? Cleaning? Check out?) they failed miserably to satisfy, even being misaligned with what thy promised in terms of services and charge.

Overall, a bad experience. There are many hotels in town who actually WANT their guests to have a nice time.

The Ramada is not one of them.",Date of stay: October 2015,Hyperion Hotel Basel,1,"Basel, Switzerland"
Beautiful & relaxing,"We discovered Monopati before setting out for a long weekend in Monemvasia. Had good reviews so we contacted the managers to book us a room. The hotel is situated inside the picturesque Castle of Monemvasia, so that is already a major advantage. The spacious two-leveled room was fantastic, nicely decorated and providing everything we needed for our stay there. It sleeps 4-5 people with relative ease, having 2 separate bedrooms, a kitchen, a large living room with fireplace, central heating, air conditioning etc. What was amazing though was the patio overlooking Monemvasia and the sea, allowing you to relax and tan while enjoying music or reading a book. The service was very good, the room was very clean and the hotel managers are as helpful as they come! I would recommend this place and, obviously, I would stay here again!",Date of stay: March 2013,Monopati Residence,1,"Monemvasia, Greece"
"Truly Parisian, and that has it's pros & cons","Paris is wonderful, and getting around is easy using the Metro. However, choosing your hotel location can be paramount if you want to be at the very center of everything. This was the main reason we chose Le Pradey: location, location, location. Situated near Place Concorde, in Paris' 1st Arrondissement, this is a small, very parisian and charming hotel which you can use as base for your explorations. Don't be mind-bongled by its size; almost all hotels in paris are small - and the rooms too. Le Pradey features a wonderful little mezzanine (dubbed 'Honesty Bar') where you can have Nespresso and tea for free, and anything else you consume, it's up to you to tell the reception when you check-out (hence, 'Honesty'). The rooms are very clean and the bed is amazing. Bathrooms are clean and adequately large. To be honest, you probably don't need anything bigger. In terms of price, it's rather on the steep side, considering what you get, but this is Paris. Recommended, I would stay here again!",Date of stay: December 2012,Hôtel Le Pradey,1,"Paris, France"
Not at par with other Hiltons,"Good location, however rooms are small and a bit on the old side...not really recommended. The overall interior is nice however when it comes to rooms, it's one of the worst hotels bearing the Hilton badge.",Date of stay: September 2012,Hilton Prague,1,"Prague, Czech Republic"
A fantastic hotel,"First of all, let me warn you: DO NOT GET MISLED by low-ranking reviews, these are probably before a major renovation some two years back.

So, on to the review: we were here on September '12 on our honeymoon. We had booked a beach front villa with pool, however pon our arrival we were bumped up to a senior beach front villa with pool, the hotel's best room available.

Typically, beach front villas consist of two-story little 'huts', with the regular one on the sand level and the senior one on top of the regular one, each with its own pool and direct access to the beach. The senior which accommodated us was simply put the best room we've ever been to, and we are very frequent travelers, having stayed at top hotels around the globe.

The hotels 6 restaurants are all amazing with delicious food that matches every taste, from Italian to Thai. Water sports are free for guests, and the Clarins Spa is a delight. The hotel is very modern and luxurious, while the staff, in all our interactions was very friendy and courteous. Some issues with WiFi access were easy to get by with by the sheer enjoyment the hotel offered us.

On the downside, if you're visiting this hotel, make sure you go for the beach front villas, because the garden-looking ones just take away some of the atmosphere Mauritius has to offer.

Overall, a recommended choice, trust me, you'll love it,",Date of stay: September 2012,Trou Aux Biches Beachcomber Golf Resort & Spa,1,Mauritius
