reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Excellent Drive-Thru Service,"Thank you to all the staff at Hunslet KFC for their excellent, efficient & friendly service. Delicious hot food & good portion sizes.",Date of visit: November 2020,KFC,4,"Leeds, United Kingdom"
"Excellent Food, Service & Ambience","Thank you to all the fantastic staff at Cucina’s for a great meal this evening. Tasty freshly cooked food, excellent service, great value for money & ambience.",Date of visit: September 2020,Cucina Cafe Bar & Restaurant,4,"Morley, United Kingdom"
Fantastic Take Away Service,"Thank you to all the staff at Nando’s for a fantastic Take Away Service yesterday. Excellent customer service, fast service & well cooked delicious chicken.",Date of visit: September 2020,Nando's Leeds - White Rose,4,"Leeds, United Kingdom"
Great Carvery,"Thank you to all the staff at the Oulton Toby for a great Carvery meal this afternoon. Delicious freshly cooked food, efficient service & fantastic value for money.",Date of visit: September 2020,Toby Carvery,4,"Oulton, United Kingdom"
Great Afternoon Snack,"Thank you to all the staff for their great service & freshly prepared food during our visit. All staff members were very friendly & efficient, service was prompt & tasty freshly prepared food.",Date of visit: September 2020,Morrisons Brampton,4,"Barnsley, United Kingdom"
Fantastic Stay As Always,"Thank you to all the staff at Tankersley Manor for their continuous attentive service to ensure we always have a great stay at their beautiful hotel. A special thank you to Hope for arranging our room reservations & the Brassiere Manager for outstanding service & delicious food during our meal.
We pre-booked our Gym & Swim times & enjoyed the Leisure facilities. Check in & Check out at the hotel was quick & easy, we would have preferred a cooked breakfast however the ‘Grab n Go’ Breakfast was varied & more than sufficient.
Excellent procedures imposed & attention to detail throughout the hotel re COVID.",Date of stay: September 2020,Tankersley Manor Hotel,4,"Tankersley, United Kingdom"
Great Food & Service,"Thank you to all the fantastic staff at Colton Mill for a great meal this afternoon. Delicious freshly cooked food, friendly, attentive & efficient service.",Date of visit: September 2020,The Colton Mill Harvester,4,"Leeds, United Kingdom"
"Great Cafe, Service & Value For Money","Thank you to all the staff for their fantastic service & food this afternoon when we visited. We enjoyed tasty freshly prepared hot & cold food, all members of staff were extremely friendly, attentive & efficient.",Date of visit: August 2020,Morrisons,4,"Morley, United Kingdom"
"Fantastic Food, Service & Ambience.","Thank you to Mario & all the staff at Rustico’s for a fantastic meal this evening. As always delicious piping hot food, great service & value for money.",Date of visit: August 2020,Rustico,4,"Wakefield, United Kingdom"
"Excellent Food, Service & Beautiful Grounds","Thank you to all the fantastic staff at Dimplewell Lodge for a fantastic family meal. Attentive, friendly service, mouthwatering tasty food & exceptional value for money. A beautiful setting with idyllic grounds.",Date of stay: August 2020,Dimple Well Lodge,4,"Ossett, United Kingdom"
Exceptional as always.,"Thank you to all the fantastic staff at Zuchinnis for another great meal - exceptional service & food quality as always.
Great to be back dining in our favourite restaurant.",Date of visit: August 2020,Zucchini Italian Restaurant,4,"Batley, United Kingdom"
Exceptional Service & Food.,"Thank you to all the staff at Miller & Carter Garforth for their exceptional service during our visit for lunch this afternoon. We enjoyed the Lunch Time Menu which was absolutely delicious, cooked to perfection & fantastic value for money.
Our waitress Katie provided outstanding friendly, attentive service throughout our meal - a true credit to Miller & Carter.
It was my first visit to Miller & Carter & I had high expectations which were undoubtedly exceeded.",Date of visit: July 2020,Miller & Carter Steakhouse,4,"Garforth, United Kingdom"
Delicious Takeaway,"Thank you to all the awesome staff at Zuchinnis for a delicious takeaway this weekend. Zucchini’s is one of our favourite restaurants, the take away service received was absolutely fantastic & food still as mouth-wateringly gorgeous.",Date of visit: April 2020,Zucchini Italian Restaurant,4,"Batley, United Kingdom"
