reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Very disappointed. No music/ entertainment as website suggests,"Very disappointed. Booked a leaving party here for 12 people. Website suggested music and staff entertainment but all we got was elevator music all night. The waiter/waitress service was abysmal. Service was slow and inattentive and the waiting staff were so unfriendly and evidently didn’t want to be there.
The food was basic. Hummus and snacks (not enough) for starters and then after an hour’s wait we got the main course. It was embarrassing as I had organised the restaurant for the group based upon its website but it was just awful.",Date of visit: December 2019,Sarastro,1,"London, United Kingdom"
This is a “Must Do” if you are in Kefalonia,"Run by the two nicest people in Greece - Dimitris and Efi. We had the best day! We started at 8am from Kefalonia Harbour and set out to pull in the fishing nets that had been set the night before. Kids were Uber excited as we pulled in Parrot fish, bass, bream, mullet, Scorpion fish, squid and cuttlefish plus more - and everyone helped.
Then went to a deserted beach for swimming and discovered a hidden gem... natural mineral-rich clay which we plastered all over our bodies before swimming back to the boat for a FANTASTIC meal of the fish we’d caught plus fresh vegetables from Efi’s and Dimitrios’ garden all washed down by their excellent home made wine!
My 14year old daughter described it as “the best day of my life”
Enough said!
I really recommend it!
John",Date of experience: August 2018,Fishing Tourism Kefalonia Dimitrios-Efthimia,1,"Cephalonia, Greece"
Used to be better,"Visited for dinner recently. Seemed less welcoming than previous years and service was not as good. It was difficult to attract a waiter once food had been served and we waited 20 mins for our check at the end of the evening.
Still a nice place and the fish is good - surprisingly doesn’t serve any of the usual Greek cuisine.
The opening of Cozy just up the road has raised the bar. Here, service was excellent and sophisticated. Captain Jerry’s has to up its game!",Date of visit: August 2018,Captain Jerry's,1,"Cephalonia, Greece"
Up-market restaurant in the heart of Katelios,"White linen on the tables, nicely set with glasses and cutlery (none of this knife and fork wrapped in a paper napkin) and very reasonable. Food was excellent. Service was impeccable. It really felt like this restaurant appreciated our custom.
I would have liked to see Dolmades or fried zucchini on the menu (maybe I didn’t look hard enough..) but that’s my only gripe!
Great restaurant. We will go back.",Date of visit: August 2018,Cozy,1,"Cephalonia, Greece"
Practical but no frills hotel,"There are several Foss Hotels in or near Reykjavík and this review refers to Foss Hotel Reykjavík. It is a very clean and functional hotel. Rooms are small with a very narrow wardrobe for hanging clothes. It has a small fridge and a kettle for tea/coffee as well as an iron/ironing board and hairdryer. There is no pool, no gym nor anything other amenity. It does have a bar. The Restaurant is nice but it is buffet-style.
It is close to the water but it’s not really accessible. The walk into the town for restaurants and shopping is about 15 mins and quite pleasant walk.
There are hardly any hotels in Reykjavik with spas or interior pools (an outside pool would be impractical as it’s too cold and windy).
All in all a nice hotel but I was expecting more until I realised this is the standard in Reykjavik for 4/5 star hotels.",Date of stay: July 2018,Fosshotel Reykjavik,1,"Reykjavik, Iceland"
Great attraction. Clean and well run.,"This is one of the classic places to visit. Take the luxury package with robe, towel, slippers etc

Only disconcerting thing about the place is that the changing room (either male or female) are not at all private so be expected to strip down to the basics in full view of everyone. !! There is even a notice telling everyone to shower before entering the lagoon but another spa warns you that you must remove all swimwear before going in the communal showers!! For those of you who are shy - beware! There are a few cubicles at the back of the communal showers so you can bypass the communal ones and try to find one of these but there are only a dozen or so.

All in all it was a pleasant attraction and only 45 mins from central Reykjavik.",Date of experience: July 2018,Hreyfing Heilsulind,1,"Reykjavik, Iceland"
Lovely Italian restaurant in the centre of the town,"Þingholtsstræti 1
101 Reykjavík
Iceland

This is an unpretentious but classy restaurant at the Old Harbour end of the main shopping street in Reykjavik. The ambience was pleasant, the staff were excellent and the food was the best we’d had in the entire week we’d been in town (and we’d dined at numerous expensive high-end restaurants). The price was very reasonable.
The prawns in spices as a starter was a little too oily and could have done with more garlic but my main course of mushroom risotto was phenomenal! My wife had a lasagne and salad and loved it.
It’s one of the lesser known restaurants but I would go back tomorrow. Enjoy!",Date of visit: July 2018,Caruso,1,"Reykjavik, Iceland"
Nice hotel. Very centrally located but perhaps too central!,"I booked a 3 night stay. It was a very nice hotel with plenty of amenities. It was in the very centre of Sukhumvit and literally joined to the metro by a walkway which also joined you to the shopping centre on the other side of the road.
It felt very much like. Business hotel that was in a very very busy part of town. There wasn’t anything “Thai” about it. I was upset to see that having made the reservation on booking.com they deducted the value of the full 3 night stay £800 from my credit card when I arrived and then when I checked out, they charged me the same amount again! I called them from my taxi to the airport when my credit card company sent me an alert for a charge of 2 x £800 ! They told me this was standard practice and that I shouldn’t worry because the £800 would be credited in “a few weeks”!! I was so mad as I didn’t see why the Sheraton should benefit from charging me twice and holding onto my money for a few weeks!

The next time I went to Bkok I stayed at Le Meridien, Sathorn which was fantastic, cheaper, classier, better located and didn’t rip me off.",Date of stay: April 2018,"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",1,"Bangkok, Thailand"
Nice hotel. Pleasant location on the Marina,"Stayed 2 nights. Pleasant outlook onto the marina and the boats therein. Short 15 min stroll to the marina dining area in the evenings.
Hotel is clean and well run. Big choice at breakfast. My only complaint is that on the 2 days I was there I had to shower in cold/warm water until I discovered you have to run the water for a good 10 mins before you want to shower before it gets hot and that the shower heat controls needs to be positioned just right off mid-centre... such a waste of water!(and I was only on the 2nd Floor)",Date of stay: July 2018,Herods Herzliya,1,"Herzliya, Israel"
Terrible - no room for me despite confirmation,I booked this hotel because it was near to my company’s Paris office. We had experienced problems before when this hotel overbooked their rooms and so had to turn away some of our staff. This time it happened to me. They came up with a cock-and-bull story about several rooms being damaged and as such they could not accommodate me BUT they had booked me into a Mercure hotel in a gritty part of Paris a 15 mom taxi drive away!! This hotel is unprofessional and should not be trusted even if you have a confirmed booking. Avoid it like the plague!,Date of stay: July 2018,Hotel Paris Neuilly,1,"Neuilly-sur-Seine, France"
