reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
"Great Food, Quite Setting, and Friendly Service",My wife and I stopped in here for our last meal before heading back the next morning. We wanted something Greek and traditional and it was amazing! The plate was large and with lots of good food. The waiter was attentive and very friendly. It was a great end to a fantastic trip!,Date of visit: July 2019,Το Κofini,1,"Santorini, Greece"
A Great Boat Ride,"Nikos and his wife Frossa were very welcoming and friendly hosts for the day. Frossa speaks great English, and made it very clear that the boat was to be like home! She said help yourself to whatever and you don’t need to ask me :) They immediately welcomed us with a coffee and explained what we were going to be doing for the day: pulling in Nikos’ net for the fish, and swimming at some of their favorite spots. They said whatever the group feels like doing, we can do!

The food was amazingly fresh as you eat the fish pulled up right in front of you a few hours later. The couple is very knowledgeable about fishing in the islands, and explained the different kinds of creatures that came out of the net. This included red snapper, barracuda, shrimp, squid, crab, lobster, and even 2 sting ray!

The only critique I would offer is that we didn’t have an opportunity to personally fish. They set the nets prior to the trip and they pull them up as our first stop. It’s a very cool experience to watch them pull in the catch but there wasn’t any hands on fishing as we expected from the description at the travel office. I think they would have let us fish with rod and reel had we asked, but they did say it wasn’t the right type of fishing for the time of year. No problem for us!!

The boat would stop often for swimming and they were very flexible with timing as it’s a small private boat and not a large tour company. The island they visit has the clearest water I’ve ever seen! Over all, I would recommend this to anyone who is looking to get out on the water and see a different perspective of the Greek Islands! You’ll also have a wonderful time chatting with the friendly Frossa and Nikos, learning about their island life.",Date of experience: June 2019,Milos Fishing Experience,1,"Milos, Greece"
This place is the highlight of our trip!,"We stayed in Sant’Agnello for four nights and every night we came here for dinner! We looked around at other places to eat but nothing offered the amazing hospitality, delicious food, and affordability like Il Routino! The owner and his wife great every guest as they come and go and instantly you feel like part of their Italian family.

And to top it off they have such a varied menu and amazing food after four dinners in a row, I would still go back again tomorrow to try something new!

Il Routino, thanks for making our stay in Sorrento even better!",Date of visit: June 2019,Il Ruttino,1,"Sant'Agnello, Italy"
Best Tour of Amalfi!,"We had a fantastic time with Micheline and Raffaele! Micheline was a fantastic guild and was full of information and passion for the Amalfi coast. I would take the tour all over again to spend another day listening to her share her passion!
This is one of the best tours I have ever taken and Micheline is the best guild I have ever had.
Micheline- thanks for such a fantastic day, we all have a great trip!",,"Amalfi Coast Day Trip from Sorrento: Positano, Amalfi, and Ravello",1,"Sorrento, Italy"
An Amazing Experience!,"My wife and her sister took Chef Vary’s pasta making class this afternoon and had the best time! She was welcoming and very funny! As she walked us through each step of the process, we learned about the different ingredients and where they came from. The meal was delicious. With four different kinds of pasta and two different kinds of wine, it was the highlight of our trip!",Date of experience: June 2019,Chef Vary,1,"Florence, Italy"
Canal View and a Beautiful Setting,"One of the most serene and peaceful places we’ve stayed. Each room with a private balcony, our’s overlooking the canal, makes for a great stay. It’s in the middle of a preserve so it takes a little while to get to but it is totally worth it and provides a great all around service.",Date of stay: April 2019,Hotel Cafe Restaurant Het Rietershuijs,1,"Kalenberg, The Netherlands"
Extremely Rude Service,"I have very little patience for being talked to rudely, especially when I am a customer. During a visit to the Campbell's Farmer's Market we stopped in for a cup of coffee at Orchard Valley. We love going to unique coffee shops, particularly for great coffee and a fun atmosphere. The line was moving fast and the wait for drinks was short. When the barista called out two lattes and we were next in line waiting for drinks I asked if they were the correct order because she called one of them as almond milk. She rolled her eyes at me and told me ""then maybe those aren't yours"". I steped back and continued to wait another few minutes while others order's were picked up. After a few minutes she checked with the cashier to make sure we ordered correctly, and then proceeded to remake our drinks.

I would rather have gone to Starbucks where I know my drink will be made right or remade without any attitude from the staff.",Date of visit: March 2019,Orchard Valley Coffee Roastery,1,"Campbell, California"
Best Breakfast Sandwich!,We were at the farmers market and stopped by their food truck to grab one. Best biscuit with chicken ever! Freshly made biscuits and really good chicken! Make a point of checking this place out!,Date of visit: November 2018,Pine State Biscuits,1,"Portland, Oregon"
Amazing and Reasonably Priced,This place is a must if you are going to be in the area. The lines are a little long but the wait is well worth it. Make sure to try something off of their specialty menu as well as get a pastry. The coffee is good and the sandwiches are filling. All in all a great stop for a good bite to eat at a great price!,Date of visit: June 2018,Porto's Bakery & Cafe,1,"Glendale, California"
Nice and Relaxing,"Whether you are looking for some high end shopping or just a relaxing day near a fountain, the Americana has it all! The staff is friendly and helpful and the grassy areas are open to the public. Grab a blanket and hang out in the shade while watching the musical fountains.

Parking is close by and easy to get to and if you need a validation the food options are almost endless.",Date of experience: June 2018,The Americana at Brand,1,"Glendale, California"
