reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
"Fantastic organization, great and active tour","Went with a friend and was super pleased. Crew takes great care of you with anything, beers and drinks on board. Fishing is great, the Captain grills your catch and other fish, pleasant snorkelling in a nice cave area, and overall a nice boat to spend a couple hours on. Highly recommend.",Date of experience: October 2020,Makarounas Fishing Trip Rhodes,1,"Rhodes, Greece"
"Great Omakase tasting, friendly atmosphere","Fantastic fresh fish, intimate atmosphere as the restaurant allows for max. 8 guests, friendly conversations with the Sushi Master. Creatively composed dishes, and the price-to-quality ratio was on point. However, difficult to obtain a reservation.",Date of visit: November 2017,Sushi Tetsu,1,"London, United Kingdom"
"Decent food, not worth the price. Good venue for pre-party","Dined in Hakkasan last Friday with the family; the food was decent, creative, came very quickly, but was not worth the price and hype that surrounds the Hakkasan chain. I recommend the restaurant for a friendly outing before a party - the restaurant plays quite loud deep house music with a DJ, there is a wide selection of alcohols, but it's not a place for family dining.",Date of visit: July 2016,Hakkasan Las Vegas,1,"Las Vegas, Nevada"
"Showmanship on point, magic un-Copperfield like","Visited Las Vegas last weekend, and decided to see David Copperfield's show in the MGM Grand. Considering it was Copperfield, I had extremely high expectations. David's humour was excellent, his showmanship made the audience burst out in laughter, but when it came down to the nitty gritty, i.e. the magic tricks (which we came for), we found it slightly disappointing. In total, he performed around 10 tricks, but mostly, the show revloved around the story of David's relationship with his father and an alien, which was a bit childish. If one wants to see many mind-blowing, unconventional magic tricks, one after the other, I recommend Lance Burton's show, whom I saw a couple years back on my first trip to Vegas.",Date of experience: July 2016,David Copperfield,1,"Las Vegas, Nevada"
First-Class Stay,"A very laid-back atmosphere in the hotel itself, very good apres-ski, excellent breakfasts with a wide variety and great dinners. The rooms are designer-quality, with a spacious bathroom and big balcony. The inside pool is very well taken care of, as is the SPA, with snacks and refreshments.
The service is very kind and helpful.
A great location, just 5min walk to the nearest ski lift, and with nightlife spots all around you, including in the hotel!

Truly a great experience. If skiing, I recommend Intersport Brundl for ski rental, which is just across the street.",Date of stay: December 2012,Hotel Post Ischgl,1,"Ischgl, Austria"
A great place for apres-ski,"Very ambient, with good drinks for good value. The music is not too loud and the decor inside is very nice and cozy.
The service is also very quick and efficient, always with a smile.",,Apres Ski Lounge Freeride,1,"Ischgl, Austria"
A great way to experience Chicago,"We had the morning tour that started at 10 and lasted 3 hours in total, including the Segway training. Everything was very organised and efficient, and our tour guide - Meadows was very funny and kind, as well as knowledgeable about Chicago's landmarks, which was a great plus.
The tour was around the Museum area, as well as the Soldier Field and the great fountain.
I highly recommend this tour to anyone who wants to see what Chicago has to offer, the fun and easy way!",Date of experience: August 2012,City Segway Tours Chicago,1,"Chicago, Illinois"
Sophisticated and very tasty!,"The restaurant is very comfortable and has a nice interior, with a full bar. The service is very helpful, quick and proactive.
The meals are delicious and the portions are reasonable. I highly recommend ordering Guacamole to the tortilla chips, as it is made fresh right at your table!
We have been there twice, and have not been disappointed.",Date of visit: August 2012,Cantina Laredo,1,"Chicago, Illinois"
Beautiful and fun!,"The beach is beautiful, with lots of space to relax. The waves can sometimes be quite powerful so parents with small children should be careful. There are nice restaurants in the vicinity, as well as great massage parlors. Highly recommended.",Date of experience: December 2011,Kata Beach,1,"Phuket, Thailand"
Artistic and a worthy experience,"A very artistic show, with some breathtaking moments. Funny from time to time, and I recommend this for families with 'smaller' children. Although the show is deligthful, the music in my opinion was too loud, and luckily I asked for earplugs upon entry.
Very pleased.",Date of experience: August 2012,Blue Man Group,1,"Chicago, Illinois"
