reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Forever Favorite,"My wife and I visited Venice for the first time a few weeks ago. We know we will be back and this is the only place we’ll ever stay.

Matteo has taken impeccable care of his property and is basically the finest of hosts you can find on this planet. I instantly fell in love with every little detail of this charming hotel, especially the balcony which we enjoyed breakfast, many a cappuccino, and many an aperol on.

The staff are some of the best we’ve ever encountered. They made our stay very pleasant and always greeted us by our first names. We felt cared for 24/7. Breakfast was plentiful and sumptuous with pastries baked daily by Matteo’s wife. Everything was delicious and we left to explore with full stomachs each morning.

Our room was upgraded granting us a lot of space; it had a large bed, couch, ottoman, and standing armoire. It was nice to spread out, especially within a city that can feel cramped.

Location wise, the hotel is perfect. We walked EVERYWHERE. The Vaporetto can be expensive and luckily we didn’t feel the need to take it, with the exception of when we had luggage.

We were both terribly sad to leave and I’m still thinking about my favorite balcony. If you can afford the splurge I would highly recommend anyone stay here. The peace and quality of this hotel are priceless.",Date of stay: February 2020,Al Ponte Antico Hotel,4,"Venice, Italy"
Always Dreamy,"My wife and I returned to Aenaon after two summers, and the day right after our wedding! There was no doubt about where we would be enjoying the remainder of our stay in Santorini.

Everything about Aenaon is impeccable, from design to service and hospitality. It really does feel like the most private and secret retreat. The mini fridge was always stocked with snacks and drinks. They treat us to some frappes since we had so many. We also came home to a bottle of chilled wine, glasses of Vinsanto, grapes, and chocolate soufflé on our last night! We just couldn’t have felt more special.

I brought my wedding bouquet with me and Aenaon provided a huge vase to keep it alive. I was grateful for this. The breakfasts are amazing as always, with plenty of options to start your day. We love the fresh squeezed orange juice. Each day we would receive a platter of fruits and ice cold water to cool down. Time by the pool is always a pleasure. We ordered a salad and bruschetta for lunch, both of which were fresh and delicious. We enjoyed these poolside.

Housekeeping kept our room pristine during the entire stay. Thank you for organizing our many belongings! Margarita was also always so kind to call us a taxi wherever we needed going. We really couldn’t ask for more.

I know there are millions of unbeatable views on the island but to me, Aenaon’s will always be the most serene and jaw dropping. Thank you, Elly, for treating us so well!",Date of stay: July 2019,Aenaon Villas,4,"Santorini, Greece"
Best Cocktails in Mykonos,"Elia beach is crowded these days and everyone wants to eat at this restaurant for a reason. We grabbed 4 loungers and spent the day eating, drinking, and soaking up the sun.

I wondered how they serviced so many loungers in a day and then noticed they have a convenient buzzer system at each one. All you have to do is hit a button and your server will come right away.

I ordered the club sandwich and some calamari for lunch, all of which was filling and delicious. I have to say, both were decently priced for Mykonos, as well. The COCKTAILS were scrumptious. I loved their Blackberry Bourbon Smash and Bubbly Raspberry. I had MANY of these.

I highly recommend this place for excellent service and food. It’s great for anyone!",Date of visit: July 2019,Restaurant Elia Beach,4,"Mykonos, Greece"
Amazing Food & Service 💞,"Missed out on Vegera last time I was in Mykonos so I suggested it to my wife, cousin, and her husband for dinner one night.

It’s one of the BEST meals we had in Greece, and we had a lot of wonderful meals. Everything was exceptional, the meat platter, mussels, risotto, and octopus. The mussels were so good we ordered them twice! I loved everything on the meat platter and the portion was perfect for our group.

Service was super friendly and attentive. Our server always had a smile. Not to mention, Vegera was PACKED but the staff were so on top of everything.

I absolutely recommend for lunch or dinner. You will not go wrong with choosing this lovely establishment.",Date of visit: July 2019,Vegera,4,"Mykonos, Greece"
Gorgeous View,"There are many incredible places to view the sunset in Santorini but this was a stunning setting for sure. Throubi definitely adheres to the beautiful Andronis design style and aesthetic. It was a lovely place to enjoy our meal.

Service was kind and attentive from start to finish. The staff was wonderful, for sure. The breads started off perfect. Then came our two apps, sea bass ceviche, and shrimp ceviche. Honestly we didn’t love either of these and felt the flavors fell flat, but the ingredients were fresh. Our mains, both fish, were excellent. I really loved the flavors in my dish.

We also tried a few cocktails, all of which were fantastic.

Overall, we appreciated Throubi for its romantic and relaxing atmosphere. Definitely a beautiful place to enjoy dinner.",Date of visit: July 2019,Throubi Restaurant,4,"Santorini, Greece"
LOVE <3,"My wife and I got married in Santorini and were looking for a place to host drinks with friends before our wedding. I found STOA and immediately sent a message based on lovely pictures of the bar. It looked spacious, cool, and had shisha! Stathis (the owner) was immediately responsive and checked in with me every so often for a whole year up until we arrived in Santorini. I cannot say enough wonderful things about him. He was so welcoming and kind, constantly checking in on our group of 30-40 friends. He struck up conversation with my parents, family, and friends!

The drinks made by Angel (the super friendly mixologist) were amazing and I can't thank him enough for being so kind to us. Service is just stellar at STOA. Stathis really knows what he is doing. The cocktails flowed all night and the staff was attentive to the shishas. They also played plenty of music we loved so we could dance the night away, which many of us did.

Many of our friends ended up visiting STOA again throughout their stay, which is just a testament to how chill the place is. Stathis even gave us some quality parting gifts; I will never forget his generosity and hospitality. Kudos to this lovely establishment.

I highly recommend STOA to anyone looking for great cocktails and unbeatable service. Great for couples, friends, and just anyone! Thank you for everything! <3",Date of visit: July 2019,Stoa Santorini,4,"Santorini, Greece"
Overpriced & Underwhelming,"My wife and I stayed here for 6 nights after a week in Santorini. We’ve stayed in many Greek hotels, especially at this price point. Absolut is quite a mixed bag. I can’t say we were entirely happy with our stay. Mind you, we aren’t fussy travelers and are good sports about everything, but this isn’t a 5-star hotel.

The hotel’s proximity to town is unbeatable; just a quick 5 minute downhill walk. The walk back up definitely isn’t for anyone with weak knees. We were totally okay with it, though.

The pool area is okay, with day beds and a surplus of loungers. You can see the sunset from here. I can’t say there is much of an atmosphere. I think it’s why we only spent one afternoon there. It’s relaxing, nonetheless.

Breakfast is included and as stated in other reviews the options are limited. There is a buffet bar with bacon, sausage, cereals, and yogurt, plus a few other little nibbles. The hot foods were always cold and a bit of a turn off. We ordered the continental breakfast which included cake, bread, jams, and butter. It was enough to fill up on even if the cake/breads were sometimes stale. You could also order eggs in 3 different ways but we didn’t find out about add-ons (onions, mushrooms, etc) until our very last morning. An extra charge for a second cup of coffee isn’t a great experience either.

As far as service goes, the front desk was always helpful with calling taxis, laundry, and other requests. A large part of our unhappiness was due to one staff member who seemed bent on making us feel unwelcome. She eventually stopped acknowledging us at breakfast and throughout the day. I’m not sure if we did something to offend her. She even rolled her eyes at the sight of my wife. I just found her attitude unnecessary. We felt quite relieved at her absence during the last two days of our stay. The other team members were nice. We tried to ignore her but it did put a damper on our experience.

We liked the size of our room and the bed itself was very comfortable. There was plenty of lighting and air conditioning, plus outlets everywhere for chargers and whatnot. The bathroom area was a bit cramped but we didn’t mind. The water pressure and temp was great. We got fresh towels every day. Housekeeping was excellent and very friendly! Our little balcony had a great view of the sunset.

Overall, the location is prime and convenient but we wouldn’t stay at Absolut again. Hotels like Rocabella are further from town, but at the same price point, you get more in terms of quality and service.",Date of stay: July 2019,Absolute Mykonos Suites & More,4,"Mykonos, Greece"
Best for Last,"I saved Narcissus for our last dinner in Mykonos. My wife and I couldn’t be more pleased with the food, service, and gorgeous ambiance during sunset.

We decided on the degustation menu for a relaxing, well-paced dinner. Everything was delicious, from the bread and special butters, to the apps and mains.

Vasia (hope I am spelling her name correctly) was very attentive but gave us our space. She always made sure we were happy with the cocktails and food. Really, just look at my pictures. Each bite was scrumptious. The degustation consisted of crab, scallops, your choice or lamb or lobster, and a chocolate tart. They even gave us two lovely glasses of Vinsanto to finish things off.

Can’t recommend highly enough!",Date of visit: July 2019,Narcissus Mykonos Restaurant,4,"Mykonos, Greece"
Yummy & Inexpensive,My wife and I stopped here for lunch after a very long walk. Service was very friendly and the food came out fast. We had pork/chicken gyro platters and tomato keftedes. Everything was wonderful. There’s no reason to not recommend this little spot. They even called us a cab an hour after we left because we couldn’t find one.,Date of visit: July 2019,Happy Grill Restaurant,4,"Santorini, Greece"
Excellent Food & Perfect Service,"My wife and I had a lovely dinner here earlier tonight. We didn’t have a reservation but we were seated immediately. The staff were very kind and friendly from the beginning of our visit.

Typical bread and olive oil came first, but gosh, it was EXTRA good. Sea bass carpaccio was limey and the spicy shrimps were yummy. We shared the tomato spaghetti and pork filet; both were excellent and the portions were generous. The orange cake was to die for and it was on the house. We finished off with the chocolate molten lava cake; it was rich and divine.

I would highly recommend Nautilus for a fulfilling dinner at excellent price point. The staff are wonderful!",Date of visit: July 2019,Nautilus,4,"Mykonos, Greece"
