reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Good - not as good as the others,"This pub is small but still spread around
There is a diner but we weren’t there to eat in time.
Beer was very cold and the lady serving was lovely.
You can stay here over night for $16 pp including breakfast.
Want to experience the outback in the mines well I guess this is the place.",Date of visit: October 2020,Glengarry Hilton,1,"Cumborah, Australia"
What a great place...,"What a great place... smoking out one side and none on the other perfect!!
Cold beers and clean amenities.
Very friendly locals ready for a chat.
Some great stories
Embrace the rustic and just enjoy the dirt road it is worth it.",Date of visit: October 2020,Sheepyard Inn,1,"Cumborah, Australia"
Definitely go....,"Definitely go....
It’s worth the trip dirt road and all.
Very rustic very fun with cold beer and clean amenities.
The thing that let it down for us is there was nowhere outside to sit where there was no smoking.
So it was one beer and off to the next one.",Date of visit: October 2020,The Club in the Scrub,1,"Cumborah, Australia"
Beautiful spot to hang at sunset,"Beautiful spot to hang at sunset
A nice drink a super warm bath and watching the world go by couldn’t be any better
Showers , lots of parking , picnic benches
And an amazing sunset
The bath is really warm but nice after a while",Date of experience: October 2020,Artesian Baths,1,"Lightning Ridge, Australia"
Excellent family friendly hotel 🏨,"Excellent hotel
From checking in with 2 very happy and helpful guys
Walking distance to all the CBD
Rooms are great everything you need
It is a budget motel right next to the CBD with great service and clean
Continental breakfast included all covid safe these guys have got it all covered.",Date of stay: October 2020,Comfort Inn City Centre Armidale,1,"Armidale, Australia"
Cute little bar Great seating,"Cute little bar
Great seating for COVID so ring before you go it only takes 35 people
Beer is craft beer but also have a few beers in cans that aren’t so crafty
Great lady behind the bar",Date of visit: October 2020,The Welder's Dog,1,"Armidale, Australia"
Wow 🤩 A fantastic bar,"Wow
A fantastic bar
With super friendly staff and super friendly.
Heaps of sports tvs and super cold beer
These guys have got it covered
COVID safe
Definitely the best spot to have a drink in Armidale",Date of visit: October 2020,Whitebull Hotel,1,"Armidale, Australia"
Just stunning ❤️,"A really beautiful church
The stain glass was just so pretty
This church had real candles to light which makes it even more special
COVID safe signing in and out
The grounds outside emaculate ️",Date of experience: October 2020,Saints Mary and Joseph Catholic Cathedral,1,"Armidale, Australia"
Really cute pub,"Really cute pub with great decor
Lovely lady behind the bar and super clean
Cold beer great service",Date of visit: October 2020,The New England Hotel,1,"Armidale, Australia"
Beautiful ❤️,"Ebor Falls
Very cute
Little water running but still beautiful
A lot of the wall way is closed due to fire damage
clean amenities tables and chairs and lots of parking",Date of experience: October 2020,Ebor Falls,1,"Ebor, Australia"
Absolutely the best bakery,"Absolutely the best bakery I’ve come across so far.
Very clean great variety and super happy lady behind the counter.",Date of visit: October 2020,Hearthfire,1,"Bellingen, Australia"
Hmmm 🤔👎,"This is also known as charlesworth bay resort
Hmmmm ok I could write for ages but I’m not going to !!
Definitely won’t be recommending here.
You could hear every movement of next door and upstairs.
The room needs some love replacing a couple of chairs doesn’t fit the bill.
The bed I’ll stop there
The room had a lick of paint when I say lick I mean a lick on the floor on the mirror on door handles on everywhere but walls
The room definitely hasn’t had anything done to it in years
One pool was open because of covid that was over crowed do you not think having more pools open could spread people out ?
I asked for a bottom room as I have a heart condition if anything could happen we could leave and get away quick as possible with that no answer and no bottom floor
Waste of time and money luxury escapes is starting to go downhill.
The grounds are beautiful if only there room and service was",Date of stay: October 2020,Charlesworth Bay Beach Resort,1,"Coffs Harbour, Australia"
Great views,"Great location to look over the coast.. a fantastic pier hanging over the edge,
Lots of parking with nice walking trails and up the hill to tree top adventures",Date of experience: October 2020,Forest Sky Pier,1,"Coffs Harbour, Australia"
Quick services,"Quick services and lots of variety-crunchy fresh cones.
Smooth ice cream with no extra bits like coffee beans or chocolate",Date of visit: October 2020,Eric and Debs Homemade Ice Cream,1,"Coffs Harbour, Australia"
