reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
A must try 😎,"This trip with the speedboat is a must try it is so much fun, we could go everyday.
The staff is Nice and friendly and the
Driver is the best!
Of all speedboat trips, this is the
one to try!
We higly recommend it",Date of experience: August 2018,Rhodes Rib Experience,4,"Rhodes, Greece"
An amazing trip 🎣,"This is a must if you visit Rhodos.
An amazing experience with nice
fishing and swimming. And then to top
It all of, we got a good meal with grilled Fish, greek sallad, bread and beverege.
And a slice of watermelon to end a Nice meal
Very Nice staff and Captain.
We highly recommend this trip.",Date of experience: August 2018,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Middag/dinner,"Vi har ätit här 3 gånger o maten är fantastisk!
Snabb service och mycket trevlig personal

We have eaten here 3 times this year
(So far ) the food is incredible and the staff and their service are excellent.
We highly recommend this Place.
A must try if you're in Rhodes Town.",Date of visit: August 2018,Memphis BBQ Grill,4,"Rhodes, Greece"
Grillbuffé,"Maten är fantastisk och personalen likaså vänliga och trevliga.
Hit ska vi absolut återvända

The food is incredible and the staff
Is great extremely serviceminded.
The surroundings is beautiful.
We Will absolutely return",Date of visit: August 2018,Skala Beach Restaurant,4,"Rhodes, Greece"
Semester/Vacation,"A wunderful Place. The surroundings is beautiful and the People even better.
The buffe is ok, i personally would like some more spices. But nothing wrong. Its clean and fresh. The staff is the best. Always happy and helpful.
The Entertainment team is funny and very Good dancers. The aqua gymnastics was fun.
The cleaners do a marvellous job!
I higly recommend this place and we are definitly coming back",Date of stay: March 2018,Siva Port Ghalib,4,"Port Ghalib, Egypt"
A fantastic experience 🖒,"An amazing experience
Do you like the sea? Do you like an amacing view over the city of Rhodes?
And foremost do you like to go on a boat with speed? Than this is definitely for you!!
The driver is the BEST
The girls in the marina is extremely nice and always says hello with a big smile",Date of experience: August 2017,Rhodes Rib Experience,4,"Rhodes, Greece"
Fantastic,"A wonderful tour, with great fishing and swimming.
To top it all off a great lunch with grilled fish and greek sallad.
The Captain is great! And so is the girls in the marina.
Excellent service.
We strongly recommend this",Date of experience: August 2017,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Fantastisk restaurang!,"En fantastisk restaurang med ännu bättre personal.
Mycket god mat och bäldigt bra service.
Man får vänta lite på maten men det är väl värt väntan.
Rekommenderas",Date of visit: August 2017,Zum Zum Restaurant,4,"Rhodes, Greece"
Superbra 🖒🖒,"Maten är fantastisk god.
Bra och snabb service.
Bra musik
Mycket trevlig personal.
Rekommenderas",Date of visit: August 2017,Memphis BBQ Grill,4,"Rhodes, Greece"
Kul 🖒🖒,"Rolig film om Rhodos historia.
Kul med de extra effekterna.
Man var ju inte riktigt beredd på ""mötet"" med ormen.
Sen en liten kort ""actionfìlm""",Date of experience: August 2017,Throne of Helios,4,"Rhodes, Greece"
Skapligt.,"Vi åt chicken souvlaki.
Kyckligen var god, det andra (tillbehören) kändes lite ""fattigt""
Dock trevligt med live musik",Date of experience: August 2017,Blue lagoon,4,"Rhodes, Greece"
Bra hotell,"Ett lite enklare hotell, med en liten frukost. Men mätt blir man och gott är det som finns.
Rent och fräscht.
Personal och service är gudomlig.
Personalen medverkar till att man känner sig välkommen.
Städerskorna gör ett fantastiskt jobb och är alltid lika trevliga.
Serverings/barpersonal väldigt trevliga och roliga
10/10 för det.
Kan rekommenderas",Date of stay: August 2017,Constantin Hotel,4,"Rhodes, Greece"
