reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fantastisches Familienwochenende,"Ein spätsommerliches Wochenende im Ikuna Naturresort war wirklich ein Erlebnis. Das Tipi-Hotel ist sowieso eine sehr originelle Angelegenheit, außergewöhnliches Design, trotzdem zweckmässig und gemütlich. Der Naturpark war nicht nur für unseren kleinen (5) sondern auch für unseren großen (15) Sohn ein Abenteuer. Und für die Eltern gibt es auch genug Möglichkeiten zu relaxen während die kleinen und nicht mehr ganz so kleinen sich vergnügen - speziell die Gartensauna und der Schwimmteich sind ein Highlight, aber auch das Lagerfeuer, das man zwischen den Tipis machen darf. Auch das Essen im Hotel-Restaurant muss erwähnt werden. Sowohl das Frühstücksbuffet als auch das Abendessen sind wirklich Spitze.
Ein kleiner Kritikpunkt ist das Angebot zu Bogenschießen und Segway-Fahren. Beinahe 100 Euro für eine Stunde, ohne wirkliche Betreuung (Bogenschießen könnte man sicher besser erklären) sind doch ein klein bisschen viel...
Alles in allem war es jedenfalls ein fantastisches Familienwochenende.",Date of stay: September 2020,IKUNA Naturresort,1,"Natternbach, Austria"
Dann halt nicht...,"Ich wollte vor 2 Wochen gegen 11 Uhr 30 eine Kleinigkeit essen. Ein junger Kellner ersuchte mich, mich doch auf einen anderen Tisch (in der Sonne) zu setzen, fand es dann aber ok, dass ich um eine Kleinigkeit zu essen auf diesem Platz sitzen blieb. Kurze Zeit später wurde ich von einem älteren Kellner in wenig freundlichem Ton aufgefordert, den Platz zu wechseln. Auch andere Tische im Gastgarten waren von Einzelpersonen besetzt. Ich versuchte nochmal zu erklären, dass ich nur kurz eine Kleinigkeit essen wolle. Der ältere Kellner verwies auf Leute, die in einer halben Stunde zum Mittagessen kämen und bestand darauf , dass ich den Tisch wechseln möge.
Bei soviel Kundenorientierung bleibt nur eines zu tun: man suche sich ein anderes Lokal - davon gibt es ja zum Glück im 9. Bezirk genug - mit freundlichem Personal.",Date of visit: September 2020,Das 1090,1,"Vienna, Austria"
Herdentrieb,"Wer sich eine Führung wie in den Tropfsteinhöhlen der heimischen Alpen erwartet, wird sich ganz sicherlich wundern: Hat man einmal ein Ticket für die stündlichen Führungen erstanden, finden sich vor dem Eingang der Höhle nicht ein paar Dutzend sondern ein paar Hundert Leute ein, die dann als Herde den Weg in die Höhle antreten. Erklärungen bei den unterschiedlichsten und wirklich faszinierenden Stalagmiten und Stalagtiten gibt es zwangsläufig keine - nur den Hinweis des in Abständen postierten Personals, doch nicht mit Blitz zu fotografieren. Das Highlight ist ein ""Konzert"" von Musikern in Ruderbooten, begleitet von vereinzeltem Kinderlachen und -weinen und dem im Vergleich dazu wirklich nervigen ""Pssssssssssst""-Gezische von jenen Touristen, die eine Tropfsteinhöhle offensichtlich mit einem Opernhaus verwechselt haben.",Date of experience: August 2019,Cuevas del Drach,1,"Majorca, Spain"
Leider nur Okay,"Einen halben Tag raus zum Angeln - das war der Plan. Gebucht wurde über eine Online-Plattform (hier ist darauf zu achten, dass die Preise bei unterschiedlichen Online-Plattformen doch recht stark voneinander abweichen, speziell wenn Nicht-Angler mitfahren.
Das Boot war schön und sauber, der Yachthafen sowieso sehenswert. Zum Angeln selbst ging es nur ein paar hundert Meter aus dem Hafen raus, wo wir über einem Riff angeln konnten. Für 4 Stunden ehrlich gesagt ein bisschen zu eintönig. Die Crew war freundlich und gab die notwendigen Informationen, aber auch nicht mehr. Wir hatten den Eindruck, dass hier einfach der Job gemacht wurde, ein Gefühl von Gastfreundschaft und familiärer Atmosphäre kam nicht auf. Eigentlich schade, denn das haben wir auch schon deutlich besser erlebt.",Date of experience: August 2019,Sea Riders,1,"Majorca, Spain"
Im großen und ganzen OK,"Ausgezeicnet ist ganz bestimmt die Lage des Hotels und das Frühstück ist sicher ein besonderes Highlight was Auswahl und Umfang betrifft. Das Personal an der Rezeption ist freundlich und bemüht, und auch im Speisesaal passt es einigermaßen, auch wenn man sich als Gruppe von 4 Personen trotz genügend Platz nicht an einen Tisch mit 5 Stühlen setzen darf.
Eher verbesserungswürdig sind die Zimmer, was die Einrichtung und die Ausstattung betrifft: schwergängige, abgeschundene Zimmertüren, abgewohnte Möbel und eine Alibi-Klimaanlage... das ginge jedenfalls besser.",Date of stay: August 2019,Hipotels Mercedes,1,"Majorca, Spain"
Sehr lieblos,"Im Vergleich zu anderen Erlebniswelten ist hier ein an sich spannendes und vor allem für die Kleinen interessantes Thema ziemlich schwach aufbereitet. Ein einschläfernder Film (Inhalt) mit viel zu laut eingestelltem Ton, danach eine in die Jahre gekommene Ausstellungshalle mit viel zu viel Text, wenig Interaktionsmöglichkeiten, teilweise bereits defekten Ausstellungsstücken. Positives Highlight sind sicher die 3 Schokobrunnen.
Die Produktion im ersten Stock ist halbwegs okay aber wieder nicht unbedingt kindgerecht gestaltet, wenig interaktiv, viel Text. Erschreckend war der Einblick in der nähe des Metalldetektors in der Produktion. Unter einem Wagen mit einem Meßgerät drauf lag ein umgekippter Glasbehälter, darunter ein großer schwarzer eingetrockneter Fleck, der sehr nach Aktivkohle ausgesehen hat aber ganz sicher nicht ein Bild von Hygiene und Sauberkeit in der Lebensmittelproduktion vermittelt hat.
Hätten wir die 6 EUR pro Person Eintritt tatsächlich zahlen müssen, wäre der Ärger wohl noch größer gewesen...",Date of experience: February 2019,SchokoMuseum Wien,1,"Vienna, Austria"
Für einen Kurzaufenthalt genial,Sehr schlichte und einfache Zimmer zu einem fairen Preis. Gutes Frühstück und freundliches Personal. Unserem kleinen hat vor allem das Hochbett total gut gefallen. Nachteilig sind vielleicht die doch etwas zu harten Betten und die Gefahr eines Einkaufsbummels im nahen Designer Outlet ;-),Date of stay: February 2019,Ibis Budget Salzburg Airport,1,"Wals, Austria"
Erlebnisreise für Groß und Klein,"Das Haus der Natur ist immer einen Besuch wert. Für Klein und Groß. Mit vielen Stationen zum Ausprobieren, Experimentieren und Staunen genau das Richtige für neugierige alte und junge Entdecker!",Date of experience: February 2019,Haus der Natur,1,"Salzburg, Austria"
"Tolles Ambiente, tolles Team","Auf einem Salburgtrip spontan ausgesucht für ein Abendessen. Das Ambiente, der Keller, einfach toll und von Koch bis Kellner ein total freundliches und engagiertes Team, dass sich sehr bemüht hat auch was Passendes für unseren kleinen Sohn zu finden. Mit Erfolg!",Date of visit: February 2019,Johanneskeller,1,"Salzburg, Austria"
Decrease in friendlyness and service,"It's been a few months since my last lunch at Hansy's were I use to meet with friends for a chat over lunchtime. When arriving the restaurant was almost empty but every table was reserved. As none of the waitors showed up to offer a table I sat down on a table near the window and waited. Shortly afterwards a waitress showed up, asked me in a not very friendly tone if I had reserved, indicating that the table I sat was reserved and then offered me the next table - which was reserved just the same...
When ordering I learned that they ran out of apple juice... and that it's more important to prepare sliced lemons than to take lunch orders...
Can't really tell if we just had a bad day there or if they had new or reduced staff. The only positive aspect to report is, that the food still is really good there...
By the way - the restaurant didn't really fill up while we had lunch... so I really wonder what kind of agenda there is to keep all the tables ""reserved"".",Date of visit: November 2018,Gasthaus Hansy,1,"Vienna, Austria"
