reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
It gets better each visit!,"It was our third visit to skosh and we took our friend for her birthday. Her first observation was when you are in the restaurant you feel like you could be anywhere in the world. Then the food happened, and that took her to another place, the food tantalising her taste buds, as well as the visual delights. It truly is an experience you should not miss out on.",Date of visit: September 2019,skosh,1,"York, United Kingdom"
Home from home,"My mum wanted to take us to villa kiydan for a holiday, I really didn’t want to go....but so glad we did, it was such a lovely place, and onur and family are really quite the hosts, looked after our every need, from hiring electric scooters, which he has now purchased himself to let his guests use, and push bikes to pop out on, water coolers in apartment, not to mention the fab pool, which was a delight to swim in every morning at eight o’clock.we feel like we made new friends on this trip.",Date of stay: September 2019,Dalyan Villa Kiydan Apartments,1,"Dalyan, Turkey"
Ladies that lunch!!,"Second visit here, fantastic find, ordered few small plates, which is what we like to try and share, food great service great, see you again soon",Date of visit: March 2019,Los Moros,1,"York, United Kingdom"
H10 Dream !!!!,"We have just returned from a weeks holiday at this hotel, and we would definitely recommend it to anyone wanting a relaxing and quiet holiday. The breakfast is probably the best we have ever eaten, and the waiting staff were amazing, we did have lunch there a couple of times, but we did not particularly enjoy what was on offer.maybe just personal choice,and we did use the spa facilities once, sauna etc, my husband was full of cold and thought the steam room would help, but unfortunately it was out of order, but knowbody bothered to tell us. We did tell them at reception, and the lady wrote our room number down to see what could be done, but nothing happened and we were still charged.But on the whole we would go to H10 hotel again somewhere else.",Date of stay: January 2019,H10 Ocean Dreams,1,"Fuerteventura, Spain"
Fabulous,"We found this restaurant on the first night we were in corralejo, what a find, from the food to the wine, it was amazing, and we visited again during our stay, only to be greeted like old friends. Yes I would definitely recommend this restaurant if you want authentic Spanish food",Date of visit: January 2019,La Bodeguita,1,"Fuerteventura, Spain"
Fantastic,"We were wondering around and came upon this place, it is absolutely fantastic, from the warm welcome by all the team, to the amazing traditional food that is cooked fresh, we have just got back from our second visit there, we had fresh red snapper that was caught by her husband today, and it was exceptional, we are going back tomorrow for our last evening,.If you want truly great traditional food you need look no further.",Date of visit: January 2019,Jamoneria Caracandado,1,"Fuerteventura, Spain"
Fabulous!!!!!!!,"One of the highlights of our holiday, the boat trip was not a tourist trap, it was really interesting, and fun full day, Antonia is a fantastic host, she is fun, and a little naughty , if you want an insight into a traditional fisherman’s day, this is a must.",Date of experience: September 2018,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
Suberb,"We stayed for two nights so we could get to Carfest , the hospitality was amazing, the food was fantastic and it was impeccable clean, we would definitely go again, oh the towels were amazing.",Date of visit: July 2018,The Stanley Arms Hotel,1,"Macclesfield, United Kingdom"
Amazing,"At first when we walked in, we thought it a little small, but going round taking it all in and reading about the sculptors, was really interesting, then we spoke to a member of the team who then enthusiastically told us in depth how it was all done, worth a visit .",Date of experience: April 2018,Sandworld Sculpture Park,1,"Weymouth, United Kingdom"
Quaint,"A lovely picturesque harbour with lots of places to sit and people watch and see the workings of the bridge, the shops are quirky and people friendly, a great day out.",Date of experience: April 2018,Weymouth Harbour,1,"Weymouth, United Kingdom"
Dog friendly NOT!!!!,"We visited here on Wednesday, travelling from Lulworth, as it say on trip advisor that it’s great food and dog friendly, which it also says on the door, but alas it wasn’t dog friendly, only in take away area, so what’s the point of that!! We have a small well behaved dog, and there was actually know body in, the waitress said I could speak to the manager, but he was constantly on his phone, so yes we apparently have missed out on great fish and chips, but we were also mislead about the service they offer.",Date of visit: April 2018,Fish 'n' Fritz,1,"Weymouth, United Kingdom"
"Fantastic food, fantastic service.","This was definitely worth the visit, great food all homemade, great service, and dog friendly, we would highly recommend this place to anyone visiting the area, just wished we lived close to it",Date of visit: April 2018,Java Independent Coffee House,1,"Swanage, United Kingdom"
Fabulous,"We were recommended this restaurant, and it did not disappoint, the service was second to none, simon was amazing as was the rest of the team, the food was not only amazing but presentation was beautiful, we would highly recommend this restaurant",Date of visit: September 2017,Restaurante Mozart,1,"Madeira, Portugal"
Birthday weekend,"We just stayed at white horse, and on the whole it was good, our room no5 had amazing views, but the floor was horrendous,the person who slept on right side, if they got out during night for a loo visit , the pipes under floor started clanging, and anytime anyone flushed aloo or used water, the sound reverberated around our room.the food was good a the team were friendly, but the bottle of Sauvignon I ordered was terrible, and I was looking forward to there "" fine wines""!!!!!! Great place for walkers, but for a romantic weekend, I,m not so sure, a little tired. But we did find out it went into receivership,and now awaits new owners, so let's hope they give it the talc it deserves",Date of stay: November 2016,White Horse Farm Inn,1,"Pickering, United Kingdom"
Wedding anniversary,"I would simply say, this was a wonderful experience from walking in, to walking out. We were seated and given the menu, then asked if we had eaten there before, she then explained and recommended dishes, then leaving us to decide at our leisure, another girl brought 2 glasses of fizz to us and wished us happy anniversary !,,, I could go on but to cut it short , the food was exceptional and the service was as well, I would highly recommend this, but would suggest you book in advance as it gets very busy, the only thing for me, is that it got a little hot inside, so would suggest light clothing",Date of visit: June 2016,Maray,1,"Liverpool, United Kingdom"
