reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fabulous Meal tonight,"Very busy, had not booked , forgot it was half term. However we were able to get a table, food awesome, service really good, I had the hake and my husband had the sea bass, king prawns and crayfish and macaroni cheese to start. Was Devine, wish we had room for a desert, saw great creations come out of the kitchen, got food
Envy when I saw someone else getting sticky toffee pudding, looked delicious, just had no room. We are lucky only live 2 miles away, so will be back. Thank you Two Clomes",Date of visit: April 2019,Two Clomes,4,"Newquay, United Kingdom"
Roast on the Coast,"Had a fab Sunday lunch here,roast beef and braised beef, plus great veg, two types of cabbage, roasted beetroot, asparagus, broccoli, samphire, roast potatoes, carrots and parsnips plus a Yorkshire, had to then walk it off. Did eight mile walk round the headland and back home. Will be doing it again soon",Date of visit: October 2018,Harbour Fish and Grill,4,"Newquay, United Kingdom"
"This is a must do , do not miss this, best day ever","We met in the harbour at 8 am , it was a lovely day and the sea was lovely and calm.we were welcomed on board by Antonia, who gave us Greek coffee and home made cake. We then went out to sea to pull in the nets that her husband Michaelis had been out and laid at 3 am. The nets go on forever and take over an hour to pull in , but the fish that are caught are very varied and saw fish never seen before.Then the nets are emptied of the fish mainly by Mustapha and Michaelis but you can help if you want? We then stopped at a beautiful spot, where we swam in the clear turquoise waters whilst Antonia prepared Lunch. After lunch there was the opportunity to swim again or fish with rods.The pictures say it all,never have I had fish so fresh and so much, the best lunch and experience of our whole holiday .We eventually made our way back , returning about four thirty. Great value day out with a lovely family, not forgetting the other passengers on the boat who also made the day enjoyable.
You will not be disappointed",Date of experience: June 2017,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
"Lovely resturant, lovely people good food","We were staying a short walk from this restaurant and were in Svoronata for a month, we ate here on our second night. however after the first week , we ended up eating here probably three times a week for dinner. The views are great, and the sunset from the restaurant balcony are stunning, also the planes taking off and landing so close is another attraction but it is the food that brings you back.Fraddos the owner comes round with the fresh fish of the day to show you and tells you what the specials of the day are. Sea bream stuffed with spinach and prawns, swordfish souvlaki, fresh tuna steaks. Also great steaks, pork and chicken souvlaki. The atmosphere is relaxed, we were never rushed, all the staff were friendly and welcoming, can't recommend this place enough",Date of visit: June 2017,O Milos,4,"Cephalonia, Greece"
"Beautiful Beach Taverna , with good fresh food","Food very good, specials of the day include rabbit, fresh fish , chicken souvlaki. Very informal, spending the day on the beach and then when you are hungry just wander up and chose a table. I imagine though can get very busy in high season.Salads are very good and always given a complimentary desert sometimes fresh fruit or cake , lovely place to take in bueatiful beachside location",Date of visit: June 2017,To Enetiko,4,"Cephalonia, Greece"
"The most beautiful site,","On arrival we were welcomed to the site and escorted to our pitch which was in full sunshine with a grass area and hard standing. The warden was lovely and told us the price was for the pitch and we could put up awnings pop tents etc without any extra charge. We walked around the whole site the lakes are beautiful , and just outside the campsite is a walk down to the beach , traffic free into Combe Martin. The birds are lovely and the bird song is beautiful, but the facility's are the best I have experienced in a long time.Free hot showers, in bathrooms with sinks and toilets, all self contained. The washing up sinks are inside and like the rest of the facility's are all heated, However the main attraction of this site is the beauty of it , and you can walk the coastal path to ilfracombe and ge the bus back, a great day out. Will we be returning, on yes definitely.",Date of stay: May 2017,Newberry Valley Caravan & Camping Park,4,"Combe Martin, United Kingdom"
"Lovely meal , log fires and good wine","We booked a table, on arrival we found it was in front of the log burner, so lovely and warm, shared a fish platter to start, then I had the duck and my husband had the beef, bacon and Stilton, pie, lovely puff pastry, vegetables were fab and my red cabbage that came with the duck and cherry sauce excellent. I had no room for pudding but my husband had the cheese board and it was so huge I had to share it with him. Lush xxx
Will be going back to try Sunday lunch and Wednesday pie night . Very nice atmosphere and as we are local might become a regular if the standard continues on our next visits",Date of visit: November 2016,Smugglers Den Inn,4,"Cubert, United Kingdom"
"Great location, Lovely staff, comfy and clean","we stayed for four nights in july and returned for four nights in August, all the staff were freindly and helpful . Breakfast was great , lots of fresh fruit, cereals,also cooked breakfast every day, serve yourself and have as much or as little as you like. Hotel also provide a kitchen for your use,this means that you can eat at the hotel in the evening should you wish, they supply all the plates etc, you just wash up afterwards. we had a cream tea one wet afternoon in the hotel , as everywhere in newquay was crammed and it was nice to come back and relax in the conservatory area. car park can be challenging but we always got a space , but great location so you can walk into newquay in the evening and dont have to worry about finding a parking space in the town. Rooms are quirky we stayed in several different rooms as we did a last minute trip and rang up to see if we could get in again as we liked it so much the first time.John the owner was able to help but it meant we had to take several different rooms, so we had sea views , side views and
a very retro bathroom (carpeted up the bath).It all added to the experience.All rooms were clean and beds very comfortable.
However the staff and owners are the people who make this hotel and nothing is too much trouble .So thank to john and your team
we enjoyed it so much have booked a weekend in september.",Date of stay: August 2015,The Glendeveor,4,"Newquay, United Kingdom"
"Amazing atmosphere, lovely staff, great steak","Tried to get a table in july, fully booked, but came down again in august, and just got lucky, walked in and showed to a lovely little alcove table , candles on table , really nice waitresses, orded rare rump steak and it was delicious",Date of visit: August 2015,Captain Jack's,4,"Newquay, United Kingdom"
Amazing spider crab,"Booked a table for friday evening as we walked past at lunchtime and saw the chef take two spider crabs from the tanks and walk through to the kitchen with them.so you know its fresh.we asked for a trable outside on the balcony . My husband and I shared the mussel starter and then I had spider crab and he had crab claws, two very messy hours later we left the resturant very happy, very informal relaxing dining experience, excellent value for money, spider crab was huge and my husband could not finish all of his crab claws.will be back next time we are in newquay.",Date of visit: August 2015,The Boathouse - Street Food on the Beach,4,"Newquay, United Kingdom"
