reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Hidden gem,"Incredible home cooked food of an exceptional standard. A credit to the cook and her husband who makes everyone feel so welcome. For them it isn’t about making money, it’s about making people happy with their offering, top marks.",Date of visit: June 2019,Konoba Luviji,1,"Hvar Island, Croatia"
Quite simply incredible,"I have eaten in many places around the world and often been met with false claims of locally caught, freshly made etc. but this place truly doesn’t disappoint on the claims it makes. The locally pressed olive oil and salt collect from the local beach, set off your meal as you dip in the freshly made bread into the oil and sprinkle with a few crystals of salt. Then you can watch as your fish is cooked on the griddle alongside freshly caught squid and all washed down with home made lemonade. It is great value and simply delicious with genuinely warm and helpful service.",Date of visit: June 2019,MS Bar and Restaurant,1,"Mljet Island, Croatia"
"Warm welcome, good food","Entered the pub just as they opened, so wasnt expecting such a warm welcome and an excellent lunch. Great value and set us up for the afternoon walk in the moor.",Date of visit: May 2019,The Mary Tavy Inn,1,"Tavistock, United Kingdom"
Complete rip off,"Arrived at the park as a couple looking for a walk with the dig, ti be told it wss 10.90 per persin plus 4 for the dig. During the walk we came acrosd public footpaths, so we could have parked on the road and used these free of charge. The dog wasnt allowed in the cafe. Rip off, not suitable for those lookibg for a stroll. Children under 2 free but digs charged, bizarre.",Date of experience: April 2019,River Dart Country Park,1,"Ashburton, United Kingdom"
"lovely stay, great facilities","Had a last minute weekend stay due to the gorgeous weather. Site is set in the Pentewan Valley, so well located for visiting the rest of Cornwall. The weather obviously made a difference but what surprised us was the facilities for such a site, great pool and bar area The food was good and the beer from the bar sublime, very clean and crisp.",Date of stay: June 2018,Sun Valley Holiday Park,1,"St Austell, United Kingdom"
Great food,"Freshly made pasta and pizzas, eaten on a small back street made this a truly exceptional meal. Good value, great service and fresh ingredients.",Date of visit: June 2018,Maria's Pizza,1,"Skiathos, Greece"
Do NOT stay here,"I have travelled many places and always been fair with my reviews. We booked this place for a one night stay as our last stop. It was relatively cheap but not the cheapest and we didn't expect much over and above a cleanliness and a modicum of comfort. It was filthy, the toilet bin had soiled paper still in it, the bathroom riddled with dirt and grime, the bed sheets full of stains. It is centrally located so you expect some street noise but the noise from the corridors of the reception managers dog barking at 3am was unacceptable. I can tolerate most places but I'd rather have stayed on a park bench.",Date of stay: June 2018,Pansion Angela,1,"Skiathos, Greece"
Perfect location,"The welcome is so warm and genuine, you really cant expect more for the price. The apartments clean and spacious with views out to sea and just a walk down the steps before being in the port. Yes they are a little bit piecemeal in the way the are put together, tv very small and placed amongst unlevel switches on the walls but hey who wants tv on such a quaint island. Comfortable, clean and affordable would recommend to anyone on a budget.",Date of stay: June 2018,Maria Studios,1,"Alonnisos, Greece"
Great location matched by hospitality,Madam Matoula takes pride in her property and treated us as family members. Wonderful location just 100 yards from the port but secluded enough to feel like you are in a quiet countryside house. Very clean and great value. Pergect for couples. Highly recommend.,Date of stay: June 2018,Pansion Matoula,1,"Skiathos, Greece"
Great night out,"Booked a 4 hour evening trip (6-10) with Demetris. Short twenty minute trip begore we are fishing. Caught plenty of small fish whilst being supplied with food and drink. Not fir the serious angler looking for bugh fush but perfect for the novice or youngsters lookibg to feel the tug of fish in their line. Took fish we caught to a local taverna who cooked them up for us the following evening, for a minimal fee. Trip back in in the dark was great.",Date of experience: June 2018,SFT Skiathos Fishing Trips,1,"Skiathos, Greece"
