reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
2nd visit,"We love this place... Chose it specifically for this years trip as the owners and family can’t do enough for you.
The housekeepers tend to your rooms everyday changing the bins and stocking up the toilet roll and basic clean around-we’d only been here 2 days and our sheets were changed. The rooms are sufficient for our holiday and clean, but other than comfy beds and a shower what more would you need?
Spiros speaks English very well and nothing is too much trouble for him or any one else here.
The supermarket is well stocked and well priced compared to others in the area.

All they expect from us as guests is to not eat food from the supermarket by the pool as local checks can cause them a huge fine under Greek law.

The bar snacks available are tasty and cooked quickly. Their breakfast choices too suits any appetite.

Wouldn’t hesitate to book here again next time in Zante.",Date of stay: August 2019,Elpida Hotel,1,"Zakynthos, Greece"
Highly recommend,"Booked this through PM on facebook and communication was swift & informative. Didn’t want the usual boat trips available and this sounded exactly what we were looking for. I was messaged the evening before that there would be a later start with apologies. It was only 30 mins & caused no concerns to us. We arrived earlier than expected and was invited straight away into the boat. Giorgos was a very friendly captain and immediately made everyone feel at home as soon as we stepped on to his boat. It was amazingly clean for a fishing boat and we were immediately offered Greek coffee’s to wake us up. He kept us up to date as others were delayed arriving (his English is brilliant). We still left earlier than he had messaged me the night before.
He explained to us all how the nets work and some history as we were passing by the island.
When they started to cast the nets it’s very hypnotic and hard not to study the technique used. He encouraged the other guests to try too... It takes about 20mins - nearly a KM in length will not be quick! No one was bored during this time it’s entrancing and the strangers on board started to become companions.. we went for a lovely swim at a secluded spot called Pelouzo Island. Giorgos explained the history of the island and also that the marine conservation & WWF had a part in the island too (very encouraging info) that he is also a member of.
We moved after a couple of hours to collect up the nets. This was great to watch aswell... We went off for another swim in deeper waters with the snorkels that he’d provided. Giorgos explained to a few of us his catches and what’s available and when-his aim for today was red mullet I loved the snorkelling-never done it before... i eventually got called back to the boat
Dinner was ready.
It looked incredible!
Never tried so many different fish sea bream; mackerel even a cuttlefish to name few. Along with his home made wine available and the wonderful food we all got to know the others on board from different countries on their holiday and conversations were flowing.
I can’t say enough about this trip, it was perfect from start to finish, you never went hungry and always had cold drinks offered. This was exactly what we’d been looking for and more! Don’t hesitate to book with 12 max on board it really is a welcoming personal experience to remember.",Date of experience: August 2019,Zante Fishing Tours,1,"Zakynthos, Greece"
Overnight stay,"Just one night stay as attending local wedding with my 11yo daughter. The communication via email during booking procedures was excellent. Had no problems checking in after the wedding and before the evening reception.
The hosts were lovely and even checked with me i was happy in a double room having to sleep with my daughter (which i was). The room was lovely and clean and plenty of coffee & tea supplies in the room with a complimentary kitkat.
We came back late and fell into bed and it was really, really comfortable. The pair of us had a wonderful nights sleep. Breakfast was served from 07:30 until 08:30 and we came downstairs about 08:15, we were told we could arrive for breakfast at 08:30 and still get served and relax before check out at 10am. The breakfast was divine and nothing was too much trouble for them. My daughter loved the tea that they made.
The en-suite was small but nothing negative there either, lovely shower and again, complimentary shower/shampoo wash available if you’d forgotten your own. Lovely soft towels available as well. Definitely a lovely, quiet relaxing place to stay and wouldn’t hesitate to stay here again if i was in the area.
Thank you to the lovely hosts for looking after us.",Date of stay: July 2019,The Golden Lion Hotel,1,"Llandysilio, United Kingdom"
Best breakfast in area,Came here on a whim as have been several times before for their breakfasts. Loads of choice to suit all appetites and great value for money. A small locally run cafe with enough seating area. also serve loads of variety for sandwiches to eat in or takeaway. I always come here when i fancy a cooked breakfast and on rare occasions collect a sandwich for my lunch at work (and a slice of cake) The food is always fresh and their coffees are heaven. Staff are friendly and can accommodate all dietary requirements from what i’ve seen. Don’t pass them by go in and see for yourself.,Date of visit: July 2019,The Rainbow Tree,1,"Leicester, United Kingdom"
Raffle Prize,"Pumpkins Deli kindly donated 2 breakfasts as a Christmas Raffle prize towards money raised to a great charity within our company. As we’re based in the surrounding area our office had used them for our lunches on numerous occasions and have never been disappointed, so i was thrilled that i’d won.
Travelled out of my home town with my other half and raved about this place to him on route. The place was full when we arrived, but a lovely, polite member of staff told us a couple had eaten and were just finishing their drinks and we shouldn’t have that long to wait (Good service right there).
When we got a table we ordered our breakfasts, enough choices for all size of pallet. I had a cappuccino too and i’ve got to say it was one of the nicest i’ve had in a long time-far nicer than that particular brand you see everywhere.
The full english breakfast we’d ordered was amazing! Cooked to perfection and really tasty.
For me on first impression was it actually didn’t look ‘daunting’ like other breakfasts i’ve had, as in, seeing all the grease and thinking how ‘unhealthy’ it was. This was fresh, local produce and enjoyable to eat. The granary toast with it was nice too.

I have nothing negative to say about our visit at all. Great atmosphere, lovely staff and plenty of menu choices. For a local village deli this is a really popular place and well done to the owners for making this place what it is. A real unexpected gem in a small village in the middle of the countryside.",Date of visit: January 2019,Pumpkins Deli,1,"Brinklow, United Kingdom"
Spooky trail,"A large group of us all met up for the spooky trail, all with children of various ages-from 18 months to 10 years of age. It’s my first visit, so I didn’t know what to expect.
They all had great fun following the map to find the clues, they stopped for ages to feed the ducks and signets with the food you could buy (£1) from the shop.
There was no rush for any of us and during the trail the kids had a great time climbing and playing on the logs that were everywhere. The play area (in the middle of the trail somewhere) was brilliant fun with all the ropes and challenges. Saw lots of adults give it a go too.
There were a lot of dog walkers around, every dog was on a lead which was good too and I wish I’d have brought mine along.
It’s a terrific place to get your kids out in the fresh air and just play.
A really nice cafe, that looked like it would allow your dog inside and plenty of seating areas dotted around the trail. There’s also a coffee stand over on the right past the griffin steps to warm you up, if you don’t want to visit the cafe. Nice coffee and reasonably priced.
Highly recommend this for a visit.
The car parking was £3 all day for the spooky trail and everyone had a fabulous afternoon.
Will definitely be going again, even without the spooky trail.",Date of experience: October 2018,Coombe Abbey Park,1,"Coventry, United Kingdom"
Almost enchanted place...,"Spotted this en-route to another local interest and decided to visit on our way back.
So glad we did, it really is a wonderful place to visit. As mentioned in another review your imagination could run with this place... so easy to see why a few film crews have chosen this place. It’s enchanting and my 10yo said it was magical. The natural wooden hand rails for the stepping stones to balance with fitted in well and were smooth through use. Loads of photo opportunities just for the setting. Good sturdy footwear is needed as some parts could get slippy if it’s been raining and a steady balance is required on the rare occasions.
Entrance fee was £13 for me & my daughter, at first I thought it was a bit expensive to see what I could only describe as a woodland-but while wandering around and seeing the whole area it is very reasonably priced.
Glad to have stumbled upon this place as a nice leisurely walk (and seating provided along the paths) and easily spent over 3 hours here. Could have been so much longer.",Date of experience: August 2018,Puzzlewood,1,"Coleford, United Kingdom"
Interesting place to visit.,"Lots of interesting facts to read while walking around and hard to imagine that several 6yo’s spent over 10 hours a day working down here.
The sound activation was good as you approached a particular place giving you more of insight into what it was like back in the day.
The place was quiet as we wandered around and actually took us no more than 45 minutes, and this was stopping and reading every sign and taking our time.
We missed the semi-depth cave exploring (£20 adults £15 children) as this is planned daily-which would have been really interesting as well and it did say allow 2/3 hours for this. Maybe another day...",Date of experience: August 2018,Clearwell Caves,1,"Coleford, United Kingdom"
Clean beach,"This beach goes on for what seems like miles. We sat down on the beach to relax and the sand is really fine (like abroad) lovely and clean too.
Only down side is no chance of a paddle in the sea, if you want to have a paddle and fancy a ‘hike’ you’d have to go through what can only be described as mud... guessing nature here does have it’s downfall and can’t see how this can be improved.
Buckets and spades are available in the shops so small kids could be amused on the sand for hours.
Overall a really nice sandy beach.",Date of experience: July 2018,Weston-Super-Mare Beach,1,"Weston super Mare, United Kingdom"
Quick bite and caffeine hit,"My Mum had eat here before and fancied some chips and a cappuccino.
Looked a really nice place and was busy with plenty of seating outside.
Service was quick and friendly and the cappuccino’s were lovely as were the chips-big fat ones too. Mum was disappointed as last time she came the chips tasted home made, but she still finished off the bowl and we both enjoyed them and really tasty.
I’d recommend going here rather than any others along the beachfront as there are loads of choices to suit every appetite.",Date of visit: July 2018,Victorian cafe,1,"Weston super Mare, United Kingdom"
