reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fabulous steak!,"My wife and I live on the island and to be honest we don't venture into Kalamaki to eat that often however last night (Monday) we did and we left raving about this restaurant, we were warmly welcomed at the door by the staff nothing pushy nothing intrusive a genuine felt welcome, now to the food,.. we decided against a starter and ordered our mains, both selected T Bone which comes with salad chips and a choice of sauce whilst waiting in the mains a selection of complimentary bread and dips were provided. The food here is all cooked fresh so be prepared to wait, that really should be seen as a bonus rather than a negative. Steak arrived.... 1 medium well 1 medium rare, both cooked to perfection, absolutely delicious we've lived here a year and that's the finest steak yet, how good was it? On my t bone I couldn't tell you what was the fillet side, yes it was that tender. They have a wide and varied selection of food inc their range of steaks none of which are over expensive the t bones were €19.50 inc salad and chips - all in all this was a tremendous meal.",Date of visit: August 2020,The Vintage,1,"Zakynthos, Greece"
Absolutely outstanding!,"We were invited to join our friends here for dinner, they had eaten here a couple of times before and were highly impressed, by the end of the evening we all were, this new restaurant is a must visit if you are locals (as we are) or visitors to the area.
Complimentary bread and dip for the table whilst we looked at the menu, We shared 2 starters which given the size of them was more than ample, we had main courses of Fillet beef linguini, stuffed calamari, salmon and a prawn linguini, all 4 were sensational. Shared 2 desserts, Cherry cheesecake and lemon tart... again absolutely delicious. Jasmine has a very select menu please don't be put off by this, the selections available are to the highest standard and are wide varied to suit all tastes. The prices are very reasonable, the quality of food, presentation and service is exceptional. The restaurant itself is warm and vibrant with a very relaxed atmosphere, inside and outside seating is available.",Date of visit: June 2020,Jasmine Bar Restaurant,1,"Zakynthos, Greece"
Awesome,"The biggest compliment I can pay is that when eating here tonight it didn't feel like a restaurant the welcome was so warm the food so delicious it felt like we were eating in someone's home, the food is served platter style and wow is there plenty of it! For 2 (my wife and I) very large salad, tzatziki, chips, cheese pie, cheese and ham pasta, beef stew in sauce, bread and olive oil.. enough? Oh no they then bring 2 pork souvlaki 2 chicken pieces, 2 bifteki and 2 pork belly's! What a serving of good this is. Alexsis is relatively local to us and we've been meaning to visit for a long time, on tonight's evidence I'm sorry we left it so long, suffice to say we'll be back again soon.",Date of visit: June 2020,Stou Aleksi,1,"Zakynthos, Greece"
A new favourite has been discovered!,"Visited Ethnic last night on the recommendation of our neighbours who absolutely rave about the place, we were not disappointed, the food was delicious and the portions very generous, we shared a starter of onion rings and chilli dip, my wife had the grilled chicken breast with chips and salad she couldn't decide which sauce to have no problem says the owner(Gina) have a side plate of both... I had the medium rare roadhouse steak with chips and salad, cooked to perfection, coffee to finish off (no room for dessert!) just to add the food is only part of the attraction albeit a big part but this is a family run restaurant with a welcome as wide as the ioanian sea, Gina and her two sons could not have been more attentive, they also provided general tips to us as we make our new life here on the island, whether your a tourist or a local Ethnic should be added to your list of eating places to try. You won't regret it. To Gina and the Boys a big hearty Scottish thank you and we'll see you again soon.",Date of visit: June 2020,Ethnic,1,"Zakynthos, Greece"
Lovely meal close to the Acropolis,"My wife and stopped off here for a quiet meal, staff were very helpful spoke through their menus and specials and each and every one of them has a take to tell! We stayed true to their Greek specialties which were delicious, the beef in pasta with tomato sauce was exquisite.",Date of visit: December 2019,Liondi Traditional Greek Restaurant,1,"Athens, Greece"
A little diamond!,"We found this little place by accident whilst on an Athens City break, during that break we ate in larger places we ate in posher places we certainly ate in more expensive places but in all honesty this small place (caters more for takeaway but approx 5/6 tables) held its own for friendliness, for taste for freshness and for value for money, if you are passing please do not be put off by the exterior it's not high end dining but it's delightful absolutely delightful, a special thanks to the two guys working they were very knowledgeable and extremely helpful to us.",Date of visit: December 2019,Wok Box,1,"Athens, Greece"
Delicious Food,"Visited this restaurant with my wife during a city break, was pretty quiet that night can't understand why as the food was delicious! Very welcoming couple met us at the door, portions are generous if you like your curry I would recommend the Delhi Curry based on the old fashioned recipe, we had a mixed starter rice and a Pashwari Naan(to be honest that was a bit dry but that may be more about our personal taste) all in all a lovely place with very very good food, and if the owner reads this... if you have another trip to Bonnie Scotland make sure your boy takes warm clothes!",Date of visit: December 2019,Namaste Indian Restaurant,1,"Athens, Greece"
Amazing,"You cannot visit Athens and not see this, it truly is jaw dropping, couple of tips avoid the sunnier parts of the day, take plenty sun screen, hat and water! But be prepared to be star struck",Date of experience: December 2019,Acropolis,1,"Athens, Greece"
An amazing stay,"My wife had a hospital appointment in Athens, travelling from Zakynthos to Athens can be stressful so we decided to stay a few nights and see some of the city sights, well the hotel is right on the doorstep of the crown jewel that is the Acropolis unbelievably the rooftop jacuzzi looks directly onto the magnificent sight, relaxing in the jacuzzi at night with an illuminated back drop of the Parthenon is what dreams are made of... incredible. The hotel overall is spotless, rooms are extremely well furnished, for our stay we added breakfast and we were not disappointed the daily selection was wide and varied, but the jewel in the crown is the staff, nothing was a problem everyone pulled together as a team, they really do make this hotel very very special, on our departure we had a quick chat with the General Manager again a very down to earth helpful man, whether he recalls or not I was the one with the political t shirt relating to an ex UK prime minister! When we return to Athens and I have no doubt we will at some point, the Herodion will be our choice to stay if available.",Date of stay: December 2019,Herodion Hotel,1,"Athens, Greece"
Delicious Lunch,"Went for lunch here whilst waiting for the ferry home to Zakynthos, a Greek friend had told us that the baby squid in particular was delicious, he wasn't wrong! My wife had chicken skewer and salad I had the squid with garlic bread all 3 were generous portions, bottle of water and a complimentary dessert, €18 an absolute bargain. Staff very helpful, restaurant spotless, clearly a favourite with locals and those waiting or arriving on the various ferry's",Date of visit: November 2019,Sou-Mou,1,"Kyllini, Greece"
A welcoming homely place to eat and chat,"My wife and I visited Mageirrion whilst in Rio/Patras to be honest we found the place by mistake and are we glad we did find it, beautifully decorated inside the restaurant has built out to encompass to large trees quite an ingenious piece of work, we were made to feel very welcome by the staff, shown to a table and then given a run through of what was on the menu including some freshly made authentic Greek dishes, we settled for warm bread, a small Greek salad, a chicken and pepper type stew and a local take on a moussaka dish each and every one were delicious, large water for drink, bill came in at under €20 (albeit this may be a winter price)
I would heartily recommend a visit",Date of visit: November 2019,Mageireion Koukoutsis,1,"Rio, Greece"
Below Average,"Visited Taj Mahal following trip advisor reviews to be perfectly honest we left extremely disappointed, first of all the waiter was warm and welcoming... I've nothing much more positive to add, the restaurant was cold yes it's November but there are heaters available don't leave your clients (as they were at other tables) eating whilst wearing jackets, starters of veg (2 pieces) and chicken pakora ( 4 pieces) were ok however like other parts of the meal gave the impression of being from a frozen ready made selection rather than freshly made, dips for both mint and sweet chilli were very nice, mains chicken Malaya was sweet a korma type dish served with a pashwaari naan which again looked and tasted as if it was pre packed, other main was lamb madras ... lamb was as tough as I've ever tasted on the island, the madras sauce was mildly hot but when left to sit the sauce split and there was clear water at the top of the dish again it tasted and gave the impression of being a pre pack heat up dish, served with boiled rice which was actually very decent, with the exception of the chicken pakora the portion sizes were pretty small given the prices of each dish, all in all a very disappointing visit.",Date of visit: November 2019,Taj Mahal,1,"Zakynthos, Greece"
Welcomed as friends treated like family,"Seacret Beach remains (in our opinion) the friendliest beach restaurant/bar in Tsilivi - some of the recent negative posts have really surprised us, a new season an updated menu and some new staff brings change, the changes particularly relating to the menu were done to improve things for us the visitor, it does take time to settle, however if you have any concerns or indeed suggestions to improve things then speak to the family they are always on duty and always willing to listen, Annie, Takis, Ioannis, Peggy and Irana are amongst the most receptive hosts you'll meet on this beautiful Island of ours. Come and see for yourself!",Date of visit: July 2019,Seacret Beach Bar Restaurant,1,"Zakynthos, Greece"
If you do one trip in Zante - do this one!,"We now live in Zakynthos and this trip was recommended to us by friends they raved about it so much we booked and took along our daughter and her partner, leaving from the Port of Zakynthos we headed out to sea, George (Captain) explained what we would do and what we would see over the day, swimming trips were organised and undertaken, George gave us a running history not only of the island but also the Zakynthos way of life, the importance of sustainable fishing and the role people play, we were all encouraged to help the crew drop the fishing nets the catch from which would be our delicious lunch later, Red Mullet, Octopus,Sea Bream with side dishes of spaghetti salad and bruschetta all cooked on board by Georges amazing mother in law who also doubles up as an FBI Agent (we think that may be false as she looked more CIA) all in all a truly magnificent day made all the more pleasurable by good company on board from Sweden and Slovenia and also a very welcoming crew. Yammas George from Joe Ann Mairi and Dan - ps we plan to be back",Date of experience: July 2019,Zante Fishing Tours,1,"Zakynthos, Greece"
A Hidden Gem,"Premier is off the main road area of Tsilivi however please take the time to locate it you will not be disappointed, it is relatively close to the beach, we ate here tonight along with our two friends, starters were a joy, ranging from tzaziki to spicy beef - main courses consisted of Fishermans Chicken (with prawn) my wife and our friend accepted Sakis suggestion of a ""Lamb Surprise"" and I had marinara pasta loaded with sea food - 3 desserts (2 ice cream with strawberry and a home made cheesecake, staff were absolutely charming whilst our friends are well known to the restaurant we were treated by the staff as if they'd known us for years. All in all a truly wonderful experience - thank you Sakis and staff!",Date of visit: June 2019,Premier Restaurant,1,"Zakynthos, Greece"
Amazing evening,"Visited Prosilio tonight on the recommendation of a friend, wow we were not disappointed. Starters were delicious, the main courses cooked and presented to perfection and the desserts... well please leave room for the dessert. Service from Yogo and his staff was faultless.",Date of visit: June 2019,Prosilio,1,"Zakynthos, Greece"
Lovely Meal,"Popped into one of our favourite Tsilivi restaurants tonight, as usual the food was thoroughly enjoyable - would recommend a visit to anyone who is in or around Tsilivi - Special thanks to Thanasis for the Banoffe pie which was magical",Date of visit: June 2019,Calypso Restaurant,1,"Zakynthos, Greece"
Delicious food,"Very new restaurant in Tsilivi and we decided to give it a try, we were not disappointed, warmly welcomed at the door by Alex the owner was a nice touch. Tzaziki and hot home made bread to start followed by two main courses of Beef Stifado and Rooster Ragout both were delicious, all in all a lovely meal in a very nice restaurant. Well worth a visit.",Date of visit: May 2019,Estia,1,"Zakynthos, Greece"
A welcome return,"Once again treated very well by Ioannis and the team, excellent sunbeds and brolly for only €7 a pair per day, cooling shower and toilets available, food and drink very reasonably priced, short walk into the sea, always a pleasure to see the team, we'll be back again in September. Joe and Ann from Glasgow",Date of visit: July 2017,Seacret Beach Bar Restaurant,1,"Zakynthos, Greece"
Welcomed back and treated like family,"Return visit to Calypso and it was as if we had never been away, made very very welcome by Kostas (and Mummy Kostas the inspirational Sous Chef!) food remains a delight, new menu this summer which thankfully has also retained some Greek classics, the Lamb Giovettsi is absolutely unsurpassable, as for the banoffee pie... we are dinner in other places and returned afterwards for Kostas banoffe pie, yes it's that good, lovely also to see Angela and her beautiful baby boy, booked again to return to Tsilivi 13/09 our first stop for food and catch up with friends be Calypso.",Date of visit: July 2017,Calypso Restaurant,1,"Zakynthos, Greece"
Disappointing,"On arrival first room was dreadful - room was dirty, bathroom black mould we were moved to another room which was clean but not what you would expect for 4star. Food was cold most of the time. You could only get one bottle of water at a time in dining room which was frustrating when you ask for one each. Staff were very friendly. Heated pool was closed for half our week and was never heated throughout our stay. There wasn't enough seats in the evening for guests and as it was cool at night the bar area inside was exceptionally busy. Also the bar was very busy all the one as only one open for hot and cold drinks in the evening. We had a good week as weather was lovely but Would not return as hotel was not 4 star standard.",Date of stay: February 2017,Occidental Lanzarote Mar,1,"Lanzarote, Spain"
Pleasant stay,"Lovely room at back of hotel bed very comfortable. Pool, sauna and steam room lovely with robes and plenty towels to use. We didn't stay for dinner, breakfast was ok -cooked breakfast was a bit greasy; fruit and pastries were lovely. All staff were very friendly.",Date of stay: April 2017,Macdonald Crutherland House,1,"East Kilbride, United Kingdom"
Great food,"Delicious food, great atmosphere and friendly staff. Piano player on Saturday night was a nice touch.",Date of visit: April 2017,Spice Indian Cusine,1,"East Kilbride, United Kingdom"
Magnificent,"As a Glaswegian I'm embarrassed to say this is my first visit to this museum and boy have I missed out, fantastic content on show, there's something for all ages including interactive for kids and adults, there are food outlets but we didn't try any although to be fair they did seem busy enough, staff very informative and helpful, my favourite piece had to be Chitty Chitty Bang Bang car, what a sight, go on folks get along, take the kids the parents the grandparents, well done Glasgow!!",Date of experience: January 2017,The Riverside Museum of Transport and Travel,1,"Glasgow, United Kingdom"
Average,"Was in the area and dropped in for a bit of lunch, waterside has two big plusses, the location and views and it's staff, the girls serving were very knowledgeable and attentive without being intrusive, food however was pretty average, we settled for a one course lunch @£9.95 partner had smoked fish pasta with dill and Parmesan, both of us agreed this was pretty bland so much so we asked for further cheese to add some flavour, I had Cajun chicken burger with a portion of chips to be fair this was fine however at £10 it was a bit overpriced in my opinion, bottle of juice at £2.20 is average for this type of place, we decided not to add dessert which was available either as an extra or as part of 2 course deal, all in all the visit was memorable more for the staff assistance and view rather than anything else.",Date of visit: January 2017,The Waterside Bar & Restaurant,1,"Strathaven, United Kingdom"
Magnificent!,"Took my grandson (1 year old) for a visit, absolutely mesmerised with the place, very open airy friendly place, welcoming for visitors of all ages.",Date of experience: November 2016,Kelvingrove Art Gallery and Museum,1,"Glasgow, United Kingdom"
Good pub food,"Popped in here for a try at the pub themed steak night, wife had the sirloin with the usual trimmings of chips and peas etc I had the large mixed grill, both came with a choice of drink inc soft drink if u wanted, all in good value for just under £18",,The Kirky Puffer,1,"Kirkintilloch, United Kingdom"
Lunch visit,"In for a spot of lunch with my wife, food was ok but nothing spectacular, can be a bit pricey for pub food which is difficult to understand given similar competition in the area, staff are welcoming service was good.",Date of visit: November 2016,Lion & Star,1,"Kirkintilloch, United Kingdom"
Lovely Lunch,"This is a mix of Italian and Indian cuisine, very affordable lunch time and a la carte menu - we both selected Indian, complimentary tasters of poppadoms spiced onions etc were given, both had chicken pakora, was decent portion although mine was a bit dry, partner had rogan josh with naan I had chicken tikka with rice both good portions and very tasty, bill for 2 with soft drink just north of £20 well worth a try",Date of visit: January 2017,Mango The Restaurant,1,"Bonnybridge, United Kingdom"
