reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Lovely staff made a little girls birthday day perfect!,"A big thank you to all the staff at the bears park cafe. With lockdown affecting a 6 year olds birthday day with no party, a walk to the park and a hot drink cheered us all up and the staff made a big fuss of her today making her feel super special

Thank you for a great addition to the day!",Date of visit: November 2020,The Lamppost - Burrs Country Park,4,"Bury, United Kingdom"
A big thank you to Lorenzo at the toby carvery,"I just wanted to say a big thank you to all the lovely staff at the Toby Carvery in Bury. We have just moved to a house across the road and all the staff there have been super helpful and just a pleasure!

After long days of decorating our house with no kitchen, popping in the toby for tea has been a real life saver! Warm, welcoming and lovely x

All the staff go above and beyond to ensure we feel welcome !
The bar staff are so attentive, and really ensure they are on hand for anything we might need.

The servers, Charlie and Ellen are just so kind and could not do enough for us,
But also a big thank you to our carver, Lorenzo. Such a funny and delightful man, he really makes our day with his welcoming personality and always has a smile on his face!

Great team, great place!",Date of visit: October 2020,Toby Carvery Ainsworth,4,"Bury, United Kingdom"
"Great food, great service","Fantastic meal, had calamari and prawns to start. Scallops were amazing. Service from Ellie was great",Date of visit: September 2020,Rockfish Exeter Quay,4,"Exeter, United Kingdom"
just perfect,"Super clean, beautifully decorated, includes everything from games, books, dvds, cooking equipment, bbq, hot tubs, and the most lovely well come pack on arrival.

There really is something for everyone on site from kids play areas, bars, snack places, swimming pools, events, singers, bingo, water activities, arcades, shops and the fishing is AMAZING!

Great great place and Tally Ho are just amazing",Date of stay: September 2019,Tally Ho 1 Luxury let prime lakeside location with hot tub and private fishing,4,"Tattershall, United Kingdom"
Staff made our visit,"We went on a Tuesday,
great place, good drinks, good deco, but a big thank you to the staff members, Ben and Jamie. Great guys, really represent what the washhouse is about. Chatty, helpful, friendly, made us feel right at home. Their help in guiding us through the menu was so helpful. Honestly they really made our night and I hope when we visit again to have the pleasure of their company.
Cant recommend this place enough, the team are experts in their field.",Date of experience: May 2019,The Washhouse,4,"Manchester, United Kingdom"
great stay and fab murder evening!,"Hi! such a lovely hotel really pretty, such lovely staff and just a great stay.
We went for a murder mystery night by Its Murder. Such a great night! we laughed from start to Finnish! The venue was perfect for the event as we could see and hear all the actors. The staff were amazing in providing such great service and the room was just gorgeous! Cheers guys",Date of stay: October 2018,Haughton Hall,4,"Shifnal, United Kingdom"
love it,"Thank you so much to the staff. They could not have helped us more. We were staying over for a near by wedding and when the rain came the staff could not be more helpful in providing us all with umbrellas and a helping hand.
Inside the building was like stepping back in time. It was the perfect place for a stay. great building, great character and the best breakfast iVE HAD IN AGES.
yes the parking can be tricky but all the near by streets are clear to pop the car down.

great room, great staff, great location what a find!",Date of stay: August 2018,The Tudor House,4,"Warwick, United Kingdom"
Highs and lOWS,"Great size room, great location, everything is with in walking and overall a perfect place.
However please do be careful. They require a £50 deposit each (per person) However if your with a large party all your deposits are collected together as one with one signature for all the money even though there are multiple rooms.

This meant that when it came to checking out and getting the deposit back even if someone else in your party who was not in your room has caused any damages that charge will still be taken from your collective kitty. So next time I will make sure we keep our deposits separate.

Our party realised this upon check out as they wanted to take money for a chair that was damaged. we knew exactly what chair it was and we 100% caused no damaged it was like that upon arrival so when you check in any problems with your apartment report it right away!

Other than that, clean, good size and handy location",Date of stay: June 2018,Playamar Apartments,4,"Benidorm, Spain"
perfect,"clean lovely room, great breakfast, top stay and only a taxi into town. It was much better than a city centre hotel, had parking and charm, bar was a lovely space to
we stayed the top floor, the room was massive and suited the setting perfect",Date of stay: April 2018,The Avenue Inn,4,"High Shincliffe, United Kingdom"
the staff made the visit,"Raquel made my visit, she is amazing at her job, she listened and understood everything I was looking for in terms of treatment for my back, I was so impressed I'd say it was one of the best treatments I've ever had.",Date of experience: April 2018,Portland Hall Spa,4,"Southport, United Kingdom"
