reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Super!!,Nous venons à Céphalonie tous les ans pour voir notre famille...et à chaque fois c'est un vrai plaisir de nous retrouver devant un pita.super adresse et très bonne ambiance.,Date of visit: July 2018,Ladokolla,1,"Cephalonia, Greece"
Exécrable,"Hôtel réservé depuis le mois de juillet confirmation à l'appui ,je téléphone pour confirmer qu'ils ont bien ma réservation après 600 km il est 19h, nous arrivons à 6 collaborateurs . Mon collègue et moi-même n'ont pas de réservation à notre arrivée après haussement de voix et quelques colère, le réceptionniste très mal aimable décide de nous trouver une seule chambre, qui donne à mon collègue avec aucun scrupule .il me dit que c'est de ma faute. Il m'a sans aucun problème laisser sur le trottoir .je lui ai dit que ça ne le gênait pas de laisser une femme à 19h sans hôtel sachant que tout t'étais pris avec la Coupe Davis il m'a répondu c'est pas mon problème.. je suis scandalisé après j'ai demandé à mes collègues l'accueil reçu pas de bonjour le matin pas un seul regard rien juste prendre l'argent bien évidemment j'ai remonté ça à mon siege sociale qui a un poids important sur Lille. De plus hôtel vieillissant au lieu de refaire la réception ,commencer par faire les chambres..",Date of stay: September 2018,Hotel Art Deco Euralille,1,"La Madeleine, France"
Super,"Super accueil. hôtel très propre, réceptionniste très aimable le petit déjeuner est complet et varié. Hôtel situé en tram juste à côté à deux stations du centre-ville idéal pour ne pas reprendre sa voiture .Je le recommande à tout le monde.",Date of stay: September 2018,Campanile Lille - Euralille,1,"La Madeleine, France"
Formidable,"a unique experience in a magical setting, a day that goes far too much. the welcome and kindness of efi and dimitrios and pleasant. They receive us as at home with a lot of nice attention and simplicity. fishing and really very good and to share the meal together it's just great. This is 2 times that I do this activity..I really advise everyone to do and especially to redo..thank you efi and dimitrios .",Date of experience: July 2018,Fishing Tourism Kefalonia Dimitrios-Efthimia,1,"Cephalonia, Greece"
Médiocre,"Je suis venu pour trois nuits pour un voyage Professionnel. j'ai trouvé ma chambre + ou - propre, retapé avec du bricolage de très basse qualité . La salle de bain à besoin d'être refaite très rapidement joint de carrelage noir, peinture noircie.. intolérable le premier jour j'ai eu le droit à 2 gobelets dans la salle de bain, le deuxième jour un seul gobelet, le troisième jour zéro . Les peintures son négligé l'éclairage est catastrophique et aucune prise près du lit compliqué pour brancher son téléphone réveil .le personnel n'a pas été désagréable mais gros manque d'investissements, il reste vissé sur leur PC à l'accueil et en aucun cas ne nous demande si nous avons des besoins petit-déjeuner Basic tranches de jambon morceau de fromage douteux au niveau de la fraîcheur. J'éviterai de retourner à cet hôtel.",Date of stay: April 2018,Hotel Restaurant Argos,1,"Vendenheim, France"
Catastrophique !!!,"À chaque fois il se passe quelque chose de décevant !!!galette normande avec camembert et pomme andouille. .sans camembert et on te dis que la préparation arrivé toute faite et que le camembert doit dedans il qu'il on plus qu'à mettre dans la galette. ..en guise de pomme on te met de la compote au lieu de pomme super avec la créme
Avec moi un autre plat une dorade en sauce tu ouvre le poisson il est cru ...a chaque c'est pareil et jamais on s'excuse ou t'offre un café ...il faut se remettre en cause je ne vous parle pas de la galette au saumon sans saumon ...scandaleux !!!",Date of visit: November 2017,La Pierre a Feu,1,"Cherbourg-Octeville, France"
Super,"Toujours un plaisir de venir un accueil trés sympa,dans un cadre exceptionnel et des plats très bon.une adresse incontournable .",Date of visit: November 2017,Les Compagnons de la grappe,1,"Lille, France"
Bruillant,"Nous avons louer un mobile home début juillet nous y sommes actuelement pour 15 jours ...dommage je ne peux pas vous faire écouter le bruit c'est insupportable.le camping est jolie mais c'est le seul point positif. Nous sommes les un sur les autres aucune intimité. Il sont juste la pour faire du fric vous ne pouvez pas sortir du mobile home sans argent.la wifi 15€ pour une semaine pour 1 seul appareil si vous voulez deux appareils impossible il faut se deconnecter !!! Payer la wifi de nos jours c'est scandaleux mais c'est pas tous je décide de faire une machine à laver 5,50€ la machine et tous est comme ça il n'y a pas de climatisation pour la nuit .je décide de demander dans louer un (oui parce que prêter ne connaisse pas ) En réponse j'ai""si vous avez chaud aller à la Mer ""bin oui en pleine nuit co.....etc etc je ne parle pas des animations ""au secour""mais le pire C'est le bruit.. ..",Date of stay: July 2017,Camping La Masia,1,"Blanes, Spain"
Super,Super accueil. Service trés bien est trés accueillant. Des produits régionaux frais et bon dans un cadre typique et chaleureux nous y retrouvons avec beaucoup de plaisir.,Date of visit: July 2017,Bar Don Juan,1,"Tossa de Mar, Spain"
Très bien,Trés bien reçu par une équipe jeune et dynamique. .nous avons mangé un burger de trés bonne qualité produits frais burger fais maison et pas cher. Très bonne adresse.,Date of visit: June 2017,Yalta Burger Normand,1,"Cherbourg-Octeville, France"
Épouvantable,"Je suis encore allé a l'écurie pour un repas pro avec mes collègues a chaque fois nous demandons a être servie rapidement ce n'ai jamais possible . la qualité a beaucoup diminuer . le service et devenu déplorable soit nous ne sommes pas servi tous ensemble (6 personnes) soit ont nous oubli un plat ,soit le service et négligé . j'aimais beaucoup ce restaurant a ses début maintenant je ne recommande a personne ..dommage.",Date of visit: October 2016,L'Ecurie,1,"Cherbourg-Octeville, France"
Magnifique,"Accueil exceptionnel , qualité parfaite restaurant calme et agréable digne d'une tres belle table française je le recommande a tous et toutes. Merci.",Date of visit: July 2016,Ammos Restaurant,1,"Cephalonia, Greece"
