reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
This is a must,"Today will be about Kefalonia, Efthimia and Dimitrios.
Kefalonia is my favourite island from the 7 Greek island I’ve seen so far. And Efthimia and Dimitrios will be, from now on, one more reason for that. They are my favourite tour hosts, ever. The food Efthimia cooks ( fresh, catch of the day fish, sea food and vegetables) is delicious; Dimitrios is funny, communicative and helpful. Their small boat is spotless, and comfortable. For those who, like me, had no idea about net fishing, it is very instructive, too. Don’t miss this experience, if you are in Kefalonia. It’s a must.
And now about Kefalonia : as in all the Ionian Sea islands, water is unbelievable clear, and in 50 shades of ...blue. It changes colors,depending on the moment of the day.
At this time of the year the water is rather cold, but refreshing, all in all. People are friendly and helpful and speak English quite well. There are lots of guests houses, b&b, hotels. The entire island is full of small, cosy villages, each and every one of it with its special feature. As the island is practically a mountain in the middle of the sea you’ll definitely need a car, as everywhere you go, you’ll have to go up and down on windy roads. The views are amazing, breathtaking, wherever you look. And it’s not crowded if you chose to come beginning of June or late August, beginning of September.I don’t know exactly about July and August but most certainly it might be too hot. Depending on your interests, the hosts of your guests house will advise you. Argostoli the capital, is a nice, clean and neat city, with something for everybody( fancy restaurants and hotels, dancing clubs, local designers shops, playgrounds for children ) but if you prefer just to relax and enjoy a good bath in Cristal clear waters and white, yellow, black sand, look for lodging in the villages scattered all over the moutains. You won’t regret it.",Date of experience: June 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
One of the best,"This is a nice, cozy restaurant; very good food
good service and moderate prices. It must be even better in the summer or spring as they have a terrace. I definitely go there again.",Date of visit: December 2017,Blue Margarita,4,"Bucharest, Romania"
Leisure,"I’m not a fan of zoos. So I went there more out of curiosity to see how bad it is though Singapore is one of the most civilized, clean, safe city, I’ve visited. So how bad could it be ?Inside this zoo, the animals seem almost free and happy as they are not kept in cages, but in huge replica of their natural enviroment. Nice experience, worth a visit for kids sake at least; It was much better than I’ve expected, my only “complaint “ is that polar bear , is also on display there; and no matter how hard they try to replicate their natural enviroment, they(the polar bears) are not suited to live in a tropical climate; they seem ok, but an arctic sea can hardly be replaced by a partly frozen swimming pool, no matter how big it is. Or by freezing air conditioning. Luckily the bears can’t talk. Other than that....
Food courts and coffe shops are all over the place, lot of greens, playgrounds for kids. You can spend an entire day there easily.And the kids will love it. But again, I’m against zoos or any other form of caged animals.

Tips and tricks- By public transport, it might take 1 hour to get there from city center, and it’s rather complicated by car. If you don”t have a rented car
with updated navigation system,use google maps and public transport wich are great and very cheap. You can buy a sim card for data, for your phone with 15 Singapore $ and a public transport card with about the same price for
7-10 days. Actually you don’t need a car in Singapore; google maps and public transport can save you a lot of money, as parking lots are quite expensive.Metro/underground is also very good,but by bus you can see more of the city. And at rush hour, bus or metro are better to use There are also Sight seeing buses, on 8 routes! We preferred to walk or take the bus (which are air conditioned) when we couldn’t stand the heat..
Hope my review will help you decide.",Date of experience: December 2017,Singapore Zoo,4,"Singapore, Singapore"
Something else,"This temple is located in little India which is in itself a very special place. Some might find both of them kitschy but that’s what makes it so picturesque : it’s very colored, very crowded, noisy, but likable. It’s very different from all you might have seen anywhere else, unless you’ve been to India. There are always a lot of people wandering inside,outside and around the temple. It’s like entering, visiting and exiting India in 2 hours.Everything is very colorful inside the temple, all the walls are full of little Buddhas in different posture. Thousands of them ! A visit to the temple and little India,
can give you the feeling of India, without going to India. I loved it and I recommend a visit to both the temple and little India. There are a lot of restaurants, small shops,gold shops, toy shops,henna tattoo shops, it’s like a walk in a huge mall, always overcrowded but mysteriously not annoying.
I don’t think a lot of people like crowded
places but these two, worth trying, even so.",Date of experience: December 2017,Buddha Tooth Relic Temple and Museum,4,"Singapore, Singapore"
The best 🚇,"The cleanest, fastest,cheapest, safest way of transport în Singapore. A 10 days pass costs 15 $ and you can go anywhere with it.",Date of experience: December 2017,Singapore Mass Rapid Transit (SMRT),4,"Singapore, Singapore"
China town,"Very much like any other china town but better. Good food, lots of shops, many cheap decent hotels/hostels.",Date of experience: December 2017,Chinatown,4,"Singapore, Singapore"
Leasure,"Apart from a not very comfy bed and nice location this is a bad choice. We stayed there 4 days; during this time nobody neither cleaned our room or took the garbage out or change the towels.You don't even have 2 glasses or 2 chairs to sit on, and the small carpets
were very dirty, the bathroom was dirty and not working very well, the door was not closing well. The breakfast was not bad, but you have to ask for each and everything and the food was obviously a day old.At the bar they overcharged us. The staff was not interested in their clients comfort.They seemed undisturbed every time we complained about anything .They fixed the bathroom but not cleaned the room, as if you have to ask for it. And they pretend they have only one key of the room.
I've choosen this small hotel because it has good reviews (8,1)
It proved to worth less than 6. I've stayed in lots of places, in the middle of nowhere and it was cleaner than here! For 50€/night all they offer is a bed and a roof above your head.
I wouldn't recomend it! Don't go there !",Date of stay: July 2017,Pensiunea Sara,4,"Valiug, Romania"
A hidden treasure,"Beside the unbelievable view, the food is delicious! You can enjoy the sun set ,listen to good music, watch the mountains, have a great lunch or dinner. What more can you ask to have a stunning day ?
It's at about 10km from Perigiali , and the road goes up and down through the mountains offering wonderful views. The nice part is that in 30 minutes you can go from the beach to the mountains; but that's all about Greek islands. Don't miss it !",Date of visit: June 2017,Rachi,4,"Lefkada, Greece"
A wonderful lunch,"Very good food , nice location , very friendly staff. And good prices.It's worth trying! Greek islands should be seen at least once in life time ! It's hard , being around 700 but worth trying! And Lefkada is one of the most beautiful and offering island.",Date of visit: June 2017,Taverna Pantazis,4,"Lefkada, Greece"
How can you choose ?,"This must be a very famous beach , by now; but seeing it is something else . The ""sand"" it's made of big and small round rocks wich give you a nice masage to your feet ; the waters are clear and in tens shades of green and blue ; near by there are a lot of small tavernas and shops . But isn't it the same on all greek beaches ? At least the ones at the Ionic sea . Then how can you decide wich to see and wich to skip in a 7 days holiday ? Tough choice !

Tip : you better have some water shoes at hand ; sometimes the nice little rocks could be very hot .
And a sun umbrella it can be useful as sun can be really hot sometimes , and there is no place to hide or any shaded places . ....except for the taverna teraces .",Date of experience: June 2017,Porto Katsiki,4,"Lefkada, Greece"
A must see/go,"This one as most of the others is of breathtaking beauty. But be advised : you have to climb 75 steps and them descend pretty much the same number of steps , in order to get there . But it's worth the effort ! Don't forget your sun umbrella and lotions !

Tip : there are a lot of restaurants and shops before starting to climb ; make sure you have all you need(beer, snacks) before starting .It's a 20 minutes walk , but in the hot sun it can take a little more.",Date of experience: June 2017,Milos Beach,4,"Lefkada, Greece"
Very good,"This is a nice small hotel ; very clean and tidy with a nice small garden .Very well located on the main street in Perigiali . Owners very nice and helpful always present and ready to help .Very good breakfast on a wonderful roof terrace . Small beach just across the road. Restaurants and bars , at a small walking distance .
I surely recomend it .
The only issue is that it may be a little noisy for some people as it is located on a main and rather busy street. It was not an issue for us, but it can be for some people .",Date of stay: June 2017,Sundy's Studios,4,"Lefkada, Greece"
