reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Très bon repas aux affranchis.,"Très bon repas aux affranchis. L’ambiance est conviviale et l’accueil est très sympathique.
La carte est variée avec un menu du jour. En plus ils ont four à bois pour les pizzas! Miam
Les plats sont délicieux! Je recommande !",Date of visit: December 2019,Les Affranchis,1,"Labenne, France"
Au top!,"Très bon accueil! Affaire de famille, nous avons été très bien reçu.
La carte est variée et les plats vraiment très bons!
Coup de cœur pour le sable aux fraises... un délice pour les papilles! Bravo!",Date of visit: May 2019,La Maison de Jeanne,1,"Saintes-Maries-de-la-Mer, France"
Excellent!!,"Le chill out studio est parfait pour des vacances en couple ou en mère amis! Le propriétaire et sa femme sont adorables, viennent vous chercher au port, vous offre un petit verre de bienvenue et sont toujours disponible! L'espace terrasse/piscine est incroyable avec une superbe vue et des fauteuils/transats hyper confortables et la vue au couché du soleil est inoubliable! Une petit marche digestive en montée pour revenir du centre ville pour éliminer les quelques excès ... au top!!!",Date of stay: June 2017,Chill Out Studio,1,"Mykonos, Greece"
Modernité à la sauce grecque,"Très bon repas! Les plats traditionnels grecques sont revisités sans être dénaturés! Très belle décoration de salle!
Le service est impeccable avec plein de petites attentions tout le long du service! Très bien, je recommande!",Date of visit: June 2017,Nesaea,1,"Mykonos, Greece"
Just a wonderfull time! 🔵⚪️,"Anthi brings you to a moment out of time. Far from all the sterelised cruises proposed on the island, you will live an amazing experience. Helped with An amazing team, she is going to show you the traditional way of fishing in Santorini (with the traps and the nets). Then you will be able to fish again or bath in a marvellous place while all the team is preparing the dinner (that you catch just before)! You will end your day, by admiring the beautiful sunset..
Just a perfect day!
Anthi is a woman from Santorini! During the cruise, she is very available and can explain you many things about the island and her family story is also very interesting!
I really enjoyed this moment and if you have to do one thing in Santorini, it is this cruise.
Thanks to all the team from yesterday! It will be a great souvenir",Date of experience: June 2017,Santorini Traditional Fishing Experience with transportation,1,"Santorini, Greece"
Traditional fish restaurant,"Far from all the tourists restaurant, you will enjoy the view on the marina.
You will enjoy the menu with fresh fishs and Greek salads!
Good restaurant if you going on a boat tour in the afternoon!",Date of visit: June 2017,To Psaraki,1,"Santorini, Greece"
Très bonne adresse!,"Dans un petite rue derrière un quartier en mouvement, ce bar à vin propose une carte de vins grecs! La patronne parle très bien français et vous propose de déguster quelques vins avant de se décider! À accompagner d'une grande planche de charcuteries et fromages! Yamas!",Date of visit: June 2017,Cinque Wine & Deli Bar,1,"Athens, Greece"
Beurk... des souris se promènent dans le restaurany,"Nous nous sommes rendus à l'idiana café de Bercy suite à un concert.. seul restaurant de Bercy village à pouvoir nous servir après 23h un mardi soir...
l'assiette était plutôt correcte mais en plein milieu du repas nous avons vu une souris se promener au milieu du restaurant au milieu de la salle... elle n'avait pas l'air apeurées par les serveurs et les clients... le serveur n'avait pas l'air choqué quand d'autres clients lui ont fait remarqué... Mon appétit s'est envolé d'un coup en voyant cela... si je veux aller voir ratatouille je préfère aller à Disney!",Date of visit: June 2017,Indiana Café - Bercy Village,1,"Paris, France"
Convivialité et carte de tapas de qualité!,"Nous nous y rendons régulièrement entre amis pour des moments conviviaux! Grosse carte de tapas qui sont tous cuisinés à l'espagnol, à la plancha et très bien assaisonnés! Le vendredi on peut même chanté avec Adrien et son piano, de bons moments à chaque fois!",Date of visit: June 2017,Chez Babeth,1,"Dax, France"
Séjour de 1 semaine,"Nous avons réservé une semaine à la résidence les palmitos au mois d'avril.
L'aspect extérieur de la résidence est magnifique. Très belle piscine et espaces verts très bien entretenus.
L'appartement est grand avec 2 chambres et 2 salles de bains et une très grande terrasse.
En revanche, la literie est vieillissante et pas très confortable. Les draps fournis n'étaient pas impeccables et les couvertures étaient vieilles.
Ceci-dit vu le prix très intéressant que nous avons payé, le rapport qualité prix reste excellent.",Date of stay: May 2017,Los Palmitos,1,"Peniscola, Spain"
"Convivial, moderne et accueillant","Restaurant dans lequel nous sommes allés mange deux fois dans la semaine. Petite salle dans une verrière moderne avec décoration soignée. Service impeccable, menus et carte très abordables et qualitatifs..
Vraiment une très bonne adresse à retenir!!!",Date of visit: April 2017,La Mar Salá,1,"Peniscola, Spain"
Jamais déçus! Toujours ravis!,"Le restaurant ""côté Quillier"" à plusieurs attraits. L'accueil est toujours impeccable, les menus à 25 et 35 euros changent régulièrement, les plats sont toujours harmonieux et délicieux, la terrasse par beau temps face à la pinède est très agréable tout comme la véranda quand il fait moins beau! Vraiment, je ne peux que conseiller ce restaurant..
C'est une ""antenne"" du restaurant étoilé le relais de la poste et on y retrouve toute l'inventivité du grand Chef Jean COUSSAU!",Date of visit: September 2016,Cote Quillier,1,"Magescq, France"
"Service, excellent rapport qualité/px et quantité!!!","Au top! Je déjeune de temps en temps au ramuntcho en famille ou entre amis! Accueil impeccable et repas cuisine copieuse, conviviale et de grande qualité! Réservez à l'avance!",Date of visit: June 2016,le ramuntcho,1,"Dax, France"
Très satisfait,"Nous avons déjeuner chez les sales gosses un midi. Bon accueil, déco sympa, bon rapport qualité prix! Service rapide. A recommander!",Date of visit: June 2016,Les Sales Gosses,1,"St-Paul-Les-Dax, France"
Très bon moment,"Nous sommes allés déjeuner au vélo bleu un dimanche midi.. Très bon accueil, cuisine très bonne et conviviale! On recommande et on reviendra!",Date of visit: May 2016,Restaurant le Vélo Bleu,1,"Labenne, France"
Très bon séjour,"Nous avons séjourné dans cet hôtel essentiellement pour le SPA et nous n'avons pas été déçus.
Il est propre, bien aménagé et désert quand nous étions! Malheureusement il n'est ouvert que le soir... L'hôtel se trouve au milieu de nulle part, dans une ville peu accueillante mais nous sommes partis sur la côte la journée.
Les chambres sont propres, grandes et confortables. Le personnel a été très sympathique et parle français. Le petit-déjeuner est copieux et bon ( hormis le jus d'orange j'en conviens!)
Nous avons dîné au restaurant et là aussi, bonne surprise! Le personnel a été à nos petits soins. Le menu à 35 euros est très bien, un bon rapport qualité/prix avec le vin compris. Thon mi-cuit délicieux.
Je ne comprends pas les critiques car le rapport qualité / prix est indiscutable. Que pouvons-nous avoir à 100 euros la nuit avec Petit dej et Spa en France? rien ! Les 4 étoiles sont certes plus luxueux mais bien plus chers!!!",Date of stay: February 2014,Hotel Mas Sola,1,"Santa Coloma de Farners, Spain"
