reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Leisurely Lunch,Visited for a leisurely lunch by the sea and were really glad we did. The setting and service were excellent and the food delicious. We loved the quirky Strawberry soup for desert. Although not cheap the prices were great for this level of experience. Highly recommended.,Date of visit: October 2020,Albergo Gelsomino,1,"Kós, Greece"
We loved it,"Visited for a week at the end of October and hotel was everything we wanted. Lovely friendly helpful staff, great breakfast, well equipped, comfortable room and special pool area. We stayed for one five course evening meal which was delicious but, because there were only two other couples eating, sadly rather lacked atmosphere. Although it’s not in the centre of town it’s a pleasant 15 minute walk in and easily accessible for main sights and harbour. My husband enjoyed using the local gym. Our only issue was the price of the drinks which unreasonably higher than in town. If you’re looking for places to eat at night in walking distance we’d recommend Rustico and Nick the Fisherman . We’d love to come back next year.",Date of stay: October 2020,Diamond Boutique Hotel,1,"Kós, Greece"
Wonderful fresh fish,We liked this restaurant so much we came back twice. The service is easy and friendly and the restaurant has a lot of local people in. The Mussels saganski was especially good. The staff are able to be flexible about portion sizes for younger and older people. Just ask.,Date of visit: October 2020,Nik the fisherman,1,"Kós, Greece"
The guide was right,We always worry when a place is recommended by a guide having been let down badly in the past however on this occasion he was right. We had the stuffed courgette flower starter which was delicious and the goat for main. It was very tasty and different. The restaurant was careful about Covid restrictions. Recommended.,Date of visit: October 2020,Vegos Restaurant,1,"Nisiros, Greece"
Lovely Salad. Great view,"We visited for a late lunch after a boat trip and didn’t regret it. We were wary of it at first worrying it could be an over priced tourist trap. We both had the fish salad , which despite not having the advertised mussels , was delicious and very filling. The pitta bread was so good we had more. The staff were friendly and efficient. If we’d more time here we’d go back.",Date of visit: October 2020,Sifis Restaurant Tavern,1,"Kós, Greece"
Great local meal,The meat in this restaurant was delicious but be warned the portions are very large so you may want to share. On a Wednesday night it was filled with locals and people coming for take outs. Just great. Recommended.,Date of visit: October 2020,O Lampros,1,"Kós, Greece"
Couldn’t be better,We didn’t do the fishing trip but the one hour mini cruise which went ahead despite there only being two of us on board. We went along both sides of the harbour and enjoyed the trip. Care was taken in relation to Covid. Capt Tasos is obviously a friendly character and we loved the dog.,Date of experience: October 2020,Fishing trip & mini-cruise,1,"Kós, Greece"
Great find.,"We were pleased to find this more authentic women’s cooperative restaurant right in the heart of the main square. The salads were delicious as was the yoghurt with plums, honey and almonds. The portions were large and the prices reasonable. Service excellent apart from problems with the card machine.",Date of visit: October 2020,Aegli,1,"Kós, Greece"
Visited for evening meal and,Visited for evening meal and can’t find much else to add to the very positive reviews above. My swordfish was delicious . The service was very friendly and helpful and the cost whilst not cheap was entirely reasonable. We’ll be back.,Date of visit: October 2020,Nick's Restaurant Bar,1,"Kós, Greece"
Delicious Food and atmosphere.,Visited for lunch and enjoyed sitting in the outside area with our dog who was made very welcome. The Durham Broth was delicious as was the Stilton scone. The service was pleasant and helpful. The Covid regulations were in place and relatively unobtrusive. My only concern was that staff were not publicising the QR code for track and trace or taking peoples details.,Date of visit: October 2020,Vennel's Cafe,1,"Durham, United Kingdom"
