reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Comfort Food,"As always nice tasty food, good service with a smile. I really like that I know what, I’ll eat and especially for the kids",Date of visit: January 2020,Spiti,4,"Filothei, Greece"
Very nice!!,"Especially if you are traveling with kids, this will be a trip to remember!!
From picking and clearing the nets to swimming in secluded beach that can be reached only by sea and eating really fresh fish cooked on board Many thanks to our captain and of course Theopoula that took care of us.
Hope we see you again!!",Date of experience: August 2019,Lemnos Fishing Trips,4,"Lemnos, Greece"
Nice experience!!,"Stayed there for four days and we really enjoyed! Nice windy spot on the island next to a salt lake!!
Sure there can be improvements (perhaps a wider variety on breakfast or a light upgrade on the tents) but smiles and manners from stuff, wins you over.",Date of experience: August 2019,Surf Club Keros,4,"Lemnos, Greece"
Interesting Healthy Variety,Rich variety of healthy foods but not only. YOu can find almost everything in normal prices. Service depends on the employe..,Date of visit: November 2018,Red Olive,4,"New York City, New York"
Excellent Views,"Excellent views especially if you are lucky, with a sunny day. Better have your tics in advance and patiente is needed for the ques",Date of experience: November 2018,Top of the Rock,4,"New York City, New York"
Smart Choice,"Very convinient spot, to begin with. Stuff was helpfull and polite. Spacious apartments, kitchen with all necessary appliances. Daily room service also. One point needs to be improoved and that is the breakfast buffet.
None the less, it is a favourite place to stay in N.Y",Date of stay: November 2018,The Lombardy,4,"New York City, New York"
Ξεκούραστα,"Μείναμε οικογενειακώς και η τελική εντύπωση είναι πολύ καλή. ΤΟ ξενοδοχείο δεν είναι φθηνό όμως οι παροχές του είναι σωστά σχεδιασμένες. Πισίνες για παιδιά και ήσυχη παραλία εαν κάποιος θέλει, μεγάλη επιλογή φαγητών σε όλα τα γεύματα και αρκετή απασχόληση για τα παιδιά. Υπάρχουν σημεία που χρειάζονται βελτίωση, όμως η ευγένεια και διάθεση του προσωπικού σε αποζημιώνει.",Date of stay: July 2018,Grecotel Casa Marron,4,"Lakkopetra, Greece"
Hmmmmm!,"Been there for three days with my family. The upside is the spacious rooms, which is really helpfull for families. The reception/concierge was willing and polite but most of all they do speak English something that did not happen on the restaurant!! For such prices one would have thought it is good for the personel to speak some basic english, so that they can take your order....
I believe the brand should be more carefull",Date of stay: August 2018,Hilton Strasbourg,4,"Strasbourg, France"
Πολύ ωραίος,"Αν και πολυσύχναστος είναι πραγματικά επιβλητικός. Περάσαμε και βράδυ και το θέαμα σε αποζημιώνει, πραγματικά.
Προσοχή στα εστιατόρια, αν φάτε στην πλατεία",Date of experience: August 2018,Cathedrale Notre Dame de Strasbourg,4,"Strasbourg, France"
Πολύ καλό,"Μείναμε τρία βράδια οικογενειακώς. Τα δωμάτια δεν είναι και τα μεγαλύτερα όμως είναι καθαρά με επαρκής παροχές. Στο πρωινό βρίσκεις μεγάλη ποικιλία και καλή ποιότητα. Το ίδιο ισχύει και για το εστιατόριο που φάγαμε ενα βράδυ. Η τοποθεσία του, εξαιρετική",Date of stay: August 2018,Crowne Plaza Heidelberg City Centre,4,"Heidelberg, Germany"
