reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Excellent all round,"Called in earlier in the week to see if they could accommodate a party of 26. Obviously due to the current climate we were not hopeful but they said yes. All on individual family tables as required, no problem.
I can honestly say and speaking on behalf of our entire party we could not have been happier. All food was excellent even the children's meals and large portions all around. Everyone of us said the food was so tasty.
The meals did not all come out together but we knew that because of the size of party but it wasn't a problem.
The staff were all excellent and very friendly especially the main waitress ( young girl with dark hair - sorry did not catch her name) .
If in the area and looking for a good pub and food look no further.
We will certainly go back if around.",Date of visit: July 2020,The Globe Inn,1,"Looe, United Kingdom"
Only okay,Setting is fantastic. Place looks great but it has a down side. Staff not as nice as they could be and drinks more expensive than other places nearby. Why pay more for a drink when it's the same as everywhere else? Certainly places just as good around.,Date of visit: September 2019,Buca Lounge Bar,1,"Zakynthos, Greece"
Good bar,"Good bar if you want sports, music etc. There is a great selection of drinks and staff are very chatty and helpful. Always busy.",Date of visit: September 2019,Spikey's Sports Bar,1,"Zakynthos, Greece"
Great bar,"Great bar for drinks and people watching. Situated on the crossroads it is ideal. All the ladies in our party had cocktails which were reasonably priced and by all accounts lovely. The staff are so helpful and friendly.
It is not like Spikeys opposite which is good if you want sport or music etc, this place is more chilled.",Date of experience: September 2019,Jungle Bar Cafe,1,"Zakynthos, Greece"
Great restaurant.,"Great restaurant with a lovely setting near the beach. Very big menu but all food excellent. Staff very helpful. Highly recommended. We even had an earthquake while there but it added to the night.
Highly recommended.",Date of visit: September 2019,Taverna Asteria Est 1963,1,"Zakynthos, Greece"
Lovely restaurant.,"Lovely restaurant which I think some people miss because it is up the road from the crossroads. It only takes a few minutes but it is worth the walk. Worth booking as the people who know about it do go often. English lady at front was very helpful with our booking and helped us with picking seats. The food is delicious and a slightly different but good menu. Staff all good as were the drinks.
Recommended.",Date of visit: September 2019,Koukounari Pine Cone Restaurant,1,"Zakynthos, Greece"
Not what I expected,"Was looking forward to it due to other reviews but as a party of 6 adults we were not impressed, Looks more like a cafe and the food was awful. Soup for starters was like packet soup and powdery. Some of the mains were only just edible, lamb chops were okay but had much better elsewhere. Compared to other restaurants in the area it was nowhere near as good.Service on average. The prices though were the same. I won't be going back. Do not know why it is so well liked I must be missing something.",Date of visit: September 2019,Paulos Corner,1,"Zakynthos, Greece"
Great steaks,"This was recommended to us as we wanted a good steak and it ticked all the boxes.
We had between us Fillet, sirloin and rib eye and everyone said theirs was excellent. There are lots of choices on the menu not just steak.
We had to book as it was busy so worth checking. Staff nice
Good location on main road.",Date of visit: September 2019,Nostos Taverna,1,"Zakynthos, Greece"
Lovely food,"Been to this restaurant on previous years and it is still just as good. Great selection on the menu and food always nice.Nice wine too. Staff very helpful and attentive. Always busy which is a good sign.
Just up from the main crossroads it is worth looking for.
Recommended.",Date of visit: September 2019,Piccadilly Restaurant,1,"Zakynthos, Greece"
Good restaurant,"Situated above a bar it may get overlooked but it is a nice restaurant. I had chicken in cream sauce which was really tasty.
Nice staff worth a visit.",Date of visit: September 2019,Al Fresco,1,"Zakynthos, Greece"
