reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
An easy 5 STARS...! :-))),"Walked around Antigua for 3-4 hours on my first day to find my favorite spot to work from in peace. (Checking all/most of the ""wifi cafes."") This place is/was IT! :)
Bright. (Unlike many other rather DARK places/cafes in A.).
Nice design. Super-friendly & laid-back staff.
High-quality beverages.
5 stars well deserved.
I think I have gone EVERY DAY during my first 20 days in Antigua. ^_^
THANK YOU, Maria Andre, Remi, Ale & all others! *****",Date of visit: November 2019,Artista De Café,1,"Antigua, Guatemala"
Traumhaft schön!!!,"Die Bilder sprechen für sich... Man kommt sich vor wie in einem Traum.

Entspannung PUR.

Und Arsenis ist der beste Host, den man sich wünschen kann.
Super freundlich und hilfsbereit.

Bis nächstes Jahr! :-)",Date of stay: March 2019,Paros Afrodite Luxury Villas,1,"Paros, Greece"
FANTASTIC (the 5th Summer in a Row...),"Arsenis & Crew are THE BEST...

This was our FIFTH summer at the hotel.

And we were treated like FAMILY every time...

Amazing experience, as usual. Super-clean & super-friendly & generous!

See you next summer!! :-)))",Date of stay: July 2018,Afrodite Boutique Hotel,1,"Paros, Greece"
ATTITUDE ISSUE by some of the staff...,"Ms. ""curly hair, dark skin"" just let me know in no uncertain terms that I need to vacate my table and move to the bar or somewhere else inside. (On very sunny day)
""I need you to move to the bar or somewhere inside. You are 1, I have 5 people.""
That in itself I have no problem with. BUT, but, but: the WAY she said it & her ATTITUDE about it was 100% UNCOOL & yup, quite RUDE & UNPROFESSIONAL as well.
HINT, HINT: be cool & say it in a friendly way - and, yes, maybe even package it in a rhetorical question (""would you mind moving to...?"") There is a novel idea! ;)
To be fair, some of the other stuff was very friendly.
And it's a beautiful location. But who needs attitude/treatment like that? #isuredont #wontcomeback",Date of visit: December 2017,Faruk BaShuk,1,"Jaffa, Israel"
KICKED OUT FOR NO REASON…,"Nice place, IF you manage to stay inside! :) :(

Got KICKED OUT last Saturday for NO REASON.

Bouncer/door man called me & my friend to come outside - and told us to LEAVE.
(Mind you, I still had my half-full beer glass in my hand as well.)

We had been there for 30 min.

Reason given (after somebody translated it for us): ""you were here last night and ""caused trouble""/had arguments with other guests.""

NONSENSE. No arguments/disagreements of any kind were had.

I asked him to speak to the ""manager"" - he didn't care & pretended to not understand.

Went back to Nouvelle Vague (good tip!) afterwards, told our great waiter Amarildo there about what just happened. He served us 2 delicious rum-with-cinnamon shots on the house to make up for what we experienced (at checkpoint...).

Nouvelle Vague: classy

Checkpoint: not so much

Otherwise a nice place.

Good luck! (You may need it.)

PS: Possible reason:

that same night, during the 30 minutes we were inside, I greeted a woman I had spoken with a few days earlier, by lightly tapping her on the shoulder (to get her attention and say hello to her - she was turned the other way).
One of the employees working upstairs, who also stood close by, immediately gave me a weird look & gesture as in “hey, don’t do this!!” (because he knew I was a foreigner - and he ASSUMED (incorrectly!) that I didn’t know her).
Well…, turns out I DID know her. :) And she just turned around towards me, smiled & greeted me friendly.

Ahem, I get the impression the gentlemen working there are getting a little bit overly “territorial”…

And, dear Mr. Owner/Manager, should you read this: you may wanna consider the behavior of the gentleman at the door; same for his colleague upstairs. Not cool.

If somebody misbehaves: do what you have to do.

If somebody (me & my friend, in this instance) has good manners and does nothing wrong: don’t play babysitter for no reason and weirdly overreact and ask guests with unfinished drinks to leave your establishment. Not cool.",Date of experience: October 2017,Checkpoint Charlie Pub Tirana,1,"Tirana, Albania"
FANTASTIC! *****,"Just go...

Captain Anthi & Crew are super-nice.

Lots of fresh fish to catch & EAT. (From cages (for shrimps & octopus) & 1km-long net PLUS you can fish yourself.)

Fresh shrimps (caught in hand-made cages by Anthi's father)... super-big octopus.

Time well spent. ***

PS: finally getting to experience the famous ""hot springs"" was my personal favorite, though. Unforgettable.",Date of experience: August 2017,Giorgaros fishing tours Santorini,1,"Santorini, Greece"
Just finished our THIRD summer here - always a PLEASURE! ***,"So nice on so many levels...

We just finished our third summer vacation here.

Arsenis, Akis & the gang treat you like FAMILY!

You will not regret it...

* great location (5 min walk to beach)
* very clean
* very fair prices
* super-friendly service

Do I sound like I have been bribed with their fantastic GREEK SALAD (cucumbers, tomatoes, capers & olive oil come from HIS DAD'S GARDEN!) to write such an awesome review?? ;)

I promise: I have not. (It was the TUNA salad - also really good!)

Just GO...

Also: Aliki is a nice little town - quiet... some simple taverns... no tourism overkill... no craziness...

See you there next summer (our 4th time...)",Date of stay: July 2016,Afrodite Boutique Hotel,1,"Paros, Greece"
GREAT! Just go...,"Third year in Aliki/Paros and fourth or fifth time doing this boat trip.

Elias is a total sweetheart and they are taking great care of you and take you to some truly beautiful places.

Totally worth it. Just GO! ;)

PS: If you want a nice HOTEL: check Hotel Afrodite in Paros - 3rd summer there. Just as great...! ***",Date of experience: July 2016,Rofos Boat Tours,1,"Paros, Greece"
SUPER! Authentic experience... *** Wie bei Mama zuhause!,"Ich bin Deutscher, und das war genau wie in Bayern oder Oesterreich.

Gulasch... Wurstsalat... Powideltascherl...

Alles FRISCH zubereitet. Und ein netter, lustiger oesterreichischer Herr/Besitzer dazu.

SEHR zu empfehlen! ***

ENGLISH VERSION:

I am German - and this is the REAL DEAL!

All freshly prepared. And tastes pretty much the same as walking into a Bavarian or Austrian place in the original country!

That is VERY rare.

Just go, and enjoy the experience... :-)",Date of visit: September 2015,Bistro Portosol,1,"Salvador, BA"
Sehr guter Tip!! Einfach HINGEHEN...,"Sehr guter Tip!! Einfach HINGEHEN...

Wohne schon 1.5 Jahre in Athen und hab's leider erst vor 6 Wochen entdeckt.

Lecker!
Frisch!
Preiswert!
Freundlich!

Und auch ungewoehnlich... (nicht die typischen griechischen Gerichte).

Und Maria, die nette Besitzerin ist auch super...

Da kann man nichts falsch machen... Viel Spass! ***",Date of visit: June 2015,Ta Karamanlidika tou Fani,1,"Athens, Greece"
